galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_cinfo_limit,beta_mode
IC4202,8.66,245.0,6.0,0.10977315016091956,6209.685565819862,542.1244821631742,6751.810047983036,231.89626344553292,68.51859612932162,241.80710290546284,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,9.45,246.0,5.57,0.060106150602100526,6029.68817989418,272.0244191848099,6301.71259907899,238.70599762050387,50.7013881594622,244.03111289607406,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,10.24,239.0,6.95,-0.0330177552906248,5765.781494140624,-137.90130397301377,5627.880190167611,242.98477832983693,0.0,240.06143619356345,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,11.02,240.0,7.16,-0.04056548419767267,5443.603711433757,-157.43303020687677,5286.17068122688,244.92552521123642,0.0,241.35782752403168,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,11.79,240.0,4.85,-0.04236260665967229,5097.251340118746,-153.67019954235647,4943.58114057639,245.14606523458625,0.0,241.42249615020478,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,12.47,246.0,7.68,0.01600405215705474,4775.759574979952,54.888869944533795,4830.648444924486,244.03631266678326,26.16226687824158,245.43468807038738,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,13.34,241.0,6.21,-0.005731546535393947,4378.963823088456,-18.375399010125562,4360.58842407833,241.6927334447604,0.0,241.18509401952045,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,14.11,250.0,5.62,0.0888353398270551,4052.4193479801556,269.26477263565334,4321.684120615809,239.12264008244807,61.63867245398029,246.9391887527961,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,14.59,242.0,5.1,0.037443681190564106,3866.239760109664,109.75998321484404,3975.999743324508,237.50460648164278,40.01747312243209,240.85231212322745,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
IC4202,14.98,244.0,7.41,0.06499339302676059,3723.9055607476635,185.5573586514825,3909.462919399146,236.18659000883179,52.72237885944837,241.99949283541736,,72631.10682719175,42768.18155123408,True,4.205088815701792,0.5888411098152571,237264564440.71173,formula
