galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs_mean,eta_obs_std,ell_info_kpc,density_ref_gal_msun_per_kpc3
NGC4389,6,1,2.2294507833895354,0.0,0.0,0.0,0.0,0.9893533787901543,0.0,,0.5094174046451316,0.0,4.45,366126910.5563718
NGC5907,16,4,2.16086671598128,0.042164677820171026,0.001221634214041191,0.39958812296464374,0.06606471143100096,0.1752194298352236,0.0765998351306929,0.9012251296145236,0.6004118770353563,0.06606471143100096,10.07,56853720.71159631
NGC5985,29,5,2.1409455579805514,0.03513319032728783,0.0009233879370471957,0.3853662625533201,0.032068985369635906,0.28015358715160427,0.10725974223238309,-0.5202517039126056,0.61463373744668,0.03206898536963588,4.4799999999999995,480240442.70134723
UGC01281,21,5,2.7305281114276942,0.15404777325245989,0.2535493520291553,0.39165129084450545,0.07187391089123372,0.5541055778214945,0.20531823746973343,-0.263341841213402,0.6083487091554944,0.07187391089123372,2.0,9546723.325059151
UGC04278,21,5,2.51498757826277,0.13012459440714066,0.32218601846575334,0.3966285594267616,0.11262504788592406,0.3644934326705441,0.15618346876841968,0.8727672514962156,0.6033714405732381,0.11262504788592408,2.0,31383623.388630666
UGC05721,19,5,2.3963527282698665,0.1966704196372869,0.2929949966336279,0.40722307704091854,0.11042775730662492,0.4308704316953633,0.1951485291577921,0.955998135058186,0.5927769229590814,0.11042775730662492,2.0,338250959.87158346
UGC05750,10,2,2.2002487898092395,0.1932360320039792,0.23904499327883333,0.3887609628761607,0.08886453340620369,0.32353282463730815,0.1328238492309312,0.7956176549635775,0.6112390371238393,0.08886453340620369,10.905000000000001,8696545.294549238
UGC05986,13,3,2.188879812817919,0.053765618297356266,0.0030456423242588605,0.3941603691460082,0.05803559603735814,0.3346199314463392,0.13905214406494323,0.9614244167665215,0.6058396308539917,0.058035596037358146,2.51,280998407.210728
UGC06667,8,2,2.3504146211299335,0.10136600556891029,0.25779742000741773,0.4147421754181999,0.054281091407776205,0.6642593806804574,0.2725400056747773,-0.9219574445859133,0.5852578245818001,0.054281091407776205,3.0549999999999997,5283780.848382281
UGC06917,10,2,2.1740266272968984,0.07270884445441439,0.012738130554513515,0.40422603246461436,0.04781830587604794,0.28465734972554546,0.11850613051942241,0.7498751512943861,0.5957739675353857,0.04781830587604794,3.93,130149362.79198126
UGC07089,10,3,2.3338375871639054,0.07698665255659609,0.18296593697548383,0.4038272474084372,0.06778820174271648,0.17795585336467523,0.07854331837293148,0.9320905019679036,0.5961727525915628,0.06778820174271652,2.1799999999999997,33142347.834162552
UGC08490,26,5,2.222434101871907,0.08362784794122322,0.16614888805889064,0.3884286961769069,0.09824546531365672,0.47581375458920994,0.19611263203043977,0.9658199049426999,0.6115713038230931,0.09824546531365672,2.0,141319636.07975358
UGC08837,7,2,2.241079153589413,0.01627559377506227,1.39051693831611e-07,0.40380765367949517,0.05493072174057304,0.24710181763365166,0.09883107524595751,-0.10014637080203492,0.5961923463205048,0.054930721740573056,2.0,115412041.66949572
UGC12506,27,5,2.092870371169788,0.021903421893353904,1.957593767483797e-07,0.3792857905021724,0.06981379165000476,0.3529931238728141,0.1329457365990346,-0.15866299212644341,0.6207142094978275,0.06981379165000474,8.200000000000001,399782756.29640204
UGCA281,7,1,2.9796012274239456,0.0,0.0,0.0,0.0,0.2810938055873572,0.0,,0.5195787093686189,1.1102230246251565e-16,0.9900000000010001,18274882.84595335
