galaxy,matched_sparc_name,h_kpc_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
NGC2841,NGC2841,structure_2014_z0,10.6,323.0,282.22792065988085,2.04,3.44,63.64,0.33000000000000007,2.051345988927597,0.002001108776907845,0.3427274079501306,0.9941782359083458,4.183522264423928,32.318394582621366,1.236820013396866e-06,0.003620813740308493,282.22792068310724,40.77207931689276,40.77207931689276,1662.3624518229942
NGC2841,NGC2841,structure_2014_z0,10.93,322.0,281.29503159494305,2.04,3.44,63.64,0.33000000000000007,2.0494785355192624,0.0018674534083347183,0.3427274079501306,0.994566016891966,4.1775375699446675,33.69698198070311,1.2128836379306674e-06,0.0036409913708469834,281.295031618507,40.70496838149302,40.70496838149302,1656.8944509383464
NGC2841,NGC2841,structure_2014_z0,11.27,321.0,280.11192852143944,2.04,3.44,63.64,0.33999999999999986,2.0476809988701254,0.0017975366491369549,0.3427274079501306,0.994768930123802,4.17106361036107,35.11514360822587,1.1888171793209295e-06,0.003660323703027763,280.1119285453548,40.88807145464523,40.88807145464523,1671.834387280174
NGC2841,NGC2841,structure_2014_z0,12.31,323.0,274.1813868591375,2.04,3.44,63.64,1.040000000000001,2.0428614692921716,0.0048195295779538405,0.3427274079501306,0.9860361297079789,4.115007800455989,39.3947517207001,1.1178684973350275e-06,0.0037095769573085,274.1813868842321,48.8186131157679,48.8186131157679,2383.256986547026
NGC2841,NGC2841,structure_2014_z0,14.35,319.0,257.62889220737645,2.04,3.44,63.64,2.039999999999999,2.035627529197077,0.007233940095094482,0.3427274079501306,0.9791142146133356,4.057233349601089,47.67150775388632,9.95459375938575e-07,0.00377952934169303,257.6288922351001,61.371107764899875,61.371107764899875,3766.4128682909536
NGC2841,NGC2841,structure_2014_z0,16.4,308.0,240.95031458788344,2.04,3.44,63.64,2.049999999999999,2.030338742447365,0.0052887867497122265,0.3427274079501306,0.9846869878090199,4.059150955488886,55.992767212638526,8.951847821770735e-07,0.003831583279494784,240.95031461834827,67.04968538165173,67.04968538165173,4495.660309778481
NGC2841,NGC2841,structure_2014_z0,18.48,299.0,227.6905538225071,2.04,3.44,63.64,2.080000000000002,2.0262841717560742,0.004054570691290671,0.3427274079501306,0.988239395255971,4.057540529808728,64.43245151464069,8.112770255692213e-07,0.003872001992835129,227.69055385542987,71.30944614457013,71.30944614457013,5085.037109445348
NGC2841,NGC2841,structure_2014_z0,20.57,299.0,217.05240956967052,2.04,3.44,63.64,2.09,2.0231141041686937,0.0031700675873804762,0.3427274079501306,0.9907931148970033,4.055306983581836,72.90804311032673,7.409268170566302e-07,0.003903954998057084,217.05240960477923,81.94759039522077,81.94759039522077,6715.407571582879
NGC2841,NGC2841,structure_2014_z0,22.51,298.0,210.21654882525306,2.04,3.44,63.64,1.9400000000000013,2.020748787113806,0.00236531705488785,0.3427274079501306,0.9931223074593429,4.05534111441553,80.77540487229287,6.854828742896623e-07,0.003928131807903129,210.2165488619538,87.78345113804619,87.78345113804619,7705.934293705743
NGC2841,NGC2841,structure_2014_z0,24.59,296.0,202.46587539632452,2.04,3.44,63.64,2.0799999999999983,2.018667153538846,0.002081633574960051,0.3427274079501306,0.9939446782883268,4.050341537396181,89.20011527007692,6.343322818937047e-07,0.003949459559454457,202.46587543484517,93.53412456515483,93.53412456515483,8748.6324581699
NGC2841,NGC2841,structure_2014_z0,26.68,293.0,193.0401836406089,2.04,3.44,63.64,2.09,2.016933820190776,0.0017333333480697988,0.3427274079501306,0.9949552981532209,4.047500076756507,97.65939043049802,5.899440349884206e-07,0.003967329940084523,193.04018368137685,99.95981631862315,99.95981631862315,9991.96487845288
NGC2841,NGC2841,structure_2014_z0,28.77,289.0,184.27017392947778,2.04,3.44,63.64,2.09,2.0154765522219606,0.001457267968815401,0.3427274079501306,0.9957570530140067,4.044910263563906,106.11325288134658,5.512623850489589e-07,0.003982438802776328,184.2701739725119,104.72982602748809,104.72982602748809,10968.336459747921
NGC2841,NGC2841,structure_2014_z0,30.7,289.0,177.4628935862368,2.04,3.44,63.64,1.9299999999999997,2.0143240987602673,0.001152453461693348,0.3427274079501306,0.9966430522103717,4.043880753903269,113.91794273637989,5.197372425876493e-07,0.0039944878704836284,177.4628936311925,111.53710636880751,111.53710636880751,12440.526097126682
