galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,state_term_i,propagation_source_i,propagation_term_i,history_term_i,delta_struct_i,DeltaD_i,causal_horizon_kpc,ell_info_kpc,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
IC4202,8.66,245.0,231.89626344553292,6.0,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1641657538318912,2.174138585791568,-0.004171909772599456,0.4939038871221167,0.5114123508395836,0.09683981303561295,0.44862495209116193,0.4757923131097348,0.4757923131097348,3.9700000000000006,3.9700000000000006,891560552.7982229,116.69954285714287,2,231.89626344553292,0.0534846389978248,0.02544758010461419
IC4202,9.45,246.0,238.70599762050387,5.57,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1625876170126483,2.169681988876608,-0.004642607324023669,0.49506575182019336,0.5336734796377834,0.1014101726476155,0.4592486014378908,0.4807388916672724,0.4807388916672724,3.9700000000000006,3.9700000000000006,933084396.0577203,124.42917371428571,2,238.70599762050387,0.029650416176813556,0.014254108210314713
IC4202,10.24,239.0,242.98477832983693,6.95,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.161009480193406,2.165225391961648,-0.005113304875447883,0.49622761651827,0.5559346084359834,0.10598053225961805,0.46987225078461975,0.48568547022480996,0.48568547022480996,3.9700000000000006,3.9700000000000006,974608239.3172177,132.1588045714286,2,242.98477832983693,0.016672712677141956,0.008097694296520842
IC4202,11.02,240.0,244.92552521123642,7.16,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.159451319789597,2.160825207665865,-0.005578044230018625,0.4973747740682698,0.5779139507936998,0.11049303921830411,0.4803614235573394,0.4905694338638977,0.4905694338638977,3.9700000000000006,3.9700000000000006,1015606464.3076074,139.790592,3,244.92552521123642,0.02052302171348508,0.010067967143160854
IC4202,11.79,240.0,245.14606523458622,4.85,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.157913135801221,2.1564814359892583,-0.006036825387735896,0.49850722447019263,0.5996115067109327,0.11494769352367368,0.49071611975604984,0.49539078258453556,0.49539078258453556,3.9700000000000006,3.9700000000000006,1056079071.0288897,147.324536,3,245.14606523458622,0.021441938477442572,0.01062213868246974
IC4202,12.47,246.0,244.03631266678326,7.68,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1565547395517464,2.1526453778852424,-0.006441982773771928,0.4995073105394232,0.6187729846638136,0.11888167394919487,0.4998605267886772,0.49964859703912484,0.49964859703912484,3.9700000000000006,3.9700000000000006,1091821113.328204,153.97788914285715,3,244.03631266678326,0.00798246883421439,0.003988429353923758
IC4202,13.34,241.0,241.6927334447604,6.21,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1526196024560744,2.1467306519869807,-0.006514436590660957,0.5022912094210692,0.6232985716729715,0.12220586490888385,0.507114229262211,0.504220417357526,0.504220417357526,3.9700000000000006,3.9700000000000006,1090311042.1833835,164.59760082793017,3,241.6927334447604,0.0028744126338605502,0.001449337537902912
IC4202,14.11,250.0,239.12264008244807,5.62,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1479191091335292,2.1409378007159554,-0.006331441733033418,0.5055888379336362,0.6162257132893801,0.12420085153815809,0.5110703557632444,0.5077814450654795,0.5077814450654795,3.9700000000000006,3.9700000000000006,1062795008.4765772,175.16452934663337,3,239.12264008244807,0.04350943967020771,0.022093286149727373
IC4202,14.59,242.0,237.50460648164278,5.1,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1449889314779167,2.137326672650901,-0.006217367016590277,0.5076445024609506,0.6118166587125959,0.12544447956679658,0.5135365125431095,0.5100013064938143,0.5100013064938143,3.9700000000000006,3.9700000000000006,1045642156.2957109,181.75170556608472,3,237.50460648164278,0.01857600627420338,0.009473787469281016
IC4202,14.98,244.0,236.18659000883179,7.41,3.44,data\derived\crossmatch\sparc_structure_test32\per_galaxy\IC4202_structure_enriched.csv,2.1426081621327313,2.134392631098044,-0.006124681309480224,0.5093147298893936,0.6082343018689588,0.12645492734006533,0.5155402649267499,0.5118049439043362,0.5118049439043362,3.9700000000000006,3.9700000000000006,1031705463.898757,187.10378624438897,4,236.18659000883179,0.0320221720949517,0.016389105992751753
