r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
4.97,234.0,6.1,184.90669204997204,9476.544647887325,-964.7769582757646,-730.9013812087624,-644.6196151981865,34.88208234247507,2.0994469409250605,0.41629796061670693,0.3093370431228235,-4581.944658172616,-2597.1714557619343,0.2740631266208344,6879.373192125391
5.25,235.0,3.89,187.60264115254807,9200.997885714287,-796.4191885171388,-721.5817028127474,-629.0883067905971,34.84855759137757,2.099337997068962,0.4162253313793079,0.31022541918254154,-4181.058239645534,-2497.235796683483,0.27140923492230745,6703.762089030804
5.52,236.0,9.03,190.8647426464642,9038.5140942029,-535.4185382893015,-669.8420864123636,-600.6961190921611,35.31572045938727,2.1007903919852717,0.4171935946568478,0.3134513540996073,-3912.1210884903217,-2438.994169293296,0.26984459435180974,6599.519924909603
5.8,237.0,10.0,193.7812424699335,8906.517689655171,-504.9822288397629,-612.8552961738537,-577.5317548190569,37.33356784401128,2.107063653206744,0.42137576880449595,0.31912279545024264,-3821.491333225109,-2432.1780460015243,0.27307845004636033,6474.339643653647
6.08,237.0,7.36,195.40957222409693,8755.724046052632,-547.6135181398502,-625.1442286703087,-586.464406102985,40.47240815971793,2.1168757423954068,0.4279171615969378,0.3270925851337271,-4014.1629022589746,-2475.3127110518817,0.2827079403179494,6280.41133500075
6.36,237.0,10.2,196.122044836375,8599.854119496855,-679.8430070832152,-707.5623797253362,-631.7200141030661,44.51087347611299,2.129631760152114,0.4364211734347426,0.33704065193644495,-4487.45663112014,-2552.0779448425956,0.2967582832663106,6047.776174654259
6.63,236.0,10.4,195.1769947305346,8381.810392156864,-857.8638509994134,-807.9889387350837,-694.4970307578144,49.04359714526843,2.144184470630753,0.4461229804205021,0.34886675448795235,-5123.918462462214,-2636.1000947144603,0.31450247278095744,5745.710297442403
6.91,236.0,5.83,193.57674882908785,8128.0290014471775,-947.509293564439,-911.7957655107881,-749.3686067129422,53.60473549324276,2.1591425625861964,0.4560950417241309,0.3621918216703557,-5764.268717138759,-2705.169712411032,0.3328198892904273,5422.859289036145
7.19,235.0,5.43,191.02810266551523,7851.205187760777,-1007.1150238885003,-978.5316427187665,-786.2497631721234,57.99722636170915,2.1738513852133674,0.46590092347557827,0.37660930070127563,-6350.030576673033,-2775.859428652763,0.3535583852756826,5075.345759108014
7.27,234.0,8.36,189.26302245402894,7765.467592847318,-1066.647652018372,-1003.4143542874284,-802.1415379929667,62.48772888531363,2.1893707148893413,0.47624714325956086,0.3916883379535353,-6829.333592881093,-2838.3023014533337,0.365503077247745,4927.165291393984
7.46,234.0,7.88,187.4465794564915,7563.210321715817,-1013.5223931231072,-1001.2185803323587,-803.3862030555051,67.33225758995998,2.206871577972733,0.4879143853151552,0.40709860758178545,-7099.578455319652,-2853.261239954588,0.377255308074956,4709.9490817612295
8.02,231.0,8.17,182.8748271861653,7005.3257980049875,-982.2774088427233,-985.7563546499695,-795.0413087761845,72.15525691658182,2.2248660919175123,0.4999107279450081,0.42265316978527284,-7213.776960533609,-2835.3504341184753,0.4047421227612199,4169.975363886512
8.29,229.0,5.82,180.91251772766284,6747.920072376358,-936.5304237890896,-955.1470994158196,-781.9674926095579,76.72524620006733,2.242577338213029,0.5117182254753526,0.43826157079520156,-7200.448604025163,-2799.8695210419874,0.41492333800805986,3948.0505513343705
8.56,228.0,7.21,178.29426143567903,6499.599369158878,-929.8038954765555,-926.9767928396315,-762.3772015098425,80.96757489089903,2.2596110580262083,0.5230740386841388,0.4537283082211907,-7162.787240964421,-2785.949408774034,0.4286340204280264,3713.6499603848442
8.84,226.0,18.2,175.3666819896513,6236.527929864252,-913.6013758476229,-878.653540827118,-733.6170712307396,84.8303924710741,2.275649935714018,0.5337666238093453,0.46873644278134097,-6973.493499597455,-2757.628252029467,0.4421736394098842,3478.8996778347846
9.12,224.0,9.11,173.97855893227884,5987.982598684211,-872.6708602421661,-806.9241792226788,-688.4409353175743,88.35104157419332,2.290762023815894,0.543841349210596,0.4828949763678223,-6535.9966258738,-2669.0638521762694,0.4457367415801718,3318.9187465079413
9.69,221.0,5.56,174.62347724315134,5494.757698658411,-740.6611487801557,-709.6863351301089,-623.860867220215,91.62050853813227,2.3052202595300613,0.5534801730200408,0.4955577223747909,-5606.36643328157,-2347.868245150733,0.42729240740205593,3146.889453507678
12.11,216.0,3.21,151.5768439718184,3773.405763831545,-577.883615766894,-593.1785944870306,-543.4968276494068,94.7202329809179,2.319286077993823,0.5628573853292153,0.5065704739731068,-4400.543382454767,-1876.1688002925703,0.4972083358423384,1897.2369635389746
14.58,220.0,1.89,133.10482470468367,2668.9068175582993,-443.6146750137057,-480.73199065603217,-457.65177498113337,97.22769123451468,2.3309168784277965,0.5706112522851976,0.5158364882654048,-3287.330488840289,-1453.7563127802082,0.5447010375994338,1215.150504778091
14.68,220.0,7.66,142.87446248417825,2633.316049046321,-331.06267263223197,-387.50582946800245,-380.8857920339693,98.63085476153518,2.337424319732442,0.5749495464882945,0.5233691839254497,-2574.4237671014516,-1242.7770824153363,0.47194376188358367,1390.5389666309848
