galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_radius_term_i,eta_sigma_term_i,eta_dw_term_i,eta_obs_i,I_ext_i,DeltaD_i
NGC2403,2,1.67,2.98,2.325,1.31,0.5300000000000001,97.4,103.12050731849263,1.6521428571428576,5748475495.621661,14,1357749636.4929445,1.6142475000000005,3561086819.4757366,2.1137141528506986,2.5519570907569715,2.3328356218038353,0.11760446653430745,0.2413730022703897,3.38,1.0,2.0,101086944.72530797,109727098.2741486,0.6142081611308416,0.6838702048941996,0.11144291879744313,0.7024283050500115,77075419.65876624,0.29757169494998853
NGC2403,3,3.08,6.46,4.77,3.38,0.5300000000000001,113.33333333333333,102.2789615368371,3.049333333333334,11601940773.34021,15,1357749636.4929445,8.544978000000002,1357749636.4929445,2.0413310620354737,2.2310702959455555,2.1362006789905146,0.14281400802194932,0.07828772883914108,3.38,1.0,2.0,15180434.315882659,64838943.06990127,0.36787944117144233,0.7242878266145674,0.24253288067299028,0.6373513165571865,41325185.72977804,0.36264868344281354
NGC2403,4,6.96,13.42,10.19,6.46,0.5300000000000001,128.64285714285714,81.8632729073081,1.542142857142857,15877862509.71826,14,1357749636.4929445,34.88852200000001,455102755.84956723,2.0169560498412564,2.077459161678617,2.0472076057599367,0.054364520698440666,0.000241456409649827,3.38,1.0,2.0,5973.980042285286,13050095.371259099,0.11809471065131719,0.5,0.3018615961600422,0.5245500036302806,6845427.574369469,0.47544999636971935
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.5300000000000001,134.26666666666668,66.5174223471972,4.1066666666666665,17889988026.41557,15,1357749636.4929445,64.14823200000002,278885130.0908116,2.011053901830036,2.043889373357231,2.0274716375936332,0.019735968166303408,3.998578131374268e-11,3.38,1.0,2.0,0.00022008446136437057,1550562.746396773,0.026103071069442093,0.26634059327634874,0.31501890827091117,0.4712645918590125,730725.3198324647,0.5287354081409875
NGC2683,1,2.89,14.43,8.66,11.54,21.58,195.8,205.08057127289626,7.4,84685016096.57663,5,24312998.44047567,2156.6275119999996,39267335.51592411,2.3218599146027215,2.269008403972268,2.2954341592874945,0.1849904057081675,0.3309398473929812,14.424999999999999,1.0,2.0,2403973.635254783,2467479.6230093976,0.6063992954580744,0.5,0.13637722714167033,0.6675049510365004,1647054.8649404505,0.3324950489634996
NGC2683,2,17.31,34.62,25.964999999999996,17.31,21.58,162.5,122.61999609272766,10.333333333333334,90771720697.67372,6,24312998.44047567,9699.220556999997,9358661.365027227,2.150895765558236,2.0699917416004174,2.110443753579327,0.1849904057081675,0.12174596612029234,14.424999999999999,1.0,2.0,210774.23331619104,935088.196370131,0.22317849682589155,0.5,0.2597041642804487,0.5516804783291513,515869.90345341724,0.4483195216708487
NGC2841,1,3.44,6.51,4.975,3.07,2.04,305.2,282.98789495077904,9.407,92633579806.6337,10,607651636.969469,31.15743,2973081534.858096,2.1381760293976515,2.583509036442754,2.360842532920203,0.05949324800127709,0.09641954085914786,12.240000000000002,1.0,2.0,17054522.264138997,85323855.35561012,0.7382012883448074,0.5,0.0927716447198647,0.7087686833841484,60474876.62165531,0.29123131661585155
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,2.04,320.4,287.1012252081233,12.484,160890513395.27368,10,607651636.969469,52.576206,3060139284.2091665,2.0953309974454415,2.5073675723924107,2.301349284918926,0.13113095150437437,0.21982943476389094,12.240000000000002,1.0,2.0,88212930.49303818,103173185.64180756,0.599174405263857,0.6879029621865335,0.13243381005404942,0.6999975081412895,72220972.85626395,0.3000024918587106
NGC2841,3,10.27,22.51,16.39,12.240000000000002,2.04,313.3,255.45435211970735,7.552,248682492174.21008,10,607651636.969469,409.2517440000001,607651636.969469,2.032051673648386,2.1651095861745224,2.098580629911454,0.13311290443188684,0.04901490874767479,12.240000000000002,1.0,2.0,3964633.3527636207,56580796.9399782,0.36787944117144233,0.6911144984222569,0.26761291339236387,0.6334860622666951,35843146.25341826,0.36651393773330493
NGC2841,4,24.59,43.08,33.835,18.49,2.04,284.1,173.643980848759,3.818,237205794261.24164,10,607651636.969469,1276.242666,185862611.06964248,2.015951630987609,2.0542953211226957,2.035123476055152,0.03800016247036009,4.864530121467234e-06,12.240000000000002,1.0,2.0,34.35724915512777,13604857.965236684,0.1268983994042962,0.38977159878323375,0.30991768262989855,0.511245996187431,6955429.1634259345,0.48875400381256895
