galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2841,6.86,317.0,284.37957257862246,8.47,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.3280516637733,0.09897777171570352,0.1644393215639551,56274872.99848842,95161863.42271017,0.6086956755215783,58068900.59048294,0.3913043244784216,0.6035663987490104,0.2980021410474421,0.5190666730808157,0.507113050859762,0.4843752796341477,3021065118.9302506,42.962808,2,284.37957257862246,0.10290355653431402,0.040266606676086815
NGC2841,7.18,320.0,285.497386678057,7.63,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.322485044077274,0.10568071473353718,0.1759864461398375,62932969.67487663,96831976.1980269,0.6117531171046076,59370857.86752789,0.38824688289539244,0.6211479624623703,0.3048907331161084,0.5190975583566902,0.5073550603004802,0.47776151127248034,3029210873.255497,44.966904,2,285.497386678057,0.10782066663107184,0.041861037731216896
NGC2841,7.51,316.0,286.64103840866886,20.5,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.3167444675157474,0.11259312472067814,0.18789441835871618,69799131.87240198,98554279.99757226,0.6149061037371064,60713501.309480496,0.3850938962628936,0.6392789500417726,0.31199459368692056,0.5191294087974357,0.5076046325362207,0.4709410626495109,3037611182.403407,47.033628,2,286.64103840866886,0.09290810630168081,0.035778344650121356
NGC2841,7.85,318.0,288.61413842707015,23.4,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.31082993408872,0.11971500167712641,0.20016323822059123,76873359.59106448,100328774.82134627,0.6181546354190749,62096830.91634076,0.38184536458092505,0.6579593614872175,0.3193137227598785,0.5191622244030525,0.5078617675669836,0.4639139337652394,3046266046.3739815,49.162980000000005,2,288.61413842707015,0.09240836972619451,0.035285707628427664
NGC2841,8.21,321.0,289.92085747665686,8.48,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.304567486930691,0.12725581257218932,0.213153753368459,84363718.35200126,102207651.69357759,0.6215942571999827,63561532.85301634,0.3784057428000172,0.6777386206647473,0.32706338883712816,0.5191969703384113,0.5081340281877914,0.45647344435836357,3055430019.9898834,51.41758800000001,2,289.92085747665686,0.09681975863969824,0.036637152685773396
NGC2841,8.57,323.0,289.8394476257502,8.66,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.296910946629206,0.13117433383862262,0.21609053019192873,86368846.44056186,102153339.73526345,0.6240351871071833,63716592.36349553,0.3759648128928167,0.6879732584768714,0.33474403938859015,0.5187942387052251,0.5080928342694716,0.4532118354648109,3006457565.8518248,60.38336286679178,2,289.8394476257502,0.10266424883668665,0.03859814510466647
NGC2841,8.9,321.0,289.1324277904504,12.7,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.2885415087114493,0.13125614052606216,0.20904002442765712,82891430.7987494,100230201.74006599,0.6253049262064055,62589624.37319211,0.37469507379359446,0.6881058171957943,0.34171775639648855,0.5180011314452859,0.507751320802857,0.45427156152410786,2905229182.6636944,75.10543010131336,2,289.1324277904504,0.09927592588644742,0.03719820037594983
NGC2841,9.24,323.0,287.4796989354205,11.0,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.2799184514628514,0.13134042620403016,0.20177586697355915,79308638.92536688,98248786.83592315,0.6266131422480284,61428505.83772799,0.37338685775197156,0.6882423928455936,0.348902798162202,0.5171839906320153,0.5073994584433148,0.4553634004942926,2800933272.712288,90.27362058536588,2,287.4796989354205,0.10996997233615939,0.041061342417669795
NGC2841,9.6,323.0,285.42702149586324,10.4,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.2707881555525713,0.1314296698630551,0.19408440613980832,75515094.5888442,96150818.11388956,0.6279983121744528,60199086.21194245,0.37200168782554727,0.6883870023571459,0.3565104894435457,0.5163187827120816,0.5070268982979171,0.45651946528625287,2690502309.234328,106.3340575684803,2,285.42702149586324,0.11632501084872061,0.043273100372049164
NGC2841,9.93,322.0,284.0806626646734,13.6,2.04,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2841_structure_enriched.csv,2.2624187176348145,0.13151147655049464,0.18703390037553674,72037678.94703174,94227680.1186921,0.629268051273675,59072118.22163903,0.37073194872632503,0.6885195610760688,0.363484206451444,0.5155256754521425,0.5066853848313027,0.4575791913455498,2589273926.046198,121.05612480300188,2,284.0806626646734,0.11776191719045524,0.04365810504576559
