galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta,beta_mode
UGC02953,25.24,283.0,1.08,0.3802032999217476,1988.1776901743265,30.127044367808846,2018.3047345421353,224.01251058813656,27.575470981353977,225.70337059920814,2000.0,structural
UGC02953,26.44,279.0,1.87,0.39812970031938005,1795.27078290469,30.11571106803177,1825.3864939727216,217.86913388545887,28.218068690800937,219.68891392293506,2000.0,structural
UGC02953,27.65,276.0,1.55,0.41778800966044605,1629.7283508137432,30.219747534209482,1659.9480983479527,212.2780933115803,28.906331820569903,214.23716978928024,2000.0,structural
UGC02953,28.85,273.0,1.9,0.4350245909137765,1487.2250571923744,30.15768394549577,1517.3827411378702,207.1387044953212,29.49659610578063,209.22832523783092,2000.0,structural
UGC02953,30.05,271.0,1.12,0.45487389324352206,1362.8265557404327,30.274468768287658,1393.1010245087205,202.36832261991995,30.16202557002835,204.60372867200402,2000.0,structural
UGC02953,31.25,270.0,1.41,0.4765736544527235,1255.3109087999999,30.500713884974303,1285.8116226849743,198.06177293965638,30.87308389042868,200.4535188239544,2000.0,structural
UGC02953,32.34,268.0,1.76,0.4895393143681514,1169.4796351267778,30.274540158821974,1199.7541752855998,194.4761460950931,31.29023216175142,196.97728302709504,2000.0,structural
UGC02953,33.55,267.0,1.81,0.5078039983852511,1084.7391028315947,30.271475313576822,1115.0105781451714,190.76948629170232,31.86860519022604,193.4130422095948,2000.0,structural
UGC02953,34.75,266.0,2.18,0.5252625094195434,1008.555035971223,30.23093579393056,1038.7859717651536,187.20920783978548,32.41180369617042,189.99424338342223,2000.0,structural
UGC02953,35.95,265.0,3.01,0.542095380068747,939.368792767733,30.158296526773125,969.5270892945061,183.76699404408834,32.92705210214686,186.69359619477444,2000.0,structural
UGC02953,37.15,264.0,2.04,0.5579758442194204,876.9606944818304,30.039076404814022,906.9997708866445,180.49678612097225,33.40586308477661,183.56209164323346,2000.0,structural
UGC02953,38.35,264.0,1.58,0.5767790473140371,821.0258383311602,30.079741711292673,851.1055800424529,177.44390916568537,33.96407064278477,180.66515711289784,2000.0,structural
UGC02953,39.56,264.0,3.23,0.5943617401356274,770.5113296258845,30.048621847099458,800.5599514729839,174.58931296044437,34.477869427666995,177.96109597401127,2000.0,structural
UGC02953,40.76,264.0,2.94,0.6102046969707643,725.9696295387635,29.941349213482056,755.9109787522455,172.01895854817863,34.93435835880671,175.5304289687162,2000.0,structural
UGC02953,41.96,264.0,1.62,0.6254597674997909,685.085800762631,29.812191015242657,714.8979917778737,169.54704420897463,35.36834085732015,173.19676594844253,2000.0,structural
UGC02953,43.16,264.0,2.15,0.6406141618906154,646.9185495829472,29.685549670556785,676.604099253504,167.09579468077587,35.79424987035251,170.88660838047326,2000.0,structural
UGC02953,44.36,262.0,4.45,0.64755804610135,611.6255049594229,29.195583683559512,640.8210886429824,164.71705254769464,35.98772140887361,168.6025607522101,2000.0,structural
UGC02953,45.57,260.0,7.43,0.6533830582908114,579.7099890278693,28.676017480395497,608.3860065082647,162.53425546634776,36.1492201379452,166.50570655860903,2000.0,structural
UGC02953,46.77,258.0,7.22,0.6584030385419603,550.7404703870002,28.154930021037423,578.8954004080376,160.49340111045063,36.287822710709996,164.54463794692285,2000.0,structural
UGC02953,47.97,257.0,5.37,0.6674306854311783,523.424060871378,27.827003770322214,551.2510646417002,158.4570989258607,36.53575469129325,162.61461671959984,2000.0,structural
UGC02953,49.17,258.0,5.43,0.6840685746783441,497.8893024201748,27.824631876280012,525.7139342964548,156.46474682815932,36.98833801830907,160.7773433956311,2000.0,structural
UGC02953,50.37,260.0,6.47,0.70375861610639,474.39685725630346,27.943562283358748,502.3404195396622,154.58127215157728,37.51689262469348,159.06881194065915,2000.0,structural
UGC02953,51.58,263.0,5.75,0.7263754231300706,452.60197751066306,28.16500283559793,480.766980346261,152.79139373668923,38.114968795214054,157.47368302754637,2000.0,structural
UGC02953,52.78,265.0,5.54,0.7453479696677989,431.74961917392955,28.243575963160247,459.9931951370898,150.95610255965144,38.60953171608791,155.81540629647506,2000.0,structural
UGC02953,53.98,266.0,4.43,0.7604399701900918,412.1089773990367,28.174878480551754,440.28385587958843,149.14973214860294,38.99846074372915,154.16394695381985,2000.0,structural
UGC02953,55.18,266.0,4.71,0.7713801788095154,393.94470641536793,27.95868716236011,421.903393577728,147.43767802024013,39.277988207379344,152.5799110552206,2000.0,structural
UGC02953,57.59,262.0,5.28,0.7775633085572827,361.42153151588815,27.003414084295283,388.42494560018343,144.2715009972517,39.43509372519058,149.564008428213,2000.0,structural
UGC02953,59.99,263.0,4.7,0.8018524868541079,331.92035505917653,26.732871707088112,358.65322676626465,141.10953936569987,40.04628539213363,146.6819930110994,2000.0,structural
UGC02953,62.39,272.0,5.04,0.8516288259123855,306.3067302452316,27.300170729680573,333.6069009749122,138.24064850831684,41.27054217992261,144.26965915196712,2000.0,structural
