Structural coupling rotation pipeline run log
started_at: 2026-03-23T17:27:34.723304
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_172734_local_structural_coupling_v4
beta_mode: local_structural_coupling_v4
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[048/175] [OK] NGC2903 | beta_mean=62.1698 | eta_mean=0.478579 | ratio_max=0.539604 | sigma_flip=279.896 | rmse=62.497 | mafe=0.393087
[049/175] [OK] NGC2915 | beta_mean=73.3258 | eta_mean=0.454457 | ratio_max=0.577106 | sigma_flip=7.91508 | rmse=55.7188 | mafe=0.711114
[050/175] [OK] NGC2955 | beta_mean=69.9624 | eta_mean=0.461274 | ratio_max=0.478946 | sigma_flip=202.452 | rmse=37.1215 | mafe=0.11883
[051/175] [OK] NGC2976 | beta_mean=89.6171 | eta_mean=0.466449 | ratio_max=0.639906 | sigma_flip=886.876 | rmse=17.6444 | mafe=0.340884
[052/175] [OK] NGC2998 | beta_mean=61.472 | eta_mean=0.444346 | ratio_max=0.359327 | sigma_flip=163.03 | rmse=48.0846 | mafe=0.207814
[053/175] [OK] NGC3109 | beta_mean=90.0888 | eta_mean=0.41802 | ratio_max=0.602062 | sigma_flip=14.1076 | rmse=34.3992 | mafe=0.602896
[054/175] [OK] NGC3198 | beta_mean=68.7809 | eta_mean=0.453924 | ratio_max=0.490036 | sigma_flip=139.584 | rmse=49.3719 | mafe=0.31501
[055/175] [OK] NGC3521 | beta_mean=81.5284 | eta_mean=0.451928 | ratio_max=0.647312 | sigma_flip=631.632 | rmse=40.9021 | mafe=0.132216
[056/175] [OK] NGC3726 | beta_mean=70.8803 | eta_mean=0.459234 | ratio_max=0.481998 | sigma_flip=49.9016 | rmse=47.0741 | mafe=0.23534
[057/175] [OK] NGC3741 | beta_mean=68.6545 | eta_mean=0.410569 | ratio_max=0.558543 | sigma_flip=4.88028 | rmse=28.1515 | mafe=0.67131
[058/175] [OK] NGC3769 | beta_mean=70.9181 | eta_mean=0.470427 | ratio_max=0.720387 | sigma_flip=61.5517 | rmse=53.4604 | mafe=0.407658
[059/175] [OK] NGC3877 | beta_mean=78.3286 | eta_mean=0.431175 | ratio_max=0.575322 | sigma_flip=262.775 | rmse=28.1646 | mafe=0.234609
[060/175] [OK] NGC3893 | beta_mean=69.3303 | eta_mean=0.455937 | ratio_max=0.518698 | sigma_flip=264.529 | rmse=60.1876 | mafe=0.306509
[061/175] [OK] NGC3917 | beta_mean=73.8916 | eta_mean=0.444359 | ratio_max=0.609234 | sigma_flip=56.8243 | rmse=46.8465 | mafe=0.318831
[062/175] [OK] NGC3949 | beta_mean=61.9287 | eta_mean=0.44331 | ratio_max=0.578651 | sigma_flip=207.905 | rmse=32.5326 | mafe=0.150843
[063/175] [OK] NGC3953 | beta_mean=90.5325 | eta_mean=0.467096 | ratio_max=0.563489 | sigma_flip=101.633 | rmse=43.4108 | mafe=0.187481
[064/175] [OK] NGC3972 | beta_mean=110.123 | eta_mean=0.502042 | ratio_max=0.671587 | sigma_flip=64.3778 | rmse=49.2136 | mafe=0.3853
