galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode
DDO161,3.9,42.7,3.25,0.30873690694126127,328.6883333333334,132.45805541485907,461.14638874819246,35.80341464162322,22.728537483039915,42.40838261615209,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,4.37,45.5,2.99,0.3967657988889732,296.0166819221968,151.91729720496835,447.9339791271652,35.96655251758222,25.76584151130546,44.24332140318708,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,4.86,48.9,1.96,0.49617437688553623,266.4642798353909,170.8254198585974,437.2896996939883,35.986336295877635,28.813391687074667,46.1001945821575,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,5.34,51.5,1.53,0.5674470637309899,241.24198501872658,177.8027726965445,419.0447577152711,35.891951744088814,30.81341925524572,47.30432333518309,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,5.81,53.0,1.86,0.6113437312460926,219.05130808950085,176.0612431379905,395.11255122749134,35.67475437897225,31.983055242295485,47.91246103710103,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,6.28,55.0,1.48,0.6557907793248289,203.02229299363057,174.7270302181005,377.74932321173105,35.70686208559918,33.125303768715405,48.705910829894876,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,6.75,57.6,0.99,0.7093285251775916,189.4514074074074,175.83206856034099,365.28347596774836,35.760271251767655,34.4509283297606,49.65544746331767,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,7.22,59.7,1.19,0.7445258199939023,179.17927977839335,172.54286265538684,351.72214243378016,35.96768549684563,35.29531793838799,50.39279579832709,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,7.69,60.5,1.26,0.7474616633881666,171.89628088426525,162.6361243086786,334.5324051929439,36.35770069737634,35.36483841237987,50.720352876668144,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,8.16,61.8,1.33,0.7581844324868249,165.9322549019608,155.46732903255463,321.3995839345154,36.796836820574676,35.61759965109449,51.2115280469705,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,8.64,62.9,1.35,0.7715148007373119,158.63084490740738,149.4118188489831,308.0426637563905,37.021216889778216,35.92934893447436,51.58961731642535,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,9.11,63.0,2.09,0.7647456620118783,152.7109220636663,140.4601339636852,293.1710560273515,37.29874662773536,35.77138270194727,51.679670281544674,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,9.58,64.5,2.38,0.7944741059330614,144.519624217119,138.761399384114,283.28102360123296,37.20884303495609,36.460035739146115,52.094454657859806,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,10.05,65.6,1.08,0.8197860607345254,136.27709452736318,136.4862497792105,272.7633443065737,37.007901858927376,37.036290449788105,52.3571543371206,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,10.52,67.5,3.22,0.8733537847861292,125.24800380228136,138.90852505471938,264.15652885700075,36.29888428037424,38.22718513800942,52.715526020098174,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,10.99,66.8,2.37,0.8873133869549965,114.49281164695178,135.0932887772793,249.58610042423106,35.472186287287116,38.53148379782823,52.37319203239668,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,11.46,66.8,0.95,0.9172912199993418,103.9728184991274,133.92974812856542,237.9025666276928,34.518524012477705,39.17696917263202,52.214590044865425,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,11.94,66.6,0.96,0.9441914219853609,94.42804857621441,132.31532773619367,226.7433763124081,33.57783346197309,39.747264222461304,52.03187401170702,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,12.41,66.8,0.99,0.9778303192808518,85.90185334407737,131.8396832020919,217.74153654616924,32.650298620380184,40.44910961366097,51.98242461195861,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,12.9,66.3,0.74,0.9960822060215873,78.69889147286823,129.1992238710991,207.89811534396733,31.86244968611171,40.824869723456295,51.78692583980226,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
DDO161,13.37,66.1,1.31,1.0239630390958394,71.65925205684367,128.146664498137,199.80591655498068,30.95293524045821,41.39228073373212,51.6856373119273,,1156.3367846198457,1673.2253400991465,True,2.0021177736314497,1.447005199829591,formula
