galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_obs_i,I_ext_i,DeltaD_i
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,3.4400000000000004,241.71428571428572,205.63923030792338,12.457142857142857,223781325725.8618,7,870273012.8993666,491.68883199999993,455127941.0101831,2.055920449539374,2.093021353513658,2.0744709015265164,0.05693543561027958,0.0005677164236930717,3.9700000000000006,1.0,2.0,14711.183218707003,15925.68573214737,1.0,1.0,0.0,0.693478874393571,0.7533834531858807,11998.148111238297,0.2466165468141193
NGC0100,1,0.23,1.59,0.91,1.36,6.87,25.6275,27.599172151429467,5.07,161165896.55079004,4,56584745.922046766,8.502312,18955537.805574536,3.284057484401865,2.18826084997771,2.7361591671897876,0.27465116065773865,0.4232249963251689,2.0,1.0,2.0,2203377.2412100662,6940981.291248361,1.0,0.8351691894610935,0.0,0.7893867668526081,0.7364494830114485,5111682.083531992,0.2635505169885515
NGC0100,2,2.05,3.42,2.735,1.37,6.87,58.800000000000004,51.73566053421866,4.0,1702068257.98356,4,56584745.922046766,25.7415465,66121445.26683974,2.61088439273119,2.312131620332907,2.461508006532049,0.2103450818445718,0.8327727344370564,2.0,1.0,2.0,11582470.357646946,12683895.849880569,0.7195928110042856,0.0,1.0,1.0,0.7358302600094171,9333194.381149985,0.2641697399905829
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,6.87,76.9,55.162498029489754,4.388,3388933201.254637,5,56584745.922046766,59.891286,56584745.922046766,2.4001735903536785,2.2307644166476095,2.315469003500644,0.08706354766721658,0.12009192524658932,2.0,1.0,2.0,591629.1137108267,5067558.675465132,0.1820226606894579,0.6170335392313588,0.8753369107757891,0.6794901897247267,0.6515533814655294,3301784.9907742864,0.3484466185344705
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,6.87,82.6,50.06994501779251,5.423333333333333,3987034338.207448,3,56584745.922046766,63.907487999999994,62387592.79988361,2.3525925889619885,2.2221692334332435,2.2873809111976158,0.04532009734413123,0.00917294638978738,2.0,1.0,2.0,25935.696668389006,1852030.1872016676,0.0,0.7357093357257214,0.9534761896488214,0.32785334337595146,0.5876076926933371,1088267.185099981,0.41239230730666293
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,6.87,88.84,46.49011326914392,8.472,4422252397.665824,5,56584745.922046766,99.14783999999992,44602609.57440755,2.287711452374378,2.1619461652503853,2.2248288088123815,0.06255210238523423,0.012288740715109438,2.0,1.0,2.0,34285.42685070535,724543.5204285318,0.07514030062965543,1.0,0.6848873780480558,0.0,0.5517643136467777,399777.2582564689,0.4482356863532223
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.5300000000000001,67.01333333333334,67.7444087710755,1.6440000000000003,923002052.025577,15,1357749636.4929445,0.6464145000000002,1427879560.290768,2.2621679756103483,2.48065124850791,2.3714096120591295,0.03857399025529418,0.03566435763417429,3.38,1.0,2.0,1964357.590820983,72375589.14841884,0.1530575406553862,0.0,0.6411983900101126,0.9023032711286464,0.5084085893775374,36796371.18431583,0.4915914106224626
NGC2403,2,1.67,2.98,2.325,1.31,0.5300000000000001,97.4,103.12050731849263,1.6521428571428576,5748475495.621661,14,1357749636.4929445,1.6142475000000005,3561086819.4757366,2.1137141528506986,2.5519570907569715,2.3328356218038353,0.11760446653430745,0.2413730022703897,3.38,1.0,2.0,101086944.72530797,109727098.2741486,0.7951743339655938,0.1121539147145379,1.0,1.0,0.7739458238624604,84922829.47382309,0.22605417613753967
NGC2403,3,3.08,6.46,4.77,3.38,0.5300000000000001,113.33333333333333,102.2789615368371,3.049333333333334,11601940773.34021,15,1357749636.4929445,8.544978000000002,1357749636.4929445,2.0413310620354737,2.2310702959455555,2.1362006789905146,0.14281400802194932,0.07828772883914108,3.38,1.0,2.0,15180434.315882659,64838943.06990127,1.0,0.6838702048941996,0.6214255389275276,0.8764866651336676,0.8295159682888074,53784938.64345201,0.1704840317111926
NGC2403,4,6.96,13.42,10.19,6.46,0.5300000000000001,128.64285714285714,81.8632729073081,1.542142857142857,15877862509.71826,14,1357749636.4929445,34.88852200000001,455102755.84956723,2.0169560498412564,2.077459161678617,2.0472076057599367,0.054364520698440666,0.000241456409649827,3.38,1.0,2.0,5973.980042285286,13050095.371259099,0.28135443636209934,0.9426176530899955,0.19227294793723837,0.5001145821503616,0.5713840873446787,7456616.833467896,0.4286159126553213
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.5300000000000001,134.26666666666668,66.5174223471972,4.1066666666666665,17889988026.41557,15,1357749636.4929445,64.14823200000002,278885130.0908116,2.011053901830036,2.043889373357231,2.0274716375936332,0.019735968166303408,3.998578131374268e-11,3.38,1.0,2.0,0.00022008446136437057,1550562.746396773,0.0,1.0,0.0,0.0,0.4240493561883223,657515.1343391484,0.5759506438116777
NGC2683,1,2.89,14.43,8.66,11.54,21.58,195.8,205.08057127289626,7.4,84685016096.57663,5,24312998.44047567,2156.6275119999996,39267335.51592411,2.3218599146027215,2.269008403972268,2.2954341592874945,0.1849904057081675,0.3309398473929812,14.424999999999999,1.0,2.0,2403973.635254783,2467479.6230093976,0.5,0.0,1.0,1.0,0.6822800206023427,1683512.0480227126,0.31771997939765734
NGC2683,2,17.31,34.62,25.964999999999996,17.31,21.58,162.5,122.61999609272766,10.333333333333334,90771720697.67372,6,24312998.44047567,9699.220556999997,9358661.365027227,2.150895765558236,2.0699917416004174,2.110443753579327,0.1849904057081675,0.12174596612029234,14.424999999999999,1.0,2.0,210774.23331619104,935088.196370131,0.5,1.0,0.0,0.0,0.5181584845607328,484523.882761776,0.48184151543926723
NGC2841,1,3.44,6.51,4.975,3.07,2.04,305.2,282.98789495077904,9.407,92633579806.6337,10,607651636.969469,31.15743,2973081534.858096,2.1381760293976515,2.583509036442754,2.360842532920203,0.05949324800127709,0.09641954085914786,12.240000000000002,1.0,2.0,17054522.264138997,85323855.35561012,0.3894018474898172,0.0,0.9910766933230941,0.9487457337966341,0.6436878985464711,54921933.14973574,0.3563121014535289
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,2.04,320.4,287.1012252081233,12.484,160890513395.27368,10,607651636.969469,52.576206,3060139284.2091665,2.0953309974454415,2.5073675723924107,2.301349284918926,0.13113095150437437,0.21982943476389094,12.240000000000002,1.0,2.0,88212930.49303818,103173185.64180756,0.9835617706659374,0.1758790757156736,1.0,1.0,0.8220144262654168,84809847.00132577,0.17798557373458326
NGC2841,3,10.27,22.51,16.39,12.240000000000002,2.04,313.3,255.45435211970735,7.552,248682492174.21008,10,607651636.969469,409.2517440000001,607651636.969469,2.032051673648386,2.1651095861745224,2.098580629911454,0.13311290443188684,0.04901490874767479,12.240000000000002,1.0,2.0,3964633.3527636207,56580796.9399782,1.0,0.7753212784015795,0.5001798181561451,0.8379065125020702,0.8204434562796377,46421344.60049206,0.1795565437203623
NGC2841,4,24.59,43.08,33.835,18.49,2.04,284.1,173.643980848759,3.818,237205794261.24164,10,607651636.969469,1276.242666,185862611.06964248,2.015951630987609,2.0542953211226957,2.035123476055152,0.03800016247036009,4.864530121467234e-06,12.240000000000002,1.0,2.0,34.35724915512777,13604857.965236684,0.21113915307897121,0.9629187948046866,0.1339303592239309,0.45334278957104773,0.5395729224962417,7340812.97244903,0.46042707750375833
NGC2841,5,45.16,63.64,54.4,18.480000000000004,2.04,284.1,139.79052367963587,5.090000000000001,247169004647.41183,10,607651636.969469,2050.8364800000004,120521068.87010893,2.011574510006392,2.033586099935076,2.022580304970734,0.012543171084418159,2.950060331572786e-17,12.240000000000002,1.0,2.0,4.459654543265603e-11,2535218.618750096,0.0,1.0,0.0,0.0,0.4240493561883223,1075057.8230776258,0.5759506438116777
NGC2998,1,0.33,2.64,1.485,2.31,3.31,135.75,106.16040290309387,16.75,3891268650.0421133,4,222861850.65588945,11.354458500000002,342708430.3528973,2.5290947913511697,2.4807111135511164,2.5049029524511432,0.38075969747175353,0.9872057876304251,13.850000000000001,1.0,2.0,128820047.14177023,133891558.34585129,1.0,0.0,1.0,1.0,0.7971198334684033,106727616.69146998,0.2028801665315967
NGC2998,2,3.63,17.48,10.555,13.850000000000001,3.31,208.25,209.6220323237375,8.75,107837978329.4842,4,222861850.65588945,483.8781425000001,222861850.65588945,2.064247383009163,2.1840391269496164,2.1241432549793897,0.22787037020636713,0.19215896952049263,13.850000000000001,1.0,2.0,9758526.62997037,76685154.7151798,0.5,0.8318565024076842,0.6636496716243098,0.7385131318826293,0.7402732539707129,56767969.01225371,0.2597267460292871
NGC2998,3,22.46,42.28,32.370000000000005,19.82,3.31,211.2,164.01718193338445,2.4,202470164762.45087,5,222861850.65588945,2123.607954,95342534.56768267,2.0252130013742615,2.073111422702557,2.049162212038409,0.07498104294098074,0.0024474948726855997,13.850000000000001,1.0,2.0,17496.85370111191,15889720.772707867,0.0,1.0,0.0,0.0,0.4240493561883223,6738025.863678982,0.5759506438116777
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,2.1,64.87777777777778,81.2176359373249,13.370000000000001,2461588022.4261374,9,284176339.1599391,8.662185000000001,284176339.1599391,2.35425879892846,2.345850924884671,2.3500548619065658,0.05489475818329126,0.06512140818386014,5.259999999999999,1.0,2.0,1015880.3846187086,6134781.542037063,0.3203166411062901,0.0,0.6764044194903368,0.9270494587878899,0.5572120269652132,3418374.0580272484,0.4427879730347868
NGC3198,2,3.21,5.46,4.335,2.25,2.1,118.625,116.00314163581649,5.38875,13563389991.596958,8,284176339.1599391,20.482875,662181944.263047,2.1767790098026314,2.4135411976439176,2.2951601037232745,0.09430454017399503,0.11393688179903576,5.259999999999999,1.0,2.0,7114989.541853446,9206184.700673865,0.7057893193222674,0.16848756130435294,1.0,1.0,0.7646902595659086,7039879.768369995,0.23530974043409134
NGC3198,3,5.78,11.04,8.41,5.259999999999999,2.1,145.66666666666666,136.86619416809776,1.9344444444444444,36629249726.67642,9,284176339.1599391,92.89685999999998,394300191.9190426,2.07740420026371,2.245487362853441,2.1614457815585757,0.12438391918085046,0.0657530791310667,5.259999999999999,1.0,2.0,3224833.6754672513,6783399.97227139,1.0,0.5788946893906203,0.8016882001485505,0.9451125301493118,0.8477197680160815,5750422.250854197,0.15228023198391846
NGC3198,4,12.05,26.1,19.075000000000003,14.05,2.1,153.125,108.54440155319925,2.0,52253940816.11608,8,284176339.1599391,562.8078750000001,92845077.57841177,2.0277599362975125,2.065024594425635,2.0463922653615736,0.06859994297693128,0.00134365314845846,5.259999999999999,1.0,2.0,8557.951329649297,901481.5983077526,0.45436900123087764,0.932026518458849,0.24848755899297492,0.5823928351870986,0.6382301347405162,575352.7219540528,0.36176986525948385
NGC3198,5,28.16,44.08,36.12,15.919999999999998,2.1,148.33333333333334,83.49923046825627,2.2222222222222223,58553428966.22577,9,284176339.1599391,1207.56384,48488888.973543435,2.016857155939785,2.0316346352696413,2.024245895604713,0.022146369756860462,4.681363998450943e-10,5.259999999999999,1.0,2.0,0.0005027096138602308,35288.08416107297,0.0,1.0,0.0,0.0,0.4240493561883223,14963.889369622326,0.5759506438116777
NGC3769,1,1.74,6.98,4.36,5.24,2.86,108.625,126.80353346510815,6.875,16300046593.086687,4,123821242.45870626,65.340704,249462365.65015715,2.1609092010292863,2.37862107719944,2.269765139114363,0.14127171552114604,0.19598233249898994,5.799999999999999,1.0,2.0,6906804.727605959,7113663.4092095895,1.0,0.0,1.0,1.0,0.7971198334684033,5670442.192099422,0.20288016653159668
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,2.86,120.5,93.98851101146455,4.95,23866861466.29632,4,123821242.45870626,192.75255999999996,123821242.45870626,2.077429392636534,2.179557454549901,2.128493423593217,0.12213373364093894,0.04774879164909735,5.799999999999999,1.0,2.0,722093.0697352255,2698677.501660292,0.5,0.5783484681491473,0.7430893726525467,0.7273592673551239,0.7036953697397887,1899046.8623392885,0.2963046302602113
NGC3769,3,17.07,37.16,27.115,20.089999999999996,2.86,118.5,63.51872460033542,11.575,25436232886.56262,4,123821242.45870626,1557.9574009999997,16326654.93307838,2.024617368729838,2.0263779749351323,2.0254976718324853,0.10299575176073184,0.009981631387472692,5.799999999999999,1.0,2.0,16784.872765914864,203304.2705593285,0.0,1.0,0.0,0.0,0.4240493561883223,86211.04504101974,0.5759506438116777
NGC3917,1,0.87,3.5,2.185,2.63,4.65,62.125,54.43461988407375,4.35,1505363826.400241,4,168121561.79605794,26.721457500000003,56335393.62140859,2.4737327698144806,2.1269622323222896,2.3003475010683854,0.05615084210249233,0.028562926561802805,2.6250000000000004,1.0,2.0,90352.52839382977,100288.26490665217,0.5124397527629494,0.0,0.0,1.0,0.48538561591591456,48678.481230853766,0.5146143840840854
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,4.65,118.75,99.36390463229996,3.7,13027551834.596252,4,168121561.79605794,68.87463750000002,189148753.55382085,2.250259903582997,2.2381334143487885,2.244196658965893,0.04400887126504127,0.0029898251432271534,2.6250000000000004,1.0,2.0,24887.97165703282,61457.1369474058,0.0,0.36058607515466795,0.8493301070221633,0.024808137884447218,0.4558604831151518,28015.880139718454,0.5441395168848482
NGC3917,3,7.85,10.47,9.16,2.620000000000001,4.65,135.75,110.84518004828477,3.725,26167892397.148483,4,168121561.79605794,111.59628000000006,234487138.79305357,2.1839589599045572,2.240700557172049,2.212329758538303,0.0497851037602115,0.0030941586018104605,2.6250000000000004,1.0,2.0,36121.10397228286,60696.26179972115,0.2437801236185253,0.565227005232889,1.0,0.0,0.5683638599207554,34497.56163925021,0.43163614007924456
NGC3917,4,11.35,14.86,13.105,3.51,4.65,137.2,101.61509729949712,4.9,31462493967.401325,5,168121561.79605794,213.8932575,147094370.03829503,2.131248544323364,2.1580043585675766,2.14462645144547,0.06770330709283279,0.005252854691545906,2.6250000000000004,1.0,2.0,52311.99958990428,63226.90576343006,1.0,1.0,0.6730007240777683,0.08134291462633123,0.7865878172088913,49733.51379332872,0.21341218279110874
NGC4010,1,0.87,3.5,2.185,2.63,9.94,60.825,68.99372899137225,6.0249999999999995,2418300822.08063,4,91188656.95228384,57.120706999999996,42336675.24599494,2.7197475419761643,2.1675396764226043,2.443643609199384,0.13180592909822142,0.652091112322403,2.620000000000001,1.0,2.0,3638815.007097171,3992561.4106442686,1.0,0.0,0.0,1.0,0.5977199793976572,2386433.7241141736,0.40228002060234275
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,9.94,110.075,101.36973526596431,5.550000000000001,13558827508.198345,4,91188656.95228384,147.22879500000002,92093584.7379471,2.403140765997279,2.2205345942050463,2.3118376801011626,0.09769311973896277,0.1457219418304691,2.620000000000001,1.0,2.0,1311047.1375301213,2300692.416099334,0.5,0.6745916675115325,1.0,0.6804832465892451,0.7653414529299307,1760815.2764823372,0.23465854707006925
NGC4010,3,7.85,10.47,9.16,2.620000000000001,9.94,125.5,101.06352102974711,4.8,21753240870.336758,4,91188656.95228384,238.5520480000001,91188656.95228384,2.305463383326064,2.1910513561168528,2.2482573697214585,0.06358031037970413,0.01907373078172612,2.620000000000001,1.0,2.0,110585.73568630866,711240.7602381374,0.0,1.0,0.9872936344307188,0.0,0.5950643086355791,423233.99126455095,0.40493569136442087
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,1.6299999999999994,194.85714285714286,221.90782079557766,5.0,87989071370.68933,7,610229883.7962602,54.99155449999999,1600046992.1374807,2.071539041962746,2.372236701843596,2.221887871903171,0.07033727651671962,0.01917823576793133,4.42,1.0,2.0,2158375.1855018195,2240226.3583519584,1.0,0.0,1.0,1.0,0.7971198334684033,1785728.8617010408,0.20288016653159666
NGC4013,2,10.56,14.98,12.77,4.42,1.6299999999999994,182.0,180.49914362500803,7.142857142857143,96734375898.66878,7,610229883.7962602,92.00274199999997,1051429270.4305358,2.049675532137536,2.2534256586353676,2.1515505953864515,0.06285792729744366,0.003913026848104849,4.42,1.0,2.0,258614.54514199714,941730.5649016674,0.8605926609280617,0.4421272176373489,0.7158199316446748,0.8037045713232528,0.7680212255252137,723269.0625703303,0.23197877447478638
NGC4013,3,15.68,20.79,18.235,5.109999999999999,1.63,166.25,144.67868483384245,5.125,88747170912.23474,8,610229883.7962602,151.88478549999996,584305864.6070561,2.036258161874177,2.1560858727423904,2.096172017308284,0.02880288702549416,8.147377990078464e-07,4.42,1.0,2.0,13.711789319449606,273511.2612168937,0.2258419082737064,0.7902268008873896,0.31820771709310336,0.5236548768371591,0.5564018807951971,152182.18015974612,0.4435981192048028
NGC4013,4,21.48,25.2,23.34,3.719999999999999,1.6299999999999997,172.5,126.15143218923197,5.0,86362432811.85263,6,610229883.7962602,141.52442399999995,610229883.7962602,2.035453023653029,2.152436619017898,2.0939448213354632,0.016686232970035242,2.701193628726152e-11,4.42,1.0,2.0,0.000275047366675218,86176.31322891221,0.0,0.8042265462196135,0.3475887569319062,0.2620507826789468,0.47651081429688513,41063.945189812395,0.5234891857031149
NGC4013,5,25.9,31.01,28.455,5.110000000000003,1.63,177.5,114.36964773183456,6.125,86540580121.68549,8,610229883.7962602,237.01023150000012,365134363.9216919,2.026729381330184,2.0988697214062424,2.0627995513682134,0.031145269967249867,8.009566995309826e-07,4.42,1.0,2.0,9.108646457312757,27097.96139148141,0.26950150530871064,1.0,0.0,0.0,0.4703654911871884,12745.945920075621,0.5296345088128116
NGC4068,1,0.21,2.33,1.27,2.12,0.7400000000000001,24.763333333333335,22.163802660980462,2.9866666666666664,145054736.8955648,6,72804900.72936271,1.9923760000000004,72804900.72936271,2.206228003956993,2.3840140594118235,2.295121031684408,0.0,0.0,2.12,1.0,2.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5977199793976572,0.0,0.0
NGC4088,1,1.74,6.98,4.36,5.24,1.41,140.475,206.23582623980633,8.925,43117577877.2855,4,1338497201.579239,32.213424,1338497201.579239,2.0886953301209505,2.2378253204756997,2.1632603252983253,0.036533128614173016,9.92986568666727e-05,5.24,1.0,2.0,4855.653719674732,10800.167336803195,0.0,0.0,0.6646897988080136,0.0,0.3870112693757758,4179.786470486996,0.6129887306242242
NGC4088,2,8.72,13.94,11.33,5.219999999999999,1.41,176.5,228.6614531039015,6.625,137738539364.0437,4,1338497201.579239,83.39106599999998,1651718175.2304704,2.0438904639887947,2.2095639293795095,2.1267271966841523,0.04497484612552172,0.00024861862844916113,5.24,1.0,2.0,18468.82644305053,23763.909637495104,0.5,0.40615067933986426,1.0,1.0,0.7629791145931105,18131.3667344867,0.23702088540688954
NGC4088,3,15.68,21.48,18.58,5.800000000000001,1.41,169.5,176.15766912675343,6.975,134056681773.51591,4,1338497201.579239,151.94724,882258090.199703,2.029469563753979,2.117151702340585,2.073310633047282,0.05341656363687042,0.00033952605310768637,5.24,1.0,2.0,16000.910654748272,20952.504492186366,1.0,1.0,0.0,0.8403357356809545,0.7750044263517515,16238.28372459939,0.22499557364824854
NGC4157,1,1.74,6.98,4.36,5.24,14.28,161.6,215.8670910476772,9.475,47238816982.59291,4,119491006.83341289,326.246592,144794821.28227997,2.474583496171718,2.272356849047882,2.3734701726098,0.1254597241737856,0.36475497355531994,5.2299999999999995,1.0,2.0,6626109.063666444,6979336.1588547975,1.0,0.0,0.9126313201983571,1.0,0.7821560390651231,5458929.925313859,0.2178439609348769
NGC4157,2,8.72,13.94,11.33,5.219999999999999,14.28,192.75,227.09331741195047,6.525,135855825077.28787,4,119491006.83341289,844.5563279999999,160860585.10627592,2.273680400740038,2.2223404961319906,2.2480104484360144,0.10069780356274993,0.08188549206329566,5.2299999999999995,1.0,2.0,1326406.3884203243,3086909.4476116565,0.6319856070925185,0.48333651365288705,1.0,0.7717429717602852,0.7726420809467366,2385076.1392968115,0.22735791905326339
NGC4157,3,15.68,20.9,18.29,5.219999999999999,14.28,182.5,173.7702629094548,6.699999999999999,128411602923.09045,4,119491006.83341289,1363.3658639999996,94187192.38454579,2.209174753176511,2.1349743777920893,2.1720745654843,0.0670552054901512,0.007518565024227635,5.2299999999999995,1.0,2.0,47485.31344384939,860710.958003181,0.13198560709251847,0.7758812738836303,0.5555572223336058,0.4143905087070277,0.5610028227893978,482861.2770455514,0.43899717721060216
NGC4157,4,22.65,29.61,26.13,6.960000000000001,14.279999999999998,185.2,143.6010859755771,10.84,125283680563.79454,5,119491006.83341289,2597.0293439999996,48241149.393726125,2.1550088044298645,2.0727912704815594,2.113900037455712,0.058174528028588135,0.0013110529190135428,5.2299999999999995,1.0,2.0,3679.3469061128017,195730.07886814358,0.0,1.0,0.0,0.0,0.4240493561883223,82999.21393072583,0.5759506438116777
NGC4183,1,0.87,4.37,2.62,3.5,9.99,74.28,55.05702458827953,6.24,1846572703.4668882,5,41664180.60558628,91.6083,20157264.172208067,2.597548134372131,2.161684623638417,2.379616379005274,0.06638457851437662,0.16309417061582226,3.5,1.0,2.0,218241.44489631613,340221.4642564531,0.6895617393344743,0.0,0.0,0.9155018185550969,0.5107947241532602,173783.32898589323,0.48920527584673984
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,9.99,105.075,78.4315719271537,5.2,9361191609.134169,4,41664180.60558628,170.65367549999993,54854907.64676892,2.3720794246165147,2.2543841763652797,2.313231800490897,0.07661117690596875,0.087346576903419,3.5,1.0,2.0,367073.90504997165,445491.5505917329,1.0,0.27595873914843905,1.0,1.0,0.839445720519816,373965.9756719673,0.16055427948018394
NGC4183,3,8.72,12.31,10.515,3.59,9.99,112.2,83.77962206637491,5.72,17160333196.635647,5,41664180.60558628,377.11101149999996,45504725.85878243,2.2565920717138312,2.196195978672841,2.2263940251933363,0.05723513055212903,0.008392764894989373,3.5,1.0,2.0,21858.69536606532,163672.5691794837,0.4118214191723872,0.6369408153753847,0.8133348850247388,0.6861476236899744,0.7016537205997185,114841.46712489956,0.2983462794002814
