galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
NGC3109,2.84,47.3,4.4,1.115432826352624,146.12295774647887,22853894196.30368,22853894342.42664,20.371283710164168,254764.71403532798,254764.7148497838,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,3.1,49.3,4.0,1.1267981120555512,142.35461290322579,21150446887.819527,21150447030.17414,21.007124981777014,256059.3395137942,256059.3403755072,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,3.35,50.6,3.5,1.1148117911323918,141.93101492537312,19363857486.139633,19363857628.07065,21.805249367984764,254693.7819786101,254693.78291202296,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,3.61,53.0,3.5,1.136630918294861,138.69243767313017,18320924909.330494,18320925048.02293,22.375873167320194,257174.14124029476,257174.1422137202,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,3.87,54.7,3.3,1.1857932911751214,125.6149354005168,17829253302.431435,17829253428.04637,22.048351412293847,262677.0075214229,262677.0084467605,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,4.13,55.2,3.1,1.213171279149387,113.8309927360775,17092563410.256353,17092563524.087347,21.682296926294505,265692.090368454,265692.0912531661,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,4.38,57.5,2.6,1.248349987562439,108.97518264840183,16584309038.141083,16584309147.116266,21.847455229385414,269516.7408289473,269516.74171444203,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,4.64,59.1,2.4,1.2619898014449449,105.9073275862069,15826066850.408588,15826066956.315916,22.16776939613005,270985.14753745426,270985.1484441645,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,4.9,61.2,1.9,1.281204145098715,103.70524489795918,15214489549.704521,15214489653.409765,22.542309109760694,273040.2878579499,273040.2887885007,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,5.16,62.7,1.9,1.291056407378278,101.45895348837209,14558969859.78666,14558969961.245613,22.8807386244413,274088.0961962762,274088.09715131257,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,5.42,64.4,2.9,1.297423168150869,100.68164206642068,13928921587.339432,13928921688.021074,23.360104879901545,274763.08886635356,274763.0898593809,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,5.67,66.6,3.2,1.3115742190130104,100.21342151675485,13459996397.90201,13459996498.11543,23.837157968180687,276257.4516209552,276257.45264936204,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,5.93,66.3,3.4,1.306197775233891,95.92824620573354,12817088337.292171,12817088433.220417,23.850670850103985,275690.6488079394,275690.64983962924,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,6.19,66.2,3.2,1.322003188090392,88.92526655896607,12427305784.432926,12427305873.358192,23.461615460151076,277353.60608010815,277353.6070724288,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
NGC3109,6.45,67.3,3.0,1.353511630303924,83.10271317829458,12210611352.284176,12210611435.386889,23.151943762889545,280639.3472452374,280639.348200222,,37102762213.40153,58188227909.46255,True,0.9722332688974813,1.5682990817445108,formula,66401732989.54266
