galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,eta_obs_mean,eta_obs_std,eta_transition_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
UGC04278,25,5,2.51498757826277,0.13012459440714066,0.32218601846575334,0.3653874587595286,0.06864390403110496,0.36461303264705647,0.14037481393119916,0.8608736518395605,0.6346125412404714,0.06864390403110494,0.5510017201937992,2.0,31383623.388630666
UGC05721,23,5,2.3963527282698665,0.1966704196372869,0.2929949966336279,0.38680611148773336,0.043641188421081854,0.4341673197665485,0.1756716091561172,0.9758708741671305,0.6131938885122667,0.04364118842108183,0.5747109511194984,2.0,338250959.87158346
UGC05750,11,2,2.2002487898092395,0.1932360320039792,0.23904499327883333,0.3833727545128587,0.008743352501141567,0.3282843652183315,0.12530318831054343,-0.656300243879212,0.6166272454871414,0.008743352501141539,0.5,10.905000000000001,8696545.294549238
UGC05986,15,3,2.188879812817919,0.053765618297356266,0.0030456423242588605,0.3774634787196602,0.008733113112835037,0.3340296284544621,0.1250368516839471,-0.9787744712717357,0.62253652128034,0.008733113112835028,0.49894638107328115,2.51,280998407.210728
UGC06667,9,2,2.3504146211299335,0.10136600556891029,0.25779742000741773,0.3784541075509336,0.013514521816027235,0.6643232861368441,0.2521434194439969,0.9665669339205502,0.6215458924490664,0.01351452181602722,0.5,3.0549999999999997,5283780.848382281
UGC06917,11,2,2.1740266272968984,0.07270884445441439,0.012738130554513515,0.3770852872225102,0.003301346214579044,0.287385999000979,0.10813427114254352,-0.7739347276398195,0.6229147127774897,0.0033013462145790435,0.5,3.93,130149362.79198126
UGC07089,12,3,2.3338375871639054,0.07698665255659609,0.18296593697548383,0.3893787516032578,0.011580937749229274,0.17362566698812187,0.06865344261499189,0.853259849042923,0.6106212483967423,0.01158093774922926,0.48580654849672505,2.1799999999999997,33142347.834162552
UGC08490,30,5,2.222434101871907,0.08362784794122322,0.16614888805889064,0.395608042679435,0.032248930832569994,0.47742093590852785,0.19139613907518768,0.6798729924064261,0.6043919573205652,0.03224893083256999,0.4535376424578817,2.0,141319636.07975358
UGC08837,8,2,2.241079153589413,0.01627559377506227,1.39051693831611e-07,0.37702638761371965,0.002421466289896931,0.22134213727346225,0.08346549523978884,0.032180747366213944,0.6229736123862804,0.0024214662898969564,0.5,2.0,115412041.66949572
UGC12506,31,5,2.092870371169788,0.021903421893353904,1.957593767483797e-07,0.383124770381299,0.032477071011838644,0.3496857426105141,0.13386203096946506,-0.04204576924604153,0.6168752296187007,0.03247707101183863,0.45627653176947863,8.200000000000001,399782756.29640204
UGCA281,7,1,2.9796012274239456,0.0,0.0,0.0,0.0,0.2810938055873572,0.0,,0.4095540857120779,5.551115123125783e-17,0.0,0.9900000000010001,18274882.84595335
