galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_i,M_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
NGC0100,1,0.23,1.59,0.91,0.35,2.147365018786542,27.599172151429467,25.6275,5.07,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.0,1.0,4.611176523908125,4.611176523908125,2.3949106657941906e-05,0.0046683709212879745,27.59917254625448,NGC0100_segment_structure_v8.csv
NGC0100,2,2.05,3.42,2.735,0.35,2.036394843871562,51.73566053421866,58.800000000000004,4.0,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.11097017491497985,0.6607964735035364,2.740259512822778,7.351436036730903,4.22686012315623e-06,0.0034000680047364183,51.735660645944904,NGC0100_segment_structure_v8.csv
NGC0100,3,3.88,5.7,4.79,0.35,2.0182270774712574,55.162498029489754,76.9,4.388,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.018167766400304597,0.9344195697484152,3.8061156693534777,11.15755170608438,2.0915017676969404e-06,0.003165168789696427,55.16249812029686,NGC0100_segment_structure_v8.csv
NGC0100,4,6.16,7.52,6.84,0.3499999999999999,2.01181042293064,50.06994501779251,82.6,5.423333333333333,3,9.62,0.23,3.733520234736557,0.26784373382954535,0.006416654540617461,0.976327974504123,3.951571467379653,15.109123173464033,1.3889525612150576e-06,0.003082277651139007,50.06994511266415,NGC0100_segment_structure_v8.csv
NGC0100,5,7.98,9.62,8.8,0.35,2.0087110171558122,46.49011326914392,88.84,8.472,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.0030994057748277015,0.9884950003728824,3.98849819791784,19.097621371381873,1.0606553555318956e-06,0.003055121458908088,46.49011336952835,NGC0100_segment_structure_v8.csv
NGC2403,1,0.16,1.57,0.865,0.3499999999999999,2.157478798170028,67.7444087710755,67.01333333333334,1.6440000000000003,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0,1.0,4.654714764553189,4.654714764553189,2.6756001574412044e-05,0.004810815041327864,67.7444089418936,NGC2403_segment_structure_v8.csv
NGC2403,2,1.67,2.98,2.325,0.35,2.0445695301072164,103.12050731849263,97.4,1.6521428571428576,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.11290926806281165,0.576967640008232,2.4118773797796598,7.066592144332849,5.622435300170209e-06,0.0036155445057274205,103.12050738187557,NGC2403_segment_structure_v8.csv
NGC2403,3,3.08,6.46,4.77,0.3499999999999999,2.018320670371988,102.2789615368371,113.33333333333333,3.049333333333334,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.026248859735228613,0.8799805990887772,3.584705097129185,10.651297241462034,2.0133816269036687e-06,0.0030990047370616424,102.2789615837863,NGC2403_segment_structure_v8.csv
NGC2403,4,6.96,13.42,10.19,0.35,2.007303363914798,81.8632729073081,128.64285714285714,1.542142857142857,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.01101730645718968,0.9477503702204091,3.8187390964730192,14.470036337935053,5.993515163434322e-07,0.002471313810817957,81.86327294461049,NGC2403_segment_structure_v8.csv
NGC2403,5,13.91,20.87,17.39,0.3499999999999999,2.003862891178714,66.5174223471972,134.26666666666668,4.1066666666666665,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0034404727360839438,0.9833814585228192,3.948735290284607,18.41877162821966,2.6195208155866187e-07,0.002134325818216406,66.51742238143896,NGC2403_segment_structure_v8.csv
