r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
2.4,251.0,24.0,222.96852253565916,311.1779756023874,40346.55520833333,-14889.301858549805,-14842.19952633986,-4075.6739061628227,111.5934719693837,2.358065921726951,0.5832263686907805,0.48961917722965853,0.7941446167331101,-189320.92719535372,-19631.987690943854,20714.567517389478,0.48658398689980326,3.263302946073054
2.49,252.0,10.1,223.58415204629355,311.87634280272044,39062.99325301204,-13499.379495047377,-13445.18773689579,-4069.248143699864,111.35401788139521,2.353952852772707,0.5815811411090829,0.488422648079333,0.795886063696411,-182025.06646987522,-18986.739017566215,20076.254235445827,0.48605438130633266,6.4257624629585735
2.58,253.0,12.0,224.57475165902267,312.76988441983985,37916.6668992248,-11957.589233337885,-12058.919141991944,-4057.047927765836,111.02624517728974,2.3482041550008463,0.5792816620003386,0.4867502996366099,0.7980620199705674,-174587.7487409606,-18368.675006700887,19547.991892523914,0.4844485686339806,12.200215934028165
2.67,254.0,6.34,225.75983970028025,313.9289324034979,36910.62719101123,-10583.680797579038,-10732.780566340882,-4035.555449116355,110.61990973158152,2.3413877569187136,0.5765551027674856,0.4847673474672622,0.800500128764145,-167371.25432394881,-17821.673924533232,19088.953266477994,0.4828331372508704,21.4924786494812
2.75,256.0,6.22,227.20022517896695,315.1554587818526,36117.441163636366,-9364.644325445615,-9534.713960201905,-4002.263735572596,110.1640372157819,2.334338928092923,0.5737355712371693,0.48271677908157773,0.8029503582608709,-160321.7362218732,-17346.553046773355,18770.88811686301,0.48028189395205967,33.29171354375876
2.83,257.0,5.6,228.6927743294536,316.57031446425924,35412.28409893993,-8258.60898029449,-8549.158953164131,-3958.1191497220375,109.707551277102,2.3281746415323656,0.5712698566129464,0.4809235320821428,0.8050804201029687,-153366.81985663803,-16931.58267473413,18480.701424205796,0.4781273816574001,44.14458585055854
2.92,259.0,8.73,230.16900233926367,318.3761214350096,34713.4776369863,-7509.046464352504,-7802.879717477817,-3909.086286164314,109.30601942507876,2.3239086495464196,0.5695634598185679,0.4796825162316858,0.8066012259235344,-146727.12002243663,-16570.40584320138,18143.071793784922,0.47734790551627265,49.03286355772343
3.0,260.0,5.19,231.65621984304653,320.01131011262714,34135.7462,-7029.814198149006,-7294.09793366432,-3864.2884025097674,109.00598240593892,2.3221791823061118,0.5688716729224448,0.4791793984890508,0.8073482796978664,-140546.94933488732,-16247.5448026767,17888.2013973233,0.47596864317782805,44.797883654546695
3.09,262.0,11.0,232.92139921378902,321.82586052087237,33518.40922330097,-6852.284619147469,-6998.8638442442525,-3830.9917168411957,108.80728572408813,2.3230495724206386,0.5692198289682555,0.479432602886004,0.8073947884931174,-135179.79522963602,-15961.005271291499,17557.403952009474,0.4761862403719296,33.29668566857163
3.18,263.0,16.0,234.00101690189135,323.46472017825994,32902.334968553456,-6820.735406378131,-6854.2042219366,-3807.833221745029,108.75741132850108,2.3257831477579165,0.5703132591031667,0.480227824802303,0.8062493037362254,-130390.31058345496,-15683.317386440489,17219.017582112967,0.4766627475353918,23.158495096166916
