galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,beta_i,ell_info_kpc,c_info_gal,tau_struct_gal,S_i,I_int_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,eta_obs_i,I_ext_i,DeltaD_i
NGC3198,5,28.16,44.08,36.12,15.919999999999998,2.1,148.33333333333334,83.49923046825627,2.2222222222222223,58553428966.22577,9,284176339.1599391,1207.56384,48488888.973543435,2.016857155939785,2.0316346352696413,2.024245895604713,0.022146369756860462,4.681363998450943e-10,5.259999999999999,1.0,2.0,0.0005027096138602308,35288.08416107297,0.24404704819057277,0.5842432050036743,0.4762087265927723,0.4011878289514753,0.5886245224090093,0.027240327742927645,0.5,0.6088084215518468,21483.68281769156,0.3911915784481533
NGC3769,1,1.74,6.98,4.36,5.24,2.86,108.625,126.80353346510815,6.875,16300046593.086687,4,123821242.45870626,65.340704,249462365.65015715,2.1609092010292863,2.37862107719944,2.269765139114363,0.14127171552114604,0.19598233249898994,5.799999999999999,1.0,2.0,6906804.727605959,7113663.4092095895,0.5363279915831025,0.3826142702114644,0.5092241832363118,0.5158448571499403,0.5342233742657606,0.14850926831183298,0.45092533400822726,0.6019603456662477,4282143.284761142,0.3980396543337524
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,2.86,120.5,93.98851101146455,4.95,23866861466.29632,4,123821242.45870626,192.75255999999996,123821242.45870626,2.077429392636534,2.179557454549901,2.128493423593217,0.12213373364093894,0.04774879164909735,5.799999999999999,1.0,2.0,722093.0697352255,2698677.501660292,0.5,0.5,0.5,0.5,0.5,0.125,0.5,0.6230141525143207,1681314.2766063511,0.3769858474856793
NGC3769,3,17.07,37.16,27.115,20.089999999999996,2.86,118.5,63.51872460033542,11.575,25436232886.56262,4,123821242.45870626,1557.9574009999997,16326654.93307838,2.024617368729838,2.0263779749351323,2.0254976718324853,0.10299575176073184,0.009981631387472692,5.799999999999999,1.0,2.0,16784.872765914864,203304.2705593285,0.4574956122560722,0.5608715530083919,0.4712558603229003,0.4521691015581191,0.4603486080231048,0.05742437813232187,0.5626757117466561,0.6410812819928648,130334.56240479856,0.35891871800713515
NGC3917,1,0.87,3.5,2.185,2.63,4.65,62.125,54.43461988407375,4.35,1505363826.400241,4,168121561.79605794,26.721457500000003,56335393.62140859,2.4737327698144806,2.1269622323222896,2.3003475010683854,0.05615084210249233,0.028562926561802805,2.6250000000000004,1.0,2.0,90352.52839382977,100288.26490665217,0.5145844196078981,0.42354059180169756,0.48524325466496815,0.5105405463814751,0.09718715901605218,0.1250013163473196,0.47184610749542955,0.5562282507828522,55783.16616307444,0.4437717492171478
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,4.65,118.75,99.36390463229996,3.7,13027551834.596252,4,168121561.79605794,68.87463750000002,189148753.55382085,2.250259903582997,2.2381334143487885,2.244196658965893,0.04400887126504127,0.0029898251432271534,2.6250000000000004,1.0,2.0,24887.97165703282,61457.1369474058,0.4538080366475575,0.4848983525245075,0.501654758029049,0.4996783629782961,0.34731336625793185,0.09491600047698756,0.4763305552285008,0.588034300440108,36138.90453191968,0.41196569955989204
NGC3917,3,7.85,10.47,9.16,2.620000000000001,4.65,135.75,110.84518004828477,3.725,26167892397.148483,4,168121561.79605794,111.59628000000006,234487138.79305357,2.1839589599045572,2.240700557172049,2.212329758538303,0.0497851037602115,0.0030941586018104605,2.6250000000000004,1.0,2.0,36121.10397228286,60696.26179972115,0.48451204930488595,0.5142413746003677,0.5044574619509914,0.4993957454816786,0.5947924645047122,0.11928004235365133,0.5216222939971085,0.6441278727883257,39096.1539992577,0.3558721272116742
NGC3917,4,11.35,14.86,13.105,3.51,4.65,137.2,101.61509729949712,4.9,31462493967.401325,5,168121561.79605794,213.8932575,147094370.03829503,2.131248544323364,2.1580043585675766,2.14462645144547,0.06770330709283279,0.005252854691545906,2.6250000000000004,1.0,2.0,52311.99958990428,63226.90576343006,0.5610556801855737,0.5666842435838143,0.4983342160937771,0.5003212237519005,0.6643319859321577,0.16513587737273733,0.6451060068136433,0.7159676043512178,45268.416249983224,0.28403239564878224
NGC4010,1,0.87,3.5,2.185,2.63,9.94,60.825,68.99372899137225,6.0249999999999995,2418300822.08063,4,91188656.95228384,57.120706999999996,42336675.24599494,2.7197475419761643,2.1675396764226043,2.443643609199384,0.13180592909822142,0.652091112322403,2.620000000000001,1.0,2.0,3638815.007097171,3992561.4106442686,0.5743201541185028,0.2304788481806024,0.4893105990566933,0.5092336235444608,0.5908813821361357,0.08059696217811152,0.44377142496993743,0.5958654699047352,2379029.4810770596,0.4041345300952648
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,9.94,110.075,101.36973526596431,5.550000000000001,13558827508.198345,4,91188656.95228384,147.22879500000002,92093584.7379471,2.403140765997279,2.2205345942050463,2.3118376801011626,0.09769311973896277,0.1457219418304691,2.620000000000001,1.0,2.0,1311047.1375301213,2300692.416099334,0.5,0.5,0.5001346556436084,0.5,0.5,0.1250336639109021,0.5899717175713861,0.6612183814855024,1521260.1156691718,0.33878161851449756
NGC4010,3,7.85,10.47,9.16,2.620000000000001,9.94,125.5,101.06352102974711,4.8,21753240870.336758,4,91188656.95228384,238.5520480000001,91188656.95228384,2.305463383326064,2.1910513561168528,2.2482573697214585,0.06358031037970413,0.01907373078172612,2.620000000000001,1.0,2.0,110585.73568630866,711240.7602381374,0.39423921431398207,0.5722659637656581,0.5,0.4791285951467381,0.3572112689322592,0.06282286928154218,0.5,0.5991964262459597,426172.92173515144,0.4008035737540403
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,1.6299999999999994,194.85714285714286,221.90782079557766,5.0,87989071370.68933,7,610229883.7962602,54.99155449999999,1600046992.1374807,2.071539041962746,2.372236701843596,2.221887871903171,0.07033727651671962,0.01917823576793133,4.42,1.0,2.0,2158375.1855018195,2240226.3583519584,0.693097275873249,0.40782485690017645,0.5116355743185012,0.5387415992917319,0.06531955156248147,0.22253202497809707,0.5,0.5827492513888308,1305490.2332711304,0.41725074861116923
NGC4013,2,10.56,14.98,12.77,4.42,1.6299999999999994,182.0,180.49914362500803,7.142857142857143,96734375898.66878,7,610229883.7962602,92.00274199999997,1051429270.4305358,2.049675532137536,2.2534256586353676,2.1515505953864515,0.06285792729744366,0.003913026848104849,4.42,1.0,2.0,258614.54514199714,941730.5649016674,0.668678610158852,0.4631927138761013,0.5066345527417756,0.5235279488263669,0.38801715954528887,0.2390612952897465,0.5830054714139322,0.659628136416205,621191.9775322669,0.340371863583795
NGC4013,3,15.68,20.79,18.235,5.109999999999999,1.63,166.25,144.67868483384245,5.125,88747170912.23474,8,610229883.7962602,151.88478549999996,584305864.6070561,2.036258161874177,2.1560858727423904,2.096172017308284,0.02880288702549416,8.147377990078464e-07,4.42,1.0,2.0,13.711789319449606,273511.2612168937,0.4804632614307124,0.5,0.49946293633576105,0.5,0.5214584832194933,0.11998679567782002,0.5082760787715155,0.6272511736517494,171560.25960526676,0.37274882634825063
NGC4013,4,21.48,25.2,23.34,3.719999999999999,1.6299999999999997,172.5,126.15143218923197,5.0,86362432811.85263,6,610229883.7962602,141.52442399999995,610229883.7962602,2.035453023653029,2.152436619017898,2.0939448213354632,0.016686232970035242,2.701193628726152e-11,4.42,1.0,2.0,0.000275047366675218,86176.31322891221,0.3488544566938156,0.5013750106676442,0.5,0.4758211545563229,0.5,0.041613957411656397,0.32620554531337576,0.5360974649136946,46198.90305762832,0.46390253508630547
NGC4013,5,25.9,31.01,28.455,5.110000000000003,1.63,177.5,114.36964773183456,6.125,86540580121.68549,8,610229883.7962602,237.01023150000012,365134363.9216919,2.026729381330184,2.0988697214062424,2.0627995513682134,0.031145269967249867,8.009566995309826e-07,4.42,1.0,2.0,9.108646457312757,27097.96139148141,0.5,0.5198402721579538,0.4935715513136803,0.4491372172789357,0.5046600157461063,0.10882534203228972,0.4190863510236659,0.5881597676831518,15937.930676700724,0.4118402323168482
NGC4068,1,0.21,2.33,1.27,2.12,0.7400000000000001,24.763333333333335,22.163802660980462,2.9866666666666664,145054736.8955648,6,72804900.72936271,1.9923760000000004,72804900.72936271,2.206228003956993,2.3840140594118235,2.295121031684408,0.0,0.0,2.12,1.0,2.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.3690614309703929,0.0,0.0
NGC4088,1,1.74,6.98,4.36,5.24,1.41,140.475,206.23582623980633,8.925,43117577877.2855,4,1338497201.579239,32.213424,1338497201.579239,2.0886953301209505,2.2378253204756997,2.1632603252983253,0.036533128614173016,9.92986568666727e-05,5.24,1.0,2.0,4855.653719674732,10800.167336803195,0.4482153891180077,0.47427289678332146,0.5,0.48277705767331885,0.5326567627828631,0.07605865262472832,0.33626384527407543,0.551366348260065,5954.848825090809,0.44863365173993497
NGC4088,2,8.72,13.94,11.33,5.219999999999999,1.41,176.5,228.6614531039015,6.625,137738539364.0437,4,1338497201.579239,83.39106599999998,1651718175.2304704,2.0438904639887947,2.2095639293795095,2.1267271966841523,0.04497484612552172,0.00024861862844916113,5.24,1.0,2.0,18468.82644305053,23763.909637495104,0.5,0.5,0.502488980735805,0.5031435141663676,0.5,0.13051420296339966,0.5,0.6233298068796771,14812.753205045921,0.37667019312032285
