TrackName,Imp,On,Name,TrackRefs,TrackRefsLatex,Notes,from-Members,width_phi2,width_phi2_Ref,width_pm_phi1_cosphi2,width_pm_phi1_cosphi2_Ref,width_pm_phi2,width_pm_phi2_Ref,total_v_sigma,total_v_sigma_Ref,Lv_stream,L_Ref,width_comment,length,ra_o,dec_o,distance_o,ra_f,dec_f,distance_f,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,InfoFlags,has_empirical_track,has_D,has_pm,has_vrad,DiscoveryRefs,ID,InfoFlags_raw,InfoFlags_str,has_empirical_track_from_flag,has_D_from_flag,has_pm_from_flag,has_vrad_from_flag
Jet-F22,st,True,Jet,ferguson2022,Ferguson2022,-,1,0.23,from-Members,0.24,from-Members,0.22,from-Members,-1.0,from-Members,0.0,--------,apparent,30.29209807910985,128.9683933064716,-34.48836755704133,33.34876994393283,148.4609395016182,-10.146634362932575,27.318707710665272,138.62876794933487,-21.787137670447432,30.70956773476601,64.98300000609163,34.74700007907094,1110,1,1,1,0,Jethwa2018,50,1110,1110,1,1,1,0
Jet-J18,ep,False,Jet,jethwa2018,Jethwa2018,-,0,0.2,Riley2020,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,12.460156858328666,133.75,-27.7,28.6,142.0,-17.82,28.6,138.02484076241984,-22.81299718391621,28.6,64.56852340569716,34.096220796954654,0,0,0,0,0,Jethwa2018,,0,0000,0,0,0,0
Jhelum-I21,st,False,Jhelum,ibata2021,Ibata2021,-,1,0.5,from-Members,0.57,from-Members,0.52,from-Members,-1.0,from-Members,0.0,--------,apparent,27.72390815729764,10.423545499969498,-49.86282912239977,10.860267202989707,327.424131768038,-48.62406432493031,11.171884330462689,348.6284218083924,-51.56308459732443,10.408141455017024,170.48709069547184,-38.42291592954544,1111,1,1,1,1,Shipp2018,,1111,1111,1,1,1,1
Jhelum-I24,st,False,Jhelum,ibata2024,Ibata2024,-,1,1.1,from-Members,0.53,from-Members,0.42,from-Members,-1.0,from-Members,0.0,--------,apparent,95.648545066509,85.09183466383861,-23.6431191936759,1.0000000000000004,320.1429181067812,-46.19887578957517,1.0000000000000004,33.135442282744016,-47.748734689128014,1.0000000000000009,192.30385838902853,-40.304745108303024,1111,1,1,1,1,Shipp2018,,1111,1111,1,1,1,1
Jhelum-a-B19,st,True,Jhelum-a,bonaca2019,Bonaca2019,-,0,0.4,Bonaca2019,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,30.00048618499783,7.304192759948936,-52.201367514885895,12.999999999999998,321.469689871049,-46.23993558129112,12.999999999999982,359.1291983427437,-52.457473698541854,13.0,179.13081383375635,-38.12552629054039,1010,1,0,1,0,Shipp2018,51,1010,1010,1,0,1,0
Jhelum-a-S19,st,False,Jhelum-a,shipp2019,"Shipp2019,Shipp2018",-,1,0.82,from-Members,0.09,from-Members,0.18,from-Members,-1.0,from-Members,0.0,--------,apparent,24.647888869725897,323.00549842516216,-46.90349662363194,13.2,0.5026945559498912,-51.46717199795805,13.199999999999994,341.36642774447336,-50.77493846623712,13.199999999999998,359.13254183206107,38.16687426424206,1011,1,0,1,1,Shipp2018,,1011,1011,1,0,1,1
Jhelum-b-B19,st,True,Jhelum-b,bonaca2019,Bonaca2019,-,0,0.94,Bonaca2019,-9.0,-----------,-9.0,------------,-9.0,-----------,0.0,--------,apparent,30.002187230088445,7.14318067036055,-51.30690310753352,13.00000000000001,322.0863558431586,-45.44906333329763,13.000000000000009,359.129230450859,-51.55747369875884,13.000000000000009,179.13081383375635,-38.12552629054039,1010,1,0,1,0,Bonaca2019,52,1010,1010,1,0,1,0
Jhelum-b-S19,st,False,Jhelum-b,shipp2019,"Shipp2019,Shipp2018",-,1,0.78,from-Members,0.12,from-Members,0.12,from-Members,-1.0,from-Members,0.0,--------,apparent,13.370069684041711,341.92337098777324,-50.80714877971076,13.199999999999994,3.113307771800056,-50.636711021800366,13.199999999999992,341.372382303089,-50.759695868962105,13.199999999999996,359.13254183206107,38.16687426424206,1011,1,0,1,1,Bonaca2019,,1011,1011,1,0,1,1
Kshir-I21,st,True,Kshir,ibata2021,Ibata2021,-,1,0.23,from-Members,0.37,from-Members,0.25,from-Members,-1.0,from-Members,0.0,--------,apparent,17.393372038698672,193.35557241438488,65.64628833021634,10.127143165416744,237.6761131940639,67.3296565417004,10.963425634474191,214.70378383741348,68.11403135250575,10.680838971303016,43.71469839143651,21.6403788202671,1111,1,1,1,1,Ibata2021,53,1111,1111,1,1,1,1
Kshir-I24,st,False,Kshir,ibata2024,Ibata2024,-,1,0.39,from-Members,0.52,from-Members,0.43,from-Members,-1.0,from-Members,0.0,--------,apparent,36.95492911489035,203.64886106112652,67.05457249836805,0.9999999999999998,279.92415639950286,53.96872882340133,1.0000000000000009,250.75797695813228,65.68847565073507,1.0000000000000002,42.82091712060088,21.757534830450997,1111,1,1,1,1,Ibata2021,,1111,1111,1,1,1,1
