galaxy_id,filename,catalog_prefix,catalog_number,name_normalized,row_count
UGC05999,UGC05999.csv,UGC,05999,UGC05999,5
UGC06614,UGC06614.csv,UGC,06614,UGC06614,13
UGC06786,UGC06786.csv,UGC,06786,UGC06786,45
UGC06787,UGC06787.csv,UGC,06787,UGC06787,71
UGC06923,UGC06923.csv,UGC,06923,UGC06923,6
UGC06973,UGC06973.csv,UGC,06973,UGC06973,9
UGC07151,UGC07151.csv,UGC,07151,UGC07151,11
UGC07232,UGC07232.csv,UGC,07232,UGC07232,4
UGC07261,UGC07261.csv,UGC,07261,UGC07261,7
UGC07323,UGC07323.csv,UGC,07323,UGC07323,10
UGC07399,UGC07399.csv,UGC,07399,UGC07399,10
UGC07524,UGC07524.csv,UGC,07524,UGC07524,31
UGC07603,UGC07603.csv,UGC,07603,UGC07603,12
UGC07866,UGC07866.csv,UGC,07866,UGC07866,7
UGC08286,UGC08286.csv,UGC,08286,UGC08286,17
UGC08490,UGC08490.csv,UGC,08490,UGC08490,30
UGC08550,UGC08550.csv,UGC,08550,UGC08550,11
UGC08699,UGC08699.csv,UGC,08699,UGC08699,41
UGC09037,UGC09037.csv,UGC,09037,UGC09037,22
UGC09133,UGC09133.csv,UGC,09133,UGC09133,68
UGC11455,UGC11455.csv,UGC,11455,UGC11455,36
UGC11557,UGC11557.csv,UGC,11557,UGC11557,12
UGC11820,UGC11820.csv,UGC,11820,UGC11820,10
UGC11914,UGC11914.csv,UGC,11914,UGC11914,65
UGC12506,UGC12506.csv,UGC,12506,UGC12506,31
UGC12632,UGC12632.csv,UGC,12632,UGC12632,15
UGCA281,UGCA281.csv,UGC,281,UGCA281,7
UGCA442,UGCA442.csv,UGC,442,UGCA442,8
UGCA444,UGCA444.csv,UGC,444,UGCA444,36
