galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status
F568-3,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-3_normalized.csv,structural,432.68924740271166,computed_from_baryonic_velocity,119.51788597371134,2.8545347564251364,9228.504808723708,18,ok
F568-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-V1_normalized.csv,structural,369.2037649063032,computed_from_baryonic_velocity,146.62114806763984,2.583239011769725,1661.3889373598988,15,ok
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-8_normalized.csv,structural,1790.4438784067086,computed_from_baryonic_velocity,925.8303783785474,22.27441292079512,327062.5110279329,13,ok
F571-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-V1_normalized.csv,structural,221.19778920308482,computed_from_baryonic_velocity,74.0427610625456,1.1077318935034708,913.9665057655725,7,ok
F574-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-1_normalized.csv,structural,364.4962482269504,computed_from_baryonic_velocity,144.99689790779647,3.0342985380341116,14891.159073383245,14,ok
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-2_normalized.csv,structural,201.78452023121386,computed_from_baryonic_velocity,14.286359098244517,0.5599566196563857,12.076667643799551,5,ok
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,780.6208149807635,computed_from_baryonic_velocity,223.45425744370044,2.453094087524865,7880.780927074941,14,ok
F583-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-1_normalized.csv,structural,156.08329519450797,computed_from_baryonic_velocity,81.62025106623348,2.8005531280279023,3920.139899780796,25,ok
F583-4,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-4_normalized.csv,structural,325.17850306930694,computed_from_baryonic_velocity,162.4911373314449,5.2385404457206475,13400.908434627083,12,ok
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC2574_normalized.csv,structural,143.23285763613387,computed_from_baryonic_velocity,42.717156954378346,1.2256613554866989,207427.197268348,34,ok
IC4202,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC4202_normalized.csv,structural,4577.361699034203,computed_from_baryonic_velocity,225.57969554505857,0.9999999844473351,57149.047558882994,32,ok
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\KK98-251_normalized.csv,structural,177.04964157706092,computed_from_baryonic_velocity,102.03959766606724,7.696392116173391,39045.29809444828,15,ok
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0024_normalized.csv,structural,2176.6304273504275,computed_from_baryonic_velocity,873.3707604958838,13.668561868686403,441595.02222790336,29,ok
NGC0055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0055_normalized.csv,structural,430.4765943012212,computed_from_baryonic_velocity,72.4209276837104,0.9533738455314227,17777.327469030588,21,ok
