r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_total,struct_to_bar_ratio,sigma_flip_severity
2.97,98.6,7.2,68.73463277464909,99.18853361150168,3312.580875420875,-899.5018022309766,-1043.94171141208,-915.1550422796172,93.47250710190927,2.470092921110383,0.6280371684441531,0.522208849777566,0.7758011223995105,-28558.668050770935,-1721.8570563414596,1590.7238190794155,0.5197932129348213,16.88332201325659
3.16,101.0,8.7,68.86389364486136,99.51307703010696,3133.8140822784812,-1018.7235695291233,-979.9017289701696,-883.6910837994062,93.2186994478708,2.4713589166103818,0.6285435666441528,0.5225771393775657,0.7756578602681051,-26305.52161947688,-1633.106535464944,1500.7075468135372,0.5211242570834235,31.463958480210977
3.33,103.0,9.4,68.44464656486835,99.04366966141754,2945.840390390391,-1067.0740975152394,-979.0638108836652,-869.7242813721463,92.06760876512129,2.4747145333544354,0.6298858133417742,0.5235533187940176,0.7763015176620512,-24164.77934053092,-1539.0326896727497,1406.8077007176412,0.522442660061699,13.96680242725995
3.51,107.0,9.1,67.85076737744137,98.4316356665884,2760.338148148148,-974.3014259601241,-981.9585035330417,-863.403313370139,90.98051849042993,2.47747889080136,0.6309915563205439,0.5243574955058502,0.7769767882022166,-22361.55667727322,-1448.7351186018052,1311.6030295463427,0.5248397264566049,6.320968002007248
3.68,114.0,7.4,67.63294732906435,97.90706001101248,2604.8348913043474,-935.718159182862,-952.767557097842,-846.5926677609993,89.80066842130375,2.478477552597986,0.6313910210391944,0.5246480153012323,0.7776862806494311,-20543.371704722478,-1361.8415314086974,1242.99335989565,0.522812995155623,16.81064560913967
3.85,112.0,8.1,66.91894328803485,96.966214734824,2442.1939740259745,-913.9752654778591,-908.030864396553,-816.0748730016934,87.70930291520821,2.4789123089555907,0.6315649235822363,0.52477448987799,0.7785561457823287,-18481.388122150736,-1279.039436159163,1163.1545378668116,0.5237255720726627,30.517794759305957
4.03,114.0,7.6,66.21207276620434,95.96000468945383,2284.9435483870966,-872.7688373531247,-855.1698122736385,-772.8968771781733,84.43683161315812,2.4792438273626893,0.6316975309450757,0.5248709315964187,0.7795587617179209,-16152.793088304148,-1197.0927841198168,1087.8507642672798,0.5239047524674404,43.177995823520064
4.2,116.0,7.2,65.42807933211078,94.73248914707139,2136.7248809523808,-843.3906340087952,-779.4324569139613,-717.4452521627484,80.04359161018458,2.479405969761098,0.6317623879044392,0.5249181002941375,0.7808355046481698,-13623.254543238309,-1117.4787940264325,1019.2460869259482,0.5229867466738862,55.45162501542495
4.38,114.0,7.8,65.0073364866991,93.35488685655402,1989.7568264840186,-709.996165345551,-694.1751978202086,-649.447848420343,74.20569385414393,2.479526882777546,0.6318107531110184,0.5249532749898316,0.7825770750106946,-10918.613220779876,-1024.9271924440825,964.8296340399361,0.5151017344441886,67.99740374240537
4.73,114.0,11.4,63.29856392011508,91.25140711243854,1760.4269133192386,-557.0313823844765,-603.4801635317455,-569.2665452026766,67.13507872989604,2.479621295920634,0.6318485183682536,0.5249807406314572,0.784776096618752,-8191.131368516153,-913.342728467464,847.0841848517746,0.5188188850995128,80.18130321766637
5.25,109.0,9.9,61.602107143010876,88.89309590738755,1505.139523809524,-487.6889700090953,-496.35987382117963,-484.22405576220433,59.529837359997785,2.479655791977389,0.6318623167909557,0.5249907758479678,0.7874215952105572,-5728.707682872711,-782.3167420078114,722.8227818017126,0.5197636030630299,85.04248944047231
5.78,107.0,12.6,58.389703363256984,84.94400037671878,1248.3534948096885,-419.2936659108089,-405.7803630282815,-403.9059614338853,51.74068193944212,2.479733930850987,0.6318935723403948,0.5250135071566507,0.7905026405088603,-3824.3267282656225,-658.4992631748886,589.8542316347999,0.5274942281274879,80.31809432831903
6.3,105.0,12.5,56.727324842850344,81.90696795755535,1064.8811746031747,-307.7891854559661,-339.58306044942594,-336.7875131345939,44.27224702153752,2.4798612223470107,0.6319444889388043,0.5250505374100395,0.7938164125299425,-2521.9019039519458,-554.0892089164659,510.79196568670886,0.5203296124780737,67.1184482992914
6.82,101.0,5.2,55.87157401239107,79.56559369476231,928.2527419354838,-257.09861138106044,-282.05372940233235,-283.2664785946569,38.121164551152965,2.4799119152280635,0.6319647660912254,0.5250652844299821,0.7971305145814866,-1689.5780481760598,-470.5353251287252,457.71741680675854,0.5069043202044522,53.52103453993698
7.35,94.5,4.6,53.734871029308145,76.43767461141135,794.9276326530613,-226.0448694901989,-238.2034591748961,-243.57250619703578,33.756583735636625,2.479926476375815,0.6319705905503261,0.5250695204002371,0.7997750972231132,-1191.015636436177,-402.07914768212527,392.84848497093606,0.5058059767531178,39.69397239762114
7.87,90.8,6.1,51.08376643303773,73.73891306494828,690.905628970775,-200.04231477362745,-216.65408503842838,-222.31818667753961,30.834332211828023,2.4799544005914314,0.6319817602365726,0.5250776438084165,0.8017653353244781,-953.5767174161629,-359.3235205863845,331.58210838439044,0.5200761225837165,21.254319519496164
