_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,recno,Name,Band,RAJ2000,DEJ2000,PA,h,e_h,z0,e_z0,S0,e_S0,gradz0,mag,B/T,Type,RV,AName,NED,preferred_name,catalog_name_normalized,z0_over_h,h_over_z0,thickness_flag
107.91792934,-44.27756147,001.65879500,+17.28415111,001.01607671,+17.00590351,008.55288855,+15.16497113,87,EON_1.659_17.284,r,1.658795,17.284151,64.67,13.73,0.71,3.15,0.51,23.82,0.17,-0.106,16.62,0.03,IR,873.0,UGC00047,NED,UGC00047,UGC00047,0.2294246176256373,4.358730158730159,thick_like
110.40573114,-36.67656255,001.78355889,+25.11523194,001.13953731,+24.83701137,012.14052222,+22.22262227,90,EON_1.784_25.115,r,1.783559,25.115232,26.76,4.33,0.06,1.37,0.12,20.72,0.19,0.075,15.73,0.21,SB,,PGC1725914,NED,PGC1725914,PGC1725914,0.31639722863741343,3.1605839416058394,thick_like
112.55286085,-28.06224827,001.81458194,+33.91754194,001.16901878,+33.63933827,016.52419751,+30.09941159,93,EON_1.815_33.918,r,1.814582,33.917542,176.81,8.1,0.08,2.35,0.15,21.53,0.16,0.036,15.34,0.07,SC,,PGC000566,NED,PGC566,PGC566,0.29012345679012347,3.4468085106382977,thick_like
104.66874299,-52.92954451,001.85175611,+08.37379389,001.20996670,+08.09555540,005.04305830,+06.94386339,96,EON_1.852_8.374,r,1.851756,8.373794,31.52,4.32,0.06,2.04,0.29,20.11,0.22,0.189,14.66,0.49,SA,,PGC212468,NED,PGC212468,PGC212468,0.4722222222222222,2.1176470588235294,thick_like
110.47180417,-37.00940068,001.91851306,+24.80121389,001.27423836,+24.52301033,012.11443543,+21.88647853,99,EON_1.919_24.801,r,1.918513,24.801214,86.15,3.87,0.04,1.91,0.19,20.29,0.15,0.084,15.54,0.18,SC,,PGC1716792,NED,PGC1716792,PGC1716792,0.49354005167958653,2.026178010471204,thick_like
104.94473702,-53.13195768,002.07002694,+08.22590694,001.42810693,+07.94769855,005.18275502,+06.72187016,102,EON_2.070_8.226,r,2.070027,8.225907,137.54,5.34,0.32,1.31,0.17,22.71,0.13,-0.226,17.17,0.05,SC,,,NED,NED,,0.2453183520599251,4.076335877862595,thick_like
112.62497173,-28.98080982,002.10009111,+33.02813000,001.45379444,+32.74996459,016.29971457,+29.19957235,105,EON_2.100_33.028,r,2.100091,33.02813,13.07,9.36,0.68,2.16,0.26,22.92,0.23,0.138,16.33,0.06,SC,4954.0,PGC090453,NED,PGC90453,PGC90453,0.2307692307692308,4.333333333333333,thick_like
100.58616022,-60.62351943,002.11047389,+00.36924806,001.46972618,+00.09103298,002.08325979,-00.50052129,108,EON_2.110_0.369,r,2.110474,0.369248,175.47,4.7,0.43,1.19,0.1,22.06,0.21,-0.147,17.32,0.06,SC,16398.0,SDSSJ000826.52+002208.9,NED,SDSSJ000826.52+002208.9,,0.2531914893617021,3.9495798319327733,thick_like
113.61363623,-24.64951928,002.17696111,+37.44786111,001.52938571,+37.16971370,018.76504473,+33.08408048,111,EON_2.177_37.448,r,2.176961,37.447861,110.51,11.19,0.04,3.48,0.55,20.28,0.21,-0.206,13.11,0.19,SB,4389.0,NGC0011,NED,NGC00011,NGC00011,0.3109919571045576,3.21551724137931,thick_like
096.71568472,-65.30885274,002.19019806,-04.63257500,001.55024355,-04.91078577,000.16233769,-05.12064221,114,EON_2.190_-4.633,r,2.190198,-4.632575,108.27,7.96,0.54,1.53,0.12,22.63,0.2,0.014,16.66,0.06,SD,,PGC090454,NED,PGC90454,PGC90454,0.1922110552763819,5.2026143790849675,intermediate
