galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
NGC0289,19.71,161.0,4.24,0.14613001709360252,-8.208629744426571e-05,910.0857483510908,43.83900512808076,953.9247534791716,133.93203537615636,29.395013030690627,137.1198632258451,300.0,0.0,1.0
NGC0289,22.68,156.0,5.08,0.1463882589739233,0.0004733425838705542,737.8330555555555,43.91647769217699,781.7495332477324,129.36017045443313,31.559875064052044,133.15434433039943,300.0,0.0,1.0
NGC0289,25.75,159.0,6.49,0.14906758577604368,0.000621367272977822,600.0253825242718,44.7202757328131,644.7456582570849,124.3006580835355,33.934452995737786,128.84952735699085,300.0,0.0,1.0
NGC0289,28.72,173.0,6.97,0.15019077400586198,0.00020277638821311963,496.2340981894151,45.057232201758595,541.2913303911737,119.3810843475632,35.97281902818442,124.6831464506511,300.0,0.0,1.0
NGC0289,31.79,177.0,6.57,0.15025668429013225,1.405412177243534e-05,434.2262409562756,45.077005287039675,479.3032462433153,117.49064728734795,37.85496001946101,123.43844700122807,300.0,0.0,1.0
NGC0289,34.77,179.0,4.47,0.15027711658322526,6.831105770644524e-06,389.9998993385102,45.08313497496758,435.0830343134778,116.4486861239748,39.59217855940265,122.99527268590295,300.0,0.0,1.0
NGC0289,37.84,181.0,4.26,0.15029800784477432,5.084002176785479e-06,344.1128646934461,45.0894023534323,389.20226704687843,114.11060774529247,41.30596791087068,121.35655641560484,300.0,0.0,1.0
NGC0289,40.81,182.0,4.26,0.15030816254441315,2.9130147147886365e-06,307.4258515069835,45.092448763323944,352.51830027030746,112.0091469479167,42.89781852298844,119.94278566896489,300.0,0.0,1.0
NGC0289,43.88,182.0,4.83,0.1503154995344773,1.7277006010736617e-06,271.4520373746581,45.09464986034319,316.5466872350013,109.13897287403799,44.48317924645067,117.85613533402433,300.0,0.0,1.0
NGC0289,46.85,180.0,5.5,0.15031872813873395,8.164175322629419e-07,240.8707897545358,45.09561844162019,285.96640819615595,106.22992280897131,45.96443977674378,115.74768344977755,300.0,0.0,1.0
NGC0289,49.92,177.0,8.5,0.1503203756541556,5.498424132284463e-07,214.26061698717947,45.09611269624668,259.3567296834261,103.42093598493489,47.446790679630105,113.78527121643043,300.0,0.0,1.0
NGC0289,52.99,175.0,11.0,0.1503221041711512,3.6628512550818115e-07,192.45314587658046,45.09663125134536,237.54977712792584,100.98560392451985,48.88425605457028,112.19519905062243,300.0,0.0,1.0
NGC0289,55.96,172.0,11.6,0.15032262672538035,1.6314477993897847e-07,174.53909399571123,45.09678801761411,219.63588201332533,98.82918445479554,50.23560746587709,110.86398855113272,300.0,0.0,1.0
NGC0289,59.03,168.0,12.6,0.15032308696264543,-5.774040157148497e-07,156.5878519396917,45.09692608879363,201.6847780284853,96.14250308786431,51.595266711409565,109.11210953428353,300.0,0.0,1.0
NGC0289,62.0,158.0,5.38,0.15031928229969685,5.512842120650174e-08,139.34771935483872,45.09578468990905,184.44350404474778,92.94922592469504,52.87663615222097,106.93688442616215,300.0,0.0,1.0
NGC0289,65.07,158.0,6.5,0.15032369166910722,1.4957172823834575e-06,124.21966036575998,45.097107500732164,169.31676786649214,89.9053574599423,54.170737350276504,104.96400375877742,300.0,0.0,1.0
NGC0289,68.05,166.0,15.5,0.15032832084677725,8.822141754974422e-07,112.32978839088905,45.09849625403317,157.42828464492223,87.43021274136304,55.39812875979619,103.5035978605911,300.0,0.0,1.0
NGC0289,71.12,165.0,8.75,0.1503289064242562,1.9074184982115208e-07,101.73640607424072,45.09867192727686,146.8350780015176,85.06170231073442,56.634067022137216,102.19056095094072,300.0,0.0,1.0
