galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_signed_delta,d_eff_response,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_response_lambda,formula_dim_transition,formula_dim_response_min,formula_dim_response_max,use_cinfo_ceiling,c_info_kmps,cinfo_quantile,cinfo_margin,sigma_soft_power,sigma_floor_fraction,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,formula,,17429.47676836569,17228.420190969024,17228.420190969024,False,False,,17429.47676836569,,,gbar_char_logmean,sigma_char_rms,1185.491162227603,908.1374332486461,0.7288721153126171,0.7522158424772974,0.8336571968835735,15,True,3.0199421558868176,0.97681036771238,1.6186072194981413,1.5810723132598923,-0.01994215588681758,0.9884645660871711,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,38.265776095187235,35.6661928125442,0.5464367642606724,0.39391688462583646,3004.213997608689,214.58671411490636,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\ESO116-G012_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\ESO116-G012_rotation_curve.png,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,formula,,9276.072676516975,16565.028951932178,16565.028951932178,False,False,,9276.072676516975,,,gbar_char_logmean,sigma_char_rms,303.16933701657456,228.23036697311002,1.7822086498538552,1.6230704367409947,1.8436136001691064,7,True,1.7409461170954215,8.595493356330179,0.40678349572034533,3.4965048349289938,1.2590538829045785,1.7857804191064288,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,123.87361661166399,123.2436200624146,3.024678571081575,2.342727324315415,26613.199315606533,4435.533219267755,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\ESO444-G084_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\ESO444-G084_rotation_curve.png,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO563-G021_normalized.csv,formula,,66923.67616100669,40581.22485441942,40581.22485441942,False,False,,66923.67616100669,,,gbar_char_logmean,sigma_char_rms,4465.040597400861,3618.810794657943,0.5536155597256495,0.33577990350373255,0.732342858423287,25,True,4.052167913652135,0.21533910714888405,6.449941455752546,1.3889246342443267,-1.0521679136521351,0.6063806889028044,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,30.940507386437634,26.652287763273307,0.1804624046071259,0.08220102617929484,589.7223284441761,20.33525270497159,30,30,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\ESO563-G021_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\ESO563-G021_rotation_curve.png,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F561-1_normalized.csv,formula,,1810.0367858793236,1407.7457395762733,1407.7457395762733,False,False,,1810.0367858793236,,,gbar_char_logmean,sigma_char_rms,372.01707452824746,403.2332228873243,0.18518452253832782,0.16308756499106095,0.22781430013338805,3,True,3.4209393374845494,0.6011723657646302,0.7186976131708744,0.43206114437932763,-0.42093933748454937,0.7777442704803286,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,3.7146895148892223,2.548506138235235,0.08109945847727887,0.033226619869519816,1.4506742971128452,0.29013485942256906,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\F561-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\F561-1_rotation_curve.png,ok,
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-1_normalized.csv,formula,,6787.984122236823,12184.352388556845,12184.352388556845,False,False,,6787.984122236823,,,gbar_char_logmean,sigma_char_rms,156.14697624190066,171.2162577136761,1.7864080388616335,1.9226473590248603,1.8373647016657189,17,True,1.6785775220360986,11.418911383726867,0.3051651222430475,3.4846534882975355,1.3214224779639014,1.794988345456202,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,62.17914701390912,61.039050391351644,0.8197616425618921,0.6179249907296093,577.2680550301735,36.079253439385845,17,17,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\F563-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\F563-1_rotation_curve.png,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,formula,,357.135287846697,381.63726261045747,381.63726261045747,False,False,,357.135287846697,,,gbar_char_logmean,sigma_char_rms,140.38075087800775,141.50315236362601,0.11100082955104455,0.09672616720856966,0.14320423054697531,3,True,2.9370855055711305,1.0768719565498537,0.25220634632159294,0.2715939416176238,0.06291449442886954,1.068606983396942,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,0.9460423205008591,0.6578515713576941,0.02401685431293689,0.018483255583957706,0.21479905732287602,0.042959811464575205,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\F563-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\F563-V1_rotation_curve.png,ok,
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,formula,,13076.17097569238,22682.405402689074,22682.405402689074,False,False,,13076.17097569238,,,gbar_char_logmean,sigma_char_rms,366.5083344301131,378.2239546562029,1.52498846935829,1.5311294423551294,1.5316625942394142,10,True,1.9811018964096665,4.309118223205993,0.6741226615928404,2.9048742457458356,1.0188981035903335,1.7346366489742269,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,108.26740369931534,104.40250970315542,2.546752262604948,0.9927248599257792,1249.0219667337697,138.78021852597442,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\F563-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\F563-V2_rotation_curve.png,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,formula,,4937.068433869613,8875.366860078926,8875.366860078926,False,False,,4937.068433869613,,,gbar_char_logmean,sigma_char_rms,136.88976127320953,139.5307608032617,1.6503233467987042,1.7837445134599461,1.6761045270401282,7,True,1.6582808198968757,12.782195955328858,0.24869087927618952,3.178815551211287,1.3417191801031243,1.7976997845911007,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,63.49715075184925,62.75571048055719,1.3507000641462172,0.9521088660665876,531.4010201607413,88.56683669345688,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\F565-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\F565-V2_rotation_curve.png,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,formula,,2449.5754753397177,3940.528251599367,3940.528251599367,False,False,,2449.5754753397177,,,gbar_char_logmean,sigma_char_rms,188.49739130434784,230.43002560555695,0.48034338851912006,0.505205629086414,0.5284103118794503,5,True,2.3003673992263542,2.440093963183527,0.4107040293450563,1.002156422660022,0.6996326007736458,1.6086576189504338,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,10.810996465451364,10.07752584679094,0.22334299486629358,0.20909664361852132,18.72763737451786,4.681909343629465,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\F567-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\F567-2_rotation_curve.png,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,formula,,14866.493913348664,25495.877078129,25495.877078129,False,False,,14866.493913348664,,,gbar_char_logmean,sigma_char_rms,399.4879274891775,429.953722685291,1.4619874213826234,1.5352707616252748,1.5184085147419184,12,True,2.047113435270766,3.7578656668207158,0.7663225565969712,2.879737225146033,0.9528865647292339,1.7149892386688554,561.0610296982485,0.5272732878135848,1.0737936939240835,1.0737936939240835,6354.427628566553,3.0,0.85,1.0,1.0,1.5,4.5,0.45,0.35,0.55,1.85,True,299792.458,0.15,0.98,1.0,0.15,formula,,0.5368968469620418,0.5368968469620418,79.71466382395747,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_soft,False,0.0,1.0,1.0,97.33962993403658,95.52816633334488,1.4372091421128,0.9565490121453109,1024.095157580326,93.09955978002964,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\tables\F568-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_130752_formula\figures\F568-1_rotation_curve.png,ok,
