preferred_name,catalog_name_normalized,RFGC_int,Dist,Re,Z0,z0_over_re,S0,RAJ2000_deg,DEJ2000_deg,Note,has_ned_link_flag,has_simbad_link_flag,source_catalog,_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,RFGC,_RA,_DE,NED,Simbad,biz_name,biz_name_norm,biz_catalog_token,RA_match_deg,DE_match_deg,biz_aname_norm,biz_aname_token,biz_ned_norm,biz_ned_token,matched,match_reason,matched_sparc_name,matched_sparc_index,matched_sep_deg
RFGC0504,RFGC0504,504,50.76,4.8,0.72,0.15,18.39,35.379708,14.198083,x,True,True,Bizyaev 2002,153.580497,-43.248757,35.379708,14.198083,34.698957,13.9702,37.774417,0.100872,504,35.3797,14.1981,NED,Simbad,RFGC0504,RFGC0504,,35.379708,14.198083,,,NED,,False,unmatched,,,
RFGC0517,RFGC0517,517,71.07,5.19,1.02,0.1965317919075144,19.72,36.313708,45.451028, ,True,True,Bizyaev 2002,139.682425,-14.34746,36.313708,45.451028,35.507873,45.225644,49.618864,29.247991,517,36.3137,45.451,NED,Simbad,RFGC0517,RFGC0517,,36.313708,45.451028,,,NED,,False,unmatched,,,
RFGC0507,RFGC0507,507,53.84,2.38,0.63,0.2647058823529412,17.81,35.452,16.874111,x,True,True,Bizyaev 2002,152.006337,-40.840412,35.452,16.874111,34.763133,16.646422,38.708447,2.609694,507,35.452,16.8741,NED,Simbad,RFGC0507,RFGC0507,,35.452,16.874111,,,NED,,False,unmatched,,,
RFGC0538,RFGC0538,538,26.71,1.66,0.48,0.2891566265060241,18.73,37.475625,25.256139,x,True,True,Bizyaev 2002,149.46038,-32.493876,37.475625,25.256139,36.756134,25.034212,43.223871,9.937599,538,37.4756,25.2561,NED,Simbad,RFGC0538,RFGC0538,,37.475625,25.256139,,,NED,,False,unmatched,,,
RFGC0544,RFGC0544,544,84.44,3.33,0.85,0.2552552552552552,17.91,37.722125,43.34975, ,True,True,Bizyaev 2002,141.469182,-15.913579,37.722125,43.34975,36.922793,43.128453,49.82525,26.925421,544,37.7221,43.3497,NED,Simbad,RFGC0544,RFGC0544,,37.722125,43.34975,,,NED,,False,unmatched,,,
RFGC0551,RFGC0551,551,148.94,5.02,1.78,0.3545816733067729,17.56,38.31025,25.505861, ,True,True,Bizyaev 2002,150.127115,-31.934616,38.31025,25.505861,37.588336,25.2864,44.030295,9.93399,551,38.3102,25.5059,NED,Simbad,RFGC0551,RFGC0551,,38.31025,25.505861,,,NED,,False,unmatched,,,
RFGC0561,RFGC0561,561,145.61,4.7,1.39,0.2957446808510638,17.56,39.250833,25.625, ,True,True,Bizyaev 2002,150.949936,-31.440734,39.250833,25.625,38.526773,25.408375,44.885793,9.780027,561,39.2508,25.625,NED,Simbad,RFGC0561,RFGC0561,,39.250833,25.625,,,NED,,False,unmatched,,,
RFGC0586,RFGC0586,586,56.42,2.04,0.74,0.3627450980392157,17.64,40.934333,32.496028, ,True,True,Bizyaev 2002,148.831576,-24.666946,40.934333,32.496028,40.178882,32.284589,48.520248,15.848451,586,40.9343,32.496,NED,Simbad,RFGC0586,RFGC0586,,40.934333,32.496028,,,NED,,False,unmatched,,,
RFGC0603,RFGC0603,603,70.77,2.24,0.98,0.4374999999999999,16.79,42.572917,-8.597222, ,True,True,Bizyaev 2002,185.119086,-56.350904,42.572917,-8.597222,41.960917,-8.803223,37.278551,-23.780607,603,42.5729,-8.5972,NED,Simbad,RFGC0603,RFGC0603,,42.572917,-8.597222,,,NED,,False,unmatched,,,
RFGC0609,RFGC0609,609,84.09,4.6,1.57,0.341304347826087,17.53,42.994167,-33.34,x,True,True,Bizyaev 2002,233.775912,-63.334362,42.994167,-33.34,42.478279,-33.544491,26.455461,-46.959016,609,42.9942,-33.34,NED,Simbad,RFGC0609,RFGC0609,,42.994167,-33.34,,,NED,,False,unmatched,,,
RFGC0642,RFGC0642,642,34.56,2.55,0.42,0.1647058823529411,18.34,45.152167,49.042778,x,True,True,Bizyaev 2002,143.672472,-8.556965,45.152167,49.042778,44.286692,48.845051,57.541601,30.532094,642,45.1522,49.0428,NED,Simbad,RFGC0642,RFGC0642,,45.152167,49.042778,,,NED,,False,unmatched,,,
RFGC0653,RFGC0653,653,162.75,17.61,1.71,0.0971039182282793,19.43,45.639292,46.438222, ,True,True,Bizyaev 2002,145.245613,-10.674869,45.639292,46.438222,44.791649,46.242196,56.941303,27.959802,653,45.6393,46.4382,NED,Simbad,RFGC0653,RFGC0653,,45.639292,46.438222,,,NED,,False,unmatched,,,
RFGC0671,RFGC0671,671,143.69,8.18,1.92,0.2347188264058679,18.13,47.4035,18.500889, ,True,True,Bizyaev 2002,163.031494,-33.401064,47.4035,18.500889,46.695065,18.31125,50.065641,0.770596,671,47.4035,18.5009,NED,Simbad,RFGC0671,RFGC0671,,47.4035,18.500889,,,NED,,False,unmatched,,,
RFGC0702,RFGC0702,702,36.65,1.7,0.43,0.2529411764705882,18.89,49.974583,-3.593611, ,True,True,Bizyaev 2002,185.912154,-47.466644,49.974583,-3.593611,49.347604,-3.773799,46.494682,-21.192939,702,49.9746,-3.5936,NED,Simbad,RFGC0702,RFGC0702,,49.974583,-3.593611,,,NED,,False,unmatched,,,
RFGC0722,RFGC0722,722,24.11,2.23,0.41,0.1838565022421524,18.92,51.354167,-16.235,x,True,True,Bizyaev 2002,204.008915,-52.775318,51.354167,-16.235,50.776938,-16.409949,43.889053,-33.696335,722,51.3542,-16.235,NED,Simbad,RFGC0722,RFGC0722,,51.354167,-16.235,,,NED,,False,unmatched,,,
RFGC0744,RFGC0744,744,124.66,4.96,1.14,0.2298387096774193,18.12,53.246458,15.874361, ,True,True,Bizyaev 2002,170.112871,-31.824165,53.246458,15.874361,52.543051,15.706453,54.799047,-3.186929,744,53.2465,15.8744,NED,Simbad,RFGC0744,RFGC0744,,53.246458,15.874361,,,NED,,False,unmatched,,,
RFGC0757,RFGC0757,757,131.95,5.51,1.54,0.279491833030853,18.1,54.867917,13.393056, ,True,True,Bizyaev 2002,173.480416,-32.52707,54.867917,13.393056,54.173654,13.23151,55.746028,-5.966649,757,54.8679,13.3931,NED,Simbad,RFGC0757,RFGC0757,,54.867917,13.393056,,,NED,,False,unmatched,,,
RFGC0765,RFGC0765,765,121.79,6.06,1.69,0.2788778877887788,17.68,55.399167,16.020528,x,True,True,Bizyaev 2002,171.749352,-30.294233,55.399167,16.020528,54.693376,15.861071,56.849722,-3.525752,765,55.3992,16.0205,NED,Simbad,RFGC0765,RFGC0765,,55.399167,16.020528,,,NED,,False,unmatched,,,
RFGC0826,RFGC0826,826,115.75,7.66,1.67,0.2180156657963446,19.05,64.625,-14.99, ,True,True,Bizyaev 2002,209.733424,-40.541168,64.625,-14.99,64.051843,-15.110562,59.32475,-35.766098,826,64.625,-14.99,NED,Simbad,RFGC0826,RFGC0826,,64.625,-14.99,,,NED,,False,unmatched,,,
RFGC0882,RFGC0882,882,80.19,3.09,0.8,0.2588996763754045,17.55,70.11,-63.1075,x,True,True,Bizyaev 2002,273.785151,-38.641283,70.11,-63.1075,69.986429,-63.202529,12.982574,-80.913681,882,70.11,-63.1075,NED,Simbad,RFGC0882,RFGC0882,,70.11,-63.1075,,,NED,,False,unmatched,,,
RFGC0895,RFGC0895,895,15.23,1.45,0.38,0.2620689655172414,19.26,71.564583,76.418444,x,True,True,Bizyaev 2002,135.226742,19.552585,71.564583,76.418444,69.840602,76.3265,82.838693,53.437758,895,71.5646,76.4184,NED,Simbad,RFGC0895,RFGC0895,,71.564583,76.418444,,,NED,,False,unmatched,,,
RFGC0902,RFGC0902,902,58.95,2.71,0.86,0.3173431734317343,17.85,72.01375,-25.23,x,True,True,Bizyaev 2002,225.128402,-37.38409,72.01375,-25.23,71.497953,-25.317169,65.741406,-47.165919,902,72.0137,-25.23,NED,Simbad,RFGC0902,RFGC0902,,72.01375,-25.23,,,NED,,False,unmatched,,,
RFGC0914,RFGC0914,914,125.78,4.03,0.98,0.2431761786600496,18.17,73.055,-18.393056,x,True,True,Bizyaev 2002,217.49788,-34.307997,73.055,-18.393056,72.503009,-18.475484,68.643841,-40.584285,914,73.055,-18.3931,NED,Simbad,RFGC0914,RFGC0914,,73.055,-18.393056,,,NED,,False,unmatched,,,
RFGC1047,RFGC1047,1047,36.33,1.82,0.51,0.2802197802197802,18.74,91.114167,-20.353889, ,True,True,Bizyaev 2002,226.558874,-19.175025,91.114167,-20.353889,90.576807,-20.349796,91.447058,-43.787584,1047,91.1142,-20.3539,NED,Simbad,RFGC1047,RFGC1047,,91.114167,-20.353889,,,NED,,False,unmatched,,,
RFGC1049,RFGC1049,1049,13.39,0.96,0.22,0.2291666666666666,17.18,91.874167,-61.806944,x,True,True,Bizyaev 2002,270.971255,-28.816746,91.874167,-61.806944,91.752574,-61.798155,100.589999,-85.177233,1049,91.8742,-61.8069,NED,Simbad,RFGC1049,RFGC1049,,91.874167,-61.806944,,,NED,,False,unmatched,,,
RFGC1128,RFGC1128,1128,51.89,4.41,0.7,0.1587301587301587,17.75,101.17,-71.456944,x,True,True,Bizyaev 2002,282.192814,-26.145739,101.17,-71.456944,101.342177,-71.402616,235.866705,-83.696673,1128,101.17,-71.4569,NED,Simbad,RFGC1128,RFGC1128,,101.17,-71.456944,,,NED,,False,unmatched,,,
RFGC1135,RFGC1135,1135,63.82,2.3,0.53,0.2304347826086956,18.45,102.441583,29.525167, ,True,True,Bizyaev 2002,186.029297,12.654015,102.441583,29.525167,101.646643,29.583239,100.876913,6.55444,1135,102.4416,29.5252,NED,Simbad,RFGC1135,RFGC1135,,102.441583,29.525167,,,NED,,False,unmatched,,,
RFGC1140,RFGC1140,1140,63.88,3.32,0.78,0.2349397590361445,17.53,102.949917,27.481361, ,True,True,Bizyaev 2002,188.125,12.219917,102.949917,27.481361,102.167827,27.541876,101.504378,4.557773,1140,102.9499,27.4814,NED,Simbad,RFGC1140,RFGC1140,,102.949917,27.481361,,,NED,,False,unmatched,,,
RFGC1143,RFGC1143,1143,58.62,3.73,0.76,0.2037533512064343,18.9,103.299542,27.079139,x,True,True,Bizyaev 2002,188.631207,12.336893,103.299542,27.079139,102.520055,27.141316,101.851284,4.185354,1143,103.2995,27.0791,NED,Simbad,RFGC1143,RFGC1143,,103.299542,27.079139,,,NED,,False,unmatched,,,
RFGC1159,RFGC1159,1159,85.7,6.78,1.5,0.2212389380530973,18.46,106.005375,50.679833,x,True,True,Bizyaev 2002,166.178704,22.563392,106.005375,50.679833,105.03696,50.754306,101.399186,27.871994,1159,106.0054,50.6798,NED,Simbad,RFGC1159,RFGC1159,,106.005375,50.679833,,,NED,,False,unmatched,,,
RFGC1167,RFGC1167,1167,52.15,3.37,0.71,0.2106824925816023,18.59,107.600917,74.892028,x,True,True,Bizyaev 2002,139.935516,27.348232,107.600917,74.892028,105.970725,74.972404,97.33857,51.901195,1167,107.6009,74.892,NED,Simbad,RFGC1167,RFGC1167,,107.600917,74.892028,,,NED,,False,unmatched,,,
RFGC1194,RFGC1194,1194,29.44,2.3,0.64,0.2782608695652174,17.75,109.421125,23.355778,x,True,True,Bizyaev 2002,194.44192,15.910622,109.421125,23.355778,108.666666,23.446586,107.77744,1.107099,1194,109.4211,23.3558,NED,Simbad,RFGC1194,RFGC1194,,109.421125,23.355778,,,NED,,False,unmatched,,,
RFGC1206,RFGC1206,1206,32.57,1.84,0.39,0.2119565217391304,17.69,110.583125,17.287194, ,True,True,Bizyaev 2002,200.651623,14.460219,110.583125,17.287194,109.860999,17.383394,109.68476,-4.756562,1206,110.5831,17.2872,NED,Simbad,RFGC1206,RFGC1206,,110.583125,17.287194,,,NED,,False,unmatched,,,
RFGC1244,RFGC1244,1244,41.43,4.79,1.09,0.2275574112734864,18.64,115.163792,39.233028,x,True,True,Bizyaev 2002,180.136611,25.804739,115.163792,39.233028,114.316367,39.349495,110.207545,17.542669,1244,115.1638,39.233,NED,Simbad,RFGC1244,RFGC1244,,115.163792,39.233028,,,NED,,False,unmatched,,,
RFGC1263,RFGC1263,1263,63.54,3.34,0.75,0.2245508982035928,18.01,117.46175,33.962333, ,True,True,Bizyaev 2002,186.336228,26.156868,117.46175,33.962333,116.653806,34.088927,113.083621,12.697668,1263,117.4617,33.9623,NED,Simbad,RFGC1263,RFGC1263,,117.46175,33.962333,,,NED,,False,unmatched,,,
RFGC1329,RFGC1329,1329,54.63,2.62,0.68,0.2595419847328244,19.41,122.546875,24.892361, ,True,True,Bizyaev 2002,197.531106,27.639245,122.546875,24.892361,121.796579,25.040545,119.318257,4.704968,1329,122.5469,24.8924,NED,Simbad,RFGC1329,RFGC1329,,122.546875,24.892361,,,NED,,False,unmatched,,,
RFGC1339,RFGC1339,1339,73.42,7.83,1.13,0.144316730523627,18.76,123.488125,52.647889,x,True,True,Bizyaev 2002,165.880284,33.552909,123.488125,52.647889,122.540929,52.799512,113.216268,31.873956,1339,123.4881,52.6479,NED,Simbad,RFGC1339,RFGC1339,,123.488125,52.647889,,,NED,,False,unmatched,,,
RFGC1349,RFGC1349,1349,56.14,2.69,0.79,0.2936802973977695,17.15,123.996292,23.199444, ,True,True,Bizyaev 2002,199.834135,28.333501,123.996292,23.199444,123.255988,23.353561,120.984261,3.342622,1349,123.9963,23.1994,NED,Simbad,RFGC1349,RFGC1349,,123.996292,23.199444,,,NED,,False,unmatched,,,
RFGC1421,RFGC1421,1421,19.98,1.76,0.4,0.2272727272727273,17.68,130.74,-20.051111,x,True,True,Bizyaev 2002,244.261502,13.569257,130.74,-20.051111,130.176312,-19.870489,139.878824,-36.704329,1421,130.74,-20.0511,NED,Simbad,RFGC1421,RFGC1421,,130.74,-20.051111,,,NED,,False,unmatched,,,
RFGC1459,RFGC1459,1459,102.94,3.14,0.88,0.2802547770700637,17.89,134.13,21.378056, ,True,True,Bizyaev 2002,205.486566,36.612773,134.13,21.378056,133.410318,21.570578,130.534881,3.932189,1459,134.13,21.3781,NED,Simbad,RFGC1459,RFGC1459,,134.13,21.378056,,,NED,,False,unmatched,,,
RFGC1499,RFGC1499,1499,65.25,2.09,0.85,0.4066985645933014,17.12,137.61,-23.491111, ,True,True,Bizyaev 2002,251.138723,16.468903,137.61,-23.491111,137.050981,-23.286438,148.893101,-37.709623,1499,137.61,-23.4911,NED,Simbad,RFGC1499,RFGC1499,,137.61,-23.491111,,,NED,,False,unmatched,,,
RFGC1500,RFGC1500,1500,22.07,3.03,0.85,0.2805280528052805,17.02,137.705833,-8.889444,x,True,True,Bizyaev 2002,238.901652,25.591296,137.705833,-8.889444,137.094337,-8.684557,143.109389,-23.968905,1500,137.7058,-8.8894,NED,Simbad,RFGC1500,RFGC1500,,137.705833,-8.889444,,,NED,,False,unmatched,,,
RFGC1502,RFGC1502,1502,119.76,4.82,1.13,0.2344398340248962,18.0,137.790875,19.667722, ,True,True,Bizyaev 2002,208.954624,39.297041,137.790875,19.667722,137.082588,19.872704,134.316952,3.275721,1502,137.7909,19.6677,NED,Simbad,RFGC1502,RFGC1502,,137.790875,19.667722,,,NED,,False,unmatched,,,
RFGC1536,RFGC1536,1536,113.49,4.03,1.05,0.260545905707196,18.18,140.350917,19.566583, ,True,True,Bizyaev 2002,210.132742,41.537805,140.350917,19.566583,139.64633,19.779774,136.651518,3.905356,1536,140.3509,19.5666,NED,Simbad,RFGC1536,RFGC1536,,140.350917,19.566583,,,NED,,False,unmatched,,,
RFGC1548,RFGC1548,1548,55.37,2.34,0.66,0.2820512820512821,18.46,140.949542,42.182972, ,True,True,Bizyaev 2002,179.215688,45.481909,140.949542,42.182972,140.148063,42.397853,129.607584,25.492495,1548,140.9495,42.183,NED,Simbad,RFGC1548,RFGC1548,,140.949542,42.182972,,,NED,,False,unmatched,,,
RFGC1624,RFGC1624,1624,60.63,3.59,0.79,0.2200557103064067,18.95,146.601208,68.957667, ,True,True,Bizyaev 2002,142.810509,40.279827,146.601208,68.957667,145.554491,69.188571,118.478435,51.048671,1624,146.6012,68.9577,NED,Simbad,RFGC1624,RFGC1624,,146.601208,68.957667,,,NED,,False,unmatched,,,
RFGC1627,RFGC1627,1627,96.27,3.35,0.88,0.2626865671641791,18.23,146.725542,23.023194, ,True,True,Bizyaev 2002,207.999633,48.240845,146.725542,23.023194,146.019045,23.254924,141.191257,9.089305,1627,146.7255,23.0232,NED,Simbad,RFGC1627,RFGC1627,,146.725542,23.023194,,,NED,,False,unmatched,,,
RFGC1670,RFGC1670,1670,99.85,8.41,1.06,0.1260404280618311,18.73,149.15,20.645028,x,True,True,Bizyaev 2002,212.458155,49.710509,149.15,20.645028,148.454707,20.883086,144.148656,7.620153,1670,149.15,20.645,NED,Simbad,RFGC1670,RFGC1670,,149.15,20.645028,,,NED,,False,unmatched,,,
RFGC1691,RFGC1691,1691,81.79,3.82,0.88,0.2303664921465968,18.63,150.399458,21.606694, ,True,True,Bizyaev 2002,211.566558,51.110631,150.399458,21.606694,149.703455,21.847837,144.915563,8.926737,1691,150.3995,21.6067,NED,Simbad,RFGC1691,RFGC1691,,150.399458,21.606694,,,NED,,False,unmatched,,,
RFGC1692,RFGC1692,1692,93.0,4.36,1.1,0.2522935779816513,18.62,150.406417,39.627028, ,True,True,Bizyaev 2002,182.247393,52.805572,150.406417,39.627028,149.650162,39.868097,138.017,25.712643,1692,150.4064,39.627,NED,Simbad,RFGC1692,RFGC1692,,150.406417,39.627028,,,NED,,False,unmatched,,,
RFGC1723,RFGC1723,1723,64.25,3.43,0.71,0.2069970845481049,18.19,151.565,-16.024444, ,True,True,Bizyaev 2002,255.123191,31.119024,151.565,-16.024444,150.962493,-15.78037,159.852558,-25.80535,1723,151.565,-16.0244,NED,Simbad,RFGC1723,RFGC1723,,151.565,-16.024444,,,NED,,False,unmatched,,,
RFGC1754,RFGC1754,1754,110.32,6.6,1.69,0.256060606060606,18.28,153.384958,20.175111, ,True,True,Bizyaev 2002,215.180673,53.331225,153.384958,20.175111,152.697649,20.423174,148.067917,8.578428,1754,153.385,20.1751,NED,Simbad,RFGC1754,RFGC1754,,153.384958,20.175111,,,NED,,False,unmatched,,,
RFGC1789,RFGC1789,1789,27.04,1.66,0.32,0.1927710843373494,18.23,156.36,-15.35, ,True,True,Bizyaev 2002,258.694163,34.6945,156.36,-15.35,155.750102,-15.0956,164.230009,-23.37111,1789,156.36,-15.35,NED,Simbad,RFGC1789,RFGC1789,,156.36,-15.35,,,NED,,False,unmatched,,,
RFGC1792,RFGC1792,1792,14.61,1.13,0.18,0.1592920353982301,18.02,156.618208,20.228472,x,True,True,Bizyaev 2002,216.784606,56.221784,156.618208,20.228472,155.936022,20.483261,150.909507,9.73602,1792,156.6182,20.2285,NED,Simbad,RFGC1792,RFGC1792,,156.618208,20.228472,,,NED,,False,unmatched,,,
RFGC1872,RFGC1872,1872,103.64,3.76,1.2,0.3191489361702128,17.59,161.27625,38.984028, ,True,True,Bizyaev 2002,180.573233,61.187031,161.27625,38.984028,160.561627,39.24702,146.940139,28.550701,1872,161.2762,38.984,NED,Simbad,RFGC1872,RFGC1872,,161.27625,38.984028,,,NED,,False,unmatched,,,
RFGC1901,RFGC1901,1901,83.97,3.92,0.9,0.2295918367346938,18.14,163.411083,26.909528, ,True,True,Bizyaev 2002,206.591029,63.825633,163.411083,26.909528,162.729062,27.175762,154.174178,18.298461,1901,163.4111,26.9095,NED,Simbad,RFGC1901,RFGC1901,,163.411083,26.909528,,,NED,,False,unmatched,,,
RFGC1904,RFGC1904,1904,129.33,7.13,1.45,0.2033660589060308,18.75,163.560333,21.132667, ,True,True,Bizyaev 2002,219.188534,62.66492,163.560333,21.132667,162.888418,21.399126,156.682821,13.048526,1904,163.5603,21.1327,NED,Simbad,RFGC1904,RFGC1904,,163.560333,21.132667,,,NED,,False,unmatched,,,
RFGC1906,RFGC1906,1906,13.72,1.32,0.24,0.1818181818181818,18.91,163.622875,17.343278,x,True,True,Bizyaev 2002,226.730953,61.310197,163.622875,17.343278,162.957027,17.609834,158.24264,9.580907,1906,163.6229,17.3433,NED,Simbad,RFGC1906,RFGC1906,,163.622875,17.343278,,,NED,,False,unmatched,,,
RFGC1928,RFGC1928,1928,80.12,4.07,1.07,0.2628992628992629,17.93,164.689833,25.140944, ,True,True,Bizyaev 2002,211.026841,64.684811,164.689833,25.140944,164.013735,25.408927,156.024435,17.140046,1928,164.6898,25.1409,NED,Simbad,RFGC1928,RFGC1928,,164.689833,25.140944,,,NED,,False,unmatched,,,
RFGC1932,RFGC1932,1932,38.21,2.4,0.55,0.2291666666666666,18.92,164.91,-15.526944, ,True,True,Bizyaev 2002,267.140534,39.451588,164.91,-15.526944,164.289698,-15.258581,172.428504,-20.204907,1932,164.91,-15.5269,NED,Simbad,RFGC1932,RFGC1932,,164.91,-15.526944,,,NED,,False,unmatched,,,
RFGC1945,RFGC1945,1945,14.14,1.35,0.27,0.2,18.1,165.697708,17.989472,x,True,True,Bizyaev 2002,227.272339,63.374868,165.697708,17.989472,165.034038,18.258751,159.836838,10.946664,1945,165.6977,17.9895,NED,Simbad,RFGC1945,RFGC1945,,165.697708,17.989472,,,NED,,False,unmatched,,,
RFGC2026,RFGC2026,2026,101.81,4.12,1.13,0.2742718446601941,17.97,171.021917,24.615194, ,True,True,Bizyaev 2002,215.319473,70.216485,171.021917,24.615194,170.360498,24.889827,161.765021,19.009002,2026,171.0219,24.6152,NED,Simbad,RFGC2026,RFGC2026,,171.021917,24.615194,,,NED,,False,unmatched,,,
RFGC2044,RFGC2044,2044,51.01,2.65,0.61,0.230188679245283,18.14,172.26025,17.231306, ,True,True,Bizyaev 2002,236.132703,68.555226,172.26025,17.231306,171.60737,17.50686,166.006813,12.745449,2044,172.2602,17.2313,NED,Simbad,RFGC2044,RFGC2044,,172.26025,17.231306,,,NED,,False,unmatched,,,
RFGC2068,RFGC2068,2068,75.97,3.39,0.83,0.2448377581120943,18.97,173.433,17.395694, ,True,True,Bizyaev 2002,237.37756,69.595909,173.433,17.395694,172.781781,17.671991,166.989192,13.349338,2068,173.433,17.3957,NED,Simbad,RFGC2068,RFGC2068,,173.433,17.395694,,,NED,,False,unmatched,,,
RFGC2097,RFGC2097,2097,68.96,5.1,0.77,0.1509803921568627,19.58,175.762375,40.827444, ,True,True,Bizyaev 2002,164.360921,70.354675,175.762375,40.827444,175.102467,41.104838,157.578552,35.281435,2097,175.7624,40.8274,NED,Simbad,RFGC2097,RFGC2097,,175.762375,40.827444,,,NED,,False,unmatched,,,
RFGC2100,RFGC2100,2100,86.45,4.21,1.26,0.2992874109263658,18.15,175.844583,16.48525, ,True,True,Bizyaev 2002,243.472742,70.986608,175.844583,16.48525,175.197424,16.762709,169.5363,13.456885,2100,175.8446,16.4852,NED,Simbad,RFGC2100,RFGC2100,,175.844583,16.48525,,,NED,,False,unmatched,,,
RFGC2162,RFGC2162,2162,21.7,1.42,0.29,0.204225352112676,19.24,180.280417,-24.566944, ,True,True,Bizyaev 2002,288.591278,36.899681,180.280417,-24.566944,179.639829,-24.288571,190.554972,-22.313755,2162,180.2804,-24.5669,NED,Simbad,RFGC2162,RFGC2162,,180.280417,-24.566944,,,NED,,False,unmatched,,,
RFGC2171,RFGC2171,2171,47.64,2.72,0.77,0.2830882352941176,19.28,180.84025,29.419556, ,True,True,Bizyaev 2002,197.906906,79.175154,180.84025,29.419556,180.201008,29.697834,168.091775,27.11315,2171,180.8402,29.4196,NED,Simbad,RFGC2171,RFGC2171,,180.84025,29.419556,,,NED,,False,unmatched,,,
RFGC2174,RFGC2174,2174,100.18,3.68,0.96,0.2608695652173913,18.26,181.040083,20.184472, ,True,True,Bizyaev 2002,243.116375,77.149745,181.040083,20.184472,180.400702,20.462753,172.615714,18.86555,2174,181.0401,20.1845,NED,Simbad,RFGC2174,RFGC2174,,181.040083,20.184472,,,NED,,False,unmatched,,,
