r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
3.85,113.0,7.32,123.57242962537363,3059.4520779220784,485.6508320381636,31.03818197609721,2.0885598966706773,0.40903993111378484,0.3169153587895723,2113.0461449545905,906.8194450695884,0.2963992969896371,3966.2715229916666
4.17,117.0,5.21,130.01381576558157,3200.208752997602,261.38483738483677,28.143315602955617,2.0798422506285577,0.4032281670857051,0.31143999371868686,1381.0162186100047,853.410501181436,0.26667338509778626,4053.619254179038
4.5,119.0,5.67,130.3985178282057,3229.3522222222223,104.24740202730875,26.517176161695033,2.0749006509881114,0.3999337673254076,0.30916191099801293,587.1623926533956,549.2641003984183,0.1700849156740332,3778.616322620641
4.82,127.0,5.39,130.1511735149571,3267.9695643153527,44.64121151771553,26.84716737171092,2.0759083032728927,0.40060553551526173,0.3107702233747804,246.54409903207176,246.41383139428825,0.07540273143452991,3514.383395709641
5.15,132.0,4.34,127.50879721683224,3258.3690097087374,-18.00758961819683,29.034065570183554,2.0826905073174675,0.40512700487831166,0.3168102925276751,-101.38000656531398,-101.38000627509787,0.031113727749381013,3156.9890034336395
5.46,134.0,2.36,128.39601799276528,3256.4447069597068,-40.01600376682147,32.58345775792583,2.0938600598723336,0.41257337324822235,0.3276083251624423,-237.17425859605578,-237.11550615411977,0.07281422762909319,3019.329200805587
5.78,137.0,0.89,125.01113842476394,3233.15892733564,-87.00640687863985,37.594303820895554,2.109749137214136,0.4231660914760906,0.34315314511149303,-548.209192802821,-529.3899428623713,0.16373768031830946,2703.7689844732686
6.1,140.0,2.84,121.87554651091384,3200.7606065573773,-132.84299623595322,43.717296325090196,2.1294686269974585,0.43631241799830567,0.36264311539505634,-885.9428006968132,-765.736206994439,0.23923570085987697,2435.024399562938
6.43,142.0,0.88,116.56130413442108,3146.8109797822704,-273.46327619545764,50.78499627768336,2.152976149253504,0.451984099502336,0.38496013256091843,-1658.7385042022781,-1033.819125736079,0.3285291466116626,2112.9918540461913
6.74,144.0,1.23,113.04977666472111,3025.7441097922842,-491.6509324301518,58.707147694838696,2.1801840229457503,0.4701226819638335,0.40900489803189993,-2288.9021926546034,-1129.5642872487647,0.3733178505059731,1896.1798225435195
7.06,146.0,1.57,109.42196923024343,2837.070892351275,-540.4982914973177,66.56805847630599,2.207911748634963,0.48860783242330874,0.43366430965818886,-2521.1599606786417,-1141.1548370787054,0.40222993375148,1695.9160552725693
8.04,147.0,3.0,103.22541396524366,2323.0963308457717,-454.76311046613955,73.70071173735836,2.2338412332158377,0.5058941554772252,0.4580785574715706,-2366.3368109846883,-997.7871158835925,0.429507421898569,1325.3092149621793
9.04,148.0,3.0,98.18719523358833,1936.6399336283187,-316.41109370973857,79.73900430193223,2.2567126368087513,0.5211417578725008,0.48148378930221214,-1998.0973175153194,-870.1880190443815,0.44932875953563217,1066.4519145839372
10.04,152.0,2.0,96.18051508283547,1690.2741434262946,-208.41891156053623,84.80008393088215,2.276764645596763,0.5345097637311754,0.5031154826149066,-1492.016468627944,-768.890529721161,0.4548910203184972,921.3836137051336
11.04,155.0,2.0,95.75835553005867,1519.8021105072462,-158.5925529318903,89.15593497256775,2.2948236675850606,0.5465491117233737,0.5223735837627552,-1158.3187448230487,-689.2167251973624,0.4534910962634015,830.5853853098838
12.05,156.0,2.0,94.18379835099829,1371.5031120331948,-146.88913237315248,92.99066913039697,2.3114972345189977,0.5576648230126651,0.5388605591567192,-1039.0604278795097,-635.3547409276755,0.46325431955148044,736.1483711055193
14.05,157.0,2.0,88.58772615589604,1077.665822064057,-139.33663527993886,96.31254509962822,2.326693125050408,0.5677954167002719,0.5526497345384166,-882.7829626481338,-519.1045960518132,0.4816934762369752,558.5612260122438
16.07,153.0,2.0,82.26156088255462,811.3698382078406,-106.67853295401076,98.74487365928276,2.338344769602221,0.5755631797348139,0.5639655565663536,-625.256624562848,-390.2768451254362,0.4810098018771346,421.09299308240446
18.13,153.0,2.0,81.1022005159482,642.4174076116933,-67.52686570091358,100.20984378481258,2.345505721357121,0.5803371475714139,0.5728426128694538,-366.10327211710614,-279.6172460822356,0.4352578911610832,362.8001615294577
20.05,154.0,2.0,82.30168970756563,542.6129127182046,-47.050187135681135,101.15095385153704,2.350105219383439,0.5834034795889593,0.5792835563424239,-235.13515427248973,-204.77909083688718,0.37739442987276495,337.8338218813174
