r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,eta_profile,a_struct_raw,a_struct,struct_to_bar_ratio,a_total
4.54,213.0,2.18,165.2179065165277,8795.267246696036,-730.3735055819493,46.96276995877083,2.1369269804253763,0.44128465361691754,0.33311126846610906,-7318.757465042402,-2782.7217326642985,0.3163885365404485,6012.545514031737
4.71,214.0,7.61,169.57792021761583,8702.633227176222,-527.3159201020628,45.879758390468304,2.133262027811035,0.43884135187402334,0.32990198189641184,-5051.239270309583,-2597.182903326524,0.29843644280171994,6105.450323849698
4.86,215.0,4.7,170.9679888646705,8626.526152263375,-582.0902200389627,46.006420617577994,2.1336872523365025,0.4391248348910016,0.3304213242018324,-5399.237015255785,-2612.111910199571,0.3027999758065094,6014.4142420638045
5.02,215.0,2.34,170.80491417173772,8522.185258964144,-796.2271167496866,46.89441055090895,2.1367207891252757,0.4411471927501838,0.3346947955991325,-7163.329073258605,-2710.5679870090253,0.31806020458871015,5811.617271955119
5.18,216.0,2.95,170.20509489295313,8371.733474903476,-1015.7561798120419,50.06841456614378,2.1472485253811193,0.4481656835874129,0.3425454222457107,-9243.968466507757,-2779.1129483553727,0.33196385870220446,5592.620526548104
5.35,217.0,4.48,169.35362679948997,8186.98571962617,-1175.048147565394,53.88823981510076,2.160023124822758,0.45668208321517206,0.353211463566883,-10931.09484869844,-2826.116390627866,0.34519620375701726,5360.869328998304
5.51,217.0,3.99,167.78676723334675,7983.967586206896,-1364.6837321151518,58.133555067906514,2.1744060327982817,0.4662706885321878,0.3661371841252383,-12959.674205015925,-2874.6392271112,0.3600514651484091,5109.328359095696
5.68,218.0,5.14,165.64532179357005,7736.64008802817,-1468.0473243297397,62.47818355722106,2.18933689352803,0.47622459568535347,0.3808981046321175,-14315.50437837357,-2905.9406809691245,0.37560758260757593,4830.699407059045
5.84,218.0,2.51,163.3097362322204,7499.511969178082,-1466.4062646713646,66.77638581083207,2.2044673371395076,0.4863115580930051,0.39624800065272303,-14868.19666695849,-2932.7191698223633,0.3910546688738438,4566.792799355719
6.0,219.0,3.95,160.912107830806,7267.390083333333,-1400.2412853108851,71.03344701630853,2.2199779297243842,0.49665195314958943,0.41167451142016087,-14844.615223071502,-2951.939008907843,0.4061897015377875,4315.451074425489
6.15,219.0,7.84,158.7041158949579,7065.437170731707,-1267.953041409465,75.07538458863107,2.2352630579030057,0.5068420386020038,0.4267228223447411,-14121.238412088063,-2969.9906013007753,0.4203548244125422,4095.4465694309315
6.48,219.0,7.74,156.1946769094044,6658.772623456789,-1227.6453816260555,78.77427898943857,2.249722729389452,0.5164818195929681,0.4412433411852057,-13689.138239591066,-2893.83788659981,0.434590284162237,3764.934736856979
6.64,219.0,6.69,153.8676331829953,6463.8909337349405,-1217.7460355719027,82.06707716156903,2.263008800386755,0.5253392002578365,0.4551389965164242,-13823.524704621888,-2898.341454617953,0.4483895975861159,3565.5494791169876
6.81,220.0,6.26,151.4920244499692,6256.916431718062,-1194.66963549237,84.9385563330015,2.27486688814194,0.5332445920946265,0.46838170525792344,-13727.003191555492,-2886.896832312766,0.46139290236933284,3370.019599405296
7.1,220.0,2.52,148.63187953641693,5914.34290140845,-1186.7840367066026,87.61657187437743,2.286274267433831,0.5408495116225541,0.4808964762695931,-13505.559546006354,-2802.873096545358,0.4739111585630041,3111.4698048630926
7.13,220.0,11.4,146.86327085293462,5877.145539971949,-1169.3822092177484,90.11091454084713,2.297233191535477,0.5481554610236514,0.4925235881057286,-13659.236939382277,-2852.0655504035853,0.48528074232737106,3025.0799895683635
8.52,220.0,2.93,135.47375821640827,4253.820164319248,-847.3383981871011,92.57265205184049,2.3083847850788213,0.5555898567192141,0.5032487615876942,-8823.87093556868,-2099.6958491457917,0.4936024016148818,2154.124315173456
10.66,225.0,1.79,124.37616088479136,2886.0409943714817,-542.318261620221,94.81799038038798,2.3188102816787146,0.5625401877858097,0.5132642757192625,-4739.145616849505,-1434.8750097148677,0.49717762585952213,1451.165984656614
11.99,228.0,5.71,119.76589662108768,2371.9757964970804,-381.8367098194978,96.6243296913544,2.3273440389230426,0.5682293592820284,0.5226417885273988,-3050.071863151068,-1175.6563641823966,0.4956443341110811,1196.3194323146838
12.1,228.0,9.96,119.6400701632583,2336.196132231405,-318.4616599420359,98.13219040217143,2.3346088694647693,0.5730725796431795,0.5315654256822617,-2566.910307235322,-1153.2418852339365,0.49364086744396063,1182.9542469974685
12.33,228.0,8.24,118.40592087361759,2263.6988321167883,-298.99694719660266,99.56975113993313,2.341729350075814,0.5778195667172094,0.5399509772564763,-2401.4526769332933,-1126.637834717811,0.49769775852395093,1137.0609973989772
