r_kpc,v_obs_kms,v_bar_internal_kms,v_err_kms,galaxy,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,matched_sparc_name,matched_sparc_name_norm,included_source_catalog,secondary_source_catalog,duplicate_flag,duplicate_status,source_object_name_primary,source_object_name_secondary,structure_2014_Name,structure_2014_preferred_name,structure_2014_catalog_name_normalized,structure_2014_RAJ2000,structure_2014_DEJ2000,structure_2014_Band,structure_2014_h,structure_2014_e_h,structure_2014_z0,structure_2014_e_z0,structure_2014_z0_over_h,structure_2014_h_over_z0,structure_2014_S0,structure_2014_e_S0,structure_2014_gradz0,structure_2014_mag,structure_2014_B/T,structure_2014_Type,structure_2014_RV,structure_2014_AName,structure_2014_NED,structure_2014_thickness_flag,structure_2014_biz_name,structure_2014_biz_name_norm,structure_2014_biz_catalog_token,structure_2014_RA_match_deg,structure_2014_DE_match_deg,structure_2014_biz_aname_norm,structure_2014_biz_aname_token,structure_2014_biz_ned_norm,structure_2014_biz_ned_token,structure_2014_matched,structure_2014_match_reason,structure_2014_matched_sparc_name,structure_2014_matched_sparc_index,structure_2014_matched_sep_deg,structure_2014___source_catalog__,segment_index,h_i_kpc,alpha_i,d_i,d_gal_mean,sigma0_i,sigma1_i,delta_d_eff_i,beta_i,density_ratio_i,thickness_visibility_i,radial_visibility_i,omega_i,a_i,g_scale_i,delta_mag_i,g_trans_raw_km2s2_per_kpc,g_cap_i,g_trans_km2s2_per_kpc,g_bar_internal_km2s2_per_kpc,g_desc_km2s2_per_kpc,v_desc_kms,rotation_residual_desc_kms,rotation_residual_bar_only_kms
3.46,53.7,34.20640437111156,4.19,UGC04278,-7.65,33.34,0.0,833.4364161849712,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,3,0.35,-0.07696971301467687,2.973060600444863,3.497948312726774,-0.5248877122819109,0.2619743801349146,0.7868620924168255,0.1814848845402458,0.3499855685811925,0.5,0.5171898355754858,1.1258476562331674,0.5171898355754858,60.226220009570326,0.9895154878817529,6.2976463827220615,283.7778847947425,6.296612738889132,338.1728612716763,344.4694740105654,34.5233888845889,19.176611115411106,19.493595628888443
3.74,58.0,34.94243981178189,7.53,UGC04278,-8.9,33.79,0.0,899.4652406417111,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,3,0.35,-0.07696971301467687,2.973060600444863,3.497948312726774,-0.5248877122819109,0.2619743801349146,0.7868620924168255,0.1814848845402458,0.3499855685811925,0.5,0.5171898355754858,1.1258476562331674,0.5171898355754858,60.226220009570326,0.9895154878817529,6.2976463827220615,283.7778847947425,6.296612738889132,326.46366310160425,332.76027584049336,35.27780366807782,22.722196331922177,23.057560188218112
4.29,67.5,35.66106139755237,4.0,UGC04278,-10.37,34.12,0.0,1062.062937062937,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,4,0.35,0.09055780151539107,3.031695230530387,3.497948312726774,-0.46625308219638706,0.05863463008552383,0.5248877122819109,0.43459749472405296,0.3569529841834805,0.5,0.7242152466367714,1.1518849887050004,0.7242152466367714,49.343483470977546,0.9413329244825861,16.839804898786532,232.37760352638216,16.81038846163735,296.43620046620043,313.24658892783776,36.658257821402586,30.841742178597414,31.838938602447627
4.57,71.3,35.604461799049844,4.0,UGC04278,-8.76,34.51,0.0,1112.4048140043762,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,4,0.35,0.09055780151539107,3.031695230530387,3.497948312726774,-0.46625308219638706,0.05863463008552383,0.5248877122819109,0.43459749472405296,0.3569529841834805,0.5,0.7242152466367714,1.1518849887050004,0.7242152466367714,49.343483470977546,0.9413329244825861,16.839804898786532,232.37760352638216,16.81038846163735,277.3911816192559,294.20157008089325,36.66744026066835,34.63255973933165,35.69553820095015
4.85,75.6,35.01839802161144,4.0,UGC04278,1.41,34.99,0.0,1178.424742268041,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,4,0.35,0.09055780151539107,3.031695230530387,3.497948312726774,-0.46625308219638706,0.05863463008552383,0.5248877122819109,0.43459749472405296,0.3569529841834805,0.5,0.7242152466367714,1.1518849887050004,0.7242152466367714,49.343483470977546,0.9413329244825861,16.839804898786532,232.37760352638216,16.81038846163735,252.84292783505157,269.6533162966889,36.16377447168563,39.43622552831437,40.581601978388555
5.13,80.0,36.532222762925336,4.0,UGC04278,9.52,35.27,0.0,1247.5633528265107,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,4,0.35,0.09055780151539107,3.031695230530387,3.497948312726774,-0.46625308219638706,0.05863463008552383,0.5248877122819109,0.43459749472405296,0.3569529841834805,0.5,0.7242152466367714,1.1518849887050004,0.7242152466367714,49.343483470977546,0.9413329244825861,16.839804898786532,232.37760352638216,16.81038846163735,260.15658869395713,276.96697715559446,37.69403922118455,42.30596077881545,43.467777237074664
5.68,84.8,42.6416228584232,15.7,UGC04278,23.98,35.26,0.0,1266.0281690140846,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,5,0.35,3.0,4.05,3.497948312726774,0.552051687273226,1.018304769469613,1.570356456742839,0.01332343464867583,0.5561486107416095,0.5,0.9245142002989537,1.267373064728655,0.9245142002989537,68.19336126435074,0.999943197161859,1.0645147482636423,321.0727349565941,1.0645108477210108,320.12464788732393,321.18915873504494,42.712462134780466,42.08753786521953,42.1583771415768
5.86,86.3,44.694300531499536,16.8,UGC04278,27.31,35.38,0.0,1270.9368600682592,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,5,0.35,3.0,4.05,3.497948312726774,0.552051687273226,1.018304769469613,1.570356456742839,0.01332343464867583,0.5561486107416095,0.5,0.9245142002989537,1.267373064728655,0.9245142002989537,68.19336126435074,0.999943197161859,1.0645147482636423,321.0727349565941,1.0645108477210108,340.88404436860066,341.94855521632167,44.76403169473953,41.53596830526047,41.60569946850046
6.36,90.2,50.74600476884855,8.07,UGC04278,36.83,34.91,0.0,1279.2515723270442,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,5,0.35,3.0,4.05,3.497948312726774,0.552051687273226,1.018304769469613,1.570356456742839,0.01332343464867583,0.5561486107416095,0.5,0.9245142002989537,1.267373064728655,0.9245142002989537,68.19336126435074,0.999943197161859,1.0645147482636423,321.0727349565941,1.0645108477210108,404.8988993710691,405.9634102187901,50.812668587582614,39.38733141241739,39.45399523115145
6.51,91.3,52.11115043826993,4.0,UGC04278,39.02,34.54,0.0,1280.4439324116745,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,5,0.35,3.0,4.05,3.497948312726774,0.552051687273226,1.018304769469613,1.570356456742839,0.01332343464867583,0.5561486107416095,0.5,0.9245142002989537,1.267373064728655,0.9245142002989537,68.19336126435074,0.999943197161859,1.0645147482636423,321.0727349565941,1.0645108477210108,417.1385560675884,418.2030669153094,52.17760022862937,39.122399771370624,39.188849561730066
6.69,92.8,51.48213282295131,8.75,UGC04278,38.64,34.02,0.0,1287.270553064275,UGC04278,UGC4278,Bizyaev_2014,,False,unique_to_2014,IC02233,,EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,5,0.35,3.0,4.05,3.497948312726774,0.552051687273226,1.018304769469613,1.570356456742839,0.01332343464867583,0.5561486107416095,0.5,0.9245142002989537,1.267373064728655,0.9245142002989537,68.19336126435074,0.999943197161859,1.0645147482636423,321.0727349565941,1.0645108477210108,396.1748878923767,397.2393987400977,51.551251949601124,41.24874805039887,41.31786717704869
