galaxy,matched_sparc_name,h_kpc_source,v_vis_source,r_kpc,v_obs_kms,v_vis_kms,h_kpc,r_min_kpc,r_max_kpc,delta_r_kpc,Dw,sigma,sigma_scale,beta,rho_struct,M_struct,g_topo_kms2_per_kpc,v_struct_kms,v_topo_kms,residual_kms,abs_residual_kms,sq_error
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),31.96,249.0,158.29657766357425,1.68,0.82,49.99,1.6400000000000006,2.008587801953264,0.0005327406726278738,0.2432927874039356,0.9978126855711902,4.025600402232522,129.20479310231823,5.439181352511669e-07,0.004169367290444354,158.29657771848267,90.70342228151733,90.70342228151733,8227.110813579255
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),33.6,244.0,154.95305514897083,1.68,0.82,49.99,1.6400000000000006,2.0081106575526966,0.000477144400567564,0.2432927874039356,0.9980407276970126,4.024607630931614,135.80514961704608,5.172567171142452e-07,0.004168911811856739,154.95305520505178,89.04694479494822,89.04694479494822,7929.358377314556
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),35.24,239.0,151.39043067512557,1.68,0.82,49.99,1.6400000000000006,2.0076810053425502,0.00042965221014634736,0.2432927874039356,0.998235570163947,4.023670985391518,142.40397003308817,4.93081550688484e-07,0.00416847620195464,151.39043073251426,87.60956926748574,87.60956926748574,7675.436627234381
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),36.88,238.0,148.93430095179554,1.68,0.82,49.99,1.6400000000000006,2.0072922277168943,0.0003887776256559228,0.2432927874039356,0.9984032935572521,4.022788602586354,149.0013433413298,4.7106063663099626e-07,0.004168059054158319,148.93430101011896,89.06569898988104,89.06569898988104,7932.698736556097
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),38.52,241.0,147.86294194286816,1.68,0.82,49.99,1.6400000000000006,2.006938869704663,0.0003533580122314639,0.2432927874039356,0.9985486559962916,4.021957898089658,155.59735429419683,4.509185552521746e-07,0.004167659144929413,147.8629420016029,93.1370579983971,93.1370579983971,8674.511572596784
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),40.16,237.0,146.86702999652442,1.68,0.82,49.99,1.6399999999999935,2.006616395922317,0.0003224737823459556,0.2432927874039356,0.9986754224494753,4.021175936478525,162.19208283002158,4.324249045706448e-07,0.004167275388975043,146.86703005564655,90.13296994435345,90.13296994435345,8123.952270989722
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),41.8,228.0,145.3176358877339,1.68,0.82,49.99,1.6400000000000006,2.0063210058075116,0.0002953901148052829,0.2432927874039356,0.9987866024764905,4.020439660197819,168.785603872746,4.153854631606465e-07,0.004166906809626899,145.31763594747582,82.68236405252418,82.68236405252418,6836.373325314143
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),43.44,233.0,144.56442508445846,1.68,0.82,49.99,1.6400000000000006,2.00604949150137,0.0002715143061418068,0.2432927874039356,0.9988846243218034,4.019746028998698,175.37798736030388,3.9963535659847646e-07,0.004166552518646299,144.56442514450146,88.43557485549854,88.43557485549854,7820.850900022487
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),45.08,233.0,145.48456034919994,1.68,0.82,49.99,1.6400000000000006,2.005799127352258,0.00025036414911161486,0.2432927874039356,0.9989714640724132,4.0190921025438735,181.96929840847582,3.8503371663254587e-07,0.004166211701989611,145.4845604088534,87.51543959114659,87.51543959114659,7658.952166831627
UGC12506,UGC12506,structure_2014_z0,sqrt(v_gas^2 + v_disk^2 + v_bul^2),46.71,230.0,141.73603987694875,1.68,0.82,49.99,1.6300000000000026,2.0055689421590976,0.00023018519316053698,0.2432927874039356,0.9990543232372046,4.018502979696824,188.51945826538164,3.715394245306673e-07,0.004165886042587755,141.73603993817034,88.26396006182966,88.26396006182966,7790.526645796262
