galaxy,source_file,beta_mode,beta,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.13664034842931,21.904495503602163,0.23577578413208053,0.2617416189441692,1624.979046772637,116.06993191233121,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\ESO116-G012_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\ESO116-G012_rotation_curve.png,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,10.827537944009393,8.409699857927318,0.28362477902065614,0.11168620728283538,236.073507061569,39.345584510261496,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\ESO444-G084_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\ESO444-G084_rotation_curve.png,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO563-G021_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,61.466367641430715,54.126481271201435,0.31060934934697415,0.15068707554655275,1722.4810620270193,59.395898690586876,30,30,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\ESO563-G021_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\ESO563-G021_rotation_curve.png,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F561-1_normalized.csv,structural,1980.4488132348085,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.1543264580274615,2.9816367275974893,0.08113500482624159,0.04975998213646782,3.1739761714484485,0.6347952342896896,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F561-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F561-1_rotation_curve.png,ok,
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-1_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,36.23913802823042,33.138293582651386,0.35378802404670784,0.38729756606271365,184.09883529239346,11.506177205774591,17,17,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F563-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F563-1_rotation_curve.png,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,structural,538.0319209802088,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,1.5709943181019477,0.9706693307925957,0.035502769651746244,0.01566921476994796,0.5923255554020649,0.11846511108041298,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F563-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F563-V1_rotation_curve.png,ok,
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,37.40112662378242,34.14984805028663,0.5545688159871217,0.4016497279032727,92.53475137755883,10.281639041950982,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F563-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F563-V2_rotation_curve.png,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,17.660933020500256,16.143482169867507,0.31039266799446324,0.25601366660471986,55.89854885819859,9.316424809699765,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F565-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F565-V2_rotation_curve.png,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,1.5687937381465273,1.4107816439536598,0.03426001955212316,0.02359537073046335,0.18752571171763951,0.04688142792940988,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F567-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F567-2_rotation_curve.png,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,44.905541368940334,40.51904674181772,0.41090532436157506,0.4275132663719869,198.03107244249958,18.002824767499963,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F568-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F568-1_rotation_curve.png,ok,
F568-3,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-3_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,23.751054579484364,19.577325418506113,0.2232695323197017,0.26679909281483594,124.28605572354408,7.310944454326123,18,18,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F568-3_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F568-3_rotation_curve.png,ok,
F568-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-V1_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,39.05314316457145,36.27160480643085,0.3956440197489384,0.4006800083616758,222.45198965399075,15.889427832427911,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F568-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F568-V1_rotation_curve.png,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-8_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,41.79004110040382,37.736619503978105,0.576685616057498,0.4029883005846018,1225.4374697304327,102.11978914420273,13,13,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F571-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F571-8_rotation_curve.png,ok,
F571-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-V1_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,18.892699652748927,17.180696910635174,0.23328696611805166,0.25203824318427703,66.43747061130367,11.072911768550611,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F571-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F571-V1_rotation_curve.png,ok,
F574-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-1_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,24.76045310899326,22.949959674564408,0.29797283347887904,0.3020454102466742,412.44147071717316,31.72626697824409,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F574-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F574-1_rotation_curve.png,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-2_normalized.csv,structural,0.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.294377305917471,7.0283879765900155,0.3269709997674234,0.2312297324481212,3.3569881462025783,0.8392470365506446,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F574-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F574-2_rotation_curve.png,ok,
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,28.873019583306984,28.414934075373164,0.28568155192270944,0.2841098007220283,105.09832299990197,8.084486384607844,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F579-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F579-V1_rotation_curve.png,ok,
F583-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-1_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,16.616125728288218,14.228277592313095,0.38629101772966784,0.24781735936233307,173.9482553955347,7.247843974813946,25,25,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F583-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F583-1_rotation_curve.png,ok,
F583-4,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-4_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,12.15986281748697,9.824345114136948,0.3784345127805042,0.1401624063880597,78.87594285726568,7.170540259751426,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\F583-4_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\F583-4_rotation_curve.png,ok,
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC2574_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.944991453184972,7.072766421723316,0.2156199656315769,0.162258269243357,2729.779832392873,82.7206009816022,34,34,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\IC2574_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\IC2574_rotation_curve.png,ok,
IC4202,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC4202_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,34.80961783729978,23.342211913624865,0.21353574088184532,0.06101339485911508,1828.1763648463495,58.973431124075795,32,32,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\IC4202_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\IC4202_rotation_curve.png,ok,
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\KK98-251_normalized.csv,structural,652.628032606977,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,6.002043056738386,4.954292213133268,0.4919593124856533,0.13197367131513008,135.09195320603052,9.64942522900218,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\KK98-251_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\KK98-251_rotation_curve.png,ok,
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0024_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,23.208741284632374,20.321248403637124,0.21927280751962164,0.21134429724441992,812.3706259187896,29.013236639956773,29,29,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0024_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0024_rotation_curve.png,ok,
NGC0055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0055_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,14.550900688501626,12.549131778432272,0.15511548053528723,0.20521331036441967,479.5760688801732,23.97880344400866,21,21,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0055_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0055_rotation_curve.png,ok,
NGC0100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0100_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,16.815504628143845,13.53030647352248,0.1902940767747736,0.1924112126275901,184.79199717129816,9.239599858564908,21,21,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0100_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0100_rotation_curve.png,ok,
NGC0247,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0247_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,22.601637772344453,20.487972815743596,0.22660878427539347,0.2305597551533684,1269.92683998857,50.7970735995428,26,26,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0247_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0247_rotation_curve.png,ok,
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0289_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,50.88447309761562,47.40823543757601,0.27466545404336573,0.29615831195131925,1689.9315996803275,62.59005924741954,28,28,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0289_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0289_rotation_curve.png,ok,
NGC0300,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0300_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,23.317629136134016,20.895159708314683,0.23914927631716063,0.27054678578310576,1058.557329122714,44.106555380113086,25,25,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0300_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0300_rotation_curve.png,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0801_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,37.37670122716885,32.37965474805828,0.17616091444776652,0.16028894196721954,663.9328869897387,55.32774058247822,13,13,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0801_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0801_rotation_curve.png,ok,
NGC0891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0891_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,69.84207749805199,51.06270294760392,0.2358585338216348,0.1738891183971626,3702.0706591161975,217.7688623009528,18,18,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC0891_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC0891_rotation_curve.png,ok,
NGC1003,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1003_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,34.46236307316958,30.91314412726819,0.29717213538279347,0.3316434944026948,7789.885474023239,222.56815640066398,36,36,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC1003_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC1003_rotation_curve.png,ok,
NGC1090,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1090_normalized.csv,structural,2000.0,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,24.01968865905394,19.971605334743995,0.1958579296874828,0.14512392117649695,1916.9114605888353,83.34397654734066,24,24,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\tables\NGC1090_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-21_181816_structural\figures\NGC1090_rotation_curve.png,ok,
