TrackName,Name,ID,On,InfoFlags_raw,InfoFlags_str,has_empirical_track,has_D,has_pm,has_vrad,has_empirical_track_from_flag,has_D_from_flag,has_pm_from_flag,has_vrad_from_flag,length,ra_mid,dec_mid,distance_mid,ra_pole,dec_pole,width_phi2,width_pm_phi1_cosphi2,width_pm_phi2,n_track_points,n_mid_points,n_end_points,availability_score,availability_score_from_flag,halo_usefulness_label
GD-1-PB18,GD-1,,False,1110,1110,1,1,1,0,1,1,1,0,100.03048012775923,200.48591243638376,58.31146515731768,9.99999999996168,34.598699997816645,29.7330999997394,0.67,1.15,0.85,0,0,0,3,3,B_partial_dynamic
Gaia-1-I21,Gaia-1,32.0,True,1111,1111,1,1,1,1,1,1,1,1,34.57025166743803,193.08898771204576,-6.481304964927956,5.10823124227772,107.69268655998718,35.2389442306554,0.38,0.61,0.51,3455,1,2,4,4,A_full_6D_like
Gaia-1-I24,Gaia-1,,False,1111,1111,1,1,1,1,1,1,1,1,40.361498470027314,193.8443063372385,-5.556348782951182,1.0,107.78425076157076,35.246898548136855,0.64,0.95,0.54,0,0,0,4,4,A_full_6D_like
Gaia-10-I21,Gaia-10,33.0,True,1110,1110,1,1,1,0,1,1,1,0,17.245351499621734,159.62038747142103,15.005847531328133,13.742982087345728,317.9828745994228,73.91283211077061,0.7,-9.0,-9.0,1724,1,2,3,3,B_partial_dynamic
Gaia-10-I24,Gaia-10,,False,1111,1111,1,1,1,1,1,1,1,1,22.229594572647407,157.5630101277644,15.387882376713796,1.0,321.77006792890126,74.0384651121463,0.61,0.26,0.21,0,0,0,4,4,A_full_6D_like
Gaia-11-I21,Gaia-11,34.0,True,1110,1110,1,1,1,0,1,1,1,0,21.731723112138564,272.8080994977688,38.46159792819101,12.503667387818144,15.622732104183132,15.599888424389256,0.26,0.52,0.51,2172,1,2,3,3,B_partial_dynamic
Gaia-11-I24,Gaia-11,,False,1010,1010,1,0,1,0,1,0,1,0,50.57878459343259,271.4318240550185,41.968901526967336,1.0000000000000009,13.89726336947261,13.496520203748618,0.62,0.38,0.27,0,0,0,2,2,C_position_only_plus
Gaia-12-I21,Gaia-12,35.0,True,1110,1110,1,1,1,0,1,1,1,0,13.747911942421212,41.55950372042749,15.889007764331447,11.36903867695182,149.28213717378802,46.92215855110036,0.25,-9.0,-9.0,1374,1,2,3,3,B_partial_dynamic
Gaia-12-I24,Gaia-12,,False,1111,1111,1,1,1,1,1,1,1,1,29.415212376007474,32.99873700046688,22.701450563640982,1.0,147.80553639240958,45.0819373835188,0.37,0.32,0.4,0,0,0,4,4,A_full_6D_like
Gaia-2-I21,Gaia-2,36.0,True,1111,1111,1,1,1,1,1,1,1,1,14.441411294787777,5.354125146889267,-14.79111446361794,7.04069299036499,86.1411450696899,31.23035388011866,0.23,0.35,0.54,1436,1,2,4,4,A_full_6D_like
Gaia-3-M18,Gaia-3,37.0,True,0,0000,0,0,0,0,0,0,0,0,18.498343358211336,175.61935063833926,-25.41367702692559,12.04801999857574,255.07828298519908,21.058403202186287,0.5,-9.0,-9.0,200,1,2,0,0,D_minimal
Gaia-4-M18,Gaia-4,38.0,True,0,0000,0,0,0,0,0,0,0,0,8.929473218973513,165.0892525153473,-6.859752278190603,11.114443623094616,78.47371143749896,26.13875830999657,0.5,-9.0,-9.0,200,1,2,0,0,D_minimal
Gaia-5-M18,Gaia-5,39.0,True,0,0000,0,0,0,0,0,0,0,0,23.704925062290457,145.02364686321943,33.28043933275081,19.55202428756525,32.9108510865297,29.83376508651492,0.5,-9.0,-9.0,200,1,2,0,0,D_minimal
Gaia-6-I21,Gaia-6,40.0,True,1110,1110,1,1,1,0,1,1,1,0,21.064030275867605,213.8823097809024,32.46515000318829,8.175831517637272,91.65028589020136,39.97373422239447,1.02,-9.0,-9.0,2106,1,2,3,3,B_partial_dynamic
Gaia-6-I24,Gaia-6,,False,1111,1111,1,1,1,1,1,1,1,1,20.87319179537081,213.78874861975032,32.73045212628785,1.0000000000000002,86.6294023824401,43.22126462711832,0.45,0.49,0.34,0,0,0,4,4,A_full_6D_like
Gaia-7-I21,Gaia-7,41.0,True,1110,1110,1,1,1,0,1,1,1,0,14.564265590655308,179.4833926583622,-14.194605158315102,4.777008256866298,258.9166508497209,35.942963967593364,0.37,-9.0,-9.0,1456,1,2,3,3,B_partial_dynamic
Gaia-7-I24,Gaia-7,,False,1111,1111,1,1,1,1,1,1,1,1,14.849854765093829,181.5480278299608,-16.866930609721614,1.0000000000000002,258.36640740075563,36.96164263850893,0.49,0.37,0.31,0,0,0,4,4,A_full_6D_like
Gaia-8-I21,Gaia-8,42.0,True,1111,1111,1,1,1,1,1,1,1,1,21.11882351573905,191.21099889663031,-19.114839295529205,7.056831044737793,123.38895872512806,47.44351896042656,0.64,1.06,0.49,2106,1,2,4,4,A_full_6D_like
Gaia-8-I24,Gaia-8,,False,1111,1111,1,1,1,1,1,1,1,1,46.61224403715252,188.40925262094612,-21.86036517463244,0.9999999999999994,123.65177467267227,46.75178160251361,0.93,0.73,0.43,0,0,0,4,4,A_full_6D_like
Gaia-9-I21,Gaia-9,43.0,True,1111,1111,1,1,1,1,1,1,1,1,22.03052608657505,236.30161551508365,61.908636487961466,4.156065250217799,354.0588260481169,13.928133061224193,1.19,0.28,0.47,2164,1,2,4,4,A_full_6D_like
Gaia-9-I24,Gaia-9,,False,1111,1111,1,1,1,1,1,1,1,1,36.4826332955856,237.3669370321975,57.25007673943057,1.0000000000000009,347.7278736617613,12.609114726098191,1.87,0.33,0.76,0,0,0,4,4,A_full_6D_like
Gjoll-I21,NGC3201-Gjoll,,False,1111,1111,1,1,1,1,1,1,1,1,57.46723556760004,86.13375697417506,-17.30012951265954,3.319798251668681,156.89966601034638,46.6034752686525,0.69,1.01,0.28,0,0,0,4,4,A_full_6D_like
Gjoll-I24,NGC3201-Gjoll,,False,1111,1111,1,1,1,1,1,1,1,1,111.61146319622291,97.37694907435562,-25.401981221010296,1.0,157.16038223370856,46.64800738458533,0.66,0.69,0.42,0,0,0,4,4,A_full_6D_like
Gunnthra-I21,Gunnthra,44.0,True,1111,1111,1,1,1,1,1,1,1,1,20.2005670615312,292.9604939415194,-69.80147468491599,3.081510309057572,227.71763131116856,8.754730800080225,1.6,0.78,0.5,1970,1,2,4,4,A_full_6D_like
Hermus-G14,Hermus,45.0,True,1100,1100,1,1,0,0,1,1,0,0,47.62104859892955,241.5105382198183,27.91660123489753,19.64820256880349,150.9206579399296,1.11900293407601,0.3,-9.0,-9.0,4547,1,2,2,2,C_position_only_plus
Hrid-I21,Hrid,46.0,True,1111,1111,1,1,1,1,1,1,1,1,61.73005839436336,280.9482657943546,45.97653229121997,3.1356185775756344,188.6701865056898,2.1998132998578126,0.87,-9.0,-9.0,6169,1,2,4,4,A_full_6D_like
Hrid-I24,Hrid,,False,1111,1111,1,1,1,1,1,1,1,1,77.14418144389779,279.8621072877877,43.97211414325298,0.9999999999999994,8.528475949301608,-1.4241520981077394,2.49,1.62,1.08,0,0,0,4,4,A_full_6D_like
Hydrus-I24,Hydrus,47.0,True,1111,1111,1,1,1,1,1,1,1,1,5.995325192286106,44.19117105802477,-79.64340978173159,1.0000000000000018,66.80158303192552,9.568004236802556,0.2,0.46,0.23,595,1,2,4,4,A_full_6D_like
Hyllus-G14,Hyllus,48.0,True,1100,1100,1,1,0,0,1,1,0,0,23.513433765092508,245.958556987074,22.338512895924463,20.781441933051426,157.96121549812068,-4.852359098191702,0.2,-9.0,-9.0,2309,1,2,2,2,C_position_only_plus
Indus-I24,Indus,,False,1111,1111,1,1,1,1,1,1,1,1,90.30922466046692,50.7484794430838,-67.03274612593505,1.0,215.1772813906548,-21.90574684805049,1.75,0.48,0.47,0,0,0,4,4,A_full_6D_like
Indus-S19,Indus,49.0,True,1011,1011,1,0,1,1,1,0,1,1,18.22253703164688,335.13066506280194,-58.453272473901215,16.60000000000001,24.80265970219499,21.58022350094879,0.7,0.17,0.11,1820,1,2,3,3,B_partial_dynamic
Jet-F22,Jet,50.0,True,1110,1110,1,1,1,0,1,1,1,0,30.29209807910985,138.62876794933487,-21.787137670447432,30.70956773476601,64.98300000609163,34.74700007907094,0.23,0.24,0.22,3015,1,2,3,3,B_partial_dynamic
Jet-J18,Jet,,False,0,0000,0,0,0,0,0,0,0,0,12.460156858328666,138.02484076241984,-22.81299718391621,28.6,64.56852340569716,34.096220796954654,0.2,-9.0,-9.0,0,0,0,0,0,D_minimal
Jhelum-I21,Jhelum,,False,1111,1111,1,1,1,1,1,1,1,1,27.72390815729764,348.6284218083924,-51.56308459732443,10.408141455017024,170.48709069547184,-38.42291592954544,0.5,0.57,0.52,0,0,0,4,4,A_full_6D_like
Jhelum-I24,Jhelum,,False,1111,1111,1,1,1,1,1,1,1,1,95.648545066509,33.135442282744016,-47.748734689128014,1.0000000000000009,192.30385838902853,-40.304745108303024,1.1,0.53,0.42,0,0,0,4,4,A_full_6D_like
Jhelum-a-B19,Jhelum-a,51.0,True,1010,1010,1,0,1,0,1,0,1,0,30.00048618499783,359.1291983427437,-52.457473698541854,13.0,179.13081383375635,-38.12552629054039,0.4,-9.0,-9.0,3000,1,2,2,2,C_position_only_plus
Jhelum-a-S19,Jhelum-a,,False,1011,1011,1,0,1,1,1,0,1,1,24.647888869725897,341.36642774447336,-50.77493846623712,13.199999999999998,359.13254183206107,38.16687426424206,0.82,0.09,0.18,0,0,0,3,3,B_partial_dynamic
Jhelum-b-B19,Jhelum-b,52.0,True,1010,1010,1,0,1,0,1,0,1,0,30.002187230088445,359.129230450859,-51.55747369875884,13.000000000000009,179.13081383375635,-38.12552629054039,0.94,-9.0,-9.0,3000,1,2,2,2,C_position_only_plus
Jhelum-b-S19,Jhelum-b,,False,1011,1011,1,0,1,1,1,0,1,1,13.370069684041711,341.372382303089,-50.759695868962105,13.199999999999996,359.13254183206107,38.16687426424206,0.78,0.12,0.12,0,0,0,3,3,B_partial_dynamic
Kshir-I21,Kshir,53.0,True,1111,1111,1,1,1,1,1,1,1,1,17.393372038698672,214.70378383741348,68.11403135250575,10.680838971303016,43.71469839143651,21.6403788202671,0.23,0.37,0.25,1737,1,2,4,4,A_full_6D_like
Kshir-I24,Kshir,,False,1111,1111,1,1,1,1,1,1,1,1,36.95492911489035,250.75797695813228,65.68847565073507,1.0000000000000002,42.82091712060088,21.757534830451,0.39,0.52,0.43,0,0,0,4,4,A_full_6D_like
Kwando-G17,Kwando,,False,1000,1000,1,0,0,0,1,0,0,0,12.518292589676664,25.57646504858712,-25.37755340128753,19.99999999999997,73.25667981893353,54.81882503598332,0.2,-9.0,-9.0,0,0,0,1,1,D_minimal
Kwando-I21,Kwando,54.0,True,1110,1110,1,1,1,0,1,1,1,0,20.6207999488436,22.413956101225327,-21.331287069176103,7.745175614724342,93.18996284425218,40.06095965891958,0.97,0.31,0.3,1949,1,2,3,3,B_partial_dynamic
Kwando-I24,Kwando,,False,1111,1111,1,1,1,1,1,1,1,1,63.78048173178826,24.72689581439492,-11.975754790099929,1.0000000000000004,111.8995213146025,13.961356093007726,3.94,0.07,0.08,0,0,0,4,4,A_full_6D_like
LMS-1-I24,LMS-1,,False,1111,1111,1,1,1,1,1,1,1,1,66.25996113505421,236.31556787242803,28.404437671530246,1.0000000000000009,41.985382544702425,60.84290749519865,1.37,0.58,0.41,0,0,0,4,4,A_full_6D_like
LMS1-M21,LMS-1,,False,1011,1011,1,0,1,1,1,0,1,1,49.60423114441925,217.48352104333657,26.57387009450404,19.0,81.18955350863916,55.32109141194873,1.7,0.19,0.26,0,0,0,3,3,B_partial_dynamic
LMS1-Y20,LMS-1,55.0,True,1111,1111,1,1,1,1,1,1,1,1,179.23328758506904,231.9475259385745,27.78408429160549,18.143220901659365,79.82233281938781,59.264128089595545,8.66,0.57,0.81,17261,1,2,4,4,A_full_6D_like
Leiptr-I21,Leiptr,56.0,True,1111,1111,1,1,1,1,1,1,1,1,70.37005552701694,82.56817058673072,-22.156808916171883,7.074944576182244,152.1284643789294,40.61385277371601,0.5,1.66,0.55,7032,1,2,4,4,A_full_6D_like
Leiptr-I24,Leiptr,,False,1111,1111,1,1,1,1,1,1,1,1,72.24509433864114,84.86007978096085,-24.239786504243064,0.9999999999999998,152.7030327115297,39.948218970044216,0.62,0.82,0.42,0,0,0,4,4,A_full_6D_like
Lethe-G09,Lethe,57.0,True,0,0000,0,0,0,0,0,0,0,0,81.23032801463268,214.1732156566336,25.392841044476352,13.0,37.91848801706455,64.55967256976363,0.2,-9.0,-9.0,200,1,2,0,0,D_minimal
M2-G22,M2,,False,1010,1010,1,0,1,0,1,0,1,0,73.31939523484125,311.8346272310595,-4.783926018993506,11.692999999999987,235.4125469918404,70.68404063157178,0.82,0.19,0.18,0,0,0,2,2,C_position_only_plus
M2-I21,M2,58.0,True,1110,1110,1,1,1,0,1,1,1,0,22.617294152451,321.2508960444235,-2.033128216660144,11.086428789026089,237.79537684415143,72.7204523266946,0.2,-9.0,-9.0,2251,1,2,3,3,B_partial_dynamic
M2-I24,M2,,False,1010,1010,1,0,1,0,1,0,1,0,22.95745719218503,314.56398694912554,-1.9135104821699669,0.9999999999999988,237.81845203237987,74.85595626770606,0.18,0.11,0.1,0,0,0,2,2,C_position_only_plus
M3-Y23,M3-Svol,59.0,True,1111,1111,1,1,1,1,1,1,1,1,43.90160195304014,205.6631862830402,27.638398476700253,10.74518396579628,42.07132111212036,61.3581208287168,0.53,0.19,0.13,4290,1,2,4,4,A_full_6D_like
M30-S20,M30,60.0,True,1000,1000,1,0,0,0,1,0,0,0,8.83869058921134,325.0892423240081,-23.16359016885208,8.458000000000002,302.3082501441364,65.10325578917809,-9.0,-9.0,-9.0,796,1,2,1,1,D_minimal
M30-I24,M30,,False,1010,1010,1,0,1,0,1,0,1,0,15.3546344420051,324.5062088345191,-24.059019056605443,1.0000000000000004,272.49867037296747,54.12866058538902,0.33,0.25,0.22,0,0,0,2,2,C_position_only_plus
M5-G19,M5,61.0,True,1010,1010,1,0,1,0,1,0,1,0,41.39441125701822,229.73903227959232,2.274494507023603,16.181884328341532,143.6808626714988,-62.46711375723833,0.0,0.5,0.39,4138,1,2,2,2,C_position_only_plus
M5-I21,M5,,False,1111,1111,1,1,1,1,1,1,1,1,8.060270930430386,199.8646919294563,16.38126780150349,7.172793773345317,327.39777248218235,64.2394553336292,0.42,0.82,0.91,0,0,0,4,4,A_full_6D_like
M5-I24,M5,,False,1111,1111,1,1,1,1,1,1,1,1,33.70826319561233,205.59081549911824,14.163483364439296,0.9999999999999998,325.5296096308653,63.17696442862768,0.32,0.43,0.34,0,0,0,4,4,A_full_6D_like
M5-S20,M5,,False,1000,1000,1,0,0,0,1,0,0,0,4.899103787445245,229.63836869053657,2.0809625230504585,7.479000000000001,322.4786010465392,53.64146297550421,-9.0,-9.0,-9.0,0,0,0,1,1,D_minimal
M68-I21,M68,,False,1111,1111,1,1,1,1,1,1,1,1,15.358311675620229,188.32680918230804,-36.348037628030255,4.106101326871242,104.19891954837968,7.912383190683396,0.44,0.78,0.38,0,0,0,4,4,A_full_6D_like
M68-P19,M68-Fjorm,62.0,True,1210,1210,1,2,1,0,1,,1,0,133.5487627500222,190.38948294506,-26.886414679126307,5.688995144650216,104.099222430033,17.013235243021125,0.68,0.29,0.45,13073,1,2,4,2,C_position_only_plus
M92-I21,M92,63.0,True,1111,1111,1,1,1,1,1,1,1,1,21.081883510959912,261.3932403789248,42.398765519254034,9.399760232477297,34.473616120090014,37.08140374162858,1.41,0.81,0.77,1970,1,2,4,4,A_full_6D_like
M92-I24,M92,,False,1111,1111,1,1,1,1,1,1,1,1,19.224335437966875,263.9075651192674,42.31531098418575,0.9999999999999994,48.49619933191836,41.75154520410965,1.06,0.45,0.33,0,0,0,4,4,A_full_6D_like
M92-S20,M92,,False,1000,1000,1,0,0,0,1,0,0,0,9.303681501574944,259.29810843366323,43.19024876373857,8.501,60.53583190257627,45.19759088036381,-9.0,-9.0,-9.0,0,0,0,1,1,D_minimal
M92-T20,M92,,False,1000,1000,1,0,0,0,1,0,0,0,18.233457490820705,259.2616089217904,43.00131688480207,8.3,70.60697547455635,46.58557903465843,0.29,-9.0,-9.0,0,0,0,1,1,D_minimal
Molonglo-G17,Molonglo,64.0,True,1000,1000,1,0,0,0,1,0,0,0,19.359291249208525,2.074920300059308,-18.51605822172253,19.99999999999998,251.3235283310508,-46.61367917280008,0.3,-9.0,-9.0,1936,1,2,1,1,D_minimal
Monoceros-R21,Monoceros,65.0,True,1110,1110,1,1,1,0,1,1,1,0,46.91444163359424,105.18295264570658,51.99688235481008,10.599999999999993,216.1746705409148,15.634652964793846,2.5,-9.0,-9.0,4579,1,2,3,3,B_partial_dynamic
Murrumbidgee-G17,Murrumbidgee,66.0,True,1000,1000,1,0,0,0,1,0,0,0,123.60168363239188,20.10702502292279,-40.170983080295926,19.999999999999968,265.7024613459829,-26.143946973296,0.2,-9.0,-9.0,11872,1,2,1,1,D_minimal
NGC1261-I21,NGC1261,67.0,True,1110,1110,1,1,1,0,1,1,1,0,17.429110136716655,48.598861012238814,-54.92382754247808,19.91888424724197,334.09341828029807,10.803330008448103,3.0,-9.0,-9.0,1699,1,2,3,3,B_partial_dynamic
