galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_ceiling_theory,beta_ceiling_theory_median,beta_ceiling_theory_n_valid,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,use_dimension_proxy,d_eff_proxy,d_eff_ratio,d_eff_g_hat,d_eff_sigma_hat,d_eff_signed_delta,d_eff_response,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_d_ref,formula_dim_sensitivity,formula_dim_g_power,formula_dim_sigma_power,formula_d_min,formula_d_max,formula_dim_response_lambda,formula_dim_transition,formula_dim_response_min,formula_dim_response_max,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,formula,,72454736975.91388,59252113780.60568,59252113780.60568,False,False,82483078038.71082,137665791057.84027,15,0.8784194127904581,7.224997287408375,,,gbar_char_logmean,sigma_char_rms,1185.491162227603,908.1374332486461,0.6204855114370057,0.6528529504902243,0.7001095273227764,15,True,3.1683409996030982,0.820330283694066,1.6186072194981413,1.3277925195601736,-0.16834099960309823,0.8177810900107588,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,191652.8763896894,181065.73565980568,2301.931444310556,2076.087103134906,80347414839.47499,5739101059.9625,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\ESO116-G012_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\ESO116-G012_rotation_curve.png,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,formula,,37103290397.87196,48305455283.06317,48305455283.06317,False,True,48305455283.06317,74178681610.83464,7,0.7680973128283731,3.3121535683625702,,,gbar_char_logmean,sigma_char_rms,303.16933701657456,228.23036697311002,1.3127850704659483,1.2116084557177462,1.3473954153102279,7,True,1.4379686971602705,6.281971634178921,0.40678349572034533,2.555402381367352,1.5620313028397295,1.5681246319801132,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,251773.3282345406,250170.69776467746,5908.5658525944355,4780.378922960082,111471299995.07303,18578549999.178837,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\ESO444-G084_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\ESO444-G084_rotation_curve.png,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO563-G021_normalized.csv,formula,,104023321729.63348,66330353974.14416,66330353974.14416,False,False,109759045743.74974,300127527721.6687,25,0.9477425849026855,18.13604027558165,,,gbar_char_logmean,sigma_char_rms,4465.040597400861,3618.810794657943,0.33397773508136264,0.2766747164513247,0.41398803948387675,25,True,4.7900600140423295,0.12172961580414352,6.449941455752546,0.7851488953679755,-1.7900600140423295,0.6376488740336812,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,148570.93194416762,131293.20438675804,438.8707016272072,483.282596216422,12101472329.100475,417292149.27932674,30,30,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\ESO563-G021_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\ESO563-G021_rotation_curve.png,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F561-1_normalized.csv,formula,,122923841307.88794,78393023088.06175,78393023088.06175,False,False,646428478913.1539,1205913849887.697,3,0.19015845575764376,0.23480946008462145,,,gbar_char_logmean,sigma_char_rms,372.01707452824746,403.2332228873243,0.038701691740041504,0.009323604816251328,0.06484948053828328,3,True,4.500535184140658,0.17112936111113522,0.7186976131708744,0.12299026337402955,-1.5005351841406576,0.6377365225002233,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,55051.791351713495,36492.00255645201,825.2925064674918,388.17493391070207,727367934.4797765,145473586.8959553,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\F561-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\F561-1_rotation_curve.png,ok,
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-1_normalized.csv,formula,,42054685437.89572,60181302714.67695,60181302714.67695,False,True,60181302714.67695,66728973960.35184,17,0.6987998521281507,2.320051490895904,,,gbar_char_logmean,sigma_char_rms,156.14697624190066,171.2162577136761,1.2594278604949203,1.3468739670279184,1.2892466747843188,17,True,1.231152863328452,8.012450395819718,0.3051651222430475,2.445120404506678,1.768847136671548,1.568254650515873,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,275216.0840757703,272692.41990787414,3349.7015648132306,2923.0540457364355,10763045222.467863,672690326.4042414,17,17,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\F563-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\F563-1_rotation_curve.png,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,formula,,44845664804.62252,31603756426.355064,31603756426.355064,False,False,475424879379.98456,944184565989.472,3,0.09432755152213965,0.10415194994688584,,,gbar_char_logmean,sigma_char_rms,140.38075087800775,141.50315236362601,0.050165344711474796,0.008380520684093614,0.08667838923335916,3,True,3.3638056961232343,0.6518070468155508,0.25220634632159294,0.16438987378401754,-0.3638056961232343,0.7047226652574335,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,39800.82567274947,25847.220763516427,1042.8489015153907,389.6578692050897,380185373.8158223,76037074.76316446,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\F563-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\F563-V1_rotation_curve.png,ok,
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,formula,,56246098654.19204,67478102156.2439,67478102156.2439,False,True,67478102156.2439,75189979070.24396,10,0.8335459483427019,5.007663917120131,,,gbar_char_logmean,sigma_char_rms,366.5083344301131,378.2239546562029,1.1907874288982385,1.195319293617782,1.1948318771682975,10,True,1.969472772771576,3.3614921686652797,0.6741226615928404,2.2660580476641274,1.030527227228424,1.564417324237984,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,283377.30908670556,283134.01076590363,5359.3006898814665,2945.428626666375,6633360038.941573,737040004.3268415,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\F563-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\F563-V2_rotation_curve.png,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,formula,,43090322310.91206,67577440026.075516,67577440026.075516,False,False,69388554831.96614,74363293380.57431,7,0.6210004288929372,1.6385254133111191,,,gbar_char_logmean,sigma_char_rms,136.88976127320953,139.5307608032617,1.1320210502527925,1.208600557989268,1.1443180664208128,7,True,1.1585686878520565,8.726721707532066,0.24869087927618952,2.1702560946447593,1.8414313121479435,1.5682741832024405,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,276522.89225823124,275691.1908603189,5327.813172619012,4318.038543654651,11899312911.14986,1983218818.5249767,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\F565-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\F565-V2_rotation_curve.png,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,formula,,78838926201.7496,119276658785.26442,119276658785.26442,False,False,161907414530.62286,217938995489.84622,5,0.4869383309609836,0.9490834344983075,,,gbar_char_logmean,sigma_char_rms,188.49739130434784,230.43002560555695,0.3831539275222871,0.41238841939082466,0.4167026836261424,5,True,2.443644026924693,1.9242503030305982,0.4107040293450563,0.7902973529231122,0.5563559730753069,1.5129158213042406,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,213733.79299218123,205897.93395513782,4558.800095330911,4609.902010127954,6302354436.637931,1575588609.1594827,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\F567-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\F567-2_rotation_curve.png,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,formula,,51703278414.03301,60701759430.04741,60701759430.04741,False,True,60701759430.04741,74076070450.76556,12,0.8517591400891068,5.745778462166875,,,gbar_char_logmean,sigma_char_rms,399.4879274891775,429.953722685291,1.1570182151197246,1.2134716533051737,1.1946595292101243,12,True,2.0785578146207926,2.956628591563172,0.7663225565969712,2.265731181194392,0.9214421853792074,1.5610727425932756,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,3.0,0.85,1.0,1.0,,,0.45,0.35,,,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,264910.9014070328,262071.1012697335,3328.318739281674,2600.0085638110017,7283475997.161029,662134181.5600935,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\tables\F568-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-23_114817_formula\figures\F568-1_rotation_curve.png,ok,
