r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
6.47,247.0,6.89,0.0,11201.192673879445,-2750.1644192131134,126.42275015161809,2.613682126044359,0.7508955970868263,-44883.15766029841,-33681.96498641897
6.59,246.0,5.95,0.0,10922.70751138088,-2272.788136586922,120.13708765348852,2.5782800503364998,0.7326185611557962,-35625.18218786356,-24702.474676482678
6.66,246.0,2.29,0.0,10769.362927927928,-2200.1116946880843,119.78698692867296,2.5763780316679346,0.7315994951254458,-34177.29836825263,-23407.935440324705
6.72,246.0,4.73,0.0,10636.69299107143,-2087.4943190982112,118.36972218010403,2.568747542964793,0.7274720265887693,-31981.224651786066,-21344.531660714638
6.85,246.0,3.02,0.0,10372.73900729927,-1971.5925668682103,117.77860422097592,2.565597006599822,0.7257493864665817,-29699.104579095216,-19326.36557179595
6.97,246.0,5.81,0.0,10143.794849354377,-1851.3953531407387,116.69790771940356,2.5598843351154184,0.7225980106540537,-27363.578343443114,-17219.783494088737
7.1,246.0,6.32,0.0,9909.890169014085,-1740.9827432876602,115.77042907460685,2.5550290035226646,0.7198911318451682,-25236.223062072822,-15326.332893058738
7.23,246.0,8.92,0.0,9691.139336099584,-1456.3717790626156,108.98563279529223,2.5207319312360577,0.7000029962782234,-19876.89433609989,-10185.755000000305
8.32,246.0,2.13,0.0,8133.116598557693,-1242.2480996749402,116.64860057629417,2.559625123501001,0.7224541617349631,-15991.604781430613,-7858.48818287292
10.0,245.0,2.18,0.0,6250.1121,-940.3515052073548,124.17278986559035,2.6007243535775615,0.7443555422265783,-10938.729235523764,-4688.617135523764
11.61,245.0,0.94,0.0,5039.360146425496,-702.198406506792,127.15878161781049,2.6179954067465396,0.7530352692389687,-7322.020482074543,-2282.660335649047
13.35,246.0,2.02,0.0,3897.7474382022474,-567.2050883562639,134.02106997849842,2.660177035595275,0.7730153762747891,-5471.562240642779,-1573.8148024405318
14.98,245.0,1.33,0.0,3127.8789986648862,-404.2335064718077,133.8992822474007,2.659394765953705,0.7726599719647961,-3511.433524328763,-383.5545256638766
16.61,245.0,1.36,78.95612580097537,2579.9462071041544,-283.50809178990136,131.79011520350005,2.6460501191751105,0.7665107328084444,-2204.625930072279,375.3202770318753
18.34,245.0,1.59,119.32783241985638,2175.291810250818,-201.59471880245908,129.104247823931,2.629582395684749,0.7586926196098744,-1398.8942317327521,776.3975785180658
19.97,245.0,2.03,135.15428944903366,1902.587951927892,-156.22175927939205,127.69719643688393,2.621174734566318,0.7546006507815528,-987.8817948686448,914.7061570592472
21.6,245.0,2.36,139.82221722486327,1666.0088749999995,-129.0844089777841,128.5029620063814,2.6259716974192666,0.7569437362402199,-760.9045958482936,905.1042791517059
23.33,244.0,4.61,149.04417369706164,1468.8643377625374,-96.98347038628182,125.15846833378508,2.606359698469766,0.747220655375322,-516.6926398182648,952.1716979442726
26.7,243.0,10.6,145.05019973532353,1171.3931760299624,-78.53871465528144,131.07306193157746,2.6415978856892477,0.7644223511767348,-383.3946575559082,787.9985184740542
29.95,239.0,17.0,142.85213287230886,948.9380467445742,-60.36415363117306,133.3351681268354,2.65578832442519,0.7710142669242989,-267.57805121309553,681.3599955314787
33.32,231.0,18.3,139.82573406505134,771.7824789915967,-45.910461525773606,134.71566566773438,2.6646638763932637,0.7750431521004443,-185.01069307231518,586.7717859192815
36.68,219.0,12.1,136.80927380337664,639.9606406761178,-35.23394423555414,135.3524902624092,2.6688160092854605,0.7769035183763943,-129.6886287184494,510.2720119576684
39.94,210.0,7.5,133.59326214988522,538.5337681522284,-27.131550558095697,135.23023634733266,2.668016011781978,0.7765462794056507,-91.68450195673626,446.84926619549213
43.3,210.0,3.56,131.51527555696444,460.3497759815244,-19.899056858912,132.70184689370075,2.6517722311918326,0.7691676043773239,-60.89786593939296,399.45191004213143
46.67,212.0,2.64,130.2364750542451,404.61311549175053,-14.862917880081527,129.43646876321694,2.6315889754461477,0.7596590840363384,-41.177515865545296,363.43559962620526
49.92,213.0,6.5,127.69936504079399,361.9572596153846,-13.348986888011696,132.10482780911184,2.6480174626586854,0.7674276349406596,-35.29203862536139,326.6652209900232
53.29,218.0,6.53,122.32879799172177,316.24282229311314,-13.565114932424777,139.33406494934317,2.695665130705456,0.7885674387982857,-35.433386787399655,280.8094355057135
