galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,Dw_smooth_i,dDw_dr_i,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,8.45,127.0,85.51631891048632,1.45,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.075777337756469,2.102970634171629,-0.020262002928353368,0.3362997303677776,0.12597381079719153,0.6330041911624466,0.6330041911624466,744882381.7387695,26.431369498154986,4,85.51631891048632,0.3266431581851471,0.20676648814573612
NGC2403,8.94,128.0,84.18389988590455,1.12,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.067731838516066,2.0937683984850977,-0.018126879715038482,0.31450268359609584,0.12509363103070023,0.6314085076865606,0.6314085076865606,663277774.4481322,28.8129814095941,4,84.18389988590455,0.3423132821413707,0.21613951863817146
NGC2403,9.44,128.0,82.87233193291956,1.68,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0595221454136143,2.08437836207027,-0.015948182558594724,0.2922607991351961,0.12419548841183156,0.6297802592417789,0.6297802592417789,580007767.0087062,31.243197645756467,4,82.87233193291956,0.3525599067740659,0.22203526948642863
NGC2403,9.94,127.0,81.5694875550901,2.56,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0513124523111625,2.074988325655442,-0.013769485402150963,0.2700189146742963,0.12329734579296289,0.6281520107969973,0.6281520107969973,496737759.56928027,33.673413881918826,4,81.5694875550901,0.3577205704323614,0.22470289562053672
NGC2403,10.43,127.0,80.64486158460439,1.24,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.046549740154393,2.069194851255653,-0.012410028956516835,0.2540005578045079,0.12073374316085014,0.6213856780183697,0.6213856780183697,449228834.99094206,35.86384566666668,4,80.64486158460439,0.36500108988500485,0.22680644971563765
NGC2403,10.93,128.0,79.70863253123842,0.21,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.045179186809511,2.0669064008548723,-0.011847304232741308,0.2437976106392194,0.11632846957193678,0.60898524352621,0.60898524352621,436991499.86880624,37.89576997222223,4,79.70863253123842,0.37727630834969983,0.22975570451701144
NGC2403,11.43,130.0,78.77405664303446,1.13,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.043808633464629,2.0646179504540916,-0.011284579508965782,0.2335946634739309,0.11192319598302342,0.5965848090340501,0.5965848090340501,424754164.7466704,39.92769427777779,4,78.77405664303446,0.3940457181305042,0.235081689501572
NGC2403,11.92,130.0,77.73239350489601,2.23,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.042465491186644,2.0623752690613264,-0.010733109279665767,0.22359577525194815,0.10760602786588833,0.5844323832317334,0.5844323832317334,412761576.3269774,41.91898009722223,4,77.73239350489601,0.4020585115007999,0.23497601407501578
NGC2403,12.42,132.0,76.84104437083087,2.68,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.041094937841762,2.0600868186605457,-0.010170384555890241,0.21339282808665966,0.10320075427697495,0.5720319487395735,0.5720319487395735,400524241.20484155,43.950904402777795,4,76.84104437083087,0.417870875978554,0.23903549150752487
NGC2403,12.92,133.0,75.92635510809143,2.68,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0397243844968798,2.057798368259765,-0.009607659832114715,0.20318988092137114,0.0987954806880616,0.5596315142474136,0.5596315142474136,388286906.08270574,45.982828708333344,4,75.92635510809143,0.42912514956322234,0.24015195725171398
NGC2403,13.42,133.0,74.7838177682846,3.37,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0383538311519978,2.055509917858984,-0.00904493510833919,0.19298693375608267,0.09439020709914824,0.5472310797552538,0.5472310797552538,376049570.9605699,48.01475301388891,4,74.7838177682846,0.43771565587755934,0.23953161099165587
NGC2403,13.91,133.0,73.60550319099788,3.81,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0370106888740134,2.053267236466219,-0.008493464879039174,0.18298804553409992,0.09007303898201313,0.5350786539529371,0.5350786539529371,364056982.54087687,50.00603883333335,5,73.60550319099788,0.44657516397745955,0.2389528376298712
NGC2403,14.41,133.0,72.53176476551498,2.56,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.035640135529131,2.0509787860654383,-0.00793074015526365,0.1727850983688114,0.08566776539309977,0.5226782194607772,0.5226782194607772,351819647.418741,52.037963138888905,5,72.53176476551498,0.4546483852216919,0.23763480846839144
NGC2403,14.91,134.0,71.52159184470099,0.56,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.034269582184249,2.0486903356646575,-0.007368015431488123,0.1625821512035229,0.0812624918041864,0.5102777849686173,0.5102777849686173,339582312.2966052,54.06988744444446,5,71.52159184470099,0.4662567772783508,0.23792047553620277
NGC2403,15.4,134.0,70.50497287425901,0.79,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0329264399062645,2.0464476542718923,-0.0068165452021881085,0.15258326298154018,0.07694532368705131,0.49812535916630063,0.49812535916630063,327589723.8769121,56.061173263888904,5,70.50497287425901,0.4738434860129925,0.23603345665883382
NGC2403,15.9,133.0,69.45595510825547,0.67,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.031555886561382,2.0441592038711116,-0.006253820478412582,0.14238031581625166,0.07254005009813794,0.48572492467414075,0.48572492467414075,315352388.75477636,58.09309756944447,5,69.45595510825547,0.4777747736221393,0.23206711592881826
NGC2403,16.4,134.0,68.41939198794446,2.35,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0301853332165,2.041870753470331,-0.005691095754637059,0.13217736865096322,0.0681347765092246,0.473324490181981,0.473324490181981,303115053.6326406,60.125021875000016,5,68.41939198794446,0.4894075224780264,0.23164856606813822
NGC2403,16.89,134.0,67.26911995856642,4.13,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0288421909385153,2.0396280720775657,-0.005139625525337041,0.12217848042898044,0.06381760839208948,0.46117206437966424,0.46117206437966424,291122465.2129474,62.116307694444465,5,67.26911995856642,0.4979916421002506,0.22965983363119147
NGC2403,17.39,136.0,66.19743952752252,3.91,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,0.05941233480317612,0.44877162988750435,0.44877162988750435,278885130.0908116,64.14823200000002,5,66.19743952752252,0.513254121121158,0.23033388848202063
NGC2403,17.89,136.0,65.09318320684586,6.38,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,0.05941233480317612,0.44877162988750435,0.44877162988750435,278885130.0908116,64.14823200000002,5,65.09318320684586,0.5213736528908393,0.23397770398822387
NGC2403,18.38,135.0,64.05818058608908,8.39,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,0.05941233480317612,0.44877162988750435,0.44877162988750435,278885130.0908116,64.14823200000002,5,64.05818058608908,0.5254949586215624,0.2358272290782652
NGC2403,18.88,133.0,63.00828913722384,7.83,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,0.05941233480317612,0.44877162988750435,0.44877162988750435,278885130.0908116,64.14823200000002,5,63.00828913722384,0.5262534651336553,0.23616762528197746
NGC2403,19.38,134.0,62.22977824161034,6.26,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,0.05941233480317612,0.44877162988750435,0.44877162988750435,278885130.0908116,64.14823200000002,5,62.22977824161034,0.5355986698387287,0.24036148802910562
NGC2403,19.87,136.0,61.74738375024483,5.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,0.05941233480317612,0.44877162988750435,0.44877162988750435,278885130.0908116,64.14823200000002,5,61.74738375024483,0.5459751194834939,0.24501814424863247
NGC2403,20.37,135.0,61.267669288132716,5.24,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.0274716375936332,2.037339621676785,-0.004576900801561515,0.1119755332636919,0.05941233480317612,0.44877162988750435,0.44877162988750435,278885130.0908116,64.14823200000002,5,61.267669288132716,0.5461654126804985,0.24510354243680874
