galaxy,source_file,g_scale,lambda_reorg,l0_kpc,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,32.25895702696263,27.07505157266632,0.2739292742614502,0.3009258080857806,2470.859773798034,190.06613644600262,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\ESO116-G012_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\ESO116-G012_rotation_curve.png,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,27.06780983012876,25.122897355674446,0.5021666380549428,0.49590058202387405,1356.379492299772,271.2758984599544,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\ESO444-G084_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\ESO444-G084_rotation_curve.png,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO563-G021_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,60.50847758818395,53.376149413395815,0.3075654722816774,0.14960640936029312,1684.699887143873,60.16785311228118,30,30,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\ESO563-G021_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\ESO563-G021_rotation_curve.png,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F561-1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,3.56444085514918,2.933828290733771,0.07967455638730268,0.05973506535705739,2.237873759276529,0.5594684398191323,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F561-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F561-1_rotation_curve.png,ok,
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,47.27513367758906,44.82198837259246,0.48147530868909727,0.5061743405758844,306.54099514077393,20.436066342718263,17,17,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F563-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F563-1_rotation_curve.png,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,1.1307526871800313,0.8009396848328567,0.031511236364009314,0.015785948941205726,0.3068643934955669,0.07671609837389172,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F563-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F563-V1_rotation_curve.png,ok,
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,46.99742033170724,42.96274738465762,0.48239541293041216,0.48491567601359975,141.68006982770436,17.710008728463045,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F563-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F563-V2_rotation_curve.png,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,30.92416672012161,28.406222446199724,0.44240121982029773,0.48242134508395756,174.0684268397531,34.81368536795062,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F565-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F565-V2_rotation_curve.png,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,8.613672273671037,7.617049524919324,0.1586384777605298,0.15862250554024868,11.672839820954469,3.890946606984823,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F567-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F567-2_rotation_curve.png,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,55.21484760676395,50.7569855399287,0.4666851595019032,0.4948814287476389,297.20945664163787,29.720945664163786,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F568-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F568-1_rotation_curve.png,ok,
F568-3,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-3_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,30.407086206354332,26.396750644230778,0.3038858480665182,0.3543977165636162,222.30582689861777,13.89411418116361,18,18,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F568-3_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F568-3_rotation_curve.png,ok,
F568-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-V1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,49.91476532970231,47.16557007141123,0.47632396924013204,0.49952661034398194,403.7207264960847,31.055440499698822,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F568-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F568-V1_rotation_curve.png,ok,
F571-8,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-8_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,44.38001669745444,39.698220729458804,0.588307208100111,0.4475233836519618,1386.0931637397525,126.00846943088659,13,13,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F571-8_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F571-8_rotation_curve.png,ok,
F571-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F571-V1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,27.795336280811934,25.74860953240292,0.34617531807872776,0.391112159297197,139.75317279866408,27.950634559732816,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F571-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F571-V1_rotation_curve.png,ok,
F574-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,32.73756314041482,30.480564624194553,0.351194686936938,0.39678525087349903,717.5527548178978,59.79606290149149,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F574-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F574-1_rotation_curve.png,ok,
F574-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-2_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,4.028412274466849,2.7694032065035192,0.1704895822073163,0.06253031499710475,0.8667134425651986,0.2889044808550662,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F574-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F574-2_rotation_curve.png,ok,
F579-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,36.06669701846449,35.56995716804614,0.36815543828210784,0.32332336653520344,168.2758255820688,14.022985465172399,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F579-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F579-V1_rotation_curve.png,ok,
F583-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-1_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,26.872687840372862,23.466116616315635,0.3930042622101943,0.46997620833682685,620.016161139579,26.957224397373,25,25,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F583-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F583-1_rotation_curve.png,ok,
F583-4,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-4_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,16.285980550060216,15.012017379119575,0.29278425830573745,0.2871494324495316,153.63061392680956,15.363061392680956,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\F583-4_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\F583-4_rotation_curve.png,ok,
IC2574,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC2574_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,14.43957495323413,12.24258805364793,0.2449898230305396,0.2630040524961271,4024.0952859138115,125.75297768480661,34,34,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\IC2574_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\IC2574_rotation_curve.png,ok,
IC4202,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC4202_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,34.465835834433726,22.932685237121795,0.2116241658322915,0.05913231266952314,1808.3827928695528,60.27942642898509,32,32,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\IC4202_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\IC4202_rotation_curve.png,ok,
KK98-251,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\KK98-251_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,6.101668912768182,4.965601066903302,0.1957346503148971,0.17083342280736086,139.6138632039062,10.739527938762015,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\KK98-251_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\KK98-251_rotation_curve.png,ok,
NGC0024,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0024_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,31.139012870928937,28.417681792703938,0.31740335506039313,0.3115858028474407,1381.2450974060257,51.157225829852806,29,29,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0024_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0024_rotation_curve.png,ok,
NGC0055,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0055_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,19.65353971514798,17.344991302302095,0.215866670303121,0.2741431108554461,1001.86791324748,52.72989017092,21,21,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0055_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0055_rotation_curve.png,ok,
NGC0100,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0100_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,24.03213466847418,19.50412179369411,0.25926993800547665,0.27933743426254265,386.65325784378354,20.350171465462292,21,21,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0100_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0100_rotation_curve.png,ok,
NGC0247,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0247_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,28.680105516452368,27.630484596340793,0.3230120709785169,0.3203212356949766,3445.6449621923225,143.56854009134676,26,26,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0247_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0247_rotation_curve.png,ok,
NGC0289,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0289_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,48.063138784065636,45.01911416473657,0.26047816169467564,0.29094790743317167,1533.9024604238198,58.996248477839224,28,28,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0289_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0289_rotation_curve.png,ok,
NGC0300,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0300_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,32.031182203481215,29.608144863688686,0.3458145777834983,0.3633994100793812,1968.7820649384093,85.59922021471345,25,25,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0300_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0300_rotation_curve.png,ok,
NGC0801,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0801_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,36.6583363985374,31.35264416303191,0.17140852419349334,0.1486303251575673,622.6957912407726,56.60870829461569,13,13,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0801_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0801_rotation_curve.png,ok,
NGC0891,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0891_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,69.60102253989356,50.633672435988885,0.23391792990367596,0.17091961793119714,3651.2296168714915,228.20185105446822,18,18,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC0891_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC0891_rotation_curve.png,ok,
NGC1003,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1003_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,37.71620350650048,33.94295134715761,0.3258711834044494,0.3731922296397802,9177.11908058068,269.91526707590236,36,36,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC1003_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC1003_rotation_curve.png,ok,
NGC1090,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1090_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,23.613373281594022,19.543256577617765,0.1928358199769029,0.14140902693178198,1849.6215290515486,84.07370586597948,24,24,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC1090_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC1090_rotation_curve.png,ok,
NGC1705,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC1705_normalized.csv,300.0,0.0,1.0,log_ratio,bar_soft,False,0.0,1.0,1.0,33.6486851941722,32.63251269267318,0.46360478077000267,0.5064639768945097,762.746396291889,63.56219969099075,14,14,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\tables\NGC1705_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_independent_topogravity\2026-03-26_135332\figures\NGC1705_rotation_curve.png,ok,
