galaxy,source_file,beta_mode,beta,a_newton_source,rmse_kmps,mean_absolute_fractional_error,chi2,n_points,status,error
F574-2_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F574-2_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F579-V1_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F579-V1_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F583-1_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-1_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
F583-4_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F583-4_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
IC2574_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC2574_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
IC4202_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\IC4202_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
KK98-251_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\KK98-251_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC0024_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0024_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC0055_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0055_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
NGC0100_normalized,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC0100_normalized.csv,structural,,,,,,,failed,"""abar에 해당하는 열을 찾지 못했습니다. 현재 열 목록: ['galaxy', 'r_kpc', 'v_obs_kmps', 'v_err_kmps', 'v_gas_kmps', 'v_disk_kmps', 'v_bul_kmps', 'a_obs_kmps2_per_kpc']"""
