galaxy_id,Name,SimbadName,NEDname,S4G,EDD,RA_deg,DEC_deg,Type,Dist,inclination_deg,L3p6,Reff,Rdisk,MHI,RHI,Vflat,e_Vflat,Qual,Ref,name_normalized,simbad_normalized,ned_normalized,s4g_name_normalized
F583-1,F583-1,LSB F583-1,LSB F583-1,0,0,239.3645139,20.6664211,9,35.4,63.0,0.986,3.74,2.36,2.126,15.65,85.8,3.6,1,"KN08,dB96     ",F583-1,LSBF583-1,LSBF583-1,0
F583-4,F583-4,LSB F583-4,LSB F583-4,0,0,238.05,18.785,5,53.3,55.0,1.715,3.31,1.93,0.641,7.8,0.0,0.0,1,"KN08,dB96     ",F583-4,LSBF583-4,LSBF583-4,0
IC2574,IC2574,IC2574,IC2574,1,1,157.0978375,68.4121389,9,3.91,75.0,1.016,3.18,2.78,1.036,10.81,66.4,2.0,2,"Sa96,MC94     ",IC2574,IC2574,IC2574,1
IC4202,IC4202,IC4202,IC4202,0,0,197.1315917,24.7008333,4,100.4,90.0,179.749,8.55,4.78,12.326,32.13,242.6,11.0,1,SG06          ,IC4202,IC4202,IC4202,0
KK98-251,KK98-251,[KK98a] 251,[KK98a] 251,0,0,307.6370833,60.3547222,10,6.8,59.0,0.085,1.28,1.34,0.115,2.9,33.7,1.6,2,BC04          ,KK98-251,[KK98A]251,[KK98A]251,0
NGC0024,NGC0024,NGC0024,NGC0024,1,0,2.4855917,-24.9631306,5,7.3,64.0,3.889,2.01,1.34,0.676,7.29,106.3,7.9,1,"Di08,Ch06     ",NGC0024,NGC0024,NGC0024,1
NGC0055,NGC0055,NGC0055,NGC0055,1,0,3.7233417,-39.1966278,9,2.11,77.0,4.628,3.67,6.11,1.565,10.24,85.6,5.0,2,"Sa96,Pu91     ",NGC0055,NGC0055,NGC0055,1
NGC0100,NGC0100,NGC0100,NGC0100,1,0,6.0118208,16.4863889,6,13.5,89.0,3.232,2.81,1.66,1.99,16.36,88.1,6.4,1,"dB02,Rh96     ",NGC0100,NGC0100,NGC0100,1
NGC0247,NGC0247,NGC0247,NGC0247,1,0,11.7856417,-20.7604,7,3.7,74.0,7.332,5.87,3.74,1.746,12.79,104.9,8.0,2,"Sa96,Ca90     ",NGC0247,NGC0247,NGC0247,1
NGC0289,NGC0289,NGC0289,NGC0289,1,0,13.1765208,-31.2058306,4,20.8,46.0,72.065,2.69,6.74,27.469,49.51,163.0,8.0,2,Wa97          ,NGC0289,NGC0289,NGC0289,1
NGC0300,NGC0300,NGC0300,NGC0300,1,0,13.7228292,-37.6843806,7,2.08,42.0,2.922,1.77,1.75,0.936,9.2,93.3,7.0,2,"Sa96,CP90     ",NGC0300,NGC0300,NGC0300,1
NGC0801,NGC0801,NGC0801,NGC0801,0,0,30.936875,38.2586722,5,80.7,80.0,312.57,7.76,8.72,23.201,44.99,220.1,6.2,1,"Sa96,Br92     ",NGC0801,NGC0801,NGC0801,0
NGC0891,NGC0891,NGC0891,NGC0891,0,0,35.6371125,42.3483194,3,9.91,90.0,138.34,3.68,2.55,4.462,18.16,216.1,5.7,1,Fr11          ,NGC0891,NGC0891,NGC0891,0
NGC1003,NGC1003,NGC1003,NGC1003,0,0,39.8203875,40.8722917,6,11.4,67.0,6.82,2.76,1.61,5.88,33.33,109.8,4.2,1,"Sa96,Br92     ",NGC1003,NGC1003,NGC1003,0
NGC1090,NGC1090,NGC1090,NGC1090,1,0,41.6413167,-0.2470417,4,37.0,64.0,72.045,6.36,3.53,8.783,30.49,164.4,3.7,1,Ge04          ,NGC1090,NGC1090,NGC1090,1
NGC1705,NGC1705,NGC1705,NGC1705,1,0,73.55625,-53.3610611,11,5.73,80.0,0.533,0.49,0.39,0.139,2.36,71.9,4.3,3,Le14          ,NGC1705,NGC1705,NGC1705,1
NGC2366,NGC2366,NGC2366,NGC2366,0,1,112.2160417,69.2086389,10,3.27,68.0,0.236,1.08,0.65,0.647,6.94,50.2,3.2,3,Le14          ,NGC2366,NGC2366,NGC2366,0
NGC2403,NGC2403,NGC2403,NGC2403,0,1,114.21415,65.6025472,6,3.16,63.0,10.041,2.16,1.39,3.199,15.11,131.2,4.9,1,"Da06,Fr02     ",NGC2403,NGC2403,NGC2403,0
NGC2683,NGC2683,NGC2683,NGC2683,1,0,133.1722708,33.4218,3,9.81,80.0,80.415,3.34,2.18,1.406,13.79,154.0,8.1,2,"Sa96,Br92     ",NGC2683,NGC2683,NGC2683,1
NGC2841,NGC2841,NGC2841,NGC2841,1,0,140.5110625,50.9764778,3,14.1,76.0,188.121,5.51,3.64,9.775,45.12,284.8,8.6,1,"Di08,Be91     ",NGC2841,NGC2841,NGC2841,1
NGC2903,NGC2903,NGC2903,NGC2903,1,0,143.0421292,21.5008306,4,6.6,66.0,81.863,4.54,2.33,2.552,13.76,184.6,5.6,1,"Be91,Be87     ",NGC2903,NGC2903,NGC2903,1
NGC2915,NGC2915,NGC2915,NGC2915,0,1,141.54805,-76.6263194,11,4.06,56.0,0.641,0.53,0.55,0.508,7.16,83.5,6.3,2,El10          ,NGC2915,NGC2915,NGC2915,0
NGC2955,NGC2955,NGC2955,NGC2955,0,0,145.3191667,35.8821167,3,97.9,56.0,319.422,7.22,18.76,28.949,40.34,0.0,0.0,1,SG06          ,NGC2955,NGC2955,NGC2955,0
NGC2976,NGC2976,NGC2976,NGC2976,1,1,146.8144083,67.9163806,5,3.58,61.0,3.371,1.31,1.01,0.172,3.04,85.4,3.3,2,Si03          ,NGC2976,NGC2976,NGC2976,1
NGC2998,NGC2998,NGC2998,NGC2998,0,0,147.1817917,44.0812861,5,68.1,58.0,150.902,7.06,6.2,23.451,43.58,209.9,8.1,1,"Sa96,Br92     ",NGC2998,NGC2998,NGC2998,0
NGC3109,NGC3109,NGC3109,NGC3109,0,1,150.7786542,-26.1595722,9,1.33,70.0,0.194,1.64,1.56,0.477,6.0,66.2,2.6,1,"Be91,JC90     ",NGC3109,NGC3109,NGC3109,0
NGC3198,NGC3198,NGC3198,NGC3198,1,0,154.979125,45.5496889,5,13.8,73.0,38.279,5.84,3.14,10.869,35.66,150.1,3.9,1,"Da06,Be91,Be87",NGC3198,NGC3198,NGC3198,1
NGC3521,NGC3521,NGC3521,NGC3521,1,0,166.4524708,-0.0359,4,7.7,75.0,84.836,2.45,2.4,4.154,18.85,213.7,15.9,1,"Da06,Sa96     ",NGC3521,NGC3521,NGC3521,1
NGC3726,NGC3726,NGC3726,NGC3726,1,0,173.338225,47.0290917,5,18.0,53.0,70.234,7.52,3.4,6.473,22.2,168.0,6.2,2,"VS01,SV98     ",NGC3726,NGC3726,NGC3726,1
NGC3741,NGC3741,NGC3741,NGC3741,0,1,174.0239739,45.284155,10,3.21,70.0,0.028,0.32,0.2,0.182,4.2,50.1,2.1,1,"Ge07,Bm05     ",NGC3741,NGC3741,NGC3741,0
NGC3769,NGC3769,NGC3769,NGC3769,1,0,174.433775,47.8930917,3,18.0,70.0,18.679,2.18,3.38,5.529,22.57,118.6,8.4,2,"VS01,SV98     ",NGC3769,NGC3769,NGC3769,1
NGC3877,NGC3877,NGC3877,NGC3877,1,0,176.532425,47.4945,5,18.0,76.0,72.535,4.39,2.53,1.483,11.47,168.4,5.1,2,"VS01,SV98     ",NGC3877,NGC3877,NGC3877,1
NGC3893,NGC3893,NGC3893,NGC3893,1,0,177.1591958,48.7107889,5,18.0,49.0,58.525,2.43,2.38,5.799,20.84,174.0,8.9,1,"VS01,SV98     ",NGC3893,NGC3893,NGC3893,1
NGC3917,NGC3917,NGC3917,NGC3917,1,0,177.6895292,51.8242111,6,18.0,79.0,21.966,5.56,2.63,1.888,14.08,135.9,4.1,1,"VS01,SV98     ",NGC3917,NGC3917,NGC3917,1
NGC3949,NGC3949,NGC3949,NGC3949,1,0,178.42395,47.8587833,4,18.0,55.0,38.067,2.39,3.59,3.371,13.72,163.0,7.1,2,"VS01,SV98     ",NGC3949,NGC3949,NGC3949,1
NGC3953,NGC3953,NGC3953,NGC3953,1,0,178.4542833,52.3265417,4,18.0,62.0,141.301,6.17,4.89,2.832,17.38,220.8,6.1,1,"VS01,SV98     ",NGC3953,NGC3953,NGC3953,1
NGC3972,NGC3972,NGC3972,NGC3972,1,0,178.9379875,55.3206722,4,18.0,77.0,14.353,3.73,2.18,1.214,10.05,132.7,2.9,1,"VS01,SV98     ",NGC3972,NGC3972,NGC3972,1
NGC3992,NGC3992,NGC3992,NGC3992,1,0,179.3999333,53.3745194,4,23.7,56.0,226.932,9.99,4.96,16.599,32.75,241.0,5.2,1,"VS01,SV98     ",NGC3992,NGC3992,NGC3992,1
NGC4010,NGC4010,NGC4010,NGC4010,1,0,179.6582958,47.2613111,7,18.0,89.0,17.193,6.63,2.81,2.832,17.59,125.8,4.7,2,"VS01,SV98     ",NGC4010,NGC4010,NGC4010,1
NGC4013,NGC4013,NGC4013,NGC4013,1,0,179.6309042,43.9470222,3,18.0,89.0,79.094,4.11,3.53,2.967,31.35,172.9,7.1,2,"VS01,SV98     ",NGC4013,NGC4013,NGC4013,1
NGC4051,NGC4051,NGC4051,NGC4051,1,0,180.7903583,44.5312611,4,18.0,49.0,95.268,6.87,4.65,2.697,15.13,157.0,5.5,2,"VS01,SV98     ",NGC4051,NGC4051,NGC4051,1
NGC4068,NGC4068,NGC4068,NGC4068,1,1,181.013605,52.5905689,10,4.37,44.0,0.236,1.11,0.59,0.154,3.18,0.0,0.0,2,Le14          ,NGC4068,NGC4068,NGC4068,1
NGC4085,NGC4085,NGC4085,NGC4085,1,0,181.3446042,50.35275,5,18.0,82.0,21.724,2.0,1.65,1.349,10.16,131.5,4.8,2,"VS01,SV98     ",NGC4085,NGC4085,NGC4085,1
NGC4088,NGC4088,NGC4088,NGC4088,1,0,181.3924542,50.5390278,4,18.0,69.0,107.286,6.1,2.58,8.226,22.25,171.7,6.9,1,"VS01,SV98     ",NGC4088,NGC4088,NGC4088,1
NGC4100,NGC4100,NGC4100,NGC4100,1,0,181.5358417,49.5823111,4,18.0,73.0,59.394,4.93,2.15,3.102,18.06,158.2,5.0,1,"VS01,SV98     ",NGC4100,NGC4100,NGC4100,1
NGC4138,NGC4138,NGC4138,NGC4138,1,0,182.3741167,43.6853167,0,18.0,53.0,44.111,1.91,1.51,1.483,18.58,147.3,5.9,2,"VS01,SV98     ",NGC4138,NGC4138,NGC4138,1
NGC4157,NGC4157,NGC4157,NGC4157,1,0,182.7681875,50.4846806,3,18.0,82.0,105.62,4.44,2.32,8.226,24.09,184.7,7.2,1,"VS01,SV98     ",NGC4157,NGC4157,NGC4157,1
NGC4183,NGC4183,NGC4183,NGC4183,1,0,183.32025,43.6982694,6,18.0,82.0,10.838,4.47,2.79,3.506,16.07,110.6,5.4,1,"VS01,SV98     ",NGC4183,NGC4183,NGC4183,1
NGC4214,NGC4214,NGC4214,NGC4214,1,1,183.913225,36.3268889,10,2.87,15.0,1.141,0.7,0.51,0.486,5.84,80.1,5.8,2,Le14          ,NGC4214,NGC4214,NGC4214,1
NGC4217,NGC4217,NGC4217,NGC4217,1,0,183.9620833,47.0917889,3,18.0,86.0,85.299,5.28,2.94,2.562,16.7,181.3,7.2,1,"VS01,SV98     ",NGC4217,NGC4217,NGC4217,1
NGC4389,NGC4389,NGC4389,NGC4389,1,0,186.3962417,45.6846694,4,18.0,50.0,21.328,4.05,2.79,0.539,6.81,0.0,0.0,3,"VS01,SV98     ",NGC4389,NGC4389,NGC4389,1
NGC4559,NGC4559,NGC4559,NGC4559,1,0,188.9903708,27.9597611,6,9.0,67.0,19.377,3.82,2.1,5.811,21.16,121.2,5.1,1,Ba05          ,NGC4559,NGC4559,NGC4559,1
NGC5005,NGC5005,NGC5005,NGC5005,1,0,197.7346333,37.0589417,4,16.9,68.0,178.72,3.97,9.45,1.28,10.41,262.2,20.7,1,Ri15          ,NGC5005,NGC5005,NGC5005,1
NGC5033,NGC5033,NGC5033,NGC5033,1,0,198.3647292,36.59365,5,15.7,66.0,110.509,2.94,5.16,11.314,29.53,194.2,3.6,1,"Sa96,Be87     ",NGC5033,NGC5033,NGC5033,1
NGC5055,NGC5055,NGC5055,NGC5055,1,0,198.9555375,42.0292889,4,9.9,55.0,152.922,4.18,3.2,11.722,35.06,179.0,4.9,1,"Ba06,Bl04     ",NGC5055,NGC5055,NGC5055,1
NGC5371,NGC5371,NGC5371,NGC5371,1,0,208.9167625,40.4617694,4,39.7,53.0,340.393,9.8,7.44,11.18,30.03,209.5,3.9,1,"Sa96,Be87     ",NGC5371,NGC5371,NGC5371,1
NGC5585,NGC5585,NGC5585,NGC5585,1,0,214.95085,56.72905,7,7.06,51.0,2.943,2.27,1.53,1.683,10.92,90.3,2.4,1,"Bl99,Sa96,Co91",NGC5585,NGC5585,NGC5585,1
NGC5907,NGC5907,NGC5907,NGC5907,1,0,228.9736958,56.32885,5,17.3,88.0,175.425,7.88,5.34,21.025,0.0,215.0,2.9,1,"Sa96,SA87     ",NGC5907,NGC5907,NGC5907,1
NGC5985,NGC5985,NGC5985,NGC5985,1,0,234.9045417,59.33195,3,39.7,60.0,208.728,10.71,7.01,11.586,39.5,293.6,8.6,1,"Bl04,Br92     ",NGC5985,NGC5985,NGC5985,1
NGC6015,NGC6015,NGC6015,NGC6015,1,0,237.8551333,62.3100306,6,17.0,60.0,32.129,3.92,2.3,5.834,21.43,154.1,7.0,2,VM97          ,NGC6015,NGC6015,NGC6015,1
NGC6195,NGC6195,NGC6195,NGC6195,0,0,249.1355458,39.0280028,3,127.8,62.0,391.076,9.52,13.94,20.907,40.89,251.7,9.3,1,SG06          ,NGC6195,NGC6195,NGC6195,0
NGC6503,NGC6503,NGC6503,NGC6503,1,0,267.360475,70.1443417,6,6.26,74.0,12.845,1.62,2.16,1.744,14.05,116.3,2.4,1,"Be91,Be87     ",NGC6503,NGC6503,NGC6503,1
NGC6674,NGC6674,NGC6674,NGC6674,0,0,279.6412042,25.3751083,3,51.2,54.0,214.654,7.75,6.04,32.165,50.02,241.3,4.9,1,"Sa96,Br92     ",NGC6674,NGC6674,NGC6674,0
NGC6789,NGC6789,NGC6789,NGC6789,0,0,289.1715375,63.9733056,11,3.52,43.0,0.1,0.52,0.31,0.017,0.97,0.0,0.0,2,Le14          ,NGC6789,NGC6789,NGC6789,0
NGC6946,NGC6946,NGC6946,NGC6946,0,0,308.71805,60.1536778,6,5.52,38.0,66.173,4.2,2.44,5.67,21.25,158.9,10.9,1,Bo08          ,NGC6946,NGC6946,NGC6946,0
NGC7331,NGC7331,NGC7331,NGC7331,0,0,339.2670917,34.4159194,3,14.7,75.0,250.631,3.99,5.02,11.067,27.01,239.0,5.4,1,"Be91,Be87     ",NGC7331,NGC7331,NGC7331,0
NGC7793,NGC7793,NGC7793,NGC7793,1,1,359.4576125,-32.5910306,7,3.61,47.0,7.05,2.19,1.21,0.861,7.35,0.0,0.0,1,"Di08,Sa96,CP90",NGC7793,NGC7793,NGC7793,1
NGC7814,NGC7814,NGC7814,NGC7814,1,0,0.8122792,16.1452278,2,14.4,90.0,74.529,2.08,2.54,1.07,12.15,218.9,7.0,1,Fr11          ,NGC7814,NGC7814,NGC7814,1
PGC51017,PGC51017,PGC51017,PGC51017,0,0,214.2573333,43.5037222,11,13.6,66.0,0.155,1.28,0.53,0.201,4.29,18.6,1.3,3,Le14          ,PGC51017,PGC51017,PGC51017,0
UGC00128,UGC00128,UGC00128,UGC00128,0,0,3.4622083,35.9935,8,64.5,57.0,12.02,9.63,5.95,7.431,31.27,129.3,2.8,1,"VB99,VH93     ",UGC00128,UGC00128,UGC00128,0
UGC00191,UGC00191,UGC00191,UGC00191,1,0,5.0215,10.8793056,9,17.1,45.0,2.004,2.5,1.58,1.343,10.03,0.0,0.0,1,"KN08,vZ97     ",UGC00191,UGC00191,UGC00191,1
UGC00634,UGC00634,UGC00634,UGC00634,1,0,15.3548781,7.6259911,9,30.9,37.0,2.989,4.26,2.45,3.663,16.78,0.0,0.0,2,vZ97          ,UGC00634,UGC00634,UGC00634,1
UGC00731,UGC00731,UGC00731,UGC00731,0,0,17.6833333,49.6021944,10,12.5,57.0,0.323,1.4,2.3,1.807,11.57,73.3,2.3,1,"Sw09,Sw02     ",UGC00731,UGC00731,UGC00731,0
UGC00891,UGC00891,UGC00891,UGC00891,1,0,20.3295417,12.4117222,9,10.2,60.0,0.374,1.76,1.43,0.428,6.23,0.0,0.0,2,vZ97          ,UGC00891,UGC00891,UGC00891,1
UGC01230,UGC01230,UGC01230,UGC01230,0,0,26.3843789,25.5214681,9,53.7,22.0,7.62,6.45,4.34,6.43,26.29,103.7,6.1,1,"dB02,VdH93    ",UGC01230,UGC01230,UGC01230,0
UGC01281,UGC01281,UGC01281,UGC01281,0,0,27.382125,32.5878333,8,5.27,90.0,0.353,2.01,1.63,0.294,5.26,55.2,3.5,1,"dB02,Sw02     ",UGC01281,UGC01281,UGC01281,0
UGC02023,UGC02023,UGC02023,UGC02023,0,0,38.3255,33.4904167,10,10.4,19.0,1.308,2.73,1.55,0.477,6.5,0.0,0.0,2,"Sw09,Sw02     ",UGC02023,UGC02023,UGC02023,0
UGC02259,UGC02259,UGC02259,UGC02259,0,0,41.980825,37.5384417,8,10.5,41.0,1.725,2.4,1.62,0.494,7.28,86.2,2.9,2,"Be91,Ca88     ",UGC02259,UGC02259,UGC02259,0
UGC02455,UGC02455,UGC02455,UGC02455,0,0,44.9284917,25.2411944,10,6.92,51.0,3.649,1.49,0.99,0.803,7.11,0.0,0.0,3,"Sw09,Sw02     ",UGC02455,UGC02455,UGC02455,0
UGC02487,UGC02487,UGC02487,UGC02487,0,0,45.4264917,35.20565,0,69.1,36.0,489.955,9.63,7.89,17.963,40.2,332.0,3.5,1,"No07,No05     ",UGC02487,UGC02487,UGC02487,0
UGC02885,UGC02885,UGC02885,UGC02885,0,0,58.2601667,35.5894722,5,80.6,64.0,403.525,12.2,11.4,40.075,74.24,289.5,12.0,1,"Sa96,RA85     ",UGC02885,UGC02885,UGC02885,0
UGC02916,UGC02916,UGC02916,UGC02916,0,0,60.6409792,71.705925,2,65.4,50.0,124.153,2.8,6.15,23.273,34.24,182.7,6.9,2,"No07,No05     ",UGC02916,UGC02916,UGC02916,0
UGC02953,UGC02953,UGC02953,UGC02953,0,0,61.94545,69.8124306,2,16.5,50.0,259.518,5.03,3.55,7.678,24.0,264.9,6.0,2,"No07,No05     ",UGC02953,UGC02953,UGC02953,0
UGC03205,UGC03205,UGC03205,UGC03205,0,0,74.0617292,30.0521889,2,50.0,67.0,113.642,5.35,3.19,9.677,28.6,219.6,8.6,1,"No07,No05     ",UGC03205,UGC03205,UGC03205,0
UGC03546,UGC03546,UGC03546,UGC03546,0,0,102.5360958,60.8456944,1,28.7,55.0,101.336,2.58,3.79,2.675,18.37,196.9,7.4,1,"No07,No05     ",UGC03546,UGC03546,UGC03546,0
UGC03580,UGC03580,UGC03580,UGC03580,0,0,103.8786375,69.5629972,1,20.7,63.0,13.266,1.84,2.43,4.37,19.97,126.2,3.2,2,"No07,No05     ",UGC03580,UGC03580,UGC03580,0
UGC04278,UGC04278,UGC04278,UGC04278,0,0,123.4954542,45.74215,7,9.51,90.0,1.307,2.46,2.21,1.116,8.9,91.4,4.8,1,"dB02,Sw02     ",UGC04278,UGC04278,UGC04278,0
UGC04305,UGC04305,UGC04305,UGC04305,1,0,124.7707375,70.7200306,10,3.45,40.0,0.736,1.23,1.16,0.69,7.41,34.5,2.7,3,"Sw09,Sw02     ",UGC04305,UGC04305,UGC04305,1
UGC04325,UGC04325,UGC04325,UGC04325,0,0,124.8355361,50.00961,9,9.6,41.0,2.026,2.79,1.86,0.678,6.61,90.9,2.7,1,"Sw09,Sw02     ",UGC04325,UGC04325,UGC04325,0
UGC04483,UGC04483,UGC04483,UGC04483,1,0,129.2637083,69.7747778,10,3.34,58.0,0.013,0.26,0.18,0.032,1.46,0.0,0.0,2,"Le14,Le12     ",UGC04483,UGC04483,UGC04483,1
UGC04499,UGC04499,UGC04499,UGC04499,1,0,129.4228708,51.6523833,8,12.5,50.0,1.552,2.69,1.73,1.1,8.67,72.8,2.4,1,"Sw09,Sw02     ",UGC04499,UGC04499,UGC04499,1
UGC05005,UGC05005,UGC05005,UGC05005,0,0,141.1224458,22.274825,10,53.7,41.0,4.1,5.02,3.2,3.093,21.61,98.9,7.2,1,"dB02,VH93     ",UGC05005,UGC05005,UGC05005,0
UGC05253,UGC05253,UGC05253,UGC05253,0,0,147.5926375,72.2786472,2,22.9,37.0,171.582,4.28,8.07,16.396,36.64,213.7,7.1,2,"No07,No05     ",UGC05253,UGC05253,UGC05253,0
UGC05414,UGC05414,UGC05414,UGC05414,0,0,150.9882711,40.7615089,10,9.4,55.0,1.123,2.33,1.47,0.574,6.65,0.0,0.0,1,"Sw09,Sw02     ",UGC05414,UGC05414,UGC05414,0
UGC05716,UGC05716,UGC05716,UGC05716,0,0,157.9302811,25.30761,9,21.3,54.0,0.588,1.84,1.14,1.094,10.64,73.1,1.2,2,vZ97          ,UGC05716,UGC05716,UGC05716,0
UGC05721,UGC05721,UGC05721,UGC05721,0,0,158.0720042,27.668775,7,6.18,61.0,0.531,0.6,0.38,0.562,6.74,79.7,6.6,1,"dB02,Sw02     ",UGC05721,UGC05721,UGC05721,0
