galaxy_id,filename,filepath,catalog_prefix,catalog_number,name_normalized,row_count,source_expected,s4g_name_normalized,Name,RAJ2000,DEJ2000,amaj,PA,ell,3.6,e_3.6,4.5,e_4.5,c31,c42,M3.6,M4.5,logM*,Dmean,e_Dmean,TT,e_TT,Vr,e_Vr,match_status
F574-2,F574-2.csv,data/derived/sparc/F574-2.csv,F,574-2,F5742,5,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F579-V1,F579-V1.csv,data/derived/sparc/F579-V1.csv,F,579-V1,F579V1,14,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F583-1,F583-1.csv,data/derived/sparc/F583-1.csv,F,583-1,F5831,25,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
F583-4,F583-4.csv,data/derived/sparc/F583-4.csv,F,583-4,F5834,12,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
IC2574,IC2574.csv,data/derived/sparc/IC2574.csv,IC,2574,IC2574,34,SPARC,IC2574,IC2574,157.09833,68.41214,429.9,48.3,0.633,10.923,0.001,10.72,0.003,2.437,2.464,-16.991,-17.194,8.456,3.827,0.624,8.9,0.3,46.2,3.2,matched
IC4202,IC4202.csv,data/derived/sparc/IC4202.csv,IC,4202,IC4202,32,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
KK98-251,KK98-251.csv,data/derived/sparc/KK98-251.csv,KK,98-251,KK98251,15,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC0024,NGC0024.csv,data/derived/sparc/NGC0024.csv,NGC,0024,NGC0024,29,SPARC,NGC0024,NGC0024,2.48444,-24.96402,181.0,44.8,0.715,11.492,0.001,12.072,0.001,2.8,2.789,-17.698,-17.119,9.318,6.889,2.849,5.1,0.4,553.2,3.1,matched
NGC0055,NGC0055.csv,data/derived/sparc/NGC0055.csv,NGC,0055,NGC0055,21,SPARC,NGC0055,NGC0055,3.72841,-39.1995,,,,,,,,,,,,,1.942,0.305,8.8,0.8,128.9,4.0,matched
NGC0100,NGC0100.csv,data/derived/sparc/NGC0100.csv,NGC,0100,NGC0100,21,SPARC,NGC0100,NGC0100,6.01111,16.48603,123.2,54.4,0.83,13.002,0.002,13.351,0.005,2.853,2.87,-18.071,-17.722,9.297,16.392,3.106,5.9,0.5,841.9,3.1,matched
NGC0247,NGC0247.csv,data/derived/sparc/NGC0247.csv,NGC,0247,NGC0247,26,SPARC,NGC0247,NGC0247,11.7853,-20.76018,737.7,-8.1,0.716,9.135,0.001,9.477,0.001,2.692,2.68,-18.639,-18.296,9.519,3.587,0.483,6.9,0.5,156.8,3.3,matched
NGC0289,NGC0289.csv,data/derived/sparc/NGC0289.csv,NGC,0289,NGC0289,28,SPARC,NGC0289,NGC0289,13.1761,-31.20582,126.2,-60.5,0.235,10.522,0.003,10.948,0.003,3.459,3.503,-21.264,-20.838,10.631,22.767,4.148,4.0,0.5,1629.2,3.1,matched
NGC0300,NGC0300.csv,data/derived/sparc/NGC0300.csv,NGC,0300,NGC0300,25,SPARC,NGC0300,NGC0300,13.72267,-37.6842,645.0,-65.5,0.295,8.408,0.001,8.801,0.001,2.78,2.761,-18.066,-17.674,9.327,1.972,0.275,6.9,0.4,144.8,2.9,matched
NGC0801,NGC0801.csv,data/derived/sparc/NGC0801.csv,NGC,0801,NGC0801,13,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC0891,NGC0891.csv,data/derived/sparc/NGC0891.csv,NGC,0891,NGC0891,18,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC1003,NGC1003.csv,data/derived/sparc/NGC1003.csv,NGC,1003,NGC1003,36,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC1090,NGC1090.csv,data/derived/sparc/NGC1090.csv,NGC,1090,NGC1090,24,SPARC,NGC1090,NGC1090,41.64131,-0.24714,122.0,-82.1,0.562,11.705,0.002,12.156,0.002,2.951,3.021,-20.843,-20.391,10.481,32.324,4.09,3.8,0.7,2757.8,3.4,matched
NGC1705,NGC1705.csv,data/derived/sparc/NGC1705.csv,NGC,1705,NGC1705,14,SPARC,NGC1705,NGC1705,73.55597,-53.36099,64.9,49.7,0.323,13.064,0.001,13.413,0.004,7.377,5.453,-15.584,-15.236,8.301,5.367,0.551,-2.9,0.5,630.7,5.0,matched
NGC2366,NGC2366.csv,data/derived/sparc/NGC2366.csv,NGC,2366,NGC2366,26,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC2403,NGC2403.csv,data/derived/sparc/NGC2403.csv,NGC,2403,NGC2403,73,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC2683,NGC2683.csv,data/derived/sparc/NGC2683.csv,NGC,2683,NGC2683,11,SPARC,NGC2683,NGC2683,133.17208,33.42188,292.6,43.5,0.524,8.883,0.001,9.351,0.001,3.198,3.228,-21.156,-20.688,10.618,10.182,2.223,3.0,0.3,410.2,3.2,matched
NGC2841,NGC2841.csv,data/derived/sparc/NGC2841.csv,NGC,2841,NGC2841,50,SPARC,NGC2841,NGC2841,140.51122,50.97659,314.4,-29.9,0.487,8.713,0.001,9.204,0.001,4.222,4.002,-22.41,-21.92,11.137,16.778,5.279,3.0,0.4,635.1,2.8,matched
NGC2903,NGC2903.csv,data/derived/sparc/NGC2903.csv,NGC,2903,NGC2903,34,SPARC,NGC2903,NGC2903,143.0424,21.50183,365.5,19.4,0.508,8.4,0.001,8.807,0.001,3.096,3.256,-21.385,-20.978,10.665,9.058,1.584,4.0,0.1,555.3,2.4,matched
NGC2915,NGC2915.csv,data/derived/sparc/NGC2915.csv,NGC,2915,NGC2915,30,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC2955,NGC2955.csv,data/derived/sparc/NGC2955.csv,NGC,2955,NGC2955,24,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC2976,NGC2976.csv,data/derived/sparc/NGC2976.csv,NGC,2976,NGC2976,27,SPARC,NGC2976,NGC2976,146.81366,67.91671,215.7,-35.9,0.393,9.907,0.001,10.326,0.001,2.206,2.238,-17.881,-17.462,9.273,3.611,0.707,5.2,0.6,5.3,4.8,matched
NGC2998,NGC2998.csv,data/derived/sparc/NGC2998.csv,NGC,2998,NGC2998,13,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC3109,NGC3109.csv,data/derived/sparc/NGC3109.csv,NGC,3109,NGC3109,25,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC3198,NGC3198.csv,data/derived/sparc/NGC3198.csv,NGC,3198,NGC3198,43,SPARC,NGC3198,NGC3198,154.97921,45.54977,226.6,34.4,0.578,10.35,0.001,10.803,0.001,2.651,2.801,-20.378,-19.926,10.296,13.987,1.632,5.2,0.6,661.4,2.9,matched
NGC3521,NGC3521.csv,data/derived/sparc/NGC3521.csv,NGC,3521,NGC3521,41,SPARC,NGC3521,NGC3521,166.45241,-0.03594,411.3,-18.5,0.434,8.202,0.001,8.656,0.001,3.92,3.842,-22.208,-21.754,11.03,12.078,2.835,4.0,0.2,800.4,3.3,matched
NGC3726,NGC3726.csv,data/derived/sparc/NGC3726.csv,NGC,3726,NGC3726,12,SPARC,NGC3726,NGC3726,173.33808,47.02924,198.9,20.5,0.391,10.265,0.001,10.695,0.001,2.495,2.492,-20.873,-20.444,10.477,16.892,2.448,5.1,0.6,863.9,3.1,matched
NGC3741,NGC3741.csv,data/derived/sparc/NGC3741.csv,NGC,3741,NGC3741,21,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC3769,NGC3769.csv,data/derived/sparc/NGC3769.csv,NGC,3769,NGC3769,12,SPARC,NGC3769,NGC3769,174.4337,47.89294,103.6,-28.0,0.569,11.71,0.001,12.137,0.001,2.848,2.913,-19.381,-18.954,9.878,16.523,1.833,3.4,0.9,725.1,4.9,matched
NGC3877,NGC3877.csv,data/derived/sparc/NGC3877.csv,NGC,3877,NGC3877,13,SPARC,NGC3877,NGC3877,176.53221,47.49459,175.8,36.4,0.589,10.245,0.001,10.714,0.001,2.912,2.966,-20.722,-20.253,10.445,15.612,1.343,5.1,0.5,895.6,4.5,matched
NGC3893,NGC3893.csv,data/derived/sparc/NGC3893.csv,NGC,3893,NGC3893,10,SPARC,NGC3893,NGC3893,177.15901,48.71095,139.1,-21.5,0.29,10.347,0.001,10.751,0.001,3.611,3.489,-20.944,-20.541,10.486,18.129,1.164,5.2,0.8,969.9,3.4,matched
NGC3917,NGC3917.csv,data/derived/sparc/NGC3917.csv,NGC,3917,NGC3917,17,SPARC,NGC3917,NGC3917,177.68935,51.82448,157.3,77.3,0.738,11.584,0.001,12.023,0.001,2.464,2.455,-19.623,-19.184,9.984,17.435,1.512,5.9,0.5,964.5,3.5,matched
NGC3949,NGC3949.csv,data/derived/sparc/NGC3949.csv,NGC,3949,NGC3949,7,SPARC,NGC3949,NGC3949,178.42388,47.85875,95.4,-64.8,0.151,10.956,0.001,11.351,0.001,2.778,2.846,-20.361,-19.966,10.246,18.341,1.947,4.0,0.1,800.3,3.7,matched
NGC3953,NGC3953.csv,data/derived/sparc/NGC3953.csv,NGC,3953,NGC3953,8,SPARC,NGC3953,NGC3953,178.45424,52.32681,212.9,12.5,0.482,9.58,0.001,10.225,0.006,3.231,3.333,-21.749,-21.104,10.987,18.445,1.602,4.0,0.2,1051.4,3.8,matched
NGC3972,NGC3972.csv,data/derived/sparc/NGC3972.csv,NGC,3972,NGC3972,10,SPARC,NGC3972,NGC3972,178.93807,55.32037,124.8,-62.9,0.713,12.038,0.001,12.459,0.001,2.587,2.65,-19.389,-18.967,9.877,19.288,2.03,4.0,0.3,850.8,6.9,matched
NGC3992,NGC3992.csv,data/derived/sparc/NGC3992.csv,NGC,3992,NGC3992,9,SPARC,NGC3992,NGC3992,179.39983,53.37483,235.9,73.1,0.372,9.592,0.001,10.05,0.001,3.067,3.238,-22.387,-21.93,11.104,24.878,7.33,4.0,0.2,1047.1,2.7,matched
NGC4010,NGC4010.csv,data/derived/sparc/NGC4010.csv,NGC,4010,NGC4010,12,SPARC,NGC4010,NGC4010,179.658,47.26141,134.6,63.7,0.759,11.85,0.001,12.237,0.002,3.219,3.132,-19.544,-19.157,9.914,19.006,2.089,6.8,0.9,904.7,4.1,matched
NGC4013,NGC4013.csv,data/derived/sparc/NGC4013.csv,NGC,4013,NGC4013,36,SPARC,NGC4013,NGC4013,179.63059,43.94746,166.1,63.5,0.541,10.065,0.001,10.479,0.001,3.744,3.639,-21.283,-20.868,10.63,18.6,2.459,3.1,0.5,835.5,3.6,matched
NGC4051,NGC4051.csv,data/derived/sparc/NGC4051.csv,NGC,4051,NGC4051,7,SPARC,NGC4051,NGC4051,180.79007,44.53131,200.0,-54.8,0.257,9.974,0.001,10.259,0.001,5.307,5.402,-20.844,-20.559,10.359,14.575,2.21,4.0,0.1,703.9,4.4,matched
NGC4068,NGC4068.csv,data/derived/sparc/NGC4068.csv,NGC,4068,NGC4068,6,SPARC,NGC4068,NGC4068,181.00735,52.58772,89.4,30.7,0.406,13.579,0.002,13.976,0.008,2.255,2.179,-14.765,-14.368,8.01,4.664,0.779,9.9,0.3,209.7,3.0,matched
NGC4085,NGC4085.csv,data/derived/sparc/NGC4085.csv,NGC,4085,NGC4085,7,SPARC,NGC4085,NGC4085,181.34446,50.35283,81.3,74.6,0.633,11.541,0.001,11.924,0.001,2.994,2.981,-19.999,-19.616,10.093,20.322,3.298,5.2,0.5,745.1,4.5,matched
NGC4088,NGC4088.csv,data/derived/sparc/NGC4088.csv,NGC,4088,NGC4088,12,SPARC,NGC4088,NGC4088,181.3928,50.53923,179.1,54.0,0.551,9.833,0.001,10.21,0.001,2.597,2.683,-21.22,-20.843,10.577,16.24,2.052,4.7,0.9,758.2,4.1,matched
NGC4100,NGC4100.csv,data/derived/sparc/NGC4100.csv,NGC,4100,NGC4100,24,SPARC,NGC4100,NGC4100,181.53561,49.58271,162.4,-13.8,0.635,10.483,0.001,10.917,0.001,2.809,3.014,-21.11,-20.676,10.576,20.825,2.913,4.1,0.6,1072.9,4.2,matched
NGC4138,NGC4138.csv,data/derived/sparc/NGC4138.csv,NGC,4138,NGC4138,7,SPARC,NGC4138,NGC4138,182.37415,43.68521,119.9,-28.4,0.442,10.786,0.001,11.185,0.003,4.635,4.321,-20.175,-19.776,10.176,15.567,1.626,-0.8,1.1,877.4,5.6,matched
NGC4157,NGC4157.csv,data/derived/sparc/NGC4157.csv,NGC,4157,NGC4157,17,SPARC,NGC4157,NGC4157,182.76824,50.48501,198.2,65.5,0.716,9.804,0.001,10.212,0.001,3.12,3.042,-21.604,-21.197,10.753,19.129,2.287,3.3,0.7,770.8,4.4,matched
NGC4183,NGC4183.csv,data/derived/sparc/NGC4183.csv,NGC,4183,NGC4183,23,SPARC,NGC4183,NGC4183,183.32012,43.69846,134.2,-13.5,0.764,12.385,0.001,12.807,0.001,3.175,3.128,-18.856,-18.434,9.665,17.71,2.605,5.8,0.5,930.6,3.4,matched
NGC4214,NGC4214.csv,data/derived/sparc/NGC4214.csv,NGC,4214,NGC4214,14,SPARC,NGC4214,NGC4214,183.91305,36.328,227.2,-35.5,0.011,10.21,0.001,10.597,0.001,3.422,3.323,-17.448,-17.061,9.076,3.401,1.007,9.8,0.5,291.1,2.7,matched
NGC4217,NGC4217.csv,data/derived/sparc/NGC4217.csv,NGC,4217,NGC4217,19,SPARC,NGC4217,NGC4217,183.96244,47.0916,216.6,47.9,0.655,10.006,0.001,10.39,0.001,3.325,3.284,-21.453,-21.069,10.676,19.577,1.716,3.1,0.4,1028.9,4.9,matched
NGC4389,NGC4389.csv,data/derived/sparc/NGC4389.csv,NGC,4389,NGC4389,6,SPARC,NGC4389,NGC4389,186.39541,45.68503,96.1,-81.1,0.322,11.588,0.001,12.013,0.001,3.101,3.083,-19.299,-18.875,9.844,15.05,1.082,4.1,0.5,719.9,3.4,matched
NGC4559,NGC4559.csv,data/derived/sparc/NGC4559.csv,NGC,4559,NGC4559,32,SPARC,NGC4559,NGC4559,188.99021,27.95993,278.1,-37.0,0.579,10.151,0.001,10.581,0.001,2.976,2.967,-19.689,-19.259,10.004,9.29,2.769,6.0,0.4,814.5,2.8,matched
NGC5005,NGC5005.csv,data/derived/sparc/NGC5005.csv,NGC,5005,NGC5005,18,SPARC,NGC5005,NGC5005,197.73442,37.05903,199.2,64.9,0.39,9.088,0.001,9.531,0.001,5.062,4.416,-22.402,-21.96,11.098,19.867,6.674,4.0,0.2,947.1,4.2,matched
NGC5033,NGC5033.csv,data/derived/sparc/NGC5033.csv,NGC,5033,NGC5033,22,SPARC,NGC5033,NGC5033,198.36451,36.59384,316.8,-8.2,0.53,9.422,0.004,9.852,0.001,6.939,5.145,-22.044,-21.614,10.946,19.642,7.358,5.1,0.8,874.1,2.8,matched
NGC5055,NGC5055.csv,data/derived/sparc/NGC5055.csv,NGC,5055,NGC5055,28,SPARC,NGC5055,NGC5055,198.95528,42.02935,517.9,-73.0,0.393,8.018,0.001,8.469,0.001,4.116,3.86,-21.586,-21.135,10.778,8.333,1.867,4.0,0.2,509.5,3.3,matched
NGC5371,NGC5371.csv,data/derived/sparc/NGC5371.csv,NGC,5371,NGC5371,19,SPARC,NGC5371,NGC5371,208.91647,40.46174,139.3,16.7,0.209,10.287,0.001,10.797,0.004,2.87,3.037,-22.061,-21.55,11.012,29.483,7.132,4.0,0.2,2555.7,4.9,matched
NGC5585,NGC5585.csv,data/derived/sparc/NGC5585.csv,NGC,5585,NGC5585,24,SPARC,NGC5585,NGC5585,214.95043,56.7294,162.5,36.4,0.384,11.668,0.001,12.075,0.005,3.199,3.139,-18.017,-17.61,9.318,8.651,1.094,6.9,0.5,301.6,2.9,matched
NGC5907,NGC5907.csv,data/derived/sparc/NGC5907.csv,NGC,5907,NGC5907,19,SPARC,NGC5907,NGC5907,228.97293,56.32874,331.1,-26.4,0.794,9.205,0.001,9.613,0.001,3.151,3.127,-21.9,-21.493,10.871,16.636,1.875,5.3,0.7,666.8,2.7,matched
NGC5985,NGC5985.csv,data/derived/sparc/NGC5985.csv,NGC,5985,NGC5985,33,SPARC,NGC5985,NGC5985,234.90445,59.33208,158.1,14.6,0.491,10.765,0.001,11.249,0.001,2.59,2.642,-22.364,-21.88,11.114,42.257,4.753,3.0,0.3,2519.1,3.6,matched
NGC6015,NGC6015.csv,data/derived/sparc/NGC6015.csv,NGC,6015,NGC6015,44,SPARC,NGC6015,NGC6015,237.85512,62.31005,171.9,28.2,0.572,10.93,0.001,11.309,0.001,2.571,2.603,-20.191,-19.811,10.168,16.756,1.626,5.9,0.3,832.5,2.8,matched
NGC6195,NGC6195.csv,data/derived/sparc/NGC6195.csv,NGC,6195,NGC6195,23,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC6503,NGC6503.csv,data/derived/sparc/NGC6503.csv,NGC,6503,NGC6503,31,SPARC,NGC6503,NGC6503,267.36024,70.14434,238.5,-61.9,0.622,9.824,0.001,10.275,0.003,2.508,2.548,-18.884,-18.433,9.697,5.517,0.409,5.8,0.5,62.0,5.5,matched
NGC6674,NGC6674.csv,data/derived/sparc/NGC6674.csv,NGC,6674,NGC6674,15,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC6789,NGC6789.csv,data/derived/sparc/NGC6789.csv,NGC,6789,NGC6789,4,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC6946,NGC6946.csv,data/derived/sparc/NGC6946.csv,NGC,6946,NGC6946,58,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC7331,NGC7331.csv,data/derived/sparc/NGC7331.csv,NGC,7331,NGC7331,36,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
NGC7793,NGC7793.csv,data/derived/sparc/NGC7793.csv,NGC,7793,NGC7793,46,SPARC,NGC7793,NGC7793,359.45721,-32.59107,326.8,-80.1,0.364,9.246,0.001,9.691,0.001,2.593,2.628,-18.855,-18.411,9.681,4.171,0.787,7.4,0.6,228.2,3.4,matched
NGC7814,NGC7814.csv,data/derived/sparc/NGC7814.csv,NGC,7814,NGC7814,18,SPARC,NGC7814,NGC7814,0.81202,16.14534,260.9,-46.6,0.509,9.68,0.001,10.165,0.001,6.149,4.969,-21.494,-21.009,10.766,17.171,3.872,2.0,0.2,1050.2,4.2,matched
PGC51017,PGC51017.csv,data/derived/sparc/PGC51017.csv,PGC,51017,PGC51017,6,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC00128,UGC00128.csv,data/derived/sparc/UGC00128.csv,UGC,00128,UGC00128,22,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC00191,UGC00191.csv,data/derived/sparc/UGC00191.csv,UGC,00191,UGC00191,9,SPARC,UGC00191,UGC00191,5.02088,10.87959,62.2,-32.1,0.361,14.194,0.001,14.577,0.001,3.052,2.965,-16.813,-16.43,8.818,15.9,,8.6,0.9,1143.5,3.8,matched
UGC00634,UGC00634.csv,data/derived/sparc/UGC00634.csv,UGC,00634,UGC00634,4,SPARC,UGC00634,UGC00634,15.35349,7.62546,53.7,32.1,0.509,15.008,0.005,15.426,0.015,2.956,2.896,-17.282,-16.863,9.033,28.7,,8.8,0.5,2212.3,3.6,matched
UGC00731,UGC00731.csv,data/derived/sparc/UGC00731.csv,UGC,00731,UGC00731,12,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC00891,UGC00891.csv,data/derived/sparc/UGC00891.csv,UGC,00891,UGC00891,5,SPARC,UGC00891,UGC00891,20.3295,12.41167,64.7,48.5,0.601,14.927,0.003,15.341,0.005,2.539,2.511,-14.938,-14.525,8.091,9.4,,9.0,0.9,642.8,3.3,matched
UGC01230,UGC01230.csv,data/derived/sparc/UGC01230.csv,UGC,01230,UGC01230,11,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC01281,UGC01281.csv,data/derived/sparc/UGC01281.csv,UGC,01281,UGC01281,25,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC02023,UGC02023.csv,data/derived/sparc/UGC02023.csv,UGC,02023,UGC02023,5,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC02259,UGC02259.csv,data/derived/sparc/UGC02259.csv,UGC,02259,UGC02259,8,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC02455,UGC02455.csv,data/derived/sparc/UGC02455.csv,UGC,02455,UGC02455,8,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC02487,UGC02487.csv,data/derived/sparc/UGC02487.csv,UGC,02487,UGC02487,17,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC02885,UGC02885.csv,data/derived/sparc/UGC02885.csv,UGC,02885,UGC02885,19,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC02916,UGC02916.csv,data/derived/sparc/UGC02916.csv,UGC,02916,UGC02916,43,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC02953,UGC02953.csv,data/derived/sparc/UGC02953.csv,UGC,02953,UGC02953,115,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC03205,UGC03205.csv,data/derived/sparc/UGC03205.csv,UGC,03205,UGC03205,48,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC03546,UGC03546.csv,data/derived/sparc/UGC03546.csv,UGC,03546,UGC03546,30,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC03580,UGC03580.csv,data/derived/sparc/UGC03580.csv,UGC,03580,UGC03580,47,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC04278,UGC04278.csv,data/derived/sparc/UGC04278.csv,UGC,04278,UGC04278,25,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC04305,UGC04305.csv,data/derived/sparc/UGC04305.csv,UGC,04305,UGC04305,22,SPARC,UGC04305,UGC04305,124.77008,70.72019,160.1,16.6,0.16,12.04,0.005,12.346,0.007,2.896,2.892,-15.579,-15.273,8.268,3.34,0.9,9.9,0.5,157.9,1.9,matched
UGC04325,UGC04325.csv,data/derived/sparc/UGC04325.csv,UGC,04325,UGC04325,8,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC04483,UGC04483.csv,data/derived/sparc/UGC04483.csv,UGC,04483,UGC04483,8,SPARC,UGC04483,UGC04483,129.26163,69.77592,33.6,-16.5,0.414,15.637,0.044,16.769,0.006,2.814,2.915,-12.045,-10.914,7.466,3.44,0.192,9.8,0.5,156.5,2.8,matched
UGC04499,UGC04499.csv,data/derived/sparc/UGC04499.csv,UGC,04499,UGC04499,9,SPARC,UGC04499,UGC04499,129.42241,51.65302,66.4,-26.6,0.301,13.915,0.003,14.321,0.002,3.351,3.249,-16.621,-16.215,8.758,12.8,,8.0,0.5,691.9,4.0,matched
UGC05005,UGC05005.csv,data/derived/sparc/UGC05005.csv,UGC,05005,UGC05005,11,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC05253,UGC05253.csv,data/derived/sparc/UGC05253.csv,UGC,05253,UGC05253,73,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC05414,UGC05414.csv,data/derived/sparc/UGC05414.csv,UGC,05414,UGC05414,6,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
UGC05716,UGC05716.csv,data/derived/sparc/UGC05716.csv,UGC,05716,UGC05716,12,SPARC,,,,,,,,,,,,,,,,,,,,,,,unmatched
