Structural coupling rotation pipeline run log
started_at: 2026-03-23T15:17:01.871254
project_root: C:\Users\mincu\Desktop\topological_gravity_project
data_dir: C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized
output_root: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling
run_dir: C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_structural_coupling\2026-03-23_151701_local_structural_coupling
beta_mode: local_structural_coupling
beta_value: 200.0
n_input_files: 175
------------------------------------------------------------------------
[083/175] [OK] NGC5371 | beta_mean=112.735 | beta_max=142.156 | d_eff_mean=2.55752 | rmse=84.4266 | mafe=0.245408
[084/175] [OK] NGC5585 | beta_mean=89.0893 | beta_max=133.264 | d_eff_mean=2.44122 | rmse=79.7566 | mafe=1.71396
[085/175] [OK] NGC5907 | beta_mean=116.865 | beta_max=137.04 | d_eff_mean=2.57719 | rmse=59.1577 | mafe=0.258821
[086/175] [OK] NGC5985 | beta_mean=91.5328 | beta_max=129.663 | d_eff_mean=2.44996 | rmse=124.831 | mafe=0.428306
[087/175] [OK] NGC6015 | beta_mean=99.4146 | beta_max=146.265 | d_eff_mean=2.49774 | rmse=105.973 | mafe=0.670172
[088/175] [OK] NGC6195 | beta_mean=107.158 | beta_max=137.854 | d_eff_mean=2.51864 | rmse=145.518 | mafe=0.465116
[089/175] [OK] NGC6503 | beta_mean=126.281 | beta_max=137.175 | d_eff_mean=2.6227 | rmse=99.4922 | mafe=0.8406
[090/175] [OK] NGC6674 | beta_mean=125.8 | beta_max=141.966 | d_eff_mean=2.62156 | rmse=88.8329 | mafe=0.338889
[091/175] [OK] NGC6789 | beta_mean=60.3326 | beta_max=99.9568 | d_eff_mean=2.31354 | rmse=151.326 | mafe=6.30854
[092/175] [OK] NGC6946 | beta_mean=118.793 | beta_max=149.309 | d_eff_mean=2.58626 | rmse=150.251 | mafe=0.893489
[093/175] [OK] NGC7331 | beta_mean=124.163 | beta_max=142.787 | d_eff_mean=2.61035 | rmse=72.5218 | mafe=0.278461
[094/175] [OK] NGC7793 | beta_mean=62.6154 | beta_max=139.238 | d_eff_mean=2.32429 | rmse=76.8785 | mafe=0.903208
[095/175] [OK] NGC7814 | beta_mean=129.487 | beta_max=140.086 | d_eff_mean=2.63907 | rmse=207.63 | mafe=0.914054
[096/175] [OK] PGC51017 | beta_mean=85.8344 | beta_max=128.544 | d_eff_mean=2.42926 | rmse=17.9977 | mafe=0.934697
[097/175] [OK] UGC00128 | beta_mean=104.718 | beta_max=141.105 | d_eff_mean=2.51693 | rmse=69.8546 | mafe=0.555809
[098/175] [OK] UGC00191 | beta_mean=66.402 | beta_max=136.573 | d_eff_mean=2.34364 | rmse=69.6582 | mafe=1.28308
[099/175] [OK] UGC00634 | beta_mean=106.207 | beta_max=144.103 | d_eff_mean=2.52647 | rmse=81.0658 | mafe=0.79864
[100/175] [OK] UGC00731 | beta_mean=62.8543 | beta_max=124.361 | d_eff_mean=2.32026 | rmse=35.5271 | mafe=0.507145
