galaxy,n_points,chi2,reduced_chi2,rmse_kmps,mae_kmps,mean_abs_residual_kmps,max_abs_residual_kmps,status,source_file,rs_kpc
NGC2915,30,1497.8135663621997,51.64874366766206,48.69444732824933,46.34040770497791,46.34040770497791,60.44637032337256,success,data\raw\sparc_csv\NGC2915.csv,5.0
NGC2955,24,1404.1355341233502,61.049371048841316,44.40815248571284,36.37794157507265,36.37794157507265,80.27236823216202,success,data\raw\sparc_csv\NGC2955.csv,5.0
NGC2976,27,28.270373875707328,1.0873220721425896,3.6845505539647445,3.043037564366068,3.043037564366068,7.4942360420148475,success,data\raw\sparc_csv\NGC2976.csv,5.0
NGC2998,13,1881.258360241774,156.77153002014782,34.27776555507977,28.90769414741216,28.90769414741216,56.88611721362594,success,data\raw\sparc_csv\NGC2998.csv,5.0
NGC3109,25,3186.472441436964,132.7696850598735,29.986977397240718,27.05707698967043,27.05707698967043,44.14805623711045,success,data\raw\sparc_csv\NGC3109.csv,5.0
NGC3198,43,12645.280060698016,301.0780966832861,37.60592238748666,28.097610803939567,28.097610803939567,70.98126827485594,success,data\raw\sparc_csv\NGC3198.csv,5.0
NGC3521,41,1206.9084606136837,30.172711515342094,52.548261740849114,50.64666776813408,50.64666776813408,66.59255838718798,success,data\raw\sparc_csv\NGC3521.csv,5.0
NGC3726,12,257.3266487333951,23.393331703035916,35.31058676501566,30.642640728903746,30.642640728903746,60.098171203669295,success,data\raw\sparc_csv\NGC3726.csv,5.0
NGC3741,21,2401.326159641702,120.06630798208509,25.07618692122832,22.573000171709324,22.573000171709324,37.632351665366144,success,data\raw\sparc_csv\NGC3741.csv,5.0
NGC3769,12,256.2831284126208,23.29846621932916,37.88089416953534,34.164901830308054,34.164901830308054,58.853994853968565,success,data\raw\sparc_csv\NGC3769.csv,5.0
NGC3877,13,278.2137844219607,23.184482035163395,29.10908735068305,24.0753677617781,24.0753677617781,64.07000000000001,success,data\raw\sparc_csv\NGC3877.csv,5.0
NGC3893,10,166.40933964852863,18.48992662761429,33.59401278483117,29.487967007808965,29.487967007808965,57.95003744764375,success,data\raw\sparc_csv\NGC3893.csv,5.0
NGC3917,17,636.6435657623324,39.790222860145775,26.009308864899815,24.031158543757677,24.031158543757677,43.07647525779285,success,data\raw\sparc_csv\NGC3917.csv,5.0
NGC3949,7,196.6137062427716,32.768951040461936,32.027021331325585,28.038878464645343,28.038878464645343,49.16262202506704,success,data\raw\sparc_csv\NGC3949.csv,5.0
NGC3953,8,69.07293117977918,9.86756159711131,18.26639069797791,17.322946655904058,17.322946655904058,24.202183713197826,success,data\raw\sparc_csv\NGC3953.csv,5.0
NGC3972,10,186.3231408463584,20.70257120515093,21.173242996045843,19.3328616767002,19.3328616767002,36.82071722841334,success,data\raw\sparc_csv\NGC3972.csv,5.0
NGC3992,9,578.7244315958733,72.34055394948416,50.93633621478438,46.654581801754965,46.654581801754965,78.51962220174772,success,data\raw\sparc_csv\NGC3992.csv,5.0
NGC4010,12,155.1318029799934,14.102891179999402,17.706376631874576,15.732368920826602,15.732368920826602,25.680940100102717,success,data\raw\sparc_csv\NGC4010.csv,5.0
NGC4013,36,1932.3356992217546,55.209591406335846,36.834221700953364,31.327686721885684,31.327686721885684,62.3646278122651,success,data\raw\sparc_csv\NGC4013.csv,5.0
NGC4051,7,104.98226655714689,17.49704442619115,29.712607442875203,27.528400230440003,27.528400230440003,48.0,success,data\raw\sparc_csv\NGC4051.csv,5.0
NGC4068,6,27.225654655079808,5.445130931015962,6.0332781675934655,4.801296271137378,4.801296271137378,11.80628470926197,success,data\raw\sparc_csv\NGC4068.csv,5.0
NGC4085,7,219.1782268360194,36.5297044726699,33.53583468853068,29.69720148014877,29.69720148014877,52.599999999999994,success,data\raw\sparc_csv\NGC4085.csv,5.0
NGC4088,12,619.0067617518,56.27334197743637,50.78967092195533,43.789984579621404,43.789984579621404,87.01993252386183,success,data\raw\sparc_csv\NGC4088.csv,5.0
NGC4100,24,527.7684856437199,22.94645589755304,29.063000193985904,25.167863283895013,25.167863283895013,46.32371162918949,success,data\raw\sparc_csv\NGC4100.csv,5.0
NGC4138,7,26.077500804150382,4.346250134025063,29.928517519616307,25.598306704012906,25.598306704012906,51.38943226632597,success,data\raw\sparc_csv\NGC4138.csv,5.0
NGC4157,17,361.9116294128968,22.61947683830605,39.63337875518367,35.002025760840816,35.002025760840816,66.7597462198712,success,data\raw\sparc_csv\NGC4157.csv,5.0
NGC4183,23,796.8805143151416,36.221841559779165,33.20740978635654,31.50565870608127,31.50565870608127,51.80244723282645,success,data\raw\sparc_csv\NGC4183.csv,5.0
NGC4214,14,350.25889403371696,26.942991848747457,33.30785499404934,30.319967375001735,30.319967375001735,47.07018040169133,success,data\raw\sparc_csv\NGC4214.csv,5.0
NGC4217,19,1595.8172853626932,88.65651585348296,64.41615104132141,47.82408021929877,47.82408021929877,122.69797517125465,success,data\raw\sparc_csv\NGC4217.csv,5.0
NGC4389,6,479.21468814459195,95.84293762891839,57.39781645079807,56.31212209049402,56.31212209049402,64.67312511814619,success,data\raw\sparc_csv\NGC4389.csv,5.0
NGC4559,32,784.8519015878559,25.317803277027608,23.867777442607828,20.68044337491473,20.68044337491473,36.012633325252395,success,data\raw\sparc_csv\NGC4559.csv,5.0
NGC5005,18,252.14286044766402,14.831932967509648,57.11681031517998,53.331972587664296,53.331972587664296,83.83661426620745,success,data\raw\sparc_csv\NGC5005.csv,5.0
NGC5033,22,5970.310446318466,284.3004974437365,55.612118868109555,50.88105643529718,50.88105643529718,92.99318602046014,success,data\raw\sparc_csv\NGC5033.csv,5.0
NGC5055,28,97885.66649353446,3625.395055316091,58.025742898698795,51.89240409672053,51.89240409672053,88.67019032063729,success,data\raw\sparc_csv\NGC5055.csv,5.0
NGC5371,19,2652.9071842115177,147.38373245619542,37.26165520119319,32.7765696923995,32.7765696923995,66.16564971182186,success,data\raw\sparc_csv\NGC5371.csv,5.0
NGC5585,24,4190.017169088741,182.17465952559743,24.17712376547203,18.8766943113689,18.8766943113689,41.73700091633901,success,data\raw\sparc_csv\NGC5585.csv,5.0
NGC5907,19,3958.689703753101,219.92720576406117,39.625666839420234,32.85324304856057,32.85324304856057,68.41182847470705,success,data\raw\sparc_csv\NGC5907.csv,5.0
NGC5985,33,8432.682630675421,263.5213322086069,79.97184981072205,79.15654198237362,79.15654198237362,97.61820437160918,success,data\raw\sparc_csv\NGC5985.csv,5.0
NGC6015,44,4380.8457486656125,101.88013368989796,41.77336901746307,32.75692629987704,32.75692629987704,74.40673056953226,success,data\raw\sparc_csv\NGC6015.csv,5.0
NGC6195,23,1399.2362494727736,63.60164770330789,44.58348383337835,41.30929681085425,41.30929681085425,67.69806838951149,success,data\raw\sparc_csv\NGC6195.csv,5.0
NGC6503,31,20569.452556679717,685.6484185559906,37.54457717024107,34.196984332982176,34.196984332982176,56.20164223031369,success,data\raw\sparc_csv\NGC6503.csv,5.0
NGC6674,15,7704.865740448726,550.3475528891947,55.53154043308891,50.36317094507691,50.36317094507691,88.21215480319117,success,data\raw\sparc_csv\NGC6674.csv,5.0
NGC6789,4,57.511385457025426,19.170461819008477,22.346909291739045,19.048076552222376,19.048076552222376,35.954677339008185,success,data\raw\sparc_csv\NGC6789.csv,5.0
NGC6946,58,5292.58016299424,92.85228356130246,27.428970238908878,23.236400867750653,23.236400867750653,81.4451545671183,success,data\raw\sparc_csv\NGC6946.csv,5.0
