galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,segment_index,Dw_i,sigma_i,beta_i,S_i,I_int_i,I_ext_i,DeltaD_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,v_bar_kms,delta_v_i,C_i
UGC05721,1.71,82.2,44.28921764944601,19.2,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,3,2.281958663830385,0.21450081438426372,0.3618571108811868,26254581.166641317,154564796.30645168,131380076.86048393,0.15,338250959.87158346,2.459808,44.28921764944601,0.4612017317585644,0.06918025976378465
UGC05721,1.89,82.6,43.049629498986405,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,3,2.281958663830385,0.21450081438426372,0.3618571108811868,26254581.166641317,154564796.30645168,131380076.86048393,0.15,338250959.87158346,2.459808,43.049629498986405,0.47881804480645995,0.07182270672096899
UGC05721,2.07,82.3,40.63814095157405,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,3,2.281958663830385,0.21450081438426372,0.3618571108811868,26254581.166641317,154564796.30645168,131380076.86048393,0.15,338250959.87158346,2.459808,40.63814095157405,0.5062194295069982,0.07593291442604973
UGC05721,2.25,82.1,38.23119276193198,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,3,2.281958663830385,0.21450081438426372,0.3618571108811868,26254581.166641317,154564796.30645168,131380076.86048393,0.15,338250959.87158346,2.459808,38.23119276193198,0.5343338275038736,0.08015007412558103
UGC05721,3.15,79.3,34.611698889248416,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,4,2.143962624490288,0.09490195906784837,0.023479359331012493,355580.90844677895,68703005.42711177,58397554.61304501,0.15000000000000002,159579468.8010063,5.988996000000002,34.611698889248416,0.5635346924432735,0.08453020386649103
UGC05721,3.61,78.5,33.04658681316423,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,4,2.143962624490288,0.09490195906784837,0.023479359331012493,355580.90844677895,68703005.42711177,58397554.61304501,0.15000000000000002,159579468.8010063,5.988996000000002,33.04658681316423,0.5790243718068251,0.08685365577102377
UGC05721,4.04,78.2,31.955026208720277,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,4,2.143962624490288,0.09490195906784837,0.023479359331012493,355580.90844677895,68703005.42711177,58397554.61304501,0.15000000000000002,159579468.8010063,5.988996000000002,31.955026208720277,0.5913679512951372,0.08870519269427059
UGC05721,4.93,78.2,31.957855059437264,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,5,2.092154745694688,0.051807878795600004,0.0003811707447672103,2165.816698238371,25087451.20751485,21324333.52638762,0.15000000000000002,109674667.39175288,12.356779500000004,31.957855059437264,0.5913317767335389,0.08869976651003085
UGC05721,5.38,78.3,32.23958126278938,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,5,2.092154745694688,0.051807878795600004,0.0003811707447672103,2165.816698238371,25087451.20751485,21324333.52638762,0.15000000000000002,109674667.39175288,12.356779500000004,32.23958126278938,0.588255667141898,0.08823835007128472
UGC05721,5.86,78.6,31.806477327739394,4.57,1.17,data\derived\crossmatch\sparc_structure_test32\per_galaxy\UGC05721_structure_enriched.csv,5,2.092154745694688,0.051807878795600004,0.0003811707447672103,2165.816698238371,25087451.20751485,21324333.52638762,0.15000000000000002,109674667.39175288,12.356779500000004,31.806477327739394,0.5953374385783792,0.0893006157867569
