r_kpc,v_obs_kmps,v_err_kmps,v_model_kmps,v_baryon_kmps,a_newton,sigma_profile,sigma_smoothed,sigma_transferred,beta_local,d_eff_local,cinfo_cap,eta_profile,projection_profile,a_struct_internal,a_struct_observed,a_struct,a_total,struct_to_bar_ratio,sigma_flip_severity
3.7,35.0,0.9,21.242518533813072,21.924235448471173,129.91137837837834,-38.04828083929449,-15.300665753458349,-0.65605687528015,112.35228685210933,2.311790433645361,0.6793188162995467,0.4416819595755615,0.3992367619545014,-19.921483849398356,-7.953388705362697,-7.953380092056203,121.95799828632214,0.06122158190238784,0.6304489497289631
3.98,39.0,10.2,21.855684384765564,21.89594711356419,120.4604271356784,-15.536205521416703,-1.1619259031933336,-0.059607059240006345,81.16205928903788,2.383397109653429,0.7480612252672918,0.49752885013453446,0.3641218197448907,-1.2155355970056756,-0.44260303354639874,-0.44260303354639874,120.017824102132,0.0036742608675223963,0.6304489497289631
4.26,35.9,5.4,23.37099717221516,22.723540657212734,121.211103286385,26.33643976582351,12.63155694881711,0.5708418904889568,115.27511201709814,2.4000326977354294,0.7640313898260123,0.5108345954091654,0.4535327985006156,15.446916166705767,7.005683117290468,7.0056828224621635,128.21678610884717,0.057797368656334155,0.6304489497289631
4.55,40.0,4.1,25.760710541341556,24.827374005319207,135.4721978021978,53.04739957747817,21.06751274546259,0.793958388689807,121.60054536254374,2.360338136212676,0.7259246107641688,0.4792921198262929,0.4890535655802625,21.218851221944398,10.377154847609017,10.377078592260645,145.84927639445846,0.07659932266431645,0.6304489497289631
4.84,38.7,1.4,28.166984121082454,27.121511757274888,151.97859504132234,37.35843176149506,24.47666266592426,0.8502760910913045,121.14546678655019,2.3367088761229837,0.7032405210780643,0.46085346057192655,0.5611606301595343,21.282457428243667,11.942877221776678,11.942684809361774,163.9212798506841,0.07858136078523949,0.6304489497289631
5.12,41.8,0.5,29.04546934645293,28.330981274922337,156.76650390625,4.131498143932911,20.764843279959628,0.7881409943574754,115.39728127420348,2.29831760186376,0.6663848977892097,0.4314331560474436,0.45074322401228367,17.763540626875002,8.006795572030821,8.00679483510483,164.77329874135484,0.05107465329061834,0.6304489497289631
5.41,42.9,0.4,29.147059654162568,28.895406209292158,154.3335489833641,1.5095440808916507,11.19768614825277,0.5191135905901647,95.12617729421385,2.1773398205487795,0.5502462277268283,0.34307780279546657,0.29579190930688004,9.12778030578853,2.6999235643829267,2.6999235643829267,157.033472547747,0.017494080723168076,0.6304489497289631
5.68,44.4,1.7,29.982017552478087,29.920482950647706,157.61184859154932,7.777342836000355,4.641679244756319,0.23398561664498907,76.9337969565498,2.083472955859548,0.460134037625166,0.2790762356915676,0.20476608061601478,3.169260901711037,0.6489571332929459,0.6489571332929459,158.26080572484227,0.004117438752549259,0.6304489497289631
5.97,46.1,1.3,30.797474854392522,30.779416823585205,158.6888609715243,5.211613918943865,1.5679514348911048,0.08035808504677854,72.58047699882273,2.1142756836938665,0.4897046563461119,0.29963995385087655,0.19065085408665056,0.9769561379241458,0.18625752210043398,0.18625752210043398,158.87511849362474,0.0011737277648121718,0.6304489497289631
6.26,49.0,0.9,31.66245024708551,31.710763157010273,160.63458466453676,4.5783972440128125,-2.9619798432762745,-0.15096771611105958,80.91577310528523,2.193945025990142,0.5661872249505362,0.3548139825404244,0.2506407332068082,-1.9513848982532922,-0.4890965416668979,-0.4890965416668979,160.14548812286986,0.003044777328978445,0.6304489497289631
6.54,51.9,0.6,32.30800458450097,32.47910867003588,161.2985474006116,-11.237140905393161,-7.767698363846684,-0.3790567036859746,94.9314230530338,2.234059644622312,0.6046972588374198,0.38367982150121904,0.30805966308521465,-5.502200657293842,-1.6950060807131875,-1.6950060807131875,159.6035413198984,0.010508501830449065,0.6304489497289631
6.83,53.1,2.1,32.186833026187365,32.45592241795016,154.22941434846265,-21.140112309945245,-10.5024488152937,-0.49254685976500356,101.07521037681533,2.251989286744383,0.6219097152746076,0.39681669027603206,0.34940106852813707,-7.289059659031844,-2.5468052334310647,-2.5468052334310647,151.6826091150316,0.016513096700942767,0.6304489497289631
7.1,54.0,0.5,32.24950678154374,32.57555218258011,149.46008450704227,-16.251249766851686,-12.099410431646502,-0.552129258042783,103.33600060756443,2.252180161171361,0.6220929547245068,0.3969573230089068,0.3704491379602821,-8.035891456980723,-2.9768890629809044,-2.9768890629809044,146.48319544406135,0.019917619293474055,0.6304489497289631
7.39,55.9,1.1,32.442553291471405,32.749064108765,145.12871447902572,-8.462138338291213,-11.252486885735344,-0.5211667294681683,101.76807609751734,2.247200774572356,0.6173127435894616,0.39329398719134123,0.3767465765031729,-7.177014260353286,-2.703915552102552,-2.703915552102552,142.42479892692316,0.018631154845011842,0.6304489497289631
7.68,58.8,3.6,33.059192787327206,33.319059110365046,144.55204427083336,-3.406410837751206,-9.974181634043264,-0.4717236827726082,99.42171214794784,2.2418342072987745,0.6121608390068235,0.38935833894777405,0.36779590877415835,-6.106715651300536,-2.246025032595457,-2.246025032595457,142.3060192382379,0.015537829601578764,0.6304489497289631
7.96,57.3,4.6,33.494086783759414,33.76046504419037,143.18706030150753,-7.002523175837367,-10.04446189771279,-0.4745253364601791,101.17971697400672,2.262434054937747,0.6319366927402372,0.4045363837206177,0.3731363813045393,-6.031700909552291,-2.25064705050164,-2.25064705050164,140.9364132510059,0.015718229326066847,0.6304489497289631
8.25,54.0,9.0,33.77160346309593,34.0532670972992,140.56060606060606,-14.748586051484846,-10.511812715289555,-0.49291103649551904,103.5409004319142,2.283066881475787,0.6517442062167553,0.4199308192490843,0.3743167594201821,-6.18623667291808,-2.315612064412985,-2.315612064412985,138.24499399619307,0.016474118383139384,0.6304489497289631
8.52,63.8,12.0,33.62598857869757,33.90553494637712,134.92785211267602,-16.602651085199312,-10.657638587545904,-0.4985601280200254,104.34780274696963,2.2905482841327616,0.6589263527674512,0.4255602883264964,0.362877089390715,-6.106062663865909,-2.2157502471009765,-2.2157502471009765,132.71210186557505,0.016421741043401644,0.6304489497289631
8.81,60.5,6.2,33.81085566261587,34.00629500548391,131.26312145289444,-10.79889242617503,-7.882869610432167,-0.3841106983857994,99.43404450755585,2.2977871652235913,0.6658756786146476,0.43103132924077425,0.34702440992577976,-4.335264503873092,-1.5044426063287382,-1.5044426063287382,129.7586788465657,0.011461274039213026,0.6304489497289631
9.1,61.0,5.7,34.12686458875764,34.217640187482246,128.6644945054945,-4.135540199032965,-4.975971983741307,-0.25014871470091954,88.80163252474861,2.2374019394012596,0.6079058618252092,0.3861176787926797,0.2792887854148962,-2.441056509825191,-0.6817597077582033,-0.6817597077582033,127.9827347977363,0.0052987400317816655,0.6304489497289631
