galaxy,gamma_topo,mean_dw_pert,mean_sigma,mean_beta,r_scale,dw_internal,dw_external,observer_gap,observer_factor,factor_dw,factor_sigma,factor_rscale,factor_beta,gamma_raw,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC0100,512222.57621011406,0.19382138645889224,0.05107715782409583,0.9776520708003732,3.733520234736557,2.184178046459408,2.1938213864588922,0.00964333999948419,1.0393768775870753,6.460712881996408,5.107715782509583,1.4934080938950227,1.0,512222.57621011406,17,5,2.1938213864588922,0.05107715782409583,0.9776520708003732,0.03632407926896891,120.88162772671369,27.477769360087667,114.70158991346332,22.47593038297263,73.7943291573417,22.75170568590904,488.54040911489625,-87.22382055337566,-51.31839877436907
UGC07089,558453.0555015027,0.2600546035691978,0.06550133852491258,0.9717679230595816,2.3541082460195466,2.2745405438951853,2.260054603569198,0.014485940325987379,1.0444960096037805,8.66848678567326,6.550133852591258,0.9416432984082187,1.0,558453.0555015027,10,3,2.260054603569198,0.06550133852491258,0.9717679230595816,0.05011114547109896,143.58349300775265,15.229946408036618,124.69233533187237,12.303559329756132,101.86378087770314,7.696393487154574,919.9126597690959,-109.46238892383576,-89.56022154794701
UGC05986,867782.2763734084,0.3166698764737565,0.07312325315728074,0.9507977616729066,2.703808413193847,2.3012643024471173,2.3166698764737563,0.015405574026639002,1.0395224360193862,10.55566254915855,7.312325315828074,1.0815233652779388,1.0,867782.2763734084,13,3,2.3166698764737563,0.07312325315728074,0.9507977616729066,0.06894039368787648,208.26011818230302,39.21030770006691,151.05618130134246,35.005928290617334,137.22116149118776,159.98877964927615,3001.9913573966846,-111.84587360127554,-102.21523320057042
NGC5907,1000000.0,0.41992320934147376,0.1523572134854213,0.8711464680119501,2.3031813366766207,2.376907470580115,2.4199232093414738,0.04301573876135878,1.0751654906328507,13.997440311415792,15.23572134864213,0.9212725346710483,1.0,2112394.78090253,16,4,2.4199232093414738,0.1523572134854213,0.8711464680119501,0.12495654650846576,286.96765750771976,44.87186077341752,158.55386336600216,38.15277312787822,125.77014326794159,278.20567368565906,2539.638114054256,-113.68200259258464,-87.61737014006337
NGC4183,923258.2296931322,0.23946378175198085,0.08704141883130485,0.9597295237501344,3.1847364327823127,2.225376341988766,2.2394637817519807,0.014087439763214693,1.0431461420462773,7.982126058432695,8.704141883230486,1.273894573113325,1.0,923258.2296931322,19,5,2.2394637817519807,0.08704141883130485,0.9597295237501344,0.06393807682546333,195.43855214750596,33.32695447458726,154.99498334585118,31.374016102312698,121.36716850969322,35.62939113587394,605.0065100968284,-121.66802887126391,-89.99315240738052
NGC3917,988697.5790434566,0.26192870526637835,0.09740537640474312,0.9513435379308581,2.837935106623121,2.270600419871383,2.2619287052663783,0.008671714605004599,1.0241327362121506,8.730956842245945,9.740537640574312,1.1351740426496484,1.0,988697.5790434566,14,4,2.2619287052663783,0.09740537640474312,0.9513435379308581,0.07528416771871083,216.16982602185814,26.275307983859516,160.9904108729434,23.910904002915338,136.4655963282157,39.657952050238954,1796.4368245525088,-134.71510288908388,-112.55469232530035
UGC08490,953326.2864419586,0.24901149644458503,0.07536590871744027,0.9345455050993454,3.396283366859726,2.2095114281768335,2.2490114964445853,0.039500068267751764,1.121771947241583,8.300383214852834,7.5365908718440275,1.3585133467442905,1.0,953326.2864419586,26,5,2.2490114964445853,0.07536590871744027,0.9345455050993454,0.058341713772921876,218.1302152534757,38.11435670120881,216.61171394664288,36.39149888289967,160.6952537667018,110.95778925072966,3583.805935889009,-178.49735724543407,-124.30375488380213
NGC4157,1000000.0,0.3245943984528603,0.14930849499808674,0.8972863124860855,2.8342270288870623,2.28188953401253,2.3245943984528603,0.0427048644403305,1.090113111843135,10.819813281795343,14.930849499908675,1.1336908115552249,1.0,1996505.3309653054,14,4,2.3245943984528603,0.14930849499808674,0.8972863124860855,0.1212123790998919,293.13825749033566,41.47400894099612,229.3005214954325,36.94523856803081,177.05324210680027,22.518587028159978,694.9663286983779,-187.82651255443636,-140.10800353876945
NGC4088,1000000.0,0.3518338261640528,0.15079432707117535,0.9161415648960687,2.513237156414226,2.311297787533939,2.351833826164053,0.04053603863011368,1.0806481657845834,11.727794205501759,15.079432707217535,1.0052948625660905,1.0,1921228.957675599,10,3,2.351833826164053,0.15079432707117535,0.9161415648960687,0.12399177111386801,308.67439216431404,47.03169137242292,254.3001382619798,40.29237110232917,229.32100497054626,46.15742119320178,1064.6801789141923,-207.26844688955688,-189.02863386821707
NGC4013,1000000.0,0.6421893397297798,0.2992762819283399,0.8010952716911909,1.7313814775909184,2.646771307520984,2.6421893397297795,0.004581967791204455,1.0048668455712007,21.406311324359326,29.927628192933984,0.6925525910367674,1.0,4458362.8673172295,32,5,2.6421893397297795,0.2992762819283399,0.8010952716911909,0.24343711664627268,345.69664834919183,39.77498515690112,256.5779106675061,33.98487619687046,201.65131854467202,63.22861127015683,3334.5130174479527,-216.80292551060498,-167.66644234780156
UGC05721,1000000.0,0.28159549534411343,0.10638045315532474,0.8777015583578883,3.217393244907978,2.205603538052388,2.281595495344113,0.07599195729172514,1.1958677015563381,9.38651651150378,10.638045315632475,1.2869572979635913,1.0,1536786.574604006,18,5,2.281595495344113,0.10638045315532474,0.8777015583578883,0.0902938573242624,324.29145114111986,37.70865004362226,318.13092050975973,34.50147014985871,269.0169772602498,71.9269365503235,4198.1334041082355,-280.4222704661375,-234.5155071103911
NGC3198,1000000.0,0.210891574721025,0.10050317351804745,0.9060626564748848,4.925440448033024,2.12375817740675,2.210891574721025,0.08713339731427494,1.2798165280789466,7.029719157400834,10.050317351904745,1.9701761792136097,1.0,1781437.2480636116,39,5,2.210891574721025,0.10050317351804745,0.9060626564748848,0.07899843346406538,342.1141222934745,38.233093369686515,342.23894844349576,28.66609111276689,263.4236614328334,308.0344533964537,12451.899882985952,-304.00585507380924,-234.75757032006652
