galaxy,source_file,beta_mode,beta_raw,beta_formula,beta,beta_clipped,beta_hit_lower,beta_hit_upper,beta_saturation_ratio,beta_z,beta_numerator,beta_denominator,beta_g_choice,beta_sigma_choice,gbar_char_median,gbar_char_logmean,sigma_char_mean,sigma_char_median,sigma_char_rms,n_sigma_positive,beta_upper_dynamic,beta_upper_ratio_raw,beta_upper_ratio_used,beta_g_hat,beta_sigma_hat,beta_cap_mix_alpha,formula_g0,formula_sigma0,formula_p,formula_q,formula_lambda_beta,formula_cap_eta_g,formula_cap_eta_sigma,formula_cap_mix_alpha,formula_coherence_floor,sigma_weight_mode,sigma_weight_value,sigma_weight_u,sigma_weight_v,sigma_weight_lambda,sigma_weight_g_choice,sigma_weight_sigma_choice,structural_mode,sigma_proxy_mode,sigma_damping_mode,sigma_positive_only,D_bg,upsilon_disk,upsilon_bul,rmse_kmps,mae_kmps,mean_absolute_fractional_error,median_absolute_fractional_error,chi_square,reduced_chi_square,n_points_total,n_points_valid,detail_table,plot_path,status,error
ESO116-G012,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO116-G012_normalized.csv,formula,,1462.1790164214678,1462.1790164214678,1462.1790164214678,False,False,0.8784194127904581,7.224997287408375,,,gbar_char_logmean,sigma_char_rms,1185.491162227603,908.1374332486461,0.6204855114370057,0.6528529504902243,0.7001095273227764,15,1664.5568109390842,0.8322784054695421,0.8322784054695421,1.6186072194981413,1.1687499887177621,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.805462957011052,22.404754628108844,0.23446860946042863,0.27110718862742555,1708.1952709955428,122.01394792825306,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\ESO116-G012_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\ESO116-G012_rotation_curve.png,ok,
ESO444-G084,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO444-G084_normalized.csv,formula,,1041.7671030680913,1041.7671030680913,1041.7671030680913,False,False,0.7680973128283731,3.3121535683625702,,,gbar_char_logmean,sigma_char_rms,303.16933701657456,228.23036697311002,1.3127850704659483,1.2116084557177462,1.3473954153102279,7,1356.2957266859596,0.6781478633429798,0.6781478633429798,0.40678349572034533,1.6753386676628597,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,12.674562224018592,11.539386971929892,0.28400180809357223,0.24148581772721656,328.78052464830466,54.79675410805078,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\ESO444-G084_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\ESO444-G084_rotation_curve.png,ok,
ESO563-G021,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\ESO563-G021_normalized.csv,formula,,1804.8755971560174,1804.8755971560174,1804.8755971560174,False,False,0.9477425849026855,18.13604027558165,,,gbar_char_logmean,sigma_char_rms,4465.040597400861,3618.810794657943,0.33397773508136264,0.2766747164513247,0.41398803948387675,25,1904.3943217359413,0.9521971608679707,0.9521971608679707,6.449941455752546,0.8754344102591333,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,61.33565051191647,54.05481958225648,0.3103878411824914,0.15069806118908086,1716.8874933873394,59.20301701335653,30,30,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\ESO563-G021_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\ESO563-G021_rotation_curve.png,ok,
F561-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F561-1_normalized.csv,formula,,333.8760875190254,333.8760875190254,333.8760875190254,False,False,0.19015845575764376,0.23480946008462145,,,gbar_char_logmean,sigma_char_rms,372.01707452824746,403.2332228873243,0.038701691740041504,0.009323604816251328,0.06484948053828328,3,1755.7782860024338,0.8778891430012169,0.8778891430012169,0.7186976131708744,0.3158121994928495,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,4.340894630599193,3.636785139160862,0.09586096917341326,0.07689316939723101,3.5543612612319464,0.7108722522463893,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F561-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F561-1_rotation_curve.png,ok,
F563-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-1_normalized.csv,formula,,926.4821276935605,926.4821276935605,926.4821276935605,False,False,0.6987998521281507,2.320051490895904,,,gbar_char_logmean,sigma_char_rms,156.14697624190066,171.2162577136761,1.2594278604949203,1.3468739670279184,1.2892466747843188,17,1325.819009365869,0.6629095046829345,0.6629095046829345,0.3051651222430475,1.635178384064496,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,43.988227268655365,40.633378759104446,0.42474969326111517,0.46176452060416534,268.47483210904613,16.779677006815383,17,17,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F563-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F563-1_rotation_curve.png,ok,
F563-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V1_normalized.csv,formula,,143.7588175311333,143.7588175311333,143.7588175311333,False,False,0.09432755152213965,0.10415194994688584,,,gbar_char_logmean,sigma_char_rms,140.38075087800775,141.50315236362601,0.050165344711474796,0.008380520684093614,0.08667838923335916,3,1524.0384724434582,0.7620192362217291,0.7620192362217291,0.25220634632159294,0.37045143728759433,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,1.7526882833590822,1.318473743796275,0.05000517983766952,0.04494654922806861,0.7372598924698095,0.1474519784939619,6,6,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F563-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F563-V1_rotation_curve.png,ok,
F563-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F563-V2_normalized.csv,formula,,1200.730967437303,1200.730967437303,1200.730967437303,False,False,0.8335459483427019,5.007663917120131,,,gbar_char_logmean,sigma_char_rms,366.5083344301131,378.2239546562029,1.1907874288982385,1.195319293617782,1.1948318771682975,10,1440.5096321620383,0.7202548160810192,0.7202548160810192,0.6741226615928404,1.5681913963717502,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,39.70220650989233,35.9345381572912,0.5255239338025308,0.4285460163595956,99.87376379869961,11.097084866522179,10,10,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F563-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F563-V2_rotation_curve.png,ok,
F565-V2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F565-V2_normalized.csv,formula,,814.607967928917,814.607967928917,814.607967928917,False,False,0.6210004288929372,1.6385254133111191,,,gbar_char_logmean,sigma_char_rms,136.88976127320953,139.5307608032617,1.1320210502527925,1.208600557989268,1.1443180664208128,7,1311.7671583272909,0.6558835791636455,0.6558835791636455,0.24869087927618952,1.5313731967651925,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,25.54829993231166,22.668017890955674,0.3496645682696523,0.3931055919969364,124.80764514829855,20.80127419138309,7,7,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F565-V2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F565-V2_rotation_curve.png,ok,
F567-2,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F567-2_normalized.csv,formula,,708.417470473859,708.417470473859,708.417470473859,False,False,0.4869383309609836,0.9490834344983075,,,gbar_char_logmean,sigma_char_rms,188.49739130434784,230.43002560555695,0.3831539275222871,0.41238841939082466,0.4167026836261424,5,1454.8402239679538,0.7274201119839769,0.7274201119839769,0.4107040293450563,0.8785870345174015,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,7.154819770713602,6.3740049012993385,0.13127400952443388,0.15197277268171713,7.132797814783196,1.783199453695799,5,5,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F567-2_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F567-2_rotation_curve.png,ok,
F568-1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-1_normalized.csv,formula,,1245.8001961183236,1245.8001961183236,1245.8001961183236,False,False,0.8517591400891068,5.745778462166875,,,gbar_char_logmean,sigma_char_rms,399.4879274891775,429.953722685291,1.1570182151197246,1.2134716533051737,1.1946595292101243,12,1462.6202848706669,0.7313101424353334,0.7313101424353334,0.7663225565969712,1.56806698066984,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,47.12119317180754,42.58122883530907,0.41308608462032065,0.44578601284722963,217.8638351849964,19.805803198636035,12,12,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F568-1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F568-1_rotation_curve.png,ok,
F568-3,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-3_normalized.csv,formula,,1119.593803611774,1119.593803611774,1119.593803611774,False,False,0.7521354077820906,3.034460876609813,,,gbar_char_logmean,sigma_char_rms,432.68924740271166,381.98158064632844,0.6843477045109448,0.7832789007911989,0.7420114200931824,17,1488.5535131410059,0.744276756570503,0.744276756570503,0.6808200185490817,1.2067189994618415,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,26.91555910761697,22.381634268933315,0.2502342876745135,0.31509950124354247,160.33876363292092,9.431691978407112,18,18,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F568-3_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F568-3_rotation_curve.png,ok,
F568-V1,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\F568-V1_normalized.csv,formula,,1187.0067404467761,1187.0067404467761,1187.0067404467761,False,False,0.8278751932203728,4.8097378216976505,,,gbar_char_logmean,sigma_char_rms,369.2037649063032,363.65721565740824,1.1785594398220265,1.2425399591451853,1.1968878019458982,15,1433.799140459093,0.7168995702295465,0.7168995702295465,0.6481598193568915,1.5696749188970063,0.6,561.0610296982485,0.5272732878135848,1.0737936939240849,1.0737936939240849,3.1772138142832826,1.0,0.55,0.6,0.35,formula,,0.5368968469620424,0.5368968469620424,1.782474071139124,gbar_char_logmean,sigma_char_rms,sigma_over_r,log_ratio,bar_over_obs,True,0.0,1.0,1.0,42.23479875256243,39.40830724205139,0.41337785434242486,0.43226479682682867,265.42480731853715,18.95891480846694,15,15,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\tables\F568-V1_rotation_table.csv,C:\Users\mincu\Desktop\topological_gravity_project\outputs\galaxy_rotation\pipeline_beta_formula\2026-03-22_160452_formula\figures\F568-V1_rotation_curve.png,ok,
