galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_boost,beta_mode
UGC12506,33.6,244.0,12.9,0.7880504575134396,714.5967053571428,42.813988877598554,757.4106942347414,154.95305514897083,37.92822202908161,159.52742499735686,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,35.24,239.0,16.2,0.792069728316075,650.3706725312145,41.02971115493304,691.4003836861475,151.39043067512557,38.024821118577805,156.09275934872775,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,36.88,238.0,18.4,0.8111677626706777,601.4486442516269,40.15047744950215,641.599121701129,148.9343009517955,38.48050946047413,153.82514621588254,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,38.52,241.0,24.9,0.8420545118722649,567.5869574247143,39.904775564310036,607.4917329890244,147.86294194286816,39.206274430723745,152.97248626709714,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,40.16,237.0,23.0,0.8264630033208458,537.0997136454184,37.56649327174909,574.6662069171675,146.86702999652442,38.84160616907395,151.9164075068702,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,41.8,228.0,14.0,0.78234867019349,505.1965382775121,34.166068770643015,539.3626070481552,145.3176358877339,37.79076176280227,150.15111379744368,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,43.44,233.0,16.9,0.824555426654282,481.0974447513812,34.649819887990866,515.747264639372,144.56442508445846,38.79675470879392,149.67986229260876,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,45.08,233.0,13.7,0.8146208076633671,469.5154680567879,32.98697834651565,502.5024464033035,145.48456034919994,38.56232596538914,150.50850568609377,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,46.71,230.0,11.6,0.8351864815003883,430.08146007278964,32.63957781572241,462.72103788851206,141.73603987694875,39.04605844092838,147.01598443629317,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,48.35,226.0,11.6,0.807290963044276,415.72216339193375,30.479269661504397,446.20143305343817,141.77505633925875,38.38844472147495,146.88035705339817,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
UGC12506,49.99,225.0,11.6,0.7896694997397209,407.5760052010402,28.835877450237028,436.4118826512772,142.74005919853053,37.9671636251294,147.70318213815622,,1825.4542111762917,1825.4542111762917,False,,1.0,formula
