galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i
UGC04278,4,4.29,5.4,4.845000000000001,1.1100000000000003,7.779999999999999,75.44,36.39439984531107,4.0,1492115874.9628184,5,31383623.388630666,41.84045100000001,35662040.90302034,2.488061185895786,2.2518076399035407,2.3699344128996636,0.041689639545345214,2.0,1.0,2.0,0.3210796614566166,0.15078027469225572,0.5,0.5
UGC04278,5,5.68,6.69,6.1850000000000005,1.0100000000000007,7.779999999999999,89.08000000000001,48.335042283998504,10.664,3359723638.347649,5,31383623.388630666,48.600493000000014,69129414.76432447,2.4353695144747296,2.3583696692630003,2.3968695918688647,0.026935178969201168,2.0,1.0,2.0,0.23404070323620466,0.11537400943899583,0.433485449297146,0.433485449297146
UGC05721,1,0.09,0.81,0.45,0.7200000000000001,1.17,42.86,35.85206097057993,5.208,134487032.773804,5,338250959.87158346,0.37908000000000003,354772166.22824734,3.084805548460877,2.69664115968943,2.8907233540751536,0.31775910081633807,2.0,1.0,2.0,0.5969998711937171,0.07366579387480315,0.40139175165587554,0.40139175165587554
UGC05721,2,0.99,1.53,1.26,0.54,1.17,71.3,45.44545181502869,4.57,605049688.1466572,4,338250959.87158346,0.796068,760047744.8492557,2.491053674824551,2.65487483169308,2.5729642532588155,0.3043823451223844,2.0,1.0,2.0,0.5866105683826582,0.10342124377896544,0.48490517363127456,0.48490517363127456
UGC05721,3,1.71,2.67,2.19,0.96,1.17,82.12,40.42297225977421,7.4959999999999996,832032417.0998001,5,338250959.87158346,2.459808,338250959.87158346,2.259677546836042,2.304239780824728,2.281958663830385,0.21450081438426372,2.0,1.0,2.0,0.5,0.14722472463685912,0.5726697601587426,0.5726697601587426
UGC05721,4,3.15,4.49,3.8200000000000003,1.3400000000000003,1.17,78.525,32.80303406408797,4.57,955720800.3313518,4,338250959.87158346,5.988996000000002,159579468.8010063,2.1494019204560963,2.1385233285244793,2.143962624490288,0.09490195906784837,2.0,1.0,2.0,0.30672627141959624,0.13560673392436667,0.5524441436060951,0.5524441436060951
UGC05721,5,4.93,6.74,5.835,1.8100000000000005,1.17,78.7,31.605710564737638,4.57,1355225681.695731,5,338250959.87158346,12.356779500000004,109674667.39175288,2.0963306536345634,2.0879788377548123,2.092154745694688,0.051807878795600004,2.0,1.0,2.0,0.19454069702714957,0.10986013452533724,0.5,0.5
UGC05750,1,0.31,4.09,2.1999999999999997,3.78,2.64,25.28,19.55186144552288,7.7,195541322.45660406,5,8696545.294549238,21.95424,8906768.007300826,2.284775178399065,2.3089584332233937,2.2968668058112294,0.1932360320039792,10.905000000000001,1.0,2.0,0.5,0.13661004698229126,0.2464905783152622,0.2464905783152622
UGC05750,2,4.82,22.85,13.835,18.03,2.64,68.21666666666665,41.681157619043795,9.233333333333333,5588539864.334183,6,8696545.294549238,658.5349320000001,8486322.581797652,2.0383410299197946,2.1689205176947053,2.10363077380725,0.1932360320039792,10.905000000000001,1.0,2.0,0.5,0.698610172804726,0.6258712403218283,0.6258712403218283
UGC05986,1,0.63,3.13,1.88,2.5,1.18,65.62,53.532946336351,2.6319999999999997,1252678973.9118457,5,280998407.210728,5.5459999999999985,225870712.93037254,2.202839410538599,2.2753450915742484,2.239092251056424,0.04310607812080125,2.51,1.0,2.0,0.4449811422185593,0.13641359356792127,0.4142866452403641,0.4142866452403641
UGC05986,2,3.77,6.28,5.025,2.5100000000000002,1.18,113.0,72.79067351019327,3.068,6190520797.71245,5,280998407.210728,14.883045000000001,415944505.8260893,2.0940801956775545,2.2978921501936913,2.1959861729356227,0.053765618297356266,2.51,1.0,2.0,0.5,0.1928598578820422,0.5,0.5
UGC05986,3,6.9,9.41,8.155000000000001,2.51,1.18,111.6,59.828755730292514,4.101999999999999,6787089127.597766,5,280998407.210728,24.153478999999997,280998407.210728,2.065931902232632,2.197190126690791,2.1315610144617114,0.06442515847391128,2.51,1.0,2.0,0.5450946362641487,0.2231934700130265,0.536453995314075,0.536453995314075
UGC06667,1,0.87,3.5,2.185,2.63,7.93,49.525000000000006,14.461322096856858,3.5,106244653.66260938,4,5283780.848382281,45.5701415,2331453.231555346,2.6416196343184257,2.160575613510352,2.4010976239143886,0.10136600556891029,3.0549999999999997,1.0,2.0,0.5,0.21522094926350246,0.43479152830417145,0.43479152830417145
UGC06667,2,4.37,7.85,6.109999999999999,3.4799999999999995,7.93,82.53999999999999,31.2656471036617,3.34,1388723225.6972206,5,5283780.848382281,168.614004,8236108.465209216,2.3091584530189575,2.290304783671999,2.2997316183454783,0.10136600556891029,3.0549999999999997,1.0,2.0,0.5,0.34433320895390185,0.5517185272218459,0.5517185272218459
UGC06917,1,1.74,5.24,3.49,3.5,1.95,81.17999999999999,61.92095464486067,3.9799999999999995,3111289038.4167104,5,130149362.79198126,23.819250000000004,130620781.02445333,2.163882616002409,2.2568794830458025,2.2103810495241056,0.07270884445441439,3.93,1.0,2.0,0.5,0.21109770808202652,0.4404763329934475,0.4404763329934475
UGC06917,2,6.11,10.47,8.290000000000001,4.36,1.95,105.0,68.8610731755489,4.316666666666666,9139906423.706614,6,130149362.79198126,70.48158000000001,129677944.5595092,2.0795574852306355,2.1957869249087474,2.1376722050696912,0.07270884445441439,3.93,1.0,2.0,0.5,0.32520426719114354,0.5480768301033443,0.5480768301033443
UGC07089,1,0.87,3.5,2.185,2.63,9.19,37.974999999999994,36.64117958084035,4.3,682071619.6687983,4,33142347.834162552,52.8107945,12915382.662322914,2.6921941923766677,2.1445733329575205,2.4183837626670943,0.09966522139637402,2.1799999999999997,1.0,2.0,0.5641900035711357,0.1838686133075696,0.5109314882722726,0.5109314882722726
UGC07089,2,4.37,6.55,5.46,2.1799999999999997,9.19,66.22500000000001,53.57789334738961,4.875,3644211336.501261,4,33142347.834162552,109.38673199999997,33314930.155343357,2.4150479270639633,2.2223891554774773,2.3187185412707203,0.07698665255659609,2.1799999999999997,1.0,2.0,0.5,0.17600079683453346,0.5,0.5
UGC07089,3,6.98,9.16,8.07,2.1799999999999997,9.19,75.175,53.43893757923338,6.3999999999999995,5358322029.581978,4,33142347.834162552,161.675994,33142347.834162552,2.331058929294614,2.19776198581319,2.264410457553902,0.05430808371681817,2.1799999999999997,1.0,2.0,0.4136348893966662,0.1648943241017024,0.48370983911073856,0.48370983911073856
UGC08490,1,0.34,2.03,1.1849999999999998,1.6899999999999997,1.45,60.900000000000006,42.857470245607225,3.69,506070544.5326532,6,141319636.07975358,2.903842499999999,174276168.39847663,2.403663277385318,2.4597749938886704,2.4317191356369943,0.17682439803229766,2.0,1.0,2.0,0.7483369568112065,0.13591504105437277,0.5,0.5
UGC08490,2,2.37,4.06,3.215,1.6899999999999995,1.45,78.14999999999999,44.92403110569881,3.69,1508613748.0385149,6,141319636.07975358,7.8783574999999955,191488358.8411056,2.1839852888556264,2.325804186353767,2.2548947376046966,0.12772122262289143,2.0,1.0,2.0,0.6823202002206618,0.17318083509696025,0.5602819334029907,0.5602819334029907
UGC08490,3,4.39,6.09,5.24,1.7000000000000002,1.45,79.31666666666666,38.707034034772285,3.69,1825369211.387745,6,141319636.07975358,12.916599999999999,141319636.07975358,2.128177456293837,2.2243759244885855,2.1762766903912114,0.059465412891617,2.0,1.0,2.0,0.5,0.15426699185835463,0.5316214457176631,0.5316214457176631
UGC08490,4,6.42,8.12,7.27,1.6999999999999993,1.45,79.8,34.32792483425858,3.69,1991907456.4012516,6,141319636.07975358,17.920549999999988,111152138.54492484,2.101452208786856,2.1704756148560693,2.1359639118214626,0.031480328243019606,2.0,1.0,2.0,0.3461440618359022,0.11914637859473091,0.46712818723680155,0.46712818723680155
UGC08490,5,8.46,10.15,9.305,1.6899999999999995,1.45,77.61666666666667,31.63884744527787,3.69,2165695188.373645,6,141319636.07975358,22.801902499999994,94978705.76254089,2.085533996417268,2.1410980713930763,2.113316033905172,0.022647877916290415,2.0,1.0,2.0,0.2758125717951308,0.09316497158737258,0.4066918388601271,0.4066918388601271
UGC08837,1,0.52,2.09,1.305,1.5699999999999998,0.93,17.752499999999998,19.17745861076016,2.07,111591795.45525987,4,115412041.66949572,1.9054304999999996,58565135.51937995,2.27388953808764,2.224544362866248,2.249216950476944,0.01627559377506227,2.0,1.0,2.0,0.5,0.22986822840409954,0.45996124445647973,0.45996124445647973
UGC08837,2,2.63,4.2,3.415,1.5700000000000003,0.93,43.225,32.88988635846468,3.0075,858924714.3644816,4,115412041.66949572,4.986241500000001,172258947.8196115,2.125746028086978,2.340136685316785,2.2329413567018817,0.01627559377506227,2.0,1.0,2.0,0.5,0.30990660481269844,0.534511556454317,0.534511556454317
UGC12506,1,0.82,9.02,4.92,8.2,1.68,181.83333333333334,109.39646172839652,17.9,13690247488.640131,6,399782756.29640204,67.77792,201986834.18789086,2.0774714484216106,2.135005212645065,2.106238330533338,0.014775209953330037,8.200000000000001,1.0,2.0,0.42041006471047565,0.07648058858848364,0.3827352319895755,0.3827352319895755
UGC12506,2,10.65,18.85,14.75,8.200000000000001,1.68,240.0,177.94576202553347,11.6,108594283485.8216,6,399782756.29640204,203.19600000000003,534431206.7453177,2.034720589966421,2.2073064910069147,2.121013540486668,0.02502180792201658,8.200000000000001,1.0,2.0,0.5512461002668075,0.12334577229006419,0.5,0.5
UGC12506,3,20.49,30.32,25.405,9.830000000000002,1.68,248.71428571428572,168.50919584502986,12.07142857142857,167728188566.518,7,399782756.29640204,419.5483320000001,399782756.29640204,2.021815843705742,2.1496744254861877,2.085745134595965,0.020369547971305524,8.200000000000001,1.0,2.0,0.5,0.1426766361554651,0.5363331494860877,0.5363331494860877
UGC12506,4,31.96,38.52,35.24,6.560000000000002,1.6800000000000002,242.2,152.28746127646687,16.8,190021979808.45602,5,399782756.29640204,388.37299200000024,489277019.05815303,2.0211490600051985,2.1612825892905474,2.0912158246478727,0.018273744557341765,8.200000000000001,1.0,2.0,0.4728827012810815,0.11182067578396646,0.47549587409155064,0.47549587409155064
UGC12506,5,40.16,49.99,45.075,9.830000000000005,1.68,230.28571428571428,144.06925810466495,14.628571428571425,217529429172.4537,7,399782756.29640204,744.3865800000004,292226425.10891795,2.01476617090061,2.1055118802695842,2.060139025585097,0.031076799062775606,8.200000000000001,1.0,2.0,0.6040623067404277,0.16543478051753607,0.572873688720157,0.572873688720157
UGCA281,1,0.09,1.08,0.5850000000000001,0.9900000000000001,3.2800000000000002,22.114285714285717,15.975777276375263,1.78,34715186.75276714,7,18274882.84595335,1.8996120000000003,18274882.84595335,3.3844396359279365,2.5747628189199547,2.9796012274239456,0.0,0.9900000000010001,1.0,2.0,0.0,0.0,0.0,0.0
