galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,v_obs_segment_kms,v_vis_segment_kms,v_err_segment_kms,mass_bar_segment_msun,n_points,density_ref_gal_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_density_eff_msun_per_kpc3,alpha_geom_i,alpha_dens_i,Dw_i,sigma_i,ell_info_kpc,c_info_gal,tau_struct_gal,propagation_source_i,propagation_term_i,delta_struct_i,DeltaD_i
NGC2841,3,10.27,22.51,16.39,12.240000000000002,2.04,313.3,255.45435211970735,7.552,248682492174.21008,10,607651636.969469,409.2517440000001,607651636.969469,2.032051673648386,2.1651095861745224,2.098580629911454,0.13311290443188684,12.240000000000002,1.0,2.0,0.6911144984222569,0.18680682753857933,0.6695234207378868,0.6695234207378868
NGC2841,4,24.59,43.08,33.835,18.49,2.04,284.1,173.643980848759,3.818,237205794261.24164,10,607651636.969469,1276.242666,185862611.06964248,2.015951630987609,2.0542953211226957,2.035123476055152,0.03800016247036009,12.240000000000002,1.0,2.0,0.38977159878323375,0.17739696651184278,0.6579889856115555,0.6579889856115555
NGC2841,5,45.16,63.64,54.4,18.480000000000004,2.04,284.1,139.79052367963587,5.090000000000001,247169004647.41183,10,607651636.969469,2050.8364800000004,120521068.87010893,2.011574510006392,2.033586099935076,2.022580304970734,0.012543171084418159,12.240000000000002,1.0,2.0,0.1741226346842238,0.09220779951165607,0.5,0.5
NGC2998,1,0.33,2.64,1.485,2.31,3.31,135.75,106.16040290309387,16.75,3891268650.0421133,4,222861850.65588945,11.354458500000002,342708430.3528973,2.5290947913511697,2.4807111135511164,2.5049029524511432,0.38075969747175353,13.850000000000001,1.0,2.0,0.6256011947032522,0.044644385534893805,0.18198350104775982,0.18198350104775982
NGC2998,2,3.63,17.48,10.555,13.850000000000001,3.31,208.25,209.6220323237375,8.75,107837978329.4842,4,222861850.65588945,483.8781425000001,222861850.65588945,2.064247383009163,2.1840391269496164,2.1241432549793897,0.22787037020636713,13.850000000000001,1.0,2.0,0.5,0.23712575574809297,0.5416273161623842,0.5416273161623842
NGC2998,3,22.46,42.28,32.370000000000005,19.82,3.31,211.2,164.01718193338445,2.4,202470164762.45087,5,222861850.65588945,2123.607954,95342534.56768267,2.0252130013742615,2.073111422702557,2.049162212038409,0.07498104294098074,13.850000000000001,1.0,2.0,0.24758359936890842,0.20067667531873445,0.5,0.5
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,2.1,64.87777777777778,81.2176359373249,13.370000000000001,2461588022.4261374,9,284176339.1599391,8.662185000000001,284176339.1599391,2.35425879892846,2.345850924884671,2.3500548619065658,0.05489475818329126,5.259999999999999,1.0,2.0,0.44451104110184103,0.03162772357784418,0.21454232038059085,0.21454232038059085
NGC3198,2,3.21,5.46,4.335,2.25,2.1,118.625,116.00314163581649,5.38875,13563389991.596958,8,284176339.1599391,20.482875,662181944.263047,2.1767790098026314,2.4135411976439176,2.2951601037232745,0.09430454017399503,5.259999999999999,1.0,2.0,0.5788946893906203,0.05488264529010459,0.32156337062146956,0.32156337062146956
NGC3198,3,5.78,11.04,8.41,5.259999999999999,2.1,145.66666666666666,136.86619416809776,1.9344444444444444,36629249726.67642,9,284176339.1599391,92.89685999999998,394300191.9190426,2.07740420026371,2.245487362853441,2.1614457815585757,0.12438391918085046,5.259999999999999,1.0,2.0,0.6445301580665609,0.11915200404569463,0.5071511113488667,0.5071511113488667
NGC3198,4,12.05,26.1,19.075000000000003,14.05,2.1,153.125,108.54440155319925,2.0,52253940816.11608,8,284176339.1599391,562.8078750000001,92845077.57841177,2.0277599362975125,2.065024594425635,2.0463922653615736,0.06859994297693128,5.259999999999999,1.0,2.0,0.5,0.2101776048019004,0.6447771200674041,0.6447771200674041
NGC3198,5,28.16,44.08,36.12,15.919999999999998,2.1,148.33333333333334,83.49923046825627,2.2222222222222223,58553428966.22577,9,284176339.1599391,1207.56384,48488888.973543435,2.016857155939785,2.0316346352696413,2.024245895604713,0.022146369756860462,5.259999999999999,1.0,2.0,0.24404704819057277,0.1157917856441017,0.5,0.5
NGC3769,1,1.74,6.98,4.36,5.24,2.86,108.625,126.80353346510815,6.875,16300046593.086687,4,123821242.45870626,65.340704,249462365.65015715,2.1609092010292863,2.37862107719944,2.269765139114363,0.14127171552114604,5.799999999999999,1.0,2.0,0.5363279915831025,0.10364590359194016,0.43142350693700576,0.43142350693700576
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,2.86,120.5,93.98851101146455,4.95,23866861466.29632,4,123821242.45870626,192.75255999999996,123821242.45870626,2.077429392636534,2.179557454549901,2.128493423593217,0.12213373364093894,5.799999999999999,1.0,2.0,0.5,0.13659576596333978,0.5,0.5
NGC3769,3,17.07,37.16,27.115,20.089999999999996,2.86,118.5,63.51872460033542,11.575,25436232886.56262,4,123821242.45870626,1557.9574009999997,16326654.93307838,2.024617368729838,2.0263779749351323,2.0254976718324853,0.10299575176073184,5.799999999999999,1.0,2.0,0.4574956122560722,0.3484117697907597,0.7183636214003192,0.7183636214003192
NGC3917,1,0.87,3.5,2.185,2.63,4.65,62.125,54.43461988407375,4.35,1505363826.400241,4,168121561.79605794,26.721457500000003,56335393.62140859,2.4737327698144806,2.1269622323222896,2.3003475010683854,0.05615084210249233,2.6250000000000004,1.0,2.0,0.5145844196078981,0.10327028031810545,0.45662769386501045,0.45662769386501045
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,4.65,118.75,99.36390463229996,3.7,13027551834.596252,4,168121561.79605794,68.87463750000002,189148753.55382085,2.250259903582997,2.2381334143487885,2.244196658965893,0.04400887126504127,2.6250000000000004,1.0,2.0,0.4538080366475575,0.11770634256223628,0.4892308960091347,0.4892308960091347
NGC3917,3,7.85,10.47,9.16,2.620000000000001,4.65,135.75,110.84518004828477,3.725,26167892397.148483,4,168121561.79605794,111.59628000000006,234487138.79305357,2.1839589599045572,2.240700557172049,2.212329758538303,0.0497851037602115,2.6250000000000004,1.0,2.0,0.48451204930488595,0.1280702983448937,0.5103243672525355,0.5103243672525355
NGC3917,4,11.35,14.86,13.105,3.51,4.65,137.2,101.61509729949712,4.9,31462493967.401325,5,168121561.79605794,213.8932575,147094370.03829503,2.131248544323364,2.1580043585675766,2.14462645144547,0.06770330709283279,2.6250000000000004,1.0,2.0,0.5610556801855737,0.1787661198916582,0.5926188909636882,0.5926188909636882
NGC4010,1,0.87,3.5,2.185,2.63,9.94,60.825,68.99372899137225,6.0249999999999995,2418300822.08063,4,91188656.95228384,57.120706999999996,42336675.24599494,2.7197475419761643,2.1675396764226043,2.443643609199384,0.13180592909822142,2.620000000000001,1.0,2.0,0.5743201541185028,0.1648975988353343,0.5,0.5
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,9.94,110.075,101.36973526596431,5.550000000000001,13558827508.198345,4,91188656.95228384,147.22879500000002,92093584.7379471,2.403140765997279,2.2205345942050463,2.3118376801011626,0.09769311973896277,2.620000000000001,1.0,2.0,0.5,0.18598912017236838,0.5300546019477173,0.5300546019477173
NGC4010,3,7.85,10.47,9.16,2.620000000000001,9.94,125.5,101.06352102974711,4.8,21753240870.336758,4,91188656.95228384,238.5520480000001,91188656.95228384,2.305463383326064,2.1910513561168528,2.2482573697214585,0.06358031037970413,2.620000000000001,1.0,2.0,0.39423921431398207,0.16194512850617693,0.49548334706240477,0.49548334706240477
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,1.6299999999999994,194.85714285714286,221.90782079557766,5.0,87989071370.68933,7,610229883.7962602,54.99155449999999,1600046992.1374807,2.071539041962746,2.372236701843596,2.221887871903171,0.07033727651671962,4.42,1.0,2.0,0.693097275873249,0.10693013674516126,0.4782971910998652,0.4782971910998652
NGC4013,2,10.56,14.98,12.77,4.42,1.6299999999999994,182.0,180.49914362500803,7.142857142857143,96734375898.66878,7,610229883.7962602,92.00274199999997,1051429270.4305358,2.049675532137536,2.2534256586353676,2.1515505953864515,0.06285792729744366,4.42,1.0,2.0,0.668678610158852,0.1377105385955333,0.5414328776871377,0.5414328776871377
NGC4013,3,15.68,20.79,18.235,5.109999999999999,1.63,166.25,144.67868483384245,5.125,88747170912.23474,8,610229883.7962602,151.88478549999996,584305864.6070561,2.036258161874177,2.1560858727423904,2.096172017308284,0.02880288702549416,4.42,1.0,2.0,0.4804632614307124,0.12627642146086082,0.5198475194334851,0.5198475194334851
