Name,preferred_name_2014raw,catalog_name_normalized_2014raw,RAJ2000,DEJ2000,Band,h,e_h,z0,e_z0,z0_over_h,h_over_z0,S0_2014raw,e_S0,gradz0,mag,B/T,Type,RV,AName,NED_2014raw,thickness_flag,biz_name_2014raw,biz_name_norm_2014raw,biz_catalog_token_2014raw,RA_match_deg_2014raw,DE_match_deg_2014raw,biz_aname_norm_2014raw,biz_aname_token_2014raw,biz_ned_norm_2014raw,biz_ned_token_2014raw,matched_2014raw,match_reason_2014raw,matched_sparc_name_2014raw,matched_sparc_index_2014raw,matched_sep_deg_2014raw,source_catalog_2014raw,matched_sparc_name_2014,matched_sparc_name_norm,matched_sparc_index_2014,source_object_name_2014,sparc_name_std_2014raw,sparc_name_norm_2014raw,RA_deg_2014,DEC_deg_2014,preferred_name_2002raw,catalog_name_normalized_2002raw,RFGC_int,Dist,Re,Z0,z0_over_re,S0_2002raw,RAJ2000_deg,DEJ2000_deg,Note,has_ned_link_flag,has_simbad_link_flag,source_catalog_2002raw,_Glon,_Glat,_RAJ2000,_DEJ2000,_RAB1950,_DEB1950,_Elon2000,_Elat2000,RFGC,_RA,_DE,NED_2002raw,Simbad,biz_name_2002raw,biz_name_norm_2002raw,biz_catalog_token_2002raw,RA_match_deg_2002raw,DE_match_deg_2002raw,biz_aname_norm_2002raw,biz_aname_token_2002raw,biz_ned_norm_2002raw,biz_ned_token_2002raw,matched_2002raw,match_reason_2002raw,matched_sparc_name_2002raw,matched_sparc_index_2002raw,matched_sep_deg_2002raw,matched_sparc_name_2002,matched_sparc_index_2002,source_object_name_2002,sparc_name_std_2002raw,sparc_name_norm_2002raw,RA_deg_2002,DEC_deg_2002,_merge,duplicate_status,sparc_sep_arcsec
EON_174.714_48.088,2MASXJ11385150+4805152,,174.714432,48.087704,r,3.87,0.11,2.86,0.28,0.7390180878552971,1.3531468531468531,20.39,0.21,0.063,15.2,0.4,SB,7996.0,2MASXJ11385150+4805152,NED,thick_like,2MASXJ11385150+4805152,2MASXJ11385150+4805152,,174.714432,48.087704,2MASXJ11385150+4805152,,NED,,True,coord_review,NGC3769,57.0,0.2704704902556807,Bizyaev_2014,NGC3769,NGC3769,57.0,2MASXJ11385150+4805152,NGC3769,NGC3769,174.433775,47.8930917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_177.528_51.855,UGC06802,UGC06802,177.527634,51.855476,r,19.81,0.7,4.65,0.26,0.2347299343765775,4.2602150537634405,22.89,0.13,-0.035,14.44,0.06,UN,1252.0,UGC06802,NED,thick_like,UGC06802,UGC06802,UGC6802,177.527634,51.855476,UGC06802,UGC6802,NED,,True,coord_review,NGC3917,60.0,0.1048010490361635,Bizyaev_2014,NGC3917,NGC3917,60.0,UGC06802,NGC3917,NGC3917,177.6895292,51.8242111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_179.659_47.261,NGC04010,NGC04010,179.65419,47.260159,r,35.14,0.39,9.94,0.67,0.2828685258964143,3.535211267605634,21.96,0.07,-0.088,12.28,0.06,IR,905.0,NGC4010,NED,thick_like,NGC04010,NGC04010,NGC4010,179.65419,47.260159,NGC4010,NGC4010,NED,,True,name_exact,NGC4010,65.0,0.0,Bizyaev_2014,NGC4010,NGC4010,65.0,NGC04010,NGC4010,NGC4010,179.6582958,47.2613111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_179.598_44.230,PGC2239618,PGC2239618,179.597916,44.229671,r,6.57,0.16,1.63,0.12,0.2480974124809741,4.030674846625767,22.33,0.17,-0.001,16.5,0.06,SD,7200.0,PGC2239618,NED,thick_like,PGC2239618,PGC2239618,PGC2239618,179.597916,44.229671,PGC2239618,PGC2239618,NED,,True,coord_review,NGC4013,66.0,0.2836401992169861,Bizyaev_2014,NGC4013,NGC4013,66.0,PGC2239618,NGC4013,NGC4013,179.6309042,43.9470222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_179.631_43.947,NGC04013,NGC04013,179.63031,43.947365,r,37.36,0.34,14.44,0.78,0.386509635974304,2.587257617728532,20.97,0.06,0.05,10.98,0.23,UN,836.0,NGC4013,NED,thick_like,NGC04013,NGC04013,NGC4013,179.63031,43.947365,NGC4013,NGC4013,NED,,True,name_exact,NGC4013,66.0,0.0,Bizyaev_2014,NGC4013,NGC4013,66.0,NGC04013,NGC4013,NGC4013,179.6309042,43.9470222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_181.180_52.453,PGC2415360,PGC2415360,181.179565,52.453362,r,5.0,0.28,0.74,0.06,0.148,6.756756756756757,21.44,0.16,0.041,17.45,0.06,SD,18667.0,PGC2415360,NED,intermediate,PGC2415360,PGC2415360,PGC2415360,181.179565,52.453362,PGC2415360,PGC2415360,NED,,True,coord_review,NGC4068,68.0,0.1703601224655116,Bizyaev_2014,NGC4068,NGC4068,68.0,PGC2415360,NGC4068,NGC4068,181.013605,52.5905689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_181.734_50.426,PGC2372663,PGC2372663,181.734207,50.425667,r,4.13,0.11,1.41,0.08,0.3414043583535109,2.9290780141843973,21.06,0.17,0.035,16.43,0.13,SC,19103.0,PGC2372663,NED,thick_like,PGC2372663,PGC2372663,PGC2372663,181.734207,50.425667,PGC2372663,PGC2372663,NED,,True,coord_review,NGC4088,70.0,0.245235705493907,Bizyaev_2014,NGC4088,NGC4088,70.0,PGC2372663,NGC4088,NGC4088,181.3924542,50.5390278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_182.770_50.485,NGC04157,NGC04157,182.766998,50.485317,r,46.54,1.29,14.28,1.39,0.3068328319724968,3.2591036414565826,20.93,0.12,0.171,10.98,0.11,SC,778.0,NGC4157,NED,thick_like,NGC04157,NGC04157,NGC4157,182.766998,50.485317,NGC4157,NGC4157,NED,,True,name_exact,NGC4157,73.0,0.0,Bizyaev_2014,NGC4157,NGC4157,73.0,NGC04157,NGC4157,NGC4157,182.7681875,50.4846806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_183.320_43.699,NGC04183,NGC04183,183.320328,43.698582,r,30.24,0.48,9.99,0.87,0.3303571428571429,3.0270270270270268,21.24,0.1,-0.066,12.16,0.08,SD,920.0,NGC4183,NED,thick_like,NGC04183,NGC04183,NGC4183,183.320328,43.698582,NGC4183,NGC4183,NED,,True,name_exact,NGC4183,74.0,0.0,Bizyaev_2014,NGC4183,NGC4183,74.0,NGC04183,NGC4183,NGC4183,183.32025,43.6982694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_186.395_45.432,PGC40552,PGC40552,186.394913,45.431683,r,7.76,0.11,2.39,0.14,0.3079896907216495,3.246861924686192,21.34,0.14,0.02,15.19,0.08,SD,7229.0,PGC040552,NED,thick_like,PGC40552,PGC40552,PGC40552,186.394913,45.431683,PGC040552,PGC40552,NED,,True,coord_review,NGC4389,77.0,0.2529881105959811,Bizyaev_2014,NGC4389,NGC4389,77.0,PGC40552,NGC4389,NGC4389,186.3962417,45.6846694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_228.973_56.329,NGC05907,NGC05907,228.971832,56.32988,r,96.24,1.9,15.51,0.96,0.1611596009975062,6.205029013539652,21.66,0.08,0.212,10.35,0.09,IR,667.0,NGC5907,NED,intermediate,NGC05907,NGC05907,NGC5907,228.971832,56.32988,NGC5907,NGC5907,NED,,True,name_exact,NGC5907,84.0,0.0,Bizyaev_2014,NGC5907,NGC5907,84.0,NGC05907,NGC5907,NGC5907,228.9736958,56.32885,RFGC2946,RFGC2946,2946.0,10.9,3.35,0.49,0.1462686567164179,18.25,228.973375,56.328667,x,True,True,Bizyaev_2002,91.584185,51.087272,228.973375,56.328667,228.648085,56.511903,188.240528,68.42439,2946.0,228.9734,56.3287,NED,Simbad,RFGC2946,RFGC2946,,228.973375,56.328667,,,NED,,True,coord_strict,NGC5907,84.0,0.0002551912147456,NGC5907,84.0,RFGC2946,NGC5907,NGC5907,228.9736958,56.32885,both,confirmed_duplicate_by_sparc_name,0.0
EON_234.473_59.392,NGC05981,NGC05981,234.472717,59.39175,r,22.43,0.24,5.62,0.25,0.2505572893446277,3.991103202846975,21.35,0.08,0.031,12.53,0.14,SB,2528.0,NGC5981,NED,thick_like,NGC05981,NGC05981,NGC5981,234.472717,59.39175,NGC5981,NGC5981,NED,,True,coord_review,NGC5985,85.0,0.2280439303552131,Bizyaev_2014,NGC5985,NGC5985,85.0,NGC05981,NGC5985,NGC5985,234.9045417,59.33195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_349.898_16.208,PGC1503349,PGC1503349,349.897522,16.208237,r,3.72,0.12,1.68,0.15,0.4516129032258064,2.2142857142857144,20.63,0.12,0.019,15.84,0.25,SB,,PGC1503349,NED,thick_like,PGC1503349,PGC1503349,PGC1503349,349.897522,16.208237,PGC1503349,PGC1503349,NED,,True,coord_review,UGC12506,169.0,0.1348958198421924,Bizyaev_2014,UGC12506,UGC12506,169.0,PGC1503349,UGC12506,UGC12506,349.8769833,16.0747917,RFGC4106,RFGC4106,4106.0,98.73,4.11,1.22,0.2968369829683698,17.6,349.877458,16.074333, ,True,True,Bizyaev_2002,92.931012,-41.380681,349.877458,16.074333,349.251122,15.800611,357.28798,18.736356,4106.0,349.8775,16.0743,NED,Simbad,RFGC4106,RFGC4106,,349.877458,16.074333,,,NED,,True,coord_strict,UGC12506,169.0,0.0006468917335002,UGC12506,169.0,RFGC4106,UGC12506,UGC12506,349.8769833,16.0747917,both,confirmed_duplicate_by_sparc_name,0.003073585126505738
EON_27.382_32.589,NED,,27.381723,32.588757,r,38.67,1.39,11.31,0.89,0.2924747866563227,3.419098143236074,22.51,0.13,0.105,12.79,0.05,IR,,,NED,thick_like,NED,NED,,27.381723,32.588757,,,NED,,True,coord_strict,UGC01281,102.0,0.000983842904114,Bizyaev_2014,UGC01281,UGC1281,102.0,NED,UGC01281,UGC1281,27.382125,32.5878333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_123.495_45.742,IC02233,IC02233,123.495461,45.742138,r,51.12,0.52,7.78,0.73,0.1521909233176838,6.570694087403599,22.9,0.11,0.183,12.43,0.06,IR,585.0,IC2233,NED,intermediate,IC02233,IC02233,IC2233,123.495461,45.742138,IC2233,IC2233,NED,,True,coord_strict,UGC04278,113.0,1.289169934879393e-05,Bizyaev_2014,UGC04278,UGC4278,113.0,IC02233,UGC04278,UGC4278,123.4954542,45.74215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_158.330_27.569,2MASXJ10331910+2734073,,158.329697,27.568743,r,2.92,0.02,1.17,0.06,0.4006849315068493,2.495726495726496,20.87,0.14,0.025,16.28,0.16,SC,12179.0,2MASXJ10331910+2734073,NED,thick_like,2MASXJ10331910+2734073,2MASXJ10331910+2734073,,158.329697,27.568743,2MASXJ10331910+2734073,,NED,,True,coord_review,UGC05721,122.0,0.2492801093997276,Bizyaev_2014,UGC05721,UGC5721,122.0,2MASXJ10331910+2734073,UGC05721,UGC5721,158.0720042,27.668775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_158.937_20.706,PGC91032,PGC91032,158.936539,20.705694,r,7.64,0.06,2.64,0.26,0.3455497382198953,2.8939393939393936,21.68,0.12,0.105,15.26,0.1,SC,16460.0,PGC091032,NED,thick_like,PGC91032,PGC91032,PGC91032,158.936539,20.705694,PGC091032,PGC91032,NED,,True,coord_review,UGC05750,123.0,0.2845034918360085,Bizyaev_2014,UGC05750,UGC5750,123.0,PGC91032,UGC05750,UGC5750,158.9379583,20.9901944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_162.890_36.515,2MASXJ10513354+3630550,,162.889786,36.515358,r,5.84,0.1,1.18,0.1,0.2020547945205479,4.9491525423728815,22.45,0.19,-0.069,17.27,0.06,SD,12894.0,2MASXJ10513354+3630550,NED,thick_like,2MASXJ10513354+3630550,2MASXJ10513354+3630550,,162.889786,36.515358,2MASXJ10513354+3630550,,NED,,True,coord_review,UGC05986,127.0,0.2187006146513334,Bizyaev_2014,UGC05986,UGC5986,127.0,2MASXJ10513354+3630550,UGC05986,UGC5986,163.1297167,36.6187778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_175.610_51.598,UGC06667,UGC06667,175.609558,51.597984,r,38.34,1.3,7.93,0.55,0.2068335941575378,4.834804539722573,23.02,0.11,0.055,13.34,0.05,SD,978.0,UGC06667,NED,thick_like,UGC06667,UGC06667,UGC6667,175.609558,51.597984,UGC06667,UGC6667,NED,,True,name_exact,UGC06667,133.0,0.0,Bizyaev_2014,UGC06667,UGC6667,133.0,UGC06667,UGC06667,UGC6667,175.6096208,51.5980056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_179.089_50.163,PGC2364779,PGC2364779,179.088638,50.163097,r,6.04,0.02,1.95,0.14,0.3228476821192053,3.097435897435897,21.02,0.16,-0.003,15.14,0.38,SB,9625.0,PGC2364779,NED,thick_like,PGC2364779,PGC2364779,PGC2364779,179.088638,50.163097,PGC2364779,PGC2364779,NED,,True,coord_review,UGC06917,137.0,0.2660474138335263,Bizyaev_2014,UGC06917,UGC6917,137.0,PGC2364779,UGC06917,UGC6917,179.1198875,50.4283944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_181.763_43.066,NGC04111,NGC04111,181.762695,43.065773,r,27.73,0.29,9.19,1.18,0.3314100252434186,3.017410228509249,20.2,0.14,0.22,10.47,0.46,SC,784.0,NGC4111,NED,thick_like,NGC04111,NGC04111,NGC4111,181.762695,43.065773,NGC4111,NGC4111,NED,,True,coord_review,UGC07089,142.0,0.2132645667274477,Bizyaev_2014,UGC07089,UGC7089,142.0,NGC04111,UGC07089,UGC7089,181.4906089,43.1433561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_202.180_58.534,PGC2579855,PGC2579855,202.179565,58.534054,r,4.26,0.3,1.45,0.18,0.3403755868544601,2.9379310344827587,21.24,0.31,0.155,16.54,0.13,SC,15612.0,PGC2579855,NED,thick_like,PGC2579855,PGC2579855,PGC2579855,202.179565,58.534054,PGC2579855,PGC2579855,NED,,True,coord_review,UGC08490,157.0,0.1638271753419018,Bizyaev_2014,UGC08490,UGC8490,157.0,PGC2579855,UGC08490,UGC8490,202.4021167,58.4187306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_208.625_53.981,SDSSJ135430.12+535852.0,,208.625473,53.981133,r,3.6,0.1,0.93,0.08,0.2583333333333333,3.870967741935484,21.11,0.32,0.124,17.52,0.09,SC,20759.0,SDSSJ135430.12+535852.0,NED,thick_like,SDSSJ135430.12+535852.0,SDSSJ135430.12+535852.0,,208.625473,53.981133,SDSSJ135430.12+535852.0,,NED,,True,coord_exact,UGC08837,160.0,0.0845698319889964,Bizyaev_2014,UGC08837,UGC8837,160.0,SDSSJ135430.12+535852.0,UGC08837,UGC8837,208.6900069,53.9055731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
EON_186.353_48.645,PGC2322249,PGC2322249,186.353363,48.644638,r,5.22,0.18,3.28,0.59,0.6283524904214559,1.5914634146341464,20.38,0.25,0.233,14.72,0.22,SB,11867.0,PGC2322249,NED,thick_like,PGC2322249,PGC2322249,PGC2322249,186.353363,48.644638,PGC2322249,PGC2322249,NED,,True,coord_review,UGCA281,172.0,0.2068346167414441,Bizyaev_2014,UGCA281,UGCA281,172.0,PGC2322249,UGCA281,UGCA281,186.56675,48.4935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only,unique_to_one_catalog,
