_RAJ2000,_DEJ2000,UGC,RAJ2000,DEJ2000,Type,f_Type,HRV,Dist,Bmag,Ksmag,KMag,B-K,mu0,hR,r23.5,Sel,Ha,f_Ha,sigma,n_sigma,Spz,HI,2M,Simbad,NED
020.319167,-0.544444,892,01 21 16.6,-00 32 40,SBab,,5240,69.7,14.0,9.90,-24.3,3.9,19.5,11.4,41.0,"4,d",S,g,,,,,2M,Simbad,NED
020.807083,-0.385000,929,01 23 13.7,-00 23 06,Scd,,7465,99.5,14.3,10.93,-24.1,3.2,20.2,8.1,23.7,4,,,,,,,2M,Simbad,NED
022.483750,+32.501111,1069,01 29 56.1,+32 30 04,S,,4658,62.4,14.4,11.12,-22.9,3.0,21.2,12.0,24.8,4,S,g,,,,,2M,Simbad,NED
022.694167,+21.440556,1081,01 30 46.6,+21 26 26,SBc,,3128,41.8,13.5,10.18,-22.9,3.1,20.4,23.3,65.5,4,S,,"P,M",,y,G,2M,Simbad,NED
022.861250,+14.277500,1087,01 31 26.7,+14 16 39,Sc,,4485,59.6,14.3,,,,20.8,11.2,28.3,"4,d","S,D",,"P,M",g,y,V,2M,Simbad,NED
023.709167,+21.418889,1126,01 34 50.2,+21 25 08,SBc,,9971,133.4,14.0,10.34,-25.3,3.4,20.5,11.1,29.7,d,,,,,,,2M,Simbad,NED
024.587500,+7.534167,1167,01 38 21.0,+07 32 03,Scd,,4303,57.0,14.0,10.46,-23.3,3.3,20.3,10.9,30.3,"4,d",S,,,,,,2M,Simbad,NED
026.034167,+34.387222,1212,01 44 08.2,+34 23 14,Sb,,10759,144.4,14.1,10.44,-25.4,3.5,21.0,13.2,26.4,"4,d",S,,,,,,2M,Simbad,NED
027.874583,+13.131944,1322,01 51 29.9,+13 07 55,Sc,,4821,63.9,14.6,11.62,-22.4,2.6,20.9,11.5,27.4,p,D,,,,,,2M,Simbad,NED
030.277083,+31.882500,1497,02 01 06.5,+31 52 57,SBc,,5190,69.3,13.0,9.60,-24.6,3.1,20.3,18.5,41.2,"4,d",S,,,,,,2M,Simbad,NED
030.629583,+11.093333,1529,02 02 31.1,+11 05 36,Sc,,4649,61.6,14.1,10.34,-23.6,3.4,20.1,10.9,33.0,"4,d",S,,"P,M",,y,G,2M,Simbad,NED
030.995833,+15.318333,1559,02 03 59.0,+15 19 06,SABcd,,3619,48.1,14.3,,,,21.1,12.2,33.6,"4,d",S,,,,,,2M,Simbad,NED
031.313333,+6.105556,1579,02 05 15.2,+06 06 20,SBcd,2,3410,45.1,13.8,11.29,-22.0,2.3,21.3,14.5,31.3,"4,d",S,,,,,,2M,Simbad,NED
032.116250,+6.394722,1635,02 08 27.9,+06 23 41,Sbc,,3449,46.6,14.1,10.39,-23.0,3.5,21.1,14.0,30.0,"4,d",S,,P,,y,V,2M,Simbad,NED
033.642083,+37.407778,1721,02 14 34.1,+37 24 28,SBbc,,4639,62.3,14.0,10.33,-23.7,3.4,20.8,12.6,29.0,d,S,g,,,,,2M,Simbad,NED
033.640000,-0.766667,1727,02 14 33.6,-00 46 00,Sa,5,7910,105.3,13.8,9.48,-25.6,4.2,20.1,10.9,33.2,d,S,,,,,,2M,Simbad,NED
036.104167,-2.162778,1862,02 24 25.0,-02 09 46,SABcd,1,1385,18.4,13.7,,,,20.1,12.7,38.0,"4,d",S,,"P,M",,y,G,2M,Simbad,NED
036.655417,+12.155278,1908,02 26 37.3,+12 09 19,SBc,3,8261,110.0,14.1,9.99,-25.3,3.7,19.6,8.7,30.9,p,S,,P,,y,G,2M,Simbad,NED
039.493750,+34.241111,2109,02 37 58.5,+34 14 28,SABcd,,3677,49.3,14.1,11.76,-21.7,2.0,21.0,18.2,39.6,"4,d",S,,M,g,,,2M,Simbad,NED
040.842917,+4.967778,2200,02 43 22.3,+04 58 04,Sb,,4088,54.0,12.9,8.72,-25.0,3.9,20.2,17.7,53.3,4,S,g,,,,,2M,Simbad,NED
067.980417,+1.199167,3080,04 31 55.3,+01 11 57,SABc,,3541,47.5,14.1,10.72,-22.7,3.0,20.1,13.6,42.5,p,S,,M,g,,,2M,Simbad,NED
068.484167,+1.113611,3091,04 33 56.2,+01 06 49,SABd,,5511,73.9,14.6,10.86,-23.5,3.4,21.0,9.6,22.4,p,D,,P,,y,G,2M,Simbad,NED
070.451667,-1.302222,3134,04 41 48.4,-01 18 08,SABbc,5,8665,115.7,14.0,10.26,-25.1,3.6,19.5,8.0,29.3,4,S,,,,,,2M,Simbad,NED
070.728750,+0.618611,3140,04 42 54.9,+00 37 07,Sc,,4633,62.1,13.4,9.50,-24.5,3.5,20.0,12.9,40.2,p,S,,"P,M,C",,y,V,2M,Simbad,NED
107.927083,+72.170000,3701,07 11 42.5,+72 10 12,Scd,,2915,43.2,14.4,11.71,-21.5,2.5,21.7,16.8,26.9,"4,d",S,,P,,y,"V,W",2M,Simbad,NED
108.136667,+71.750556,3714,07 12 32.8,+71 45 02,S,1,3064,45.2,12.9,9.39,-23.9,3.3,20.7,15.4,37.6,"4,d",S,,,,,,2M,Simbad,NED
115.325417,+34.232222,3965,07 41 18.1,+34 13 56,SBab,5,4664,66.2,15.3,10.37,-23.8,4.7,19.7,7.9,27.3,4,S,,,,,,2M,Simbad,NED
116.161667,+40.366111,3997,07 44 38.8,+40 21 58,Im,,5915,83.1,,11.53,-23.1,,21.6,12.0,20.3,4,S,,P,,y,W,2M,Simbad,NED
117.977917,+73.015556,4036,07 51 54.7,+73 00 56,SABbc,,3470,50.9,12.8,9.83,-23.7,2.8,20.5,20.6,44.7,"4,dD",S,,"P,M",g,y,W,2M,Simbad,NED
119.064167,+78.013611,4066,07 56 15.4,+78 00 49,Scd,,2296,35.5,13.9,11.27,-21.5,2.4,20.5,11.8,31.5,"4,d",S,,,,,,2M,Simbad,NED
118.953333,+24.705833,4099,07 55 48.8,+24 42 21,SBb,,4673,66.6,13.9,10.38,-23.8,3.2,20.0,11.6,36.4,4,S,,,,,,2M,Simbad,NED
119.257500,+49.567778,4107,07 57 01.8,+49 34 04,Sc,,3504,51.1,13.7,10.15,-23.4,3.4,20.1,11.4,35.4,"4,d",S,,"P,M",,y,W,2M,Simbad,NED
119.203333,+7.478056,4112,07 56 48.8,+07 28 41,Sa,,4610,65.8,13.2,9.42,-24.7,3.7,20.2,13.8,40.7,d,S,,,,,,2M,Simbad,NED
119.848750,+16.421389,4139,07 59 23.7,+16 25 17,Sc,,4889,69.6,14.2,11.34,-22.9,2.7,20.8,11.7,29.3,"4,d",S,,,,,,2M,Simbad,NED
120.707083,+15.808611,4189,08 02 49.7,+15 48 31,SBbc,,4856,69.3,13.9,10.96,-23.3,2.8,20.5,12.3,30.1,4,S,,M,,y,G,2M,Simbad,NED
121.854167,+39.194444,4227,08 07 25.0,+39 11 40,SABb,,3928,56.9,13.4,10.11,-23.7,3.1,20.5,12.5,35.2,"4,d",,,,,,,2M,Simbad,NED
122.563750,+33.955833,4256,08 10 15.3,+33 57 21,SABc,,5260,74.8,12.9,9.54,-24.8,3.2,20.2,18.9,46.1,"p,4",S,,P,,y,W,2M,Simbad,NED
124.003333,+27.075556,4300,08 16 00.8,+27 04 32,Scd,,7668,107.5,14.0,10.58,-24.6,3.3,20.8,11.2,28.1,4,,,,,,,2M,Simbad,NED
124.357917,+21.685556,4308,08 17 25.9,+21 41 08,SBc,,3566,52.1,13.5,9.77,-23.8,3.6,20.2,22.4,51.6,4,,,,,,,2M,Simbad,NED
125.069167,+20.874722,4344,08 20 16.6,+20 52 29,Sdm,,5041,72.2,14.3,11.33,-23.0,2.7,20.9,12.5,31.9,"4,d",,,,,,,2M,Simbad,NED
125.687500,+24.296944,4368,08 22 45.0,+24 17 49,Scd,,3870,56.4,13.5,10.05,-23.7,3.3,20.7,15.8,40.5,"p,4,d",S,,"P,M",g,y,G,2M,Simbad,NED
126.132917,+54.854167,4380,08 24 31.9,+54 51 15,Scd,,7485,105.0,14.5,10.82,-24.3,3.4,21.0,9.7,21.8,4,"S,D",,"P,M",g,y,W,2M,Simbad,NED
126.966667,+73.517500,4390,08 27 52.0,+73 31 03,SBcd,,2169,34.0,14.6,,,,21.0,16.5,37.6,4,,,,,,,2M,Simbad,NED
127.166667,+73.748056,4397,08 28 40.0,+73 44 53,Sc,,3641,53.4,13.5,9.91,-23.7,3.5,19.0,10.5,43.0,"4,d",S,,,,,,2M,Simbad,NED
127.863333,+60.995000,4445,08 31 27.2,+60 59 42,Sc,,6330,89.5,14.6,10.77,-24.0,3.5,21.2,12.3,25.7,"4,d","S,D",,,,,,2M,Simbad,NED
128.014583,+24.011111,4456,08 32 03.5,+24 00 40,Sc,,5487,78.5,13.8,10.68,-23.8,3.0,20.9,12.3,29.1,"4,d",,,,,,,2M,Simbad,NED
128.047500,+22.560278,4458,08 32 11.4,+22 33 37,Sa,,4741,68.4,13.2,9.27,-24.9,3.8,20.9,19.1,44.2,"p,d",S,,"P,M,C",g,y,G,2M,Simbad,NED
128.486250,+26.972778,4473,08 33 56.7,+26 58 22,S,,3528,52.0,14.4,11.23,-22.4,3.0,21.1,9.5,20.8,4,,,,,,,2M,Simbad,NED
130.719583,+25.070833,4542,08 42 52.7,+25 04 15,Sdm,,5185,74.6,14.5,11.95,-22.4,2.4,21.9,11.4,14.3,4,,,,,,,2M,Simbad,NED
131.089167,+58.841944,4549,08 44 21.4,+58 50 31,Scd,,1289,22.4,13.9,10.44,-21.3,3.2,19.4,10.0,37.2,d,,,,,,,2M,Simbad,NED
131.035417,+34.716944,4555,08 44 08.5,+34 43 01,SABbc,,4244,61.9,13.2,9.91,-24.1,3.1,20.5,20.0,40.2,"4,d",S,,"P,M",,y,W,2M,Simbad,NED
131.498333,+12.619722,4584,08 45 59.6,+12 37 11,Scd,,4108,60.1,13.6,,,,20.3,12.3,34.6,"4,d",,,,,,,2M,Simbad,NED
132.584167,+41.289722,4622,08 50 20.2,+41 17 23,Scd,,12849,178.2,14.6,11.04,-25.2,3.4,20.5,8.8,23.4,4,S,,P,,y,"V,W",2M,Simbad,NED
133.426667,+73.491111,4630,08 53 42.4,+73 29 28,SABab,4,3486,51.5,12.5,8.70,-24.9,3.7,19.7,19.1,70.0,4,,,,,,,2M,Simbad,NED
133.168750,+21.422500,4643,08 52 40.5,+21 25 21,Sbc,,7699,108.9,13.9,10.36,-24.8,3.4,20.8,11.3,28.0,"4,d",,,,,,,2M,Simbad,NED
133.590417,+32.680278,4658,08 54 21.7,+32 40 49,Sc,,4382,63.9,14.2,11.28,-22.8,2.8,21.2,16.9,35.7,d,,,,,,,2M,Simbad,NED
133.967917,+2.524444,4673,08 55 52.3,+02 31 28,SBcd,,3818,56.3,14.0,,,,22.2,14.4,15.1,4,,,,,,,2M,Simbad,NED
135.250417,+10.617222,4731,09 01 00.1,+10 37 02,S0/a,,8891,125.5,14.0,9.94,-25.6,3.9,20.4,10.5,29.2,d,,,,,,,2M,Simbad,NED
136.497917,+35.377500,4770,09 05 59.5,+35 22 39,SBa,,7065,100.4,14.0,9.66,-25.4,4.2,20.2,13.4,39.7,"4,d",,,,,,,2M,Simbad,NED
137.424583,+37.601389,4810,09 09 41.9,+37 36 05,S,,6889,98.0,14.1,10.09,-24.9,3.9,20.8,12.4,31.9,4,,,,,,,2M,Simbad,NED
138.553333,+16.742222,4864,09 14 12.8,+16 44 32,Sa,,8368,118.6,13.7,10.03,-25.3,3.6,20.7,11.6,32.2,"4,d",,,,,,,2M,Simbad,NED
138.749167,+29.730000,4875,09 14 59.8,+29 43 48,S0/a,,6337,90.9,13.3,9.74,-25.1,3.4,20.8,14.0,30.7,d,,,,,,,2M,Simbad,NED
140.169583,+15.101389,4962,09 20 40.7,+15 06 05,SBa,,8652,122.7,14.3,10.69,-24.8,3.5,20.6,8.1,24.4,4,,,,,,,2M,Simbad,NED
140.525833,+3.897778,4978,09 22 06.2,+03 53 52,Scd,,4135,61.3,14.3,11.99,-22.0,2.1,21.5,9.6,14.1,4,D,,,,,,2M,Simbad,NED
140.902083,+2.136389,4999,09 23 36.5,+02 08 11,SBbc,,5086,74.5,13.6,9.96,-24.4,3.4,19.6,9.1,32.0,4,,,,,,,2M,Simbad,NED
141.450417,+34.277222,5015,09 25 48.1,+34 16 38,SABdm,,1650,27.6,14.6,,,,21.8,14.8,20.8,4,,,,,,,2M,Simbad,NED
144.783333,+34.006389,5140,09 39 08.0,+34 00 23,Sc,,4423,65.4,13.3,10.54,-23.5,2.7,20.9,16.4,39.0,4,,,,,,,2M,Simbad,NED
145.514167,+0.336389,5180,09 42 03.4,+00 20 11,Sc,,1892,29.5,12.1,8.86,-23.5,2.8,19.6,17.6,64.0,4,S,,M,,y,G,2M,Simbad,NED
146.288333,+68.594444,5202,09 45 09.2,+68 35 40,SABab,1,4429,64.6,13.7,9.18,-24.9,4.1,19.9,14.0,39.2,4,,,,,,,2M,Simbad,NED
147.917083,+65.490833,5277,09 51 40.1,+65 29 27,SBbc,,3365,50.6,14.6,10.28,-23.3,3.6,20.6,11.7,30.5,"4,d","S,D",,,,,,2M,Simbad,NED
148.590833,+68.332500,5302,09 54 21.8,+68 19 57,Sdm,,4386,64.1,14.3,11.12,-23.0,2.8,21.1,19.3,42.1,"4,d",S,,,,,,2M,Simbad,NED
149.051250,+75.866389,5319,09 56 12.3,+75 51 59,SBc,,2457,38.2,13.7,10.38,-22.5,3.2,21.1,18.7,41.7,4,,,,,,,2M,Simbad,NED
152.256250,+32.492222,5474,10 09 01.5,+32 29 32,SABcd,,5893,85.9,14.4,,,,21.2,11.3,24.3,4,,,,,,,2M,Simbad,NED
154.142083,+21.122778,5544,10 16 34.1,+21 07 22,Sb,,1302,23.0,13.0,9.19,-22.6,3.7,19.4,9.6,35.8,4,S,,,,,,2M,Simbad,NED
155.018333,+38.616389,5577,10 20 04.4,+38 36 59,Sm,2,2007,33.4,14.2,10.78,-21.8,3.3,20.3,9.2,27.6,p,S,g,,,,,2M,Simbad,NED
157.113750,+12.703889,5674,10 28 27.3,+12 42 14,SABbc,,9689,138.5,13.9,10.48,-25.2,3.3,20.6,11.9,31.4,4,,,,,,,2M,Simbad,NED
158.198333,+15.861111,5730,10 32 47.6,+15 51 40,Scd,,5779,85.4,14.1,10.80,-23.9,3.2,20.7,9.2,23.6,p,D,,,,,,2M,Simbad,NED
161.215833,+6.596667,5857,10 44 51.8,+06 35 48,SABc,5,8290,120.1,13.5,10.09,-25.3,3.3,19.8,8.3,28.1,4,,,,,,,2M,Simbad,NED
161.445833,+37.211389,5868,10 45 47.0,+37 12 41,Sb,,7229,104.5,14.5,10.32,-24.8,4.1,20.2,10.0,29.4,"4,d",S,g,,,,,2M,Simbad,NED
161.842917,+14.070833,5889,10 47 22.3,+14 04 15,SABm,,573,5.6,13.6,,,,21.9,19.9,29.6,"4,d",,,,,,,2M,Simbad,NED
162.124583,+72.425000,5890,10 48 29.9,+72 25 30,SABc,,2731,42.3,13.7,9.98,-23.2,3.3,19.6,10.3,36.1,"4,d",,,,,,,2M,Simbad,NED
162.113333,+26.583889,5912,10 48 27.2,+26 35 02,Sc,,6295,92.4,14.0,10.44,-24.4,3.4,20.3,10.6,31.5,"4,d",,,,,,,2M,Simbad,NED
162.992083,+3.792222,5980,10 51 58.1,+03 47 32,Sb,2,3636,55.9,13.0,9.67,-24.1,3.1,20.6,15.4,37.6,"4,d",,,,,,,2M,Simbad,NED
165.010000,+14.841667,6077,11 00 02.4,+14 50 30,SBb,,1434,26.3,12.7,9.40,-22.7,3.2,19.3,13.5,50.1,"p,4",S,,M,,y,G,2M,Simbad,NED
165.777083,+75.115833,6105,11 03 06.5,+75 06 57,Sbc,,7166,101.6,13.7,10.12,-24.9,3.3,19.9,9.2,29.9,4,S,,,,,,2M,Simbad,NED
165.645833,+50.582778,6109,11 02 35.0,+50 34 58,SABc,,6705,97.0,14.6,11.05,-23.9,3.5,20.7,11.2,27.5,4,,,,,,,2M,Simbad,NED
166.011667,+28.037222,6128,11 04 02.8,+28 02 14,SABc,,1376,25.9,13.0,9.57,-22.5,3.3,19.4,10.8,39.7,"4,d",S,,M,,y,G,2M,Simbad,NED
166.154167,+45.125000,6135,11 04 37.0,+45 07 30,S,,6479,94.3,13.4,9.86,-25.0,3.5,19.8,8.8,29.1,p,D,,,,,,2M,Simbad,NED
166.510000,+4.429444,6155,11 06 02.4,+04 25 46,SABbc,,6425,95.2,13.9,10.72,-24.2,2.9,20.8,11.8,29.1,4,,,,,,,2M,Simbad,NED
166.605417,+17.508056,6157,11 06 25.3,+17 30 29,Sdm,,2958,46.9,13.9,,,,21.1,15.4,33.4,4,S,,,,,,2M,Simbad,NED
166.881667,+0.783056,6180,11 07 31.6,+00 46 59,SABb,,11856,169.1,14.0,10.11,-26.0,3.8,20.5,12.1,32.8,"4,d",,,,,,,2M,Simbad,NED
168.336667,+59.908611,6249,11 13 20.8,+59 54 31,Scd,,1058,20.5,14.1,,,,21.1,13.7,28.1,"4,d",S,g,,,,,2M,Simbad,NED
168.437500,+48.273056,6257,11 13 45.0,+48 16 23,SBab,,5336,78.8,14.2,10.54,-23.9,3.6,20.0,8.8,29.0,4,,,,,,,2M,Simbad,NED
169.479167,-2.092222,6311,11 17 55.0,-02 05 32,SABc,1,7414,109.1,13.8,10.45,-24.8,3.1,21.0,15.3,31.8,4,S,g,,,,,2M,Simbad,NED
169.941250,+59.280556,6335,11 19 45.9,+59 16 50,Scd,,2927,45.8,14.4,11.94,-21.4,2.4,21.2,12.6,28.3,"4,d",,,,,,,2M,Simbad,NED
171.186667,+23.615000,6425,11 24 44.8,+23 36 54,Sbc,,6745,99.3,14.4,10.61,-24.4,3.7,21.4,12.3,24.0,4,,,,,,,2M,Simbad,NED
171.330000,+63.729722,6429,11 25 19.2,+63 43 47,Sc,,3726,56.3,13.8,10.75,-23.0,3.0,20.7,16.3,39.5,"4,d",,,,,,,2M,Simbad,NED
171.624583,+16.863611,6445,11 26 29.9,+16 51 49,SABbc,4,1239,24.9,12.4,9.69,-22.3,2.6,20.0,15.2,47.5,"p,4",S,,"M,C",g,y,G,2M,Simbad,NED
172.002500,+29.510833,6463,11 28 00.6,+29 30 39,SABbc,,2507,41.1,12.9,10.48,-22.6,2.4,20.2,12.7,38.9,"4,d",S,,"P,M,C",g,y,W,2M,Simbad,NED
172.883750,-2.309167,6510,11 31 32.1,-02 18 33,SABcd,,4745,72.4,13.3,10.11,-24.2,3.1,21.2,17.2,36.5,"4,d",S,g,,,,,2M,Simbad,NED
173.183750,+61.826944,6528,11 32 44.1,+61 49 37,Sc,,3250,50.1,14.0,10.65,-22.9,3.3,20.8,14.9,29.5,d,,,,,,,2M,Simbad,NED
174.242083,+55.162222,6582,11 36 58.1,+55 09 44,SABbc,1,5785,84.7,14.2,10.45,-24.2,3.7,20.0,9.1,28.2,4,,,,,,,2M,Simbad,NED
174.840000,+58.268611,6616,11 39 21.6,+58 16 07,Scd,2,1154,22.2,13.7,12.07,-19.7,1.6,21.2,19.4,38.8,d,S,g,,,,,2M,Simbad,NED
175.194583,+17.795833,6641,11 40 46.7,+17 47 45,SABb,,3495,54.9,14.0,10.90,-22.8,2.9,20.9,11.9,28.7,"4,d",S,g,,,,,2M,Simbad,NED
175.537917,+20.315556,6663,11 42 09.1,+20 18 56,SABab,,5788,86.7,13.6,9.99,-24.7,3.5,20.6,13.0,33.9,4,,,,,,,2M,Simbad,NED
175.881250,+22.725556,6693,11 43 31.5,+22 43 32,SBbc,,6909,101.9,13.5,9.96,-25.1,3.4,19.8,13.0,42.5,p,S,,"M,C",,y,G,2M,Simbad,NED
176.173750,+35.967778,6716,11 44 41.7,+35 58 04,Sbc,,11203,159.4,14.4,10.41,-25.6,3.9,21.1,13.3,29.3,"4,d",,,,,,,2M,Simbad,NED
176.481667,+21.025556,6743,11 45 55.6,+21 01 32,SABbc,,6750,99.8,14.0,10.42,-24.6,3.4,20.8,11.7,29.2,"4,d",,,,,,,2M,Simbad,NED
176.777083,+13.706667,6758,11 47 06.5,+13 42 24,S,,3108,49.4,13.7,10.50,-23.0,3.0,20.9,15.8,37.7,4,,,,,,,2M,Simbad,NED
177.000833,+4.488333,6771,11 48 00.2,+04 29 18,SABab,,5964,89.7,13.6,9.69,-25.1,3.8,20.6,15.6,40.8,d,,,,,,,2M,Simbad,NED
177.248333,+35.015833,6784,11 48 59.6,+35 00 57,Sbc,,6411,94.6,13.8,10.02,-24.9,3.7,20.7,16.1,39.2,"4,d",,,,,,,2M,Simbad,NED
177.662500,+55.353889,6813,11 50 39.0,+55 21 14,Scd,,954,19.2,13.6,10.48,-20.9,3.1,21.2,20.4,37.7,p,S,,,,,,2M,Simbad,NED
177.755000,+20.398889,6821,11 51 01.2,+20 23 56,Sbc,,6438,95.7,14.0,10.47,-24.5,3.3,20.3,9.7,28.8,4,,,,,,,2M,Simbad,NED
178.162917,+50.037778,6849,11 52 39.1,+50 02 16,Sm,,995,19.9,14.7,,,,21.8,19.3,28.1,"4,d",,,,,,,2M,Simbad,NED
178.743750,+26.202778,6883,11 54 58.5,+26 12 10,SABcd,,5150,77.9,14.4,11.81,-22.7,2.5,21.3,10.7,20.1,4,,,,,,,2M,Simbad,NED
178.904167,+1.237222,6903,11 55 37.0,+01 14 14,SBcd,,1892,31.3,13.1,10.77,-21.7,2.3,21.4,26.9,52.9,p,S,,P,g,y,G,2M,Simbad,NED
179.030000,+55.391111,6909,11 56 07.2,+55 23 28,Sab,,5807,85.1,14.2,10.31,-24.3,3.8,20.3,10.1,24.4,4,,,,,,,2M,Simbad,NED
179.042917,+60.522778,6910,11 56 10.3,+60 31 22,SABbc,2,9978,141.2,13.3,9.87,-25.9,3.3,19.6,9.9,35.1,4,,,,,,,2M,Simbad,NED
179.117500,+55.125278,6918,11 56 28.2,+55 07 31,SABb,5,1109,21.8,12.0,8.83,-22.9,3.1,18.6,10.1,44.3,"p,4",S,,"P,M,C",,y,"V,W,G",2M,Simbad,NED
179.599583,-2.277500,6958,11 58 23.9,-02 16 39,SABbc,,5904,89.2,13.8,10.08,-24.7,3.6,19.7,9.8,34.3,4,,,,,,,2M,Simbad,NED
180.137500,+20.073611,6995,12 00 33.0,+20 04 25,Im,,1269,28.5,12.8,10.22,-22.1,2.4,20.1,12.6,40.1,"4,d",S,,,,,,2M,Simbad,NED
180.652500,+41.053889,7020,12 02 36.6,+41 03 14,Sbc,,6132,90.6,13.9,10.33,-24.5,3.5,20.3,11.7,32.0,4,S,,,,,,2M,Simbad,NED
180.711667,+48.636667,7025,12 02 50.8,+48 38 12,Sb,,3410,53.3,13.1,9.14,-24.5,3.8,19.9,14.4,47.1,4,S,,,,,,2M,Simbad,NED
181.302917,+28.781944,7072,12 05 12.7,+28 46 55,Sdm,,3154,50.5,13.9,11.30,-22.2,2.5,21.2,12.0,24.7,4,D,,,,,,2M,Simbad,NED
182.576250,+26.430833,7163,12 10 18.3,+26 25 51,SABab,,6520,96.8,13.6,9.82,-25.1,3.7,19.9,10.6,35.1,"4,d",S,,,,,,2M,Simbad,NED
182.656667,+16.033611,7169,12 10 37.6,+16 02 01,SABc,3,2167,14.1,12.7,9.55,-21.2,3.0,19.8,12.7,42.4,"p,4,d",S,,,,,,2M,Simbad,NED
183.062083,+56.178333,7205,12 12 14.9,+56 10 42,S,,9274,132.1,14.1,9.76,-25.9,4.3,20.1,10.5,30.7,4,,,,,,,2M,Simbad,NED
183.116667,+39.110833,7208,12 12 28.0,+39 06 39,S,,7078,103.6,14.3,10.70,-24.4,3.4,20.3,8.6,23.4,4,D,,,,,,2M,Simbad,NED
183.575833,+59.615556,7244,12 14 18.2,+59 36 56,SBcd,,4350,65.4,14.6,11.59,-22.5,3.0,21.2,12.4,26.8,"4,d",S,,P,,y,W,2M,Simbad,NED
184.287500,+3.681389,7309,12 17 09.0,+03 40 53,SBm,,2027,13.6,13.4,10.73,-19.9,2.6,19.6,10.8,38.2,d,,,,,,,2M,Simbad,NED
184.805833,+22.431389,7357,12 19 13.4,+22 25 53,SABc,,6682,99.3,14.2,11.28,-23.7,2.8,20.7,10.1,25.1,4,,,,,,,2M,Simbad,NED
185.031667,+7.691667,7385,12 20 07.6,+07 41 30,Sc,2,2618,42.2,13.5,10.40,-22.7,3.0,20.5,14.4,39.0,4,,,,,,,2M,Simbad,NED
185.419583,+11.503333,7414,12 21 40.7,+11 30 12,SABdm,,232,1.3,12.9,11.52,-14.0,1.2,19.3,10.7,39.1,d,S,,,,,,2M,Simbad,NED
185.411667,+15.745278,7415,12 21 38.8,+15 44 43,SAB0/a,,1267,14.1,14.4,10.65,-20.1,3.7,20.9,13.6,30.2,d,S,g,,,,,2M,Simbad,NED
185.413333,+40.848889,7416,12 21 39.2,+40 50 56,SBb,,6901,101.2,13.9,10.15,-24.9,3.7,20.3,13.6,37.8,4,S,,"M,C",,y,W,2M,Simbad,NED
185.613333,+4.566111,7439,12 22 27.2,+04 33 58,SABcd,,1273,13.6,13.6,10.75,-19.9,2.8,20.4,12.1,35.4,4,,,,,,,2M,Simbad,NED
186.023333,+7.041111,7474,12 24 05.6,+07 02 28,Scd,,1231,13.7,14.0,10.58,-20.1,3.3,20.6,12.5,32.6,"4,d",,,,,,,2M,Simbad,NED
186.650000,+3.965278,7536,12 26 36.0,+03 57 55,SBbc,1,2294,13.6,13.2,9.57,-21.1,3.5,19.4,11.3,41.3,d,,,,,,,2M,Simbad,NED
