galaxy,source_file,beta_mode,status,error
NGC2915,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2915_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2955,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2955_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2976,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2976_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC2998,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC2998_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3109,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3109_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3198,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3198_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3521,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3521_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3726,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3726_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3741,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3741_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3769,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3769_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3877,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3877_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3893,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3893_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3917,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3917_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3949,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3949_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3953,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3953_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3972,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3972_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC3992,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC3992_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4010,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4010_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4013,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4013_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4051,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4051_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
NGC4068,C:\Users\mincu\Desktop\topological_gravity_project\data\processed\sparc_normalized_beta_abar\NGC4068_normalized.csv,formula,failed,get_formula_beta_details() got an unexpected keyword argument 'dim_balance_scale'
