galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,dsigma_dr,a_bar_kmps2_per_kpc,a_topo_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_topo_kmps,v_model_kmps,g_scale,lambda_reorg,l0_kpc
NGC6503,9.11,115.0,1.0,0.16838395913964488,0.0006081208964231061,757.9739626783754,50.51518774189346,808.4891504202689,83.09718888145375,21.45211785182641,85.82153669288758,300.0,0.0,1.0
NGC6503,9.86,116.0,1.0,0.16870497432551068,0.0003294743193511668,660.9332352941177,50.61149229765321,711.5447275917709,80.72670995401708,22.33896403271335,83.76055762741113,300.0,0.0,1.0
NGC6503,10.64,117.0,1.0,0.1688820238374298,0.00016682814809625135,578.0906015037596,50.66460715122894,628.7552086549885,78.42757168241282,23.21791162204465,81.79214766766475,300.0,0.0,1.0
NGC6503,11.38,117.0,1.0,0.16896324238121094,9.531330144842143e-05,510.38263620386635,50.68897271436328,561.0716089182297,76.21124851358886,24.01750423106977,79.90616315084498,300.0,0.0,1.0
NGC6503,12.12,118.0,1.0,0.16902308752357345,5.208444884670371e-05,455.9168646864688,50.706926257072034,506.6237909435408,74.33513570311149,24.790480960153094,78.35994095349814,300.0,0.0,1.0
NGC6503,12.86,117.0,1.0,0.16904032736550406,2.1555401478856595e-05,411.01543545878707,50.71209820965122,461.7275336684383,72.70253434372148,25.53737619600171,77.05722602699967,300.0,0.0,1.0
NGC6503,13.7,116.0,1.0,0.16905677318522172,1.8060109812659264e-05,367.16884671532847,50.71703195556652,417.885878670895,70.9239959393152,26.359501850210698,75.6639712002434,300.0,0.0,1.0
NGC6503,14.44,115.0,1.0,0.1690691479140379,2.377618905688439e-05,332.1019459833795,50.72074437421137,382.8226903575909,69.24992490970658,27.063029186763483,74.3502498231419,300.0,0.0,1.0
NGC6503,15.18,117.0,1.0,0.1690919619450259,1.871916058181211e-05,301.14104084321474,50.727588583507774,351.8686294267225,67.61154487215921,27.74968098370949,73.0846481464996,300.0,0.0,1.0
NGC6503,15.91,116.0,1.0,0.1690969056557446,5.505833463106957e-06,275.1044186046512,50.72907169672337,325.8334903013746,66.1582292689277,28.409497191869992,72.00007521311953,300.0,0.0,1.0
NGC6503,16.65,115.0,2.0,0.1691000300192809,5.428035419932642e-06,253.3928768768769,50.73000900578427,304.1228858826612,64.9537635553168,29.062942898927286,71.1593005161399,300.0,0.0,1.0
NGC6503,17.49,115.0,2.0,0.16910573943246515,6.03828689128838e-06,230.8723727844483,50.73172182973955,281.60409461418783,63.544927413602416,29.787544625264847,70.18016539451973,300.0,0.0,1.0
NGC6503,18.23,115.0,2.0,0.16910971320793036,4.024669876354081e-06,212.7019473395502,50.73291396237911,263.4348613019293,62.27002890636875,30.41152777375992,69.2994770653731,300.0,0.0,1.0
NGC6503,18.97,114.0,2.0,0.16911169594388215,3.5651783243939583e-06,195.8641275698471,50.733508783164645,246.59763635301175,60.955249978980476,31.022808731909386,68.3955931447095,300.0,0.0,1.0
NGC6503,19.71,115.0,2.0,0.16911498967185049,2.7575565403337166e-06,181.713932014206,50.73449690155515,232.44842891576116,59.846316511544806,31.622411892985834,67.68721100717367,300.0,0.0,1.0
NGC6503,20.45,114.0,2.0,0.16911577712756182,2.0120386309968596e-06,169.306097799511,50.734733138268545,220.04083093777956,58.841394443027944,32.21063943292017,67.08080942175334,300.0,0.0,1.0
NGC6503,21.29,116.0,2.0,0.16911837108433075,1.7573616087063204e-06,156.8127101925787,50.73551132529923,207.54822151787792,57.78012287975857,32.86577301868344,66.4733152183312,300.0,0.0,1.0
NGC6503,22.03,115.0,3.0,0.169118804053882,1.4391699271615321e-06,146.59945528824326,50.735641216164595,197.33509650440786,56.82944659241368,33.43211294537194,65.93399863493876,300.0,0.0,1.0
NGC6503,22.76,118.0,4.0,0.16912046969802055,9.47365983522408e-07,137.53993848857644,50.73614090940617,188.2760793979826,55.950058087548044,33.98167987457484,65.4611607527554,300.0,0.0,1.0
NGC6503,23.5,115.0,10.0,0.1691201698123254,-4.052509394125122e-07,128.8798170212766,50.73605094369761,179.61586796497423,55.03340530986612,34.52965677757157,64.96901490077323,300.0,0.0,1.0
