__primary_name__,__name_norm__,__catalog_norm__,__ra_deg__,__dec_deg__,__has_coords__
NGC4157,NGC4157,NGC4157,182.76824,50.48501,True
NGC4183,NGC4183,NGC4183,183.32012,43.69846,True
NGC4214,NGC4214,NGC4214,183.91305,36.328,True
NGC4217,NGC4217,NGC4217,183.96244,47.0916,True
NGC4389,NGC4389,NGC4389,186.39541,45.68503,True
NGC4559,NGC4559,NGC4559,188.99021,27.95993,True
NGC5005,NGC5005,NGC5005,197.73442,37.05903,True
NGC5033,NGC5033,NGC5033,198.36451,36.59384,True
NGC5055,NGC5055,NGC5055,198.95528,42.02935,True
NGC5371,NGC5371,NGC5371,208.91647,40.46174,True
NGC5585,NGC5585,NGC5585,214.95043,56.7294,True
NGC5907,NGC5907,NGC5907,228.97293,56.32874,True
NGC5985,NGC5985,NGC5985,234.90445,59.33208,True
NGC6015,NGC6015,NGC6015,237.85512,62.31005,True
NGC6195,NGC6195,NGC6195,,,False
NGC6503,NGC6503,NGC6503,267.36024,70.14434,True
NGC6674,NGC6674,NGC6674,,,False
NGC6789,NGC6789,NGC6789,,,False
NGC6946,NGC6946,NGC6946,,,False
NGC7331,NGC7331,NGC7331,,,False
NGC7793,NGC7793,NGC7793,359.45721,-32.59107,True
NGC7814,NGC7814,NGC7814,12.180299999999999,16.14534,True
PGC51017,PGC51017,PGC51017,,,False
UGC00128,UGC128,UGC128,,,False
UGC00191,UGC191,UGC191,75.3132,10.87959,True
UGC00634,UGC634,UGC634,230.30235000000002,7.62546,True
UGC00731,UGC731,UGC731,,,False
UGC00891,UGC891,UGC891,304.9425,12.41167,True
UGC01230,UGC1230,UGC1230,,,False
UGC01281,UGC1281,UGC1281,,,False
UGC02023,UGC2023,UGC2023,,,False
UGC02259,UGC2259,UGC2259,,,False
UGC02455,UGC2455,UGC2455,,,False
UGC02487,UGC2487,UGC2487,,,False
UGC02885,UGC2885,UGC2885,,,False
UGC02916,UGC2916,UGC2916,,,False
UGC02953,UGC2953,UGC2953,,,False
UGC03205,UGC3205,UGC3205,,,False
UGC03546,UGC3546,UGC3546,,,False
UGC03580,UGC3580,UGC3580,,,False
UGC04278,UGC4278,UGC4278,,,False
UGC04305,UGC4305,UGC4305,124.77008,70.72019,True
UGC04325,UGC4325,UGC4325,,,False
UGC04483,UGC4483,UGC4483,129.26163,69.77592,True
UGC04499,UGC4499,UGC4499,129.42241,51.65302,True
UGC05005,UGC5005,UGC5005,,,False
UGC05253,UGC5253,UGC5253,,,False
UGC05414,UGC5414,UGC5414,,,False
UGC05716,UGC5716,UGC5716,,,False
UGC05721,UGC5721,UGC5721,,,False
UGC05750,UGC5750,UGC5750,,,False
UGC05764,UGC5764,UGC5764,159.18245,31.54773,True
UGC05829,UGC5829,UGC5829,160.6758,34.44885,True
UGC05918,UGC5918,UGC5918,162.40275,65.53083,True
UGC05986,UGC5986,UGC5986,,,False
UGC05999,UGC5999,UGC5999,,,False
UGC06399,UGC6399,UGC6399,170.84669,50.89274,True
UGC06446,UGC6446,UGC6446,171.66855,53.74677,True
UGC06614,UGC6614,UGC6614,,,False
UGC06628,UGC6628,UGC6628,175.02492,45.94317,True
UGC06667,UGC6667,UGC6667,175.60879,51.59786,True
UGC06786,UGC6786,UGC6786,,,False
UGC06787,UGC6787,UGC6787,,,False
UGC06818,UGC6818,UGC6818,177.6956,45.80708,True
UGC06917,UGC6917,UGC6917,179.1198,50.42834,True
UGC06923,UGC6923,UGC6923,,,False
UGC06930,UGC6930,UGC6930,179.32252,49.28326,True
UGC06973,UGC6973,UGC6973,,,False
UGC06983,UGC6983,UGC6983,179.78991,52.70756,True
UGC07089,UGC7089,UGC7089,181.49115,43.14402,True
UGC07125,UGC7125,UGC7125,182.1747,36.80256,True
UGC07151,UGC7151,UGC7151,,,False
UGC07232,UGC7232,UGC7232,,,False
UGC07261,UGC7261,UGC7261,,,False
UGC07323,UGC7323,UGC7323,,,False
UGC07399,UGC7399,UGC7399,,,False
UGC07524,UGC7524,UGC7524,,,False
UGC07559,UGC7559,UGC7559,186.77327,37.14248,True
UGC07577,UGC7577,UGC7577,186.9237,43.49405,True
UGC07603,UGC7603,UGC7603,,,False
UGC07608,UGC7608,UGC7608,187.1868,43.22476,True
UGC07690,UGC7690,UGC7690,188.11232,42.70405,True
UGC07866,UGC7866,UGC7866,,,False
UGC08286,UGC8286,UGC8286,,,False
UGC08490,UGC8490,UGC8490,,,False
UGC08550,UGC8550,UGC8550,,,False
UGC08699,UGC8699,UGC8699,,,False
UGC08837,UGC8837,UGC8837,208.68976,53.90395,True
UGC09037,UGC9037,UGC9037,,,False
UGC09133,UGC9133,UGC9133,,,False
UGC09992,UGC9992,UGC9992,235.45098,67.25383,True
UGC10310,UGC10310,UGC10310,244.07449,47.04523,True
UGC11455,UGC11455,UGC11455,,,False
UGC11557,UGC11557,UGC11557,,,False
UGC11820,UGC11820,UGC11820,,,False
UGC11914,UGC11914,UGC11914,,,False
UGC12506,UGC12506,UGC12506,,,False
UGC12632,UGC12632,UGC12632,,,False
UGC12732,UGC12732,UGC12732,355.16605,26.23644,True
UGCA281,UGCA281,,,,False
UGCA442,UGCA442,,,,False
UGCA444,UGCA444,,,,False
