galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,sigma_scale,sigma_i,beta_i,source_core_i,info_source_i,I_struct_i,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
NGC2683,1,2.89,14.43,8.66,11.54,0.35,2.011652895387903,205.08057127289626,195.8,7.4,5,34.62,2.89,2.4831750476237224,0.4027102321912228,0.0,1.0,0.01165289538790315,0.01165289538790315,0.13447441277640235,7.711950389811624e-09,0.0002584288884311672,205.0805712730591,NGC2683_segment_structure_v8_3.csv
NGC2683,2,17.31,34.62,25.964999999999996,17.31,0.35000000000000003,2.002976747247724,122.61999609272766,162.5,10.333333333333334,6,34.62,2.89,2.4831750476237224,0.4027102321912228,0.00867614814017914,0.9786860281581582,0.01165289538790315,0.011404525903729455,0.3318867561699592,2.1172572233510946e-09,0.00023446659421826207,122.61999609295184,NGC2683_segment_structure_v8_3.csv
NGC2841,1,3.44,6.51,4.975,3.07,0.35,2.02544875488733,282.98789495077904,305.2,9.407,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0,1.0,0.025448754887329894,0.025448754887329894,0.07812767750410277,1.3576227244935053e-08,0.0002598879191950866,282.98789495089835,NGC2841_segment_structure_v8_3.csv
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,0.35,2.012785294331137,287.1012252081233,320.4,12.484,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.012663460556193051,0.9637252122127644,0.025448754887329894,0.024525606704342628,0.15342129008643463,9.362774940068591e-09,0.0002803577992884732,287.1012252082602,NGC2841_segment_structure_v8_3.csv
NGC2841,3,10.27,22.51,16.39,12.240000000000002,0.35,2.0054686459590885,255.45435211970735,313.3,7.552,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.007316648372048373,0.9788779595685487,0.012785294331136843,0.012515242827346566,0.3066078622931566,4.908917515871185e-09,0.00028364971017987787,255.45435211986484,NGC2841_segment_structure_v8_3.csv
NGC2841,4,24.59,43.08,33.835,18.49,0.35,2.0022427669919116,173.643980848759,284.1,3.818,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.003225878967176854,0.9906317825164029,0.0054686459590884695,0.005417414494402934,0.40677585629466684,1.5282104356882403e-09,0.00022739173268065754,173.6439808489079,NGC2841_segment_structure_v8_3.csv
NGC2841,5,45.16,63.64,54.4,18.480000000000004,0.35,2.0012665632435045,139.79052367963587,284.1,5.090000000000001,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0009762037484071229,0.9971557139423912,0.0022427669919116155,0.002236387921026056,0.44810430507522836,6.512409057164726e-10,0.00018822195746239629,139.79052367976257,NGC2841_segment_structure_v8_3.csv
NGC2998,1,0.33,2.64,1.485,2.31,0.35,2.055594555551112,106.16040290309387,135.75,16.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.0,1.0,0.055594555551111924,0.055594555551111924,0.12842342332306855,2.5046767817543274e-07,0.0006098725293784904,106.16040290484568,NGC2998_segment_structure_v8_3.csv
NGC2998,2,3.63,17.48,10.555,13.850000000000001,0.35,2.0056557873497147,209.6220323237375,208.25,8.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.0499387682013972,0.784780135356104,0.055594555551111924,0.04362950283046406,0.7326920375249958,2.8285597120240033e-08,0.0005464013887282256,209.62203232444963,NGC2998_segment_structure_v8_3.csv
NGC2998,3,22.46,42.28,32.370000000000005,19.82,0.35,2.0015612216528678,164.01718193338445,211.2,2.4,5,42.28,0.33,4.852976785523648,0.20605909407664674,0.0040945656968469635,0.9803252915181241,0.005655787349714725,0.005544511382373606,0.8425842531236407,3.4585040956125026e-09,0.0003345919568294742,164.01718193372574,NGC2998_segment_structure_v8_3.csv
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,0.35,2.0503854980944376,81.2176359373249,64.87777777777778,13.370000000000001,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0,1.0,0.0503854980944376,0.0503854980944376,0.12949073010270465,2.1619665026776658e-07,0.0005890633443694875,81.21763593946112,NGC3198_segment_structure_v8_3.csv
NGC3198,2,3.21,5.46,4.335,2.25,0.35,2.0158175600775765,116.00314163581649,118.625,5.38875,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.03456793801686109,0.843443535370595,0.0503854980944376,0.042497322644180824,0.2251097060521115,5.1520061400743494e-08,0.0004725880512372515,116.00314163677913,NGC3198_segment_structure_v8_3.csv
NGC3198,3,5.78,11.04,8.41,5.259999999999999,0.35,2.0073184714798185,136.86619416809776,145.66666666666666,1.9344444444444444,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.008499088597758053,0.9590023489274985,0.01581756007757651,0.015169077268697697,0.30489905248546134,1.8540627895069222e-08,0.0003948755254476177,136.8661941686674,NGC3198_segment_structure_v8_3.csv
NGC3198,4,12.05,26.1,19.075000000000003,14.05,0.35,2.0028452561508554,108.54440155319925,153.125,2.0,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.004473215328963054,0.9782083882602596,0.007318471479818456,0.007158990190801889,0.40548286466622785,4.792959590693769e-09,0.0003023668371241854,108.54440155362039,NGC3198_segment_structure_v8_3.csv
NGC3198,5,28.16,44.08,36.12,15.919999999999998,0.35,2.0013719533318914,83.49923046825627,148.33333333333334,2.2222222222222223,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0014733028189639619,0.9927696007259077,0.002845256150855402,0.0028246838128476504,0.45045183096676245,1.4849547775435841e-09,0.0002315956963435941,83.49923046857745,NGC3198_segment_structure_v8_3.csv
NGC3769,1,1.74,6.98,4.36,5.24,0.35,2.0239713525938265,126.80353346510815,108.625,6.875,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,2.8419157775114048e-08,0.00035200501118520637,126.80353346559673,NGC3769_segment_structure_v8_3.csv
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,0.35,2.0070632580267427,93.98851101146455,120.5,4.95,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.016908094567083864,0.9495552535941754,0.023971352593826545,0.022762123791226357,0.25763020558076394,8.20625255497794e-09,0.00030879872844434396,93.98851101197184,NGC3769_segment_structure_v8_3.csv
NGC3769,3,17.07,37.16,27.115,20.089999999999996,0.35,2.0025402906379273,63.51872460033542,118.5,11.575,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.004522967388815413,0.9862490438839301,0.00706325802674268,0.0069661314755804634,0.3975797869251754,2.325762874784534e-09,0.00025112359576468044,63.51872460083183,NGC3769_segment_structure_v8_3.csv
NGC3917,1,0.87,3.5,2.185,2.63,0.35,2.046092605687848,54.43461988407375,62.125,4.35,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.0,1.0,0.04609260568784812,0.04609260568784812,0.12122355295904055,1.0920549223320372e-07,0.0004884813205533556,54.434619886265494,NGC3917_segment_structure_v8_3.csv
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,0.35,2.0143245798426883,99.36390463229996,118.75,3.7,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.03176802584515981,0.9137889924670234,0.04609260568784812,0.04211891571167853,0.23115392296652154,3.086952104875909e-08,0.00041855051302287023,99.3639046331815,NGC3917_segment_structure_v8_3.csv
NGC3917,3,7.85,10.47,9.16,2.620000000000001,0.35,2.0080524301562024,110.84518004828477,135.75,3.725,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.006272149686485928,0.9823575296047566,0.014324579842688312,0.014071858866889383,0.26802219319777176,1.3738526760385819e-08,0.0003547462545611075,110.84518004885243,NGC3917_segment_structure_v8_3.csv
NGC3917,4,11.35,14.86,13.105,3.51,0.35,2.005255789250093,101.61509729949712,137.2,4.9,5,14.86,0.87,2.837935106623121,0.3523688747026732,0.0027966409061095376,0.9920947269213732,0.008052430156202384,0.007988773496871035,0.2960627881717891,7.414299561074177e-09,0.0003117120397865265,101.61509729997522,NGC3917_segment_structure_v8_3.csv
NGC4010,1,0.87,3.5,2.185,2.63,0.35,2.046092605687848,68.99372899137225,60.825,6.0249999999999995,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.0,1.0,0.04609260568784812,0.04609260568784812,0.12122355295904055,1.0920549223320372e-07,0.0004884813205533556,68.9937289931015,NGC4010_segment_structure_v8_3.csv
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,0.35,2.0143245798426883,101.36973526596431,110.075,5.550000000000001,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.03176802584515981,0.9240106003236765,0.04609260568784812,0.04259005625211105,0.23238359977705042,3.103373861296322e-08,0.00041966232452838356,101.36973526683299,NGC4010_segment_structure_v8_3.csv
NGC4010,3,7.85,10.47,9.16,2.620000000000001,0.35,2.0080524301562024,101.06352102974711,125.5,4.8,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.006272149686485928,0.9845174030285075,0.014324579842688312,0.014102798146198005,0.2693329309200892,1.3805713753593569e-08,0.000355612623486452,101.06352103037275,NGC4010_segment_structure_v8_3.csv
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,0.35000000000000003,2.016876790672674,221.90782079557766,194.85714285714286,5.0,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0,1.0,0.01687679067267389,0.01687679067267389,0.07408911105303839,5.395441586291106e-09,0.0002036270330546687,221.90782079567109,NGC4013_segment_structure_v8_3.csv
NGC4013,2,10.56,14.98,12.77,4.42,0.35000000000000003,2.008592696002884,180.49914362500803,182.0,7.142857142857143,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.008284094669789965,0.9857594417110317,0.01687679067267389,0.01663645575136896,0.1476222454740892,3.8934120370825874e-09,0.00022297728968113467,180.49914362514576,NGC4013_segment_structure_v8_3.csv
NGC4013,3,15.68,20.79,18.235,5.109999999999999,0.35,2.005427342656141,144.67868483384245,166.25,5.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0031653533467430606,0.994534556027942,0.008592696002883926,0.008545733104311238,0.19129094163711963,2.4742479800631808e-09,0.00021240977358975762,144.67868483399837,NGC4013_segment_structure_v8_3.csv
NGC4013,4,21.48,25.2,23.34,3.719999999999999,0.35000000000000003,2.0039693557617193,126.15143218923197,172.5,5.0,6,31.01,5.49,1.7313814775909184,0.5775734654337539,0.001457986894421559,0.9974788519419442,0.0054273426561408655,0.005413659521742932,0.21142975505800332,1.6692629645780917e-09,0.00019738439044983435,126.1514321893864,NGC4013_segment_structure_v8_3.csv
NGC4013,5,25.9,31.01,28.455,5.110000000000003,0.35,2.0030965427561047,114.36964773183456,177.5,6.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0008728130056145922,0.9984899689745498,0.0039693557617193065,0.00396336191136806,0.23168253442509412,1.2306554240933176e-09,0.0001871317720019114,114.36964773198765,NGC4013_segment_structure_v8_3.csv
NGC4068,1,0.21,2.33,1.27,2.12,0.35000000000000003,2.0593355510021163,22.163802660980462,24.763333333333335,2.9866666666666664,6,2.33,0.21,2.4065160158422776,0.4155384769587753,0.0,1.0,0.059335551002116294,0.059335551002116294,0.12579136812448655,3.354314297726365e-07,0.0006526851582587491,22.16380267059068,NGC4068_segment_structure_v8_3.csv
NGC4088,1,1.74,6.98,4.36,5.24,0.35,2.0239713525938265,206.23582623980633,140.475,8.925,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,2.8419157775114048e-08,0.00035200501118520637,206.23582624010672,NGC4088_segment_structure_v8_3.csv
NGC4088,2,8.72,13.94,11.33,5.219999999999999,0.35,2.007285148478932,228.6614531039015,176.5,6.625,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.016686204114894743,0.9589307779634051,0.023971352593826545,0.022986867791633177,0.24560133746397625,8.22870063007621e-09,0.0003053378098741842,228.66145310410536,NGC4088_segment_structure_v8_3.csv
NGC4088,3,15.68,21.48,18.58,5.800000000000001,0.35,2.0039955230193893,176.15766912675343,169.5,6.975,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.003289625459542478,0.9917664737510289,0.007285148478931802,0.007225166017702865,0.2875073003666529,3.581935919672244e-09,0.000257977459068637,176.15766912694235,NGC4088_segment_structure_v8_3.csv
NGC4157,1,1.74,6.98,4.36,5.24,0.35,2.0239713525938265,215.8670910476772,161.6,9.475,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0,1.0,0.023971352593826545,0.023971352593826545,0.1256098875916511,2.8419157775114048e-08,0.00035200501118520637,215.8670910479642,NGC4157_segment_structure_v8_3.csv
NGC4157,2,8.72,13.94,11.33,5.219999999999999,0.35,2.007285148478932,227.09331741195047,192.75,6.525,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.016686204114894743,0.953808376695676,0.023971352593826545,0.022864076904717378,0.24496036903427576,8.207225432197417e-09,0.00030493911547519896,227.0933174121552,NGC4157_segment_structure_v8_3.csv
NGC4157,3,15.68,20.9,18.29,5.219999999999999,0.35,2.004071992516984,173.7702629094548,182.5,6.699999999999999,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0032131559619479333,0.9909345279590299,0.007285148478931802,0.00721910516908173,0.2826440980168824,3.633899105032461e-09,0.0002578061570852095,173.77026290964605,NGC4157_segment_structure_v8_3.csv
NGC4157,4,22.65,29.61,26.13,6.960000000000001,0.35,2.002654873270447,143.6010859755771,185.2,10.84,5,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0014171192465370908,0.995991617426219,0.004071992516983869,0.004055670413138224,0.3108715640923244,1.958224741815839e-09,0.00022620436004561865,143.60108597575524,NGC4157_segment_structure_v8_3.csv
NGC4183,1,0.87,4.37,2.62,3.5,0.35,2.036824330139482,55.05702458827953,74.28,6.24,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0,1.0,0.036824330139482164,0.036824330139482164,0.12888515548818757,8.075337306839647e-08,0.00045997156155484087,55.05702459020094,NGC4183_segment_structure_v8_3.csv
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,0.35,2.012057522595498,78.4315719271537,105.075,5.2,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.024766807543984193,0.9241547395564731,0.036824330139482164,0.03403137922939472,0.21770705527690776,2.185815777615288e-08,0.0003782349040542406,78.43157192806572,NGC4183_segment_structure_v8_3.csv
NGC4183,3,8.72,12.31,10.515,3.59,0.35,2.0068292377466848,83.77962206637491,112.2,5.72,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.005228284848813214,0.9834871476214405,0.012057522595497971,0.011858418504827368,0.260278777709238,1.012466259474838e-08,0.00032628335413223153,83.77962206701028,NGC4183_segment_structure_v8_3.csv
NGC4183,4,13.12,16.03,14.575,2.910000000000002,0.35,2.0046337061736925,72.17567239808223,109.25,4.925,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0021955315729922376,0.993032199090336,0.006829237746684758,0.006781652977701096,0.2800133878743482,5.669203204776443e-09,0.0002874519728748033,72.17567239865464,NGC4183_segment_structure_v8_3.csv
NGC4183,5,16.95,21.02,18.985,4.07,0.35,2.0033920237197615,64.2317986909034,110.8,7.359999999999999,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.00124168245393097,0.9960533771185925,0.00463370617369252,0.0046154186828817065,0.29879814191367676,3.5654721147149954e-09,0.0002601739573782591,64.23179869143033,NGC4183_segment_structure_v8_3.csv
NGC4389,1,0.87,5.32,3.095,4.45,0.35000000000000003,2.0299963451851553,129.41212209049402,73.10000000000001,6.583333333333333,6,5.32,0.87,1.8107353706870606,0.5522618137296135,0.0,1.0,0.02999634518515526,0.02999634518515526,0.1334837360739409,5.99331910416533e-08,0.00043068924559816555,129.4121220912107,NGC4389_segment_structure_v8_3.csv
NGC5907,1,5.03,15.1,10.065,10.07,0.35,2.0114086786106196,214.54029707471642,226.8,4.4,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0,1.0,0.01140867861061956,0.01140867861061956,0.11488539360893897,4.877503758867132e-09,0.00022156731557925613,214.54029707483082,NGC5907_segment_structure_v8_3.csv
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,0.35,2.0043292669740147,208.05811317104434,228.0,4.5,4,50.33,5.03,2.3031813366766207,0.4341820524835234,0.00707941163660486,0.9838270409654284,0.01140867861061956,0.011224166518811416,0.19962785082596518,1.877426642893801e-09,0.00020037157672255794,208.05811317114083,NGC5907_segment_structure_v8_3.csv
NGC5907,3,27.68,37.75,32.715,10.07,0.35,2.002548894819335,174.22505643645147,217.0,2.0,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0017803721546796325,0.9959078757333727,0.0043292669740147005,0.004311551075573627,0.24304517015699162,9.766827121600943e-10,0.000178751713077994,174.22505643654316,NGC5907_segment_structure_v8_3.csv
NGC5907,4,40.26,50.33,45.295,10.07,0.35,2.001710400475847,148.05471556378245,215.8,3.6,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0008384943434882608,0.9980706590527818,0.002548894819335068,0.0025439771321899727,0.26866301987814467,5.632065783293763e-10,0.00015971988594232436,148.0547155638686,NGC5907_segment_structure_v8_3.csv
NGC5985,1,3.54,8.02,5.779999999999999,4.4799999999999995,0.35000000000000003,2.0210504730424197,171.006515332304,254.42857142857142,6.155714285714285,7,34.72,3.54,2.283189162646466,0.437983858876104,0.0,1.0,0.021050473042419693,0.021050473042419693,0.09430611923004022,1.2140723029467807e-08,0.00026490258418959207,171.00651533250917,NGC5985_segment_structure_v8_3.csv
NGC5985,2,8.79,12.56,10.675,3.7700000000000014,0.35000000000000003,2.009470764838885,212.8164177014081,298.6666666666667,9.28,6,34.72,3.54,2.283189162646466,0.437983858876104,0.011579708203534711,0.973907777341355,0.021050473042419693,0.020501219412727076,0.17159571641602134,6.476360712258216e-09,0.0002629356396598918,212.81641770157054,NGC5985_segment_structure_v8_3.csv
NGC5985,3,13.39,17.89,15.64,4.5,0.35000000000000003,2.0058421586359128,228.5514375976832,294.42857142857144,6.645714285714286,7,34.72,3.54,2.283189162646466,0.437983858876104,0.003628606202972229,0.9917494299715796,0.009470764838884982,0.00939262563035906,0.21386253175263711,3.760291915935574e-09,0.00024250972262000628,228.55143759781186,NGC5985_segment_structure_v8_3.csv
NGC5985,4,18.72,22.52,20.619999999999997,3.8000000000000007,0.35000000000000003,2.0041408429041057,217.7049921384439,290.5,4.056666666666667,6,34.72,3.54,2.283189162646466,0.437983858876104,0.001701315731807096,0.9961231089811283,0.005842158635912753,0.0058195092235663595,0.2359766668021893,2.3869982201045106e-09,0.00022185559109149131,217.70499213855695,NGC5985_segment_structure_v8_3.csv
NGC5985,5,23.23,34.72,28.975,11.489999999999998,0.35000000000000003,2.0027258343635554,203.18735566590126,291.85714285714283,4.497142857142857,7,34.72,3.54,2.283189162646466,0.437983858876104,0.001415008540550211,0.9967744810346624,0.004140842904105657,0.004127486536785981,0.2834014871098602,1.4518294116279988e-09,0.0002051018215470581,203.18735566600478,NGC5985_segment_structure_v8_3.csv
