galaxy,n_points,n_segments,mean_Dw_i,mean_beta_i,mean_delta_sigma_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC2683,10,2,2.0056446976276012,0.9920281812959142,0.003236200470222661,0.0012827580292257084,34.69083060476303,34.690830602636744,30.871646941735946,30.871646939447203,15.1749967952912,15.174996794705761,2.1262849259073846e-09,2.288743417011574e-09
IC4202,28,5,2.0105036103106046,0.9809472654785175,0.0055817673421212355,0.0020691054648245963,37.32068988815855,37.32068989781429,25.941003196887227,25.941003197713247,68.3607217596409,68.36072181378832,-9.655742871927941e-09,-8.260201411758317e-10
NGC2998,11,3,2.0291005879723376,0.8941289892221348,0.025526263919043224,0.0021531039838761086,37.33173037461076,37.331730293121694,31.907527665370004,31.907527592831112,200.42843511566008,200.42843505804066,8.148906260885269e-08,7.253889222624821e-08
UGC05721,18,5,2.081138129307593,0.8786925930671581,0.045145922715440975,0.004627080828520995,37.70865004362226,37.70864979412459,34.50147014985871,34.501469808930786,71.9269365503235,71.92693562543548,2.4949766697091036e-07,3.4092792589035525e-07
UGC08490,26,5,2.0339794974572967,0.9406350595860209,0.01930566028955294,0.003260611182837654,38.11435670120881,38.11435656175927,36.39149888289967,36.391498706214804,110.95778925072966,110.957788438804,1.3944953991540388e-07,1.766848640727403e-07
NGC2403,69,5,2.0463070507485495,0.8776160135680475,0.03072318139826278,0.0032262007826302586,38.14020035207019,38.14020033007793,26.9481844126792,26.94818440371842,2117.2026111001674,2117.2026073778475,2.1992256904468377e-08,8.960778785649381e-09
NGC3198,39,5,2.021193597626808,0.9376982222199745,0.013886292766806464,0.002375499279606325,38.233093369686515,38.23309338081027,28.66609111276689,28.666091125459314,308.0344533964537,308.0344532289528,-1.1123752585717739e-08,-1.269242488888267e-08
UGC05986,13,3,2.028310307788724,0.9582033226155277,0.016214972539602506,0.002736004142468078,39.21030770006691,39.210307654506465,35.005928290617334,35.005928265487775,159.98877964927615,159.98877927537092,4.556044785886115e-08,2.5129558878234093e-08
NGC4013,32,5,2.004875604190952,0.9972052091414596,0.0016188248508528069,0.0016585276688781756,39.77498515690112,39.774985149188474,33.98487619687046,33.984876190120495,63.22861127015683,63.228611250265466,7.712642968726868e-09,6.7499641431822965e-09
NGC3769,10,3,2.009661308567933,0.9817987982525299,0.006055021684538382,0.0016980888095760448,41.03929160632841,41.039291601380114,37.68828076383251,37.688280760151855,26.748521752640777,26.748521740934752,4.948297771534271e-09,3.6806540038014646e-09
NGC4157,14,4,2.008228987485741,0.9874051599513569,0.004515888782672728,0.0017596202016311882,41.47400894099612,41.4740089439883,36.94523856803081,36.94523856945458,22.518587028159978,22.518587031636248,-2.992180725414073e-09,-1.4237713230613736e-09
NGC5907,16,4,2.003383627996543,0.9964705996682697,0.0015384257979310645,0.0012672970253796813,44.87186077341752,44.871860769032786,38.15277312787822,38.15277312297506,278.20567368565906,278.20567362895446,4.384730800666148e-09,4.903156991531432e-09
UGC06667,8,2,2.030859247406621,0.9633263438692521,0.017314594789537896,0.002619737176504328,45.17688884804951,45.17688863024009,43.819180397494996,43.819180064965735,214.57156548510218,214.57156362267028,2.1780941494853323e-07,3.3252926101567937e-07
NGC4088,10,3,2.0101527419209506,0.986070114243057,0.005627425425047387,0.0018031400173558303,47.03169137242292,47.03169138211039,40.29237110232917,40.292371110349684,46.15742119320178,46.157421208357036,-9.68746860507963e-09,-8.020514030704362e-09
NGC4389,6,1,2.0312133903734235,1.0,0.0,0.0023944479536469345,57.39781645079807,57.39781649007611,56.31212209049402,56.31212212845571,95.84293762891839,95.84293777128951,-3.9278042152091075e-08,-3.7961690679821913e-08
ESO563-G021,26,5,2.010702123262348,0.9690806775539592,0.007175573360126997,0.001844992529377565,64.78208319473143,64.78208320234818,57.10482145811693,57.10482146926957,67.4922502885804,67.49225029858438,-7.616748121108685e-09,-1.1152636147926387e-08
UGC12506,27,5,2.005551494969026,0.9868275897110838,0.003274762512643825,0.0015171931759105088,78.6664731901264,78.66647317091518,77.98599478458165,77.98599476444652,36.1241909455634,36.12419093598639,1.9211213952985418e-08,2.0135132672294276e-08
NGC5985,29,5,2.0062111337830606,0.9943843564713843,0.002474660420160468,0.0017806727993764891,80.13422110229563,80.13422109410823,79.36502297396683,79.3650229656515,253.88130843550564,253.88130838479748,8.187399203052337e-09,8.315325317198585e-09
NGC2841,46,5,2.0067100017204362,0.9905231370529796,0.0032766462391135677,0.0016706967538141853,88.77406175651149,88.77406175137416,74.28523701151788,74.28523700526897,412.3645809600969,412.3645809177538,5.137323455528531e-09,6.248910722206347e-09
