galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_DeltaD_i,std_DeltaD_i,mean_delta_v_i,M_gal,R_gal,propagation_term_mean,propagation_source_mean,ell_info_kpc,density_ref_gal_msun_per_kpc3
UGC04278,25,5,2.51498757826277,0.13012459440714066,0.5052125089063548,0.04286419427510356,0.36461303264705647,0.18231171747869393,-0.3654623369790711,0.15683571466094118,0.5039958650759315,2.0,31383623.388630666
UGC05721,23,5,2.3963527282698665,0.1966704196372869,0.5001632501318144,0.054723490146268004,0.4341673197665485,0.22581729389004093,0.8718086379330057,0.11302052234082163,0.44110928669978955,2.0,338250959.87158346
UGC05750,11,2,2.2002487898092395,0.1932360320039792,0.37731814027689675,0.12397400854718248,0.3282843652183315,0.13169590061240286,0.6563002438792118,0.3304130360292355,0.5,10.905000000000001,8696545.294549238
UGC05986,15,3,2.188879812817919,0.053765618297356266,0.4835607240985029,0.046482742335541234,0.3340296284544621,0.16709419036011017,0.978268999426346,0.18414415338313933,0.49668403690983165,2.51,280998407.210728
UGC06667,9,2,2.3504146211299335,0.10136600556891029,0.4968712413884173,0.04777881537469665,0.6643232861368441,0.3275110030007923,-0.9665669339205497,0.2837701475789573,0.5,3.0549999999999997,5283780.848382281
UGC06917,11,2,2.1740266272968984,0.07270884445441439,0.49653863745354715,0.043912684341710945,0.287385999000979,0.14582091135225347,0.7739347276398181,0.2705498187087654,0.5,3.93,130149362.79198126
UGC07089,12,3,2.3338375871639054,0.07698665255659609,0.49787051754547745,0.010155672217752628,0.17362566698812187,0.08539751382076005,-0.971418913422545,0.17468267572242455,0.49072023639210216,2.1799999999999997,33142347.834162552
UGC08490,30,5,2.222434101871907,0.08362784794122322,0.4931161923617131,0.04922329204686057,0.47742093590852785,0.23224128135359176,-0.5615407237204351,0.13511962520093893,0.510451464798294,2.0,141319636.07975358
UGC08837,8,2,2.241079153589413,0.01627559377506227,0.49723640045539835,0.03020335147098174,0.22134213727346225,0.10988887443184114,-0.03218074736621457,0.269887416608399,0.5,2.0,115412041.66949572
UGC12506,31,5,2.092870371169788,0.021903421893353904,0.49519361376228777,0.05679796253956299,0.3496857426105141,0.1716378792287211,-0.3294359271800382,0.12478164125020011,0.5114695952484164,8.200000000000001,399782756.29640204
UGCA281,7,1,2.9796012274239456,0.0,0.0,0.0,0.2810938055873572,0.0,,0.0,0.0,0.9900000000010001,18274882.84595335
