galaxy,segment_index,r_left_kpc,r_right_kpc,r_mid_kpc,dr_kpc,h_i_kpc,shell_geom_kpc3,Dw_i,v_vis_segment_kms,v_obs_segment_kms,v_err_segment_kms,n_points,r_max_gal_kpc,r_min_gal_kpc,r_scale,L_static,delta_sigma_i,beta_i,rho_struct_proxy_i,delta_m_struct_msun,M_struct_i_msun,g_topo_km2s2_per_kpc,v_struct_kms,v_topo_total_segment_kms,source_file
IC4202,4,14.98,18.65,16.814999999999998,3.669999999999998,0.35000000000000003,135.70968692771862,2.0040198358658246,229.03959164474358,245.83333333333334,9.143333333333334,6,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0015374304723487775,0.9946095782870077,3.9944470541453243,54208515916.74099,134547475191.39987,2046.6433276415946,185.51093648163553,294.7430102565357,IC4202_segment_structure_v8_1.csv
IC4202,5,19.62,25.9,22.759999999999998,6.279999999999998,0.35000000000000003,314.32564410591334,2.00281171125036,205.63923030792338,241.71428571428572,12.457142857142857,7,25.9,0.77,3.5156077328398996,0.2844458415137807,0.0012081246154647118,0.9957617147490414,3.994253908873773,125549643262.93109,260097118454.33096,2159.490908670703,221.698022276576,302.38635240860384,IC4202_segment_structure_v8_1.csv
NGC0100,1,0.23,1.59,0.91,1.36,0.35,2.72162454765791,2.147365018786542,27.599172151429467,25.6275,5.07,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.0,1.0,4.611176523908125,1254989122.1052225,1254989122.1052225,6518.047657473217,77.01573455015948,81.81159863824242,NGC0100_segment_structure_v8_1.csv
NGC0100,2,2.05,3.42,2.735,1.37,0.35,8.239973415357793,2.036394843871562,51.73566053421866,58.800000000000004,4.0,4,9.62,0.23,3.733520234736557,0.26784373382954535,0.11097017491497985,0.6607964735035364,2.740259512822778,2257966553.684099,3512955675.789322,2019.8464879811843,74.32550130761675,90.55859272062729,NGC0100_segment_structure_v8_1.csv
NGC0100,3,3.88,5.7,4.79,1.8200000000000003,0.35,19.17144350482557,2.0182270774712574,55.162498029489754,76.9,4.388,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.018167766400304597,0.9344195697484152,3.8061156693534777,7296873152.784157,10809828828.573479,2026.3205315135465,98.51941608611924,112.91136583534605,NGC0100_segment_structure_v8_1.csv
NGC0100,4,6.16,7.52,6.84,1.3599999999999994,0.3499999999999999,20.45704605052757,2.01181042293064,50.06994501779251,82.6,5.423333333333333,3,9.62,0.23,3.733520234736557,0.26784373382954535,0.006416654540617461,0.976327974504123,3.951571467379653,8083747948.013636,18893576776.587112,1736.85008408979,108.99566310259397,119.94604607597087,NGC0100_segment_structure_v8_1.csv
NGC0100,5,7.98,9.62,8.8,1.6399999999999988,0.35,31.737625623625505,2.0087110171558122,46.49011326914392,88.84,8.472,5,9.62,0.23,3.733520234736557,0.26784373382954535,0.0030994057748277015,0.9884950003728824,3.98849819791784,12658546260.60214,31552123037.189255,1752.3610729839568,124.18042294282469,132.59754173451577,NGC0100_segment_structure_v8_1.csv
NGC2403,1,0.16,1.57,0.865,1.4100000000000001,0.3499999999999999,2.6821504359655535,2.157478798170028,67.7444087710755,67.01333333333334,1.6440000000000003,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0,1.0,4.654714764553189,1248464523.5041635,1248464523.5041635,7176.36212875043,78.7880272717189,103.90793117520766,NGC2403_segment_structure_v8_1.csv
NGC2403,2,1.67,2.98,2.325,1.31,0.35,6.697954077269779,2.0445695301072164,103.12050731849263,97.4,1.6521428571428576,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.11290926806281165,0.576967640008232,2.4118773797796598,1615464392.9769924,2863928916.481156,2278.6450255396862,72.78632896622669,126.22079350884728,NGC2403_segment_structure_v8_1.csv
NGC2403,3,3.08,6.46,4.77,3.38,0.3499999999999999,35.45544920173675,2.018320670371988,102.2789615368371,113.33333333333333,3.049333333333334,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.026248859735228613,0.8799805990887772,3.584705097129185,12709732947.447062,15573661863.928217,2943.8409190559228,118.49945647089167,156.5346835591095,NGC2403_segment_structure_v8_1.csv
NGC2403,4,6.96,13.42,10.19,6.46,0.35,144.76201337144172,2.007303363914798,81.8632729073081,128.64285714285714,1.542142857142857,14,20.87,0.16,4.87089418483742,0.20530111352303537,0.01101730645718968,0.9477503702204091,3.8187390964730192,55280836014.56745,70854497878.49567,2934.8060883507837,172.93257079074053,191.3302628738875,NGC2403_segment_structure_v8_1.csv
NGC2403,5,13.91,20.87,17.39,6.960000000000001,0.3499999999999999,266.1685473101539,2.003862891178714,66.5174223471972,134.26666666666668,4.1066666666666665,15,20.87,0.16,4.87089418483742,0.20530111352303537,0.0034404727360839438,0.9833814585228192,3.948735290284607,105102913592.73927,175957411471.23492,2502.4692813903575,208.60954149649606,218.95777738891516,NGC2403_segment_structure_v8_1.csv
NGC2683,1,2.89,14.43,8.66,11.54,0.35,219.77162204634766,2.0088808980978237,205.08057127289626,195.8,7.4,5,34.62,2.89,2.4831750476237224,0.4027102321912228,0.0,1.0,4.035602462742318,88691089917.11145,88691089917.11145,5086.330338518576,209.8752504026401,293.43766194063835,NGC2683_segment_structure_v8_1.csv
NGC2683,2,17.31,34.62,25.964999999999996,17.31,0.35000000000000003,988.4012990358115,2.0024084971573783,122.61999609272766,162.5,10.333333333333334,6,34.62,2.89,2.4831750476237224,0.4027102321912228,0.006472400940445322,0.9840563625918283,3.9457115465470944,389994641822.7749,478685731739.88635,3053.754946227396,281.58612746155364,307.1260500520509,NGC2683_segment_structure_v8_1.csv
NGC2841,1,3.44,6.51,4.975,3.07,0.35,33.587630997508214,2.017401371616038,282.98789495077904,305.2,9.407,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0,1.0,4.069908294198271,13669857797.922962,13669857797.922962,2375.4078170415837,108.70903315631998,303.1498022075143,NGC2841_segment_structure_v8_1.csv
NGC2841,2,6.86,9.93,8.395,3.0699999999999994,0.35,56.67701753247867,2.0092198141819666,287.1012252081233,320.4,12.484,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.00818155743407134,0.9764107713520567,3.9417353886885658,22340580573.309345,36010438371.23231,2197.5935007006533,135.82635030943732,317.6096833448054,NGC2841_segment_structure_v8_1.csv
NGC2841,3,10.27,22.51,16.39,12.240000000000002,0.35,441.172348379141,2.004143677095796,255.45435211970735,313.3,7.552,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.005076137086170718,0.9852981391953438,3.9575405037370754,174595743783.9254,210606182155.1577,3371.891277672844,235.08572487724115,347.1631087226253,NGC2841_segment_structure_v8_1.csv
NGC2841,4,24.59,43.08,33.835,18.49,0.35,1375.7863767609883,2.00176700528791,173.643980848759,284.1,3.818,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.0023766718078856996,0.9930894053002588,3.979379898853852,547477665279.96497,758083847435.1227,2848.0344367779417,310.4242986114033,355.69014219315363,NGC2841_segment_structure_v8_1.csv
NGC2841,5,45.16,63.64,54.4,18.480000000000004,0.35,2210.7965556359636,2.00101814042047,139.79052367963587,284.1,5.090000000000001,10,63.64,3.44,2.917770732084279,0.3427274079501306,0.00074886486744008,0.9978173694172384,3.995334184800537,883287105437.1647,1641370952872.2874,2385.4444018023996,360.23350129888047,386.4059600584304,NGC2841_segment_structure_v8_1.csv
NGC2998,1,0.33,2.64,1.485,2.31,0.35,7.543733651469222,2.07843948103102,106.16040290309387,135.75,16.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.0,1.0,4.319910676308495,3258825554.020956,3258825554.020956,6355.775675291305,97.15105186156035,143.90398890355615,NGC2998_segment_structure_v8_1.csv
NGC2998,2,3.63,17.48,10.555,13.850000000000001,0.35,321.48145389651734,2.0070015936121033,209.6220323237375,208.25,8.75,4,42.28,0.33,4.852976785523648,0.20605909407664674,0.07143788741891655,0.7070270106270917,2.847943965812623,91556116674.52554,94814942228.5465,3660.3335637641712,196.5574235828574,287.3607788148287,NGC2998_segment_structure_v8_1.csv
NGC2998,3,22.46,42.28,32.370000000000005,19.82,0.35,1410.8935961250384,2.00186068927389,164.01718193338445,211.2,2.4,5,42.28,0.33,4.852976785523648,0.20605909407664674,0.005140904338213126,0.9753599570393128,3.908702572254921,551476342835.1934,646291285063.7399,2652.7923445818524,293.0373494865707,335.8162059274143,NGC2998_segment_structure_v8_1.csv
NGC3198,1,0.32,2.89,1.605,2.5700000000000003,0.35,9.0710189200119,2.0710688503534804,81.2176359373249,64.87777777777778,13.370000000000001,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0,1.0,4.289326182904487,3890855895.9229026,3890855895.9229026,6496.140771667112,102.10928429151639,130.47072593410968,NGC3198_segment_structure_v8_1.csv
NGC3198,2,3.21,5.46,4.335,2.25,0.35,21.44961654146601,2.0205990946269816,116.00314163581649,118.625,5.38875,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.05046975572649881,0.7799029608086534,3.184203953322496,6829995378.858768,10720851274.781672,2453.643273014304,103.13362006890385,155.22007749610327,NGC3198_segment_structure_v8_1.csv
NGC3198,3,5.78,11.04,8.41,5.259999999999999,0.35,97.28136430585315,2.009199993354531,136.86619416809776,145.66666666666666,1.9344444444444444,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.011399101272450807,0.9454014806341198,3.8164766905589893,37127205929.90658,47848057204.68825,2909.59587083798,156.42794275239768,207.8510437303764,NGC3198_segment_structure_v8_1.csv
NGC3198,4,12.05,26.1,19.075000000000003,14.05,0.35,589.3710284941609,2.0034626632795995,108.54440155319925,153.125,2.0,8,44.08,0.32,4.925440448033024,0.20302752830954443,0.005737330074931268,0.972136669800972,3.9020230629556045,229973934582.20807,277821991786.8963,3283.9601770514882,250.28292066630743,272.8065752246439,NGC3198_segment_structure_v8_1.csv
NGC3198,5,28.16,44.08,36.12,15.919999999999998,0.35,1264.55789616156,2.001637386519448,83.49923046825627,148.33333333333334,2.2222222222222223,9,44.08,0.32,4.925440448033024,0.20302752830954443,0.0018252767601514286,0.9910499998561274,3.970693584103317,502117192501.5895,779939184288.4858,2571.1393278543283,304.7450615220833,315.97733148263865,NGC3198_segment_structure_v8_1.csv
NGC3769,1,1.74,6.98,4.36,5.24,0.35,50.2418576806817,2.02045422031826,126.80353346510815,108.625,6.875,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0,1.0,4.0822352564018685,20509908277.120384,20509908277.120384,4640.353800613891,142.23903321759667,190.55466058302895,NGC3769_segment_structure_v8_1.csv
NGC3769,2,8.72,14.52,11.620000000000001,5.799999999999999,0.35,148.21154493693635,2.0062405501208933,93.98851101146455,120.5,4.95,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.014213670197366746,0.9574201190388024,3.853617075328756,57115054032.983315,77624962310.1037,2472.575154188043,169.5031660225409,193.81734569902991,NGC3769_segment_structure_v8_1.csv
NGC3769,3,17.07,37.16,27.115,20.089999999999996,0.35,1197.9465971717525,2.002289155264645,63.51872460033542,118.5,11.575,4,37.16,1.74,3.0613478007192,0.3266535085510607,0.0039513948562484025,0.9879762757187875,3.9609568044714965,474501472546.0928,552126434856.1965,3229.830103554419,295.9338494628116,302.67387008582574,NGC3769_segment_structure_v8_1.csv
NGC3917,1,0.87,3.5,2.185,2.63,0.35,12.637323484440497,2.048173842196159,54.43461988407375,62.125,4.35,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.0,1.0,4.195016087856576,5301377532.467561,5301377532.467561,4775.800814407585,102.15245850923301,115.75082125585187,NGC3917_segment_structure_v8_1.csv
NGC3917,2,4.37,6.98,5.675000000000001,2.6100000000000003,0.35,32.57273949076604,2.014818524058862,99.36390463229996,118.75,3.7,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.03335531813729675,0.9096819661219383,3.692848196730993,12028618229.106377,17329995761.573936,2314.339562449446,114.60312830329113,151.68079166683373,NGC3917_segment_structure_v8_1.csv
NGC3917,3,7.85,10.47,9.16,2.620000000000001,0.35,52.77699728842253,2.008300668148807,110.84518004828477,135.75,3.725,4,14.86,0.87,2.837935106623121,0.3523688747026732,0.006517855910054937,0.9816727721197691,3.959352886453127,20896275655.224457,38226271416.79839,1959.4371889268698,133.97180543147923,173.88242749198895,NGC3917_segment_structure_v8_1.csv
NGC3917,4,11.35,14.86,13.105,3.51,0.35,101.15609472904792,2.0054059113354863,101.61509729949712,137.2,4.9,5,14.86,0.87,2.837935106623121,0.3523688747026732,0.0028947568133208534,0.9918185199962348,3.9887497966877095,40348635228.42126,78574906645.21965,1967.7511633547756,160.5844917660617,190.0342258514255,NGC3917_segment_structure_v8_1.csv
NGC4010,1,0.87,3.5,2.185,2.63,0.35,12.637323484440497,2.048173842196159,68.99372899137225,60.825,6.0249999999999995,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.0,1.0,4.195016087856576,5301377532.467561,5301377532.467561,4775.800814407585,102.15245850923301,123.26905296795094,NGC4010_segment_structure_v8_1.csv
NGC4010,2,4.37,6.98,5.675000000000001,2.6100000000000003,0.35,32.57273949076604,2.014818524058862,101.36973526596431,110.075,5.550000000000001,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.03335531813729675,0.9203690362498174,3.7362322904251024,12169932107.300497,17471309639.76806,2333.211367355076,115.0694334292998,153.35187555955014,NGC4010_segment_structure_v8_1.csv
NGC4010,3,7.85,10.47,9.16,2.620000000000001,0.35,52.77699728842253,2.008300668148807,101.06352102974711,125.5,4.8,4,10.47,0.87,2.4877760922159533,0.4019654353657139,0.006517855910054937,0.9839157887747766,3.968399581767075,20944021396.629803,38415331036.39786,1969.128179856337,134.30269590549568,168.08048491842882,NGC4010_segment_structure_v8_1.csv
NGC4013,1,5.49,9.88,7.6850000000000005,4.390000000000001,0.35000000000000003,74.19186781513984,2.0102575091471375,221.90782079557766,194.85714285714286,5.0,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0,1.0,4.041135253082453,29981937251.97951,29981937251.97951,2183.3949522096027,129.53528557011327,256.9483822443197,NGC4013_segment_structure_v8_1.csv
NGC4013,2,10.56,14.98,12.77,4.42,0.35000000000000003,124.12551954854108,2.0055754384806637,180.49914362500803,182.0,7.142857142857143,7,31.01,5.49,1.7313814775909184,0.5775734654337539,0.004682070666473859,0.991926318234939,3.9898578041381385,49524317286.344765,79506254538.32428,2096.9103094776897,163.6384571304377,243.6339169766627,NGC4013_segment_structure_v8_1.csv
NGC4013,3,15.68,20.79,18.235,5.109999999999999,0.35,204.91539167067666,2.0036519866949285,144.67868483384245,166.25,5.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.001923451785735164,0.9966753102665654,4.001273913620701,81992261119.12473,161498515657.449,2088.8985789335784,195.1693254250109,242.9464703018015,NGC4013_segment_structure_v8_1.csv
NGC4013,4,21.48,25.2,23.34,3.719999999999999,0.35000000000000003,190.93770768058212,2.0027297017391583,126.15143218923197,172.5,5.0,6,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0009222849557701807,0.998404447160553,4.004526613448089,76461513191.76627,237960028849.21527,1878.7226192404053,209.4024496825934,244.46588673364116,NGC4013_segment_structure_v8_1.csv
NGC4013,5,25.9,31.01,28.455,5.110000000000003,0.35,319.7624058123997,2.0021633848928735,114.36964773183456,177.5,6.125,8,31.01,5.49,1.7313814775909184,0.5775734654337539,0.0005663168462848311,0.9990199700452411,4.004729614671889,128056197621.56477,366016226470.78,1944.2115286340947,235.20743833323633,261.5395866204332,NGC4013_segment_structure_v8_1.csv
NGC4068,1,0.21,2.33,1.27,2.12,0.35000000000000003,5.920896842367612,2.095770010174564,22.163802660980462,24.763333333333335,2.9866666666666664,6,2.33,0.21,2.4065160158422776,0.4155384769587753,0.0,1.0,4.392251935547093,2600607061.6063814,2600607061.6063814,6934.699558145887,93.84598253971917,96.42770653313372,NGC4068_segment_structure_v8_1.csv
NGC4088,1,1.74,6.98,4.36,5.24,0.35,50.2418576806817,2.02045422031826,206.23582623980633,140.475,8.925,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.0,1.0,4.0822352564018685,20509908277.120384,20509908277.120384,4640.353800613891,142.23903321759667,250.52975590833947,NGC4088_segment_structure_v8_1.csv
NGC4088,2,8.72,13.94,11.33,5.219999999999999,0.35,130.06137037193974,2.006432061401473,228.6614531039015,176.5,6.625,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.014022158916787042,0.9653727229629177,3.886368177203752,50546637089.70176,71056545366.82214,2380.6997375035467,164.23558696553917,281.53043913847563,NGC4088_segment_structure_v8_1.csv
NGC4088,3,15.68,21.48,18.58,5.800000000000001,0.35,236.98541350501532,2.003571944043118,176.15766912675343,169.5,6.975,4,21.48,1.74,2.513237156414226,0.3978932101365058,0.0028601173583551187,0.9928376197662533,3.9855485881528256,94451688020.77274,165508233387.59488,2061.9994185068867,195.7343842963161,263.33148992862345,NGC4088_segment_structure_v8_1.csv
NGC4157,1,1.74,6.98,4.36,5.24,0.35,50.2418576806817,2.02045422031826,215.8670910476772,161.6,9.475,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0,1.0,4.0822352564018685,20509908277.120384,20509908277.120384,4640.353800613891,142.23903321759667,258.51604122000384,NGC4157_segment_structure_v8_1.csv
NGC4157,2,8.72,13.94,11.33,5.219999999999999,0.35,130.06137037193974,2.006432061401473,227.09331741195047,192.75,6.525,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.014022158916787042,0.9610373722931481,3.868915054198268,50319639380.16543,70829547657.28581,2373.0943383848976,163.97304307080748,280.1045049031982,NGC4157_segment_structure_v8_1.csv
NGC4157,3,15.68,20.9,18.29,5.219999999999999,0.35,209.95785208321075,2.0036390030356626,173.7702629094548,182.5,6.699999999999999,4,29.61,1.74,2.8342270288870623,0.3528298861762947,0.0027930583658104524,0.9921150887777622,3.982914732318598,83624422222.81891,154453969880.10474,1985.7840544135424,190.57804268914003,257.907143419574,NGC4157_segment_structure_v8_1.csv
NGC4157,4,22.65,29.61,26.13,6.960000000000001,0.35,399.941583738604,2.002390665187569,143.6010859755771,185.2,10.84,5,29.61,1.74,2.8342270288870623,0.3528298861762947,0.001248337848093417,0.9964681787345174,3.9954072971744456,159792952211.27228,314246922091.377,1979.4866078392872,227.4290769950944,268.9707362450526,NGC4157_segment_structure_v8_1.csv
NGC4183,1,0.87,4.37,2.62,3.5,0.35,20.16588324339288,2.0383946333058724,55.05702458827953,74.28,6.24,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0,1.0,4.155052681090182,8379030723.701117,8379030723.701117,5249.906332654473,117.28066588979924,129.56091443050693,NGC4183_segment_structure_v8_1.csv
NGC4183,2,5.24,7.85,6.545,2.6099999999999994,0.35,37.56626959772046,2.012459110845105,78.4315719271537,105.075,5.2,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.02593552246076758,0.9207213838780501,3.7289139376966047,14008138629.020805,22387169352.721924,2247.7097917237543,121.28998551748603,144.43951004415743,NGC4183_segment_structure_v8_1.csv
NGC4183,3,8.72,12.31,10.515,3.59,0.35,83.01405688902415,2.0070335287288557,83.77962206637491,112.2,5.72,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.005425582116249217,0.9828693776131041,3.959178293534506,32866745209.3263,55253914562.048225,2149.3386702650746,150.33394865377966,172.10264725280047,NGC4183_segment_structure_v8_1.csv
NGC4183,4,13.12,16.03,14.575,2.910000000000002,0.35,93.27160823040715,2.0047632351547047,72.17567239808223,109.25,4.925,4,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0022702935741509833,0.9927957889812422,3.9901213600960936,37216503629.066216,92470418191.11444,1872.1733097680524,165.1875479261962,180.2671730404198,NGC4183_segment_structure_v8_1.csv
NGC4183,5,16.95,21.02,18.985,4.07,0.35,169.92329596941792,2.003482065492554,64.2317986909034,110.8,7.359999999999999,5,21.02,0.87,3.1847364327823127,0.31399772668985365,0.0012811696621506385,0.9959281249566299,3.9975961230639268,67928470918.55892,160398889109.67337,1913.9937172602142,190.62311172096938,201.15390795421777,NGC4183_segment_structure_v8_1.csv
NGC4389,1,0.87,5.32,3.095,4.45,0.35000000000000003,30.287859153810185,2.0312133903734235,129.41212209049402,73.10000000000001,6.583333333333333,6,5.32,0.87,1.8107353706870606,0.5522618137296135,0.0,1.0,4.125827837232298,12496249242.696112,12496249242.696112,5610.721689358167,131.77702238464613,184.69618559279576,NGC4389_segment_structure_v8_1.csv
NGC5907,1,5.03,15.1,10.065,10.07,0.35,222.89029678152954,2.007412319214639,214.54029707471642,226.8,4.4,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0,1.0,4.029704219334696,89818196938.92921,89818196938.92921,3813.2662423172387,195.90948095720893,290.5306589636119,NGC5907_segment_structure_v8_1.csv
NGC5907,2,17.61,25.16,21.384999999999998,7.550000000000001,0.35,355.0619377707386,2.003025776546799,208.05811317104434,228.0,4.5,4,50.33,5.03,2.3031813366766207,0.4341820524835234,0.004386542667840221,0.9899478606949438,3.9717819501506755,141022859562.3342,230841056501.26343,2170.9753822228467,215.46765081755444,299.5237670121199,NGC5907_segment_structure_v8_1.csv
NGC5907,3,27.68,37.75,32.715,10.07,0.35,724.4765086147779,2.00183780020182,174.22505643645147,217.0,2.0,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0011879763449789138,0.9972676148320807,3.996404942104476,289530149946.66943,520371206447.93286,2091.123888268582,261.55519112551883,314.26976993498977,NGC5907_segment_structure_v8_1.csv
NGC5907,4,40.26,50.33,45.295,10.07,0.35,1003.0616982334208,2.001258616022915,148.05471556378245,215.8,3.6,5,50.33,5.03,2.3031813366766207,0.4341820524835234,0.0005791841789051233,0.9986669231460545,3.999697027350872,401194289267.37305,921565495715.3059,1931.9061841248044,295.8136078849873,330.79584249292725,NGC5907_segment_structure_v8_1.csv
NGC5985,1,3.54,8.02,5.779999999999999,4.4799999999999995,0.35000000000000003,56.94475976638087,2.0144913063640417,171.006515332304,254.42857142857142,6.155714285714285,7,34.72,3.54,2.283189162646466,0.437983858876104,0.0,1.0,4.0581752234163035,23109181318.73204,23109181318.73204,2975.015535779859,131.13195566606785,215.4966776609447,NGC5985_segment_structure_v8_1.csv
NGC5985,2,8.79,12.56,10.675,3.7700000000000014,0.35000000000000003,88.50282766189052,2.0069073832983775,212.8164177014081,298.6666666666667,9.28,6,34.72,3.54,2.283189162646466,0.437983858876104,0.007583923065664244,0.9828335213059451,3.9585362095223573,35034164794.471054,58143346113.203094,2194.4445369128225,153.0545505091057,262.1383662778202,NGC5985_segment_structure_v8_1.csv
NGC5985,3,13.39,17.89,15.64,4.5,0.35000000000000003,154.77370367175476,2.004380436626994,228.5514375976832,294.42857142857144,6.645714285714286,7,34.72,3.54,2.283189162646466,0.437983858876104,0.0025269466713835342,0.9942471143324082,3.9944284810706305,61823249006.72433,119966595119.92743,2109.3429228339646,181.6318345255677,291.93472376730193,NGC5985_segment_structure_v8_1.csv
NGC5985,4,18.72,22.52,20.619999999999997,3.8000000000000007,0.35000000000000003,172.3138437752773,2.003158538362649,217.7049921384439,290.5,4.056666666666667,6,34.72,3.54,2.283189162646466,0.437983858876104,0.0012218982643448228,0.9972140630700057,4.001465156347008,68950784182.29938,188917379302.2268,1910.9747342911462,198.50516119507682,294.6179943979718,NGC5985_segment_structure_v8_1.csv
NGC5985,5,23.23,34.72,28.975,11.489999999999998,0.35000000000000003,732.1353659290379,2.0021180042632394,203.18735566590126,291.85714285714283,4.497142857142857,7,34.72,3.54,2.283189162646466,0.437983858876104,0.00104053409940974,0.9976270836485625,3.998964723556706,292778350121.8503,481695729424.0771,2467.6653413691483,267.395967183821,335.8358300846897,NGC5985_segment_structure_v8_1.csv
