r_kpc,v_obs_kmps,v_err_kmps,v_baryon_kmps,v_model_kmps,a_newton,sigma_profile,beta_local,d_eff_local,cinfo_cap,a_struct,a_total
2.07,246.0,11.4,309.09091817780734,0.0,46153.234637681155,-20436.43718166616,72.61612810255173,2.2866615448052436,0.5354868819328047,-158620.07367312664,-112466.83903544548
2.15,247.0,12.9,309.59465386211053,0.0,44580.86032558141,-18977.259927211235,72.675571678434,2.28771098420623,0.5361659309569723,-150286.2218350031,-105705.36150942168
2.23,248.0,15.4,310.0816455387194,0.0,43116.873049327354,-17568.739744799386,72.34853935995568,2.2865254476564507,0.5353988190718211,-141583.45654018808,-98466.58349086074
2.32,249.0,17.6,310.64205285183135,0.0,41594.174568965514,-16295.987299964847,71.61264747444977,2.2827055807550503,0.5329271404885619,-132143.12083097515,-90548.94626200965
2.4,251.0,24.0,311.1779756023874,0.0,40346.55520833333,-14889.301858549805,70.4635144294575,2.276331847828703,0.528802960359749,-122644.6736840214,-82298.11847568807
2.49,252.0,10.1,311.87634280272044,0.0,39062.99325301204,-13499.379495047377,68.94610206034613,2.2677426578772333,0.5232452492146803,-112418.67134527786,-73355.67809226582
2.58,253.0,12.0,312.76988441983985,0.0,37916.6668992248,-11957.589233337885,67.16045178435878,2.2570955649341187,0.5163559537809003,-101741.66577464699,-63824.998875422185
2.67,254.0,6.34,313.9289324034979,0.0,36910.62719101123,-10583.680797579038,65.26957194791717,2.2451166101468747,0.5086048653891542,-91655.21123109313,-54744.5840400819
2.75,256.0,6.22,315.1554587818526,0.0,36117.441163636366,-9364.644325445615,63.44317854717713,2.2334431620909974,0.5010514578235865,-82685.67721467568,-46568.23605103932
2.83,257.0,5.6,316.57031446425924,0.0,35412.28409893993,-8258.60898029449,61.85547370939691,2.2233965326616305,0.4945506976045844,-74517.97764214348,-39105.69354320355
2.92,259.0,8.73,318.3761214350096,0.0,34713.4776369863,-7509.046464352504,60.61885681768235,2.2165774590723544,0.49013835587034693,-67976.15487690234,-33262.67723991603
3.0,260.0,5.19,320.01131011262714,0.0,34135.7462,-7029.814198149006,60.21268177592663,2.213088369894493,0.4878807099317308,-63822.87685162335,-29687.130651623345
3.09,262.0,11.0,321.82586052087237,0.0,33518.40922330097,-6852.284619147469,60.50238798725475,2.213219799562062,0.48796575265780473,-61540.87527658861,-28022.466053287637
3.18,263.0,16.0,323.46472017825994,0.0,32902.334968553456,-6820.735406378131,61.43583645580997,2.2149996621786405,0.4891174284685321,-60593.19423075597,-27690.859262202517
3.27,264.0,13.1,324.9469392070035,0.0,32290.676850152908,-6782.438533194152,62.83837250626793,2.2312205410079717,0.4996132912404523,-60114.635298555,-27823.95844840209
