galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc,v_model_kmps,residual_kmps,abs_residual_kmps,frac_residual
UGC03580,10.53,112.0,1.43,33.33,67.3,36.41,1191.2630579297247,91.66928836346972,20.330711636530282,20.330711636530282,0.18152421104044894
UGC03580,12.07,112.0,1.21,36.03,63.57,34.0,1039.27091963546,92.96396408691274,19.03603591308726,19.03603591308726,0.16996460636685054
UGC03580,13.58,114.0,1.35,37.9,59.74,32.06,956.9955817378498,94.26628471651816,19.733715283481843,19.733715283481843,0.17310276564457758
UGC03580,15.09,118.0,1.36,39.04,56.25,30.41,922.7302849569252,96.03627465323969,21.963725346760313,21.963725346760313,0.18613326565051114
UGC03580,16.6,122.0,1.44,39.66,53.26,29.0,896.6265060240963,98.37865206279588,23.62134793720412,23.62134793720412,0.19361760604265674
UGC03580,18.11,125.0,1.64,40.08,50.67,27.76,862.7829928216455,101.13339127858762,23.866608721412376,23.866608721412376,0.190932869771299
UGC03580,19.62,128.0,1.97,40.18,48.42,26.67,835.0662589194699,104.06212349453688,23.937876505463123,23.937876505463123,0.18701466019893065
UGC03580,21.02,131.0,1.81,39.87,46.57,25.77,816.4129400570885,106.81162896150936,24.188371038490644,24.188371038490644,0.18464405372893622
UGC03580,24.04,127.0,1.93,37.17,43.23,24.09,670.9234608985025,111.73455348437444,15.265446515625555,15.265446515625555,0.12020036626476815
UGC03580,27.06,124.0,1.92,34.89,40.56,22.71,568.2187730968219,116.03746846627838,7.9625315337216165,7.9625315337216165,0.06421396398162595
