galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,beta_mode
NGC2841,7.51,316.0,20.5,0.19099564694627302,10940.49066577896,44.48432556463908,10984.974991343599,286.64103840866886,18.277781183459865,287.22319228257044,,1749.1355972338743,1749.1355972338743,formula
NGC2841,7.85,318.0,23.4,0.18993735127572103,10611.22559235669,42.321806670150124,10653.54739902684,288.61413842707015,18.227072786398764,289.1891199239015,,1749.1355972338743,1749.1355972338743,formula
NGC2841,8.21,321.0,8.48,0.1992923184986108,10238.015054811203,42.45910944472485,10280.474164255927,289.92085747665686,18.67054601615044,290.52141554202365,,1749.1355972338743,1749.1355972338743,formula
NGC2841,8.57,323.0,8.66,0.21173183544607843,9802.439369894983,43.214432957573024,9845.653802852556,289.8394476257502,19.24441972225717,290.4776292426775,,1749.1355972338743,1749.1355972338743,formula
NGC2841,8.9,321.0,12.7,0.20451370630403792,9392.984359550563,40.19350604703669,9433.1778655976,289.1324277904504,18.91354551158049,289.7503805067711,,1749.1355972338743,1749.1355972338743,formula
NGC2841,9.24,323.0,11.0,0.22735583799970388,8944.218322510822,43.03854864547836,8987.2568711563,287.47969893542046,19.941820114628957,288.1705284887478,,1749.1355972338743,1749.1355972338743,formula
NGC2841,9.6,323.0,10.4,0.24101545772933447,8486.310895833332,43.91340797895782,8530.22430381229,285.42702149586324,20.53213862699147,286.16455635979446,,1749.1355972338743,1749.1355972338743,formula
NGC2841,9.93,322.0,13.6,0.2441129901454529,8127.071792547834,42.9996697694475,8170.071462317282,284.0806626646734,20.66365700476597,284.83119495731256,,1749.1355972338743,1749.1355972338743,formula
NGC2841,10.27,321.0,13.6,0.2441794440511495,7808.738666017527,41.587435024600076,7850.326101042127,283.18853454898203,20.666469405842953,283.9416296665613,,1749.1355972338743,1749.1355972338743,formula
NGC2841,10.6,323.0,9.32,0.2624350683852734,7514.396150943397,43.30514340331961,7557.701294346716,282.22792065988085,21.425090900044925,283.0399860798385,,1749.1355972338743,1749.1355972338743,formula
NGC2841,10.93,322.0,11.9,0.26283366204256375,7239.423129002746,42.06145603202068,7281.4845850347665,281.29503159494305,21.441355237717275,282.11101806634565,,1749.1355972338743,1749.1355972338743,formula
NGC2841,11.27,321.0,11.0,0.26492794074113213,6962.084516415262,41.117559170557286,7003.202075585819,280.11192852143944,21.526608925982295,280.937871053107,,1749.1355972338743,1749.1355972338743,formula
NGC2841,12.31,323.0,4.24,0.3170513397723757,6106.858887083673,45.050023115073465,6151.9089101987465,274.1813868591375,23.54922046579365,275.19084048083175,,1749.1355972338743,1749.1355972338743,formula
NGC2841,14.35,319.0,4.24,0.41002115276613244,4625.271505226481,49.97788110955475,4675.249386336036,257.62889220737645,26.780265008436913,259.017043249903,,1749.1355972338743,1749.1355972338743,formula
NGC2841,16.4,308.0,4.24,0.46881370919603405,3540.064274390244,50.00114312353859,3590.0654175137824,240.95031458788344,28.635969465447346,242.64598254911624,,1749.1355972338743,1749.1355972338743,formula
NGC2841,18.48,299.0,5.66,0.5182313541681237,2805.3565097402598,49.05069854860284,2854.4072082888624,227.6905538225071,30.10742282524661,229.6724737733675,,1749.1355972338743,1749.1355972338743,formula
NGC2841,20.57,299.0,5.66,0.6052916807897527,2290.313490520175,51.46996721336313,2341.783457733538,217.05240956967052,32.53824250906738,219.47775679001933,,1749.1355972338743,1749.1355972338743,formula
NGC2841,22.51,298.0,5.66,0.6570465789282124,1963.1718080852952,51.055689037941924,2014.227497123237,210.21654882525306,33.90078996489717,212.93252677842358,,1749.1355972338743,1749.1355972338743,formula
NGC2841,24.59,296.0,5.66,0.7124669821771795,1667.0366287108582,50.6791931834037,1717.7158218942618,202.46587539632452,35.3015773072521,205.52039329560435,,1749.1355972338743,1749.1355972338743,formula
NGC2841,26.68,293.0,4.24,0.7795023954862345,1396.7208583208399,51.104025040256765,1447.8248833610967,193.0401836406089,36.92499679179472,196.53999055681788,,1749.1355972338743,1749.1355972338743,formula
NGC2841,28.77,289.0,4.24,0.8377941518995894,1180.2397288842542,50.935543074102725,1231.175271958357,184.27017392947778,38.280746782709656,188.20444355604872,,1749.1355972338743,1749.1355972338743,formula
NGC2841,30.7,289.0,4.24,0.9045186171351488,1025.8331791530945,51.53503946553246,1077.368218618627,177.4628935862368,39.77594388059002,181.8658965050673,,1749.1355972338743,1749.1355972338743,formula
NGC2841,32.79,288.0,4.24,0.9561945477772914,899.6102256785605,51.0068289538947,950.6170546324552,171.75045647683152,40.89638029701659,176.5523526362597,,1749.1355972338743,1749.1355972338743,formula
NGC2841,34.88,285.0,4.24,0.9816154001980196,804.6361496559631,49.22529929126524,853.8614489472284,167.52823314295412,41.43643854482829,172.5766129557517,,1749.1355972338743,1749.1355972338743,formula
NGC2841,36.96,283.0,2.83,1.0031396532121293,730.6515827922077,47.47368172159576,778.1252645138035,164.3316235543238,41.888271346883954,169.58629006034118,,1749.1355972338743,1749.1355972338743,formula
