galaxy,r_kpc,v_obs_kmps,v_err_kmps,sigma_profile,a_bar_kmps2_per_kpc,a_struct_kmps2_per_kpc,a_total_kmps2_per_kpc,v_bar_kmps,v_struct_kmps,v_model_kmps,beta_raw,beta_formula,beta_clipped,use_dimension_proxy,d_eff_proxy,d_eff_response,beta_mode,beta_ceiling_theory
NGC5055,7.91,206.0,0.66,0.0,9398.215537294564,0.0,9398.215537294564,272.65341534629636,0.0,272.65341534629636,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,8.62,206.0,1.54,0.0,8369.92438515081,0.0,8369.92438515081,268.6051901955731,0.0,268.6051901955731,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,11.49,206.0,1.9,0.0,5344.052332463012,0.0,5344.052332463012,247.79661276942429,0.0,247.79661276942429,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,14.3,206.0,0.42,0.0,3687.393972027972,0.0,3687.393972027972,229.62955776641647,0.0,229.62955776641647,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,17.19,203.0,4.19,0.0,2659.3425247236764,0.0,2659.3425247236764,213.808554552899,0.0,213.808554552899,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,20.07,200.0,1.23,0.04453019294455869,1905.4091529646237,172101643.77952376,172103549.1886767,195.55449803060014,58771.421546998856,58771.74688757126,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,22.96,194.0,4.09,0.14057612605548078,1418.2466071428573,474916765.4732721,474918183.7198792,180.45204930950496,104422.645701334,104422.8016201846,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,25.85,188.0,5.2,0.2104082379022007,1097.5242166344292,631364277.4057293,631365374.929946,168.43693478569358,127752.7556295288,127752.86666818519,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,28.74,184.0,1.16,0.27499187940589087,880.7361169102297,742182858.0267744,742183738.7628913,159.0985732179896,146049.08537779172,146049.1720347825,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,31.62,182.0,2.47,0.3410166156751522,727.1375205566095,836549200.4094322,836549927.5469527,151.63142286478748,162639.74212026483,162639.81280435194,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,34.51,180.0,3.85,0.3918464590855265,614.7984613155608,880742150.5907775,880742765.3892388,145.65951702515014,174339.9312173999,174339.99206602777,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,37.4,181.0,8.43,0.4767590550293888,519.3978743315507,988792496.4897101,988793015.8875844,139.3753224211517,192304.02847760406,192304.078984809,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,40.29,180.0,4.55,0.5237262548754872,450.90578307272284,1008288682.805231,1008289133.711014,134.78499174611395,201553.84151690773,201553.8865842501,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,43.17,179.0,0.44,0.56480529902093,396.09258281213806,1014832876.0039963,1014833272.0965791,130.76435599963776,209309.18579243607,209309.22663946115,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,45.92,179.0,1.96,0.6043227532027987,354.9231380662021,1020809917.395593,1020810272.3187311,127.66389661920869,216507.71673731547,216507.7543758563,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
NGC5055,48.81,179.0,2.99,0.6504495327977696,315.5538311821348,1033671667.0302217,1033671982.5840529,124.10552969146862,224618.59688757992,224618.6311727672,,121647074308.07895,77567146294.5482,True,4.875490738892991,0.6376408699982744,formula,131960207583.13342
