galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC3198,3.54,107.0,101.22075133094003,7.51,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.31114593989753,0.08282806519868019,0.09972138673527584,5338875.336724648,8311765.099532379,0.6043106277258549,5043945.332881785,0.39568937227414513,0.5397609896142175,0.35657530289005157,0.5075371618983632,0.5045428741265136,0.48264117418470326,552103388.9308233,17.040586153846156,2,101.22075133094003,0.05401166980429876,0.021371843720341375
NGC3198,3.85,113.0,108.53059706829222,7.32,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.304912469188072,0.08730316864817403,0.10526453575384889,6031448.17142896,8660532.491172455,0.608082379404405,5281221.575464759,0.39191762059559504,0.555020671288035,0.36452552434578683,0.5087446658717444,0.5052706730821823,0.47959475842119664,595027102.3308098,18.382862307692307,2,108.53059706829222,0.039552238333697136,0.015501219136972465
NGC3198,4.17,117.0,115.52000043282548,5.21,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2984779187783086,0.09192263027345798,0.1109864960310856,6746362.06531728,9020550.44383318,0.6119758004919406,5526151.890389118,0.38802419950805944,0.570772600757782,0.3727322045581587,0.5099911215862023,0.506021949423518,0.4764500711814479,639335451.6469251,19.768437692307693,2,115.52000043282548,0.012649568950209543,0.004908338866027062
NGC3198,4.5,119.0,120.54909788131971,5.67,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2897459041755015,0.09552247821967139,0.11198588120021001,6957474.028245171,9108084.21473855,0.6146738825117801,5596896.206565869,0.3853261174882198,0.5815523218646155,0.3819456089587269,0.5103721556257046,0.5062146920215608,0.4720684887552278,651335198.4626149,23.41497500613497,2,120.54909788131971,0.013017629254787482,0.005016032539648329
NGC3198,4.82,127.0,125.50543135657517,5.39,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.279245638385881,0.09788453988401341,0.10820212246309342,6651989.395792757,8917828.726863999,0.6160131053415093,5489166.989681268,0.3839868946584907,0.5867065181778182,0.3916073494020025,0.50986467501816,0.5058372195067324,0.4667155615926103,630299085.3951102,29.101471987730065,2,125.50543135657517,0.01176825703484116,0.004518856474351594
NGC3198,5.15,132.0,129.5399567701024,4.34,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2684172392903346,0.10032041597536612,0.10430012126544194,6336958.368576206,8721627.75499337,0.6173941788846675,5378071.234769024,0.38260582111533253,0.5920217831258084,0.40157101923413036,0.5093413356416296,0.5054479509758157,0.46119535545616097,608605593.7942461,34.965672,2,129.5399567701024,0.018636691135587826,0.00713050651480442
NGC3198,5.46,134.0,133.342371735319,2.36,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.25824510680664,0.10260866321269745,0.10063460498886026,6041020.130887932,8537317.7511149,0.6186915510009676,5273708.555912066,0.38130844899903243,0.5970149108042235,0.41093083028855354,0.5088497138030708,0.5050822744770759,0.4560097072673753,588226859.260101,40.474465950920234,2,133.342371735319,0.004907673617022346,0.0018713374151002621
NGC3198,5.78,137.0,136.70281123663844,0.89,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2477448410170195,0.10497072487703947,0.09685084625174366,5735535.498435519,8347062.2632403495,0.6200307738306967,5165979.339027466,0.3799692261693033,0.6021691071174262,0.4205925707318291,0.5083422331955262,0.5047048019622477,0.45065678010475774,567190746.1925963,46.16096293251533,2,136.70281123663844,0.0021692610464347506,0.0008242524411730252
NGC3198,6.1,140.0,139.73059686410846,2.84,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2372445752273986,0.1073327865413815,0.09306708751462708,5430050.865983106,8156806.7753658,0.6213699966604258,5058250.122142865,0.3786300033395742,0.6073233034306289,0.43025431117510465,0.5078347525879816,0.5043273294474193,0.44530385294214025,546154633.1250917,51.84745991411041,2,139.73059686410846,0.0019243081135109769,0.0007286007874450309
NGC3198,6.43,142.0,142.2462463476629,0.88,2.1,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC3198_structure_enriched.csv,2.2264161761318526,0.1097686626327342,0.08916508631697559,5115019.838766556,7960605.80349517,0.622751070203584,4947154.36723062,0.377248929796416,0.6126385683786192,0.44021798100723253,0.5073114132114513,0.5039380609165026,0.439783646805691,524461141.52422756,57.71165992638035,3,142.2462463476629,0.00173412920889359,0.0006541983881838124
