galaxy,r_kpc,v_obs_kms,v_vis_kms,v_err_kms,h_kpc,source_path,Dw_i,sigma_i,beta_i,S_i,I_int_i,eta_obs_i,I_ext_i,DeltaD_i,eta_sigma_term_i,eta_dw_term_i,eta_density_term_i,eta_flow_term_i,eta_transition_term_i,propagation_source_i,propagation_term_i,segment_density_eff_msun_per_kpc3,segment_wedge_volume_eff_kpc3,segment_index,v_bar_kms,delta_v_i,C_i
NGC2403,1.16,78.5,79.61182952300493,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3636155523842586,0.054542476900711234,0.0772287755572452,21992551.566624854,79922640.64985053,0.514929437400825,41918275.45366955,0.48507056259917497,0.46936522028392336,0.27200127372226013,0.5027414411457043,0.5026719193488316,0.5538859842319473,0.0764582941609733,0.259716877421214,1858904314.715128,0.8419697979452057,1,79.61182952300493,0.014163433414075522,0.006870264614501567
NGC2403,1.27,83.4,82.34121021699889,1.8,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.360709292844476,0.060496827853239635,0.09272737207093268,29460691.693195798,82736795.44699456,0.5244847203400576,44343725.85777907,0.47551527965994245,0.4896189098179409,0.27604537927297923,0.5035406902015067,0.5031000799462549,0.5493112696373742,0.08470443641265814,0.2797762251071912,2019625409.5852284,0.91488872260274,1,82.34121021699889,0.012695321139102125,0.006036819181832926
NGC2403,1.36,86.4,85.36800454502846,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3583314441301084,0.06536856954167197,0.10540804194576787,35570988.160390206,85039285.73556694,0.5323026791085205,46328185.279323235,0.4676973208914795,0.5061901103457734,0.2793541929053858,0.5041946212471632,0.5034503931623286,0.5455683213327234,0.09145128007312754,0.29618841866844525,2151124487.2062197,0.9745496609589044,1,85.36800454502846,0.0119443918399485,0.005586360063221963
NGC2403,1.47,87.4,88.12843581954691,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.355425184590326,0.07132292049420036,0.12090663845945532,43039128.28696113,87853440.53271097,0.5418579620477529,48753635.68343276,0.458142037952247,0.5264437998797908,0.2833982984561049,0.5049938703029656,0.503878553759752,0.5409936067381502,0.09969742232481235,0.31624776635442237,2311845582.0763197,1.0474685856164385,1,88.12843581954691,0.008334505944472569,0.0038183875387257796
NGC2403,1.57,90.3,90.96677030652457,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.352783130463251,0.07673596681468073,0.13499627165371667,49828346.58384381,90411763.07556917,0.5505445829016007,50958590.596259594,0.44945541709839926,0.5448562449107159,0.28707475804766774,0.5057204603536951,0.5042677906665004,0.5368347752885382,0.10719391528088948,0.33448353697803795,2457955668.321866,1.113758517123288,1,90.96677030652457,0.0073839458086884715,0.003318754443276054
NGC2403,1.67,93.3,94.184948372869,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3501410763361763,0.08214901313516107,0.14908590484797796,56617564.88072647,92970085.61842737,0.5592312037554484,53163545.50908643,0.44076879624455156,0.5632686899416408,0.2907512176392306,0.5064470504044246,0.5046570275732489,0.5326759438389262,0.11469040823696658,0.3527193076016535,2604065754.5674114,1.1800484486301372,2,94.184948372869,0.009484977201168324,0.0041806819833659775
NGC2403,1.77,93.3,97.07252958484186,1.41,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3474990222091012,0.08756205945564144,0.16317553804223933,63406783.177609146,95528408.16128558,0.5679178246092962,55368500.42191328,0.4320821753907038,0.5816811349725659,0.29442767723079344,0.507173640455154,0.5050462644799975,0.5285171123893142,0.1221869011930437,0.37095507822526913,2750175840.8129573,1.2463383801369865,2,97.07252958484186,0.04043440069498245,0.017470983812907404
NGC2403,1.87,95.2,99.42995625061896,1.25,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.344856968082026,0.09297510577612181,0.17726517123650065,70196001.47449182,98086730.70414378,0.5766044454631439,57573455.33474012,0.42339555453685607,0.6000935800034909,0.29810413682235626,0.5079002305058835,0.505435501386746,0.5243582809397022,0.1296833941491208,0.3891908488488847,2896285927.058503,1.312628311643836,2,99.42995625061896,0.04443231355692179,0.018812444037788367
NGC2403,1.97,97.2,101.64837677011866,1.6,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.3422149139549515,0.09838815209660215,0.19135480443076197,76985219.77137448,100645053.24700198,0.5852910663169916,59778410.24756695,0.4147089336830084,0.6185060250344159,0.30178059641391913,0.508626820556613,0.5058247382934944,0.5201994494900902,0.1371798871051979,0.40742661947250025,3042396013.3040485,1.3789182431506852,2,101.64837677011866,0.04576519310821663,0.018979234433705482
NGC2403,2.08,99.1,104.02645913420298,2.02,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.339308654415169,0.10434250304913056,0.20685340094444943,84453359.89794542,103459208.044146,0.5948463492562241,62203860.65167648,0.40515365074377585,0.6387597145684334,0.30582470196463823,0.5094260696124154,0.5062528988909177,0.515624734895517,0.14542602935688276,0.4274859671584774,3203117108.1741495,1.4518371678082196,2,104.02645913420298,0.04971199933605435,0.020140998016774582
NGC2403,2.18,98.2,106.31884969279906,2.02,0.53,data\derived\crossmatch\sparc_structure_test32\per_galaxy\NGC2403_structure_enriched.csv,2.336666600288094,0.10975554936961092,0.2209430341387108,91242578.1948281,106017530.58700421,0.6035329701100719,64408815.56450333,0.39646702988992816,0.6571721595993584,0.3095011615562011,0.5101526596631449,0.5066421357976663,0.511465903445905,0.15292252231295986,0.44572173778209306,3349227194.4196954,1.5181270993150688,2,106.31884969279906,0.08267667711608004,0.032778576617380845
