galaxy,gamma_topo,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms,best_gamma_topo
NGC3769,10000.0,10,3,2.011191633752832,0.007143687318633092,0.9786014324927018,0.017899869286877788,14.657462845784911,41.03929160632841,40.65308119271682,37.68828076383251,37.371962964276825,26.748521752640777,25.87719619361191,0.38621041361159314,0.3163177995556836,10000.0
UGC07089,10000.0,10,3,2.0234916984677884,0.012240115071102084,0.9720856412825526,0.03458177193529798,20.290576628739363,15.229946408036618,14.86391741931016,12.303559329756132,13.0013828525724,7.696393487154574,7.995049231378244,0.36602898872645717,-0.6978235228162681,10000.0
NGC2683,10000.0,10,2,2.007314821317814,0.00433807407008957,0.9893430140790791,0.011528710645816303,11.883508054947166,34.69083060476303,34.4571881786616,30.871646941735946,30.62977631152493,15.1749967952912,15.081614179842761,0.23364242610142583,0.24187063021101451,10000.0
UGC01281,100.0,20,5,2.0591358256631267,0.028936401246990772,0.9203867682550848,0.07833495280553933,3.257617374325894,19.039841709046208,18.902234544069174,16.21440390457922,15.979517752794981,18.972876049072816,18.72829123289053,0.13760716497703385,0.23488615178423977,100.0
DDO168,100.0,9,2,2.048143220556609,0.025129852138522812,0.9452501590223938,0.069261383617133,2.881286308459723,19.024813323289894,18.910659182997232,15.826201390734967,15.563739740262134,128.81094172142923,127.02490966692349,0.11415414029266202,0.262461650472833,100.0
UGC04278,100.0,21,5,2.034817528493467,0.01908242718480029,0.9338662429972254,0.04832367299623906,2.8389538835084265,27.733839595268694,27.678505442008774,23.36036661759344,23.388336715982035,30.149033019702177,29.998753852277503,0.05533415325992053,-0.027970098388596654,100.0
UGC05750,100.0,10,2,2.019366620021896,0.015271622619737357,0.9384597634489551,0.03250659699575458,2.3271332080613956,21.177236001939548,21.148485479182895,17.68465137815956,17.98231551473854,8.104833924877713,8.117702790469131,0.028750522756652686,-0.2976641365789803,100.0
NGC2403,100.0,69,5,2.0267651575145913,0.016460408497649757,0.9275698047405566,0.03858429520907272,2.520788569356168,38.14020035207019,38.12887996838796,26.9481844126792,26.952867094069607,2117.2026111001674,2115.016263118208,0.0113203836822251,-0.004682681390406174,100.0
NGC4010,100.0,10,3,2.022823205228913,0.012680058510548578,0.969509334450728,0.03426182002871905,2.0312430424797228,17.55139775692406,17.540282038522356,15.401422451744116,15.381150571834274,14.345191584623803,14.328267620336854,0.011115718401704555,0.020271879909842028,100.0
NGC0100,100.0,17,5,2.028442125867639,0.016384200503421553,0.9442275882253212,0.04082427158890896,2.5223538978703566,27.477769360087667,27.469127229254212,22.47593038297263,22.604052484678895,22.75170568590904,22.70841585213313,0.008642130833454331,-0.12812210170626415,100.0
NGC4157,1e-06,14,4,2.0094958417150472,0.005329119830844942,0.9851836305202313,0.01452755127019097,0.00013753974399341348,41.47400894099612,41.474008941026355,36.94523856803081,36.94523856805048,22.518587028159978,22.51858702819294,-3.023359340659226e-11,-1.9667822925839573e-11,1e-06
ESO563-G021,1e-06,26,5,2.008788424053411,0.005749287926006286,0.9749421862207205,0.013913114581428892,0.00015480096104405024,64.78208319473143,64.78208319479373,57.10482145811693,57.10482145820236,67.4922502885804,67.49225028865405,-6.230038707144558e-11,-8.542855312043685e-11,1e-06
NGC4088,1e-06,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,0.0001471199785032223,47.03169137242292,47.03169137249147,40.29237110232917,40.29237110238637,46.15742119320178,46.15742119330753,-6.855316314613447e-11,-5.7198690228688065e-11,1e-06
IC4202,1e-06,28,5,2.009843504928134,0.005174358578746841,0.9822966617105612,0.01460543666194818,0.000154702406597815,37.32068988815855,37.32068988824305,25.941003196887227,25.941003196907882,68.3607217596409,68.36072176007151,-8.450484756394872e-11,-2.0655477328546112e-11,1e-06
NGC3198,1e-06,39,5,2.015547747826916,0.009802708952509231,0.9546847746568521,0.02360711440219313,0.00019195953948658966,38.233093369686515,38.23309336977624,28.66609111276689,28.666091112866226,308.0344533964537,308.03445339548523,-8.972733667178545e-11,-9.933742717294081e-11,1e-06
UGC08837,1e-06,7,2,2.0485210361879664,0.025204998369271037,0.9500240658916554,0.07004150711213566,0.00027579741906717423,8.490305533776496,8.490305533964849,6.9506867492881765,6.950686750259879,9.31837127870333,9.318371281048071,-1.8835244475212676e-10,-9.71702718288725e-10,1e-06
NGC4389,1e-06,6,1,2.0299963451851553,0.0,1.0,0.02999634518515526,0.00020767482354408813,57.39781645079807,57.397816451093526,56.31212209049402,56.312122090779575,95.84293762891839,95.84293762998935,-2.9545788038376486e-10,-2.8555291464726906e-10,1e-06
NGC4068,1e-06,6,1,2.0593355510021163,0.0,1.0,0.059335551002116294,0.0003147194327617273,6.0332781675934655,6.033278170257318,4.801296271137378,4.801296279154511,5.445130931015962,5.445130932721318,-2.6638522498956263e-09,-8.017132735460564e-09,1e-06
