kautsch_name,kautsch_sdss,RA_match_deg,DE_match_deg,nearest_sparc_name,nearest_sep_deg
J004720.66-010620.9,J004720.66-010620.9,11.83609583,-1.10582306,UGC00634,9.410750277606368
J004725.49-095109.8,J004725.49-095109.8,11.85621667,-9.85274139,NGC0247,10.907870228426559
J004746.43-095006.1,J004746.43-095006.1,11.94348333,-9.83505444,NGC0247,10.926402393413872
J004747.53-095358.3,J004747.53-095358.3,11.948075,-9.89954,NGC0247,10.86198555559664
J004832.05-010612.0,J004832.05-010612.0,12.13355833,-1.10335722,UGC00634,9.301860996962118
J004912.86-002431.9,J004912.86-002431.9,12.30360417,-0.40886861,UGC00634,8.591680163802872
J004923.01+135601.0,J004923.01+135601.0,12.345875,13.93361472,NGC0100,6.6230798263945365
J004926.96-100622.5,J004926.96-100622.5,12.362375,-10.10627417,NGC0247,10.668569134168324
J004935.68+010655.5,J004935.68+010655.5,12.39867917,1.11541806,UGC00634,7.146075264296189
J005001.46-103628.9,J005001.46-103628.9,12.5060875,-10.60804944,NGC0247,10.175940908843097
J005014.88-101135.8,J005014.88-101135.8,12.562,-10.19329611,NGC0247,10.593466991474138
J005036.28+142559.4,J005036.28+142559.4,12.65118333,14.43317083,NGC0100,6.7198210439154105
J005051.59+005104.6,J005051.59+005104.6,12.71497917,0.85127917,UGC00634,7.267702546414306
J005056.49-102146.6,J005056.49-102146.6,12.7354125,-10.36295056,NGC0247,10.437493007988849
J005118.49-090112.4,J005118.49-090112.4,12.82706667,-9.02012639,NGC0247,11.78315197657261
J005122.70+160218.4,J005122.70+160218.4,12.8446,16.03845944,NGC0100,6.57434485801406
J005133.39-003243.0,J005133.39-003243.0,12.88912917,-0.54529417,UGC00634,8.533243540049403
J005202.70-001620.8,J005202.70-001620.8,13.01128333,-0.27247111,UGC00634,8.236915626250152
J005206.30+000640.1,J005206.30+000640.1,13.02625417,0.11116167,UGC00634,7.86527925509531
J005208.81+143012.6,J005208.81+143012.6,13.03675,14.50351722,NGC0100,7.053335735035782
J005209.60-010708.7,J005209.60-010708.7,13.0400125,-1.11909,UGC00634,9.044739353747769
J005212.00+141023.0,J005212.00+141023.0,13.0500125,14.17307111,UGC00634,6.926795906719595
J005243.97+144345.5,J005243.97+144345.5,13.18321667,14.72931333,NGC0100,7.126304892799115
J005252.70-100350.4,J005252.70-100350.4,13.21959167,-10.06400306,NGC0247,10.78503879980585
J005309.31+010839.9,J005309.31+010839.9,13.288825,1.1444325,UGC00634,6.800706752812393
J005315.44-084416.4,J005315.44-084416.4,13.31434167,-8.73790889,NGC0247,12.11263976605842
J005315.91-084959.6,J005315.91-084959.6,13.31631667,-8.83322472,NGC0247,12.018239097083173
J005323.52+152729.9,J005323.52+152729.9,13.348,15.45831222,NGC0100,7.12701990782699
J005406.89-084426.3,J005406.89-084426.3,13.52871667,-8.740665,NGC0247,12.136834780200262
J005423.79+005634.0,J005423.79+005634.0,13.59914167,0.94280278,UGC00634,6.908464056848761
J005447.03-105822.8,J005447.03-105822.8,13.69599167,-10.97300444,NGC0247,9.957887748571062
J005505.54-011401.6,J005505.54-011401.6,13.773125,-1.23379667,UGC00634,8.999165852027117
J005513.61-010433.7,J005513.61-010433.7,13.80674167,-1.07603722,UGC00634,8.837961399290132
J005516.88-005504.6,J005516.88-005504.6,13.82035,-0.91794778,UGC00634,8.679931585935845
J005536.35+134724.7,J005536.35+134724.7,13.90145833,13.7902075,UGC00634,6.327312333884132
J005544.76-000417.4,J005544.76-000417.4,13.93653333,-0.07150611,UGC00634,7.826326163253557
J005555.92-103912.6,J005555.92-103912.6,13.98300417,-10.65351806,NGC0247,10.32517272409584
J005555.94+003940.3,J005555.94+003940.3,13.98309167,0.66121139,UGC00634,7.097731121387038
J005617.87-085731.4,J005617.87-085731.4,14.07446667,-8.95873278,NGC0247,12.006352784803143
J005619.61-000732.7,J005619.61-000732.7,14.08171667,-0.12576694,UGC00634,7.855015204017178
J005623.74-110806.4,J005623.74-110806.4,14.09894167,-11.135115,NGC0247,9.878204622878924
J005624.27-090902.8,J005624.27-090902.8,14.10116667,-9.15079306,NGC0247,11.822295998863144
J005624.60-010834.7,J005624.60-010834.7,14.10254167,-1.14299694,UGC00634,8.85750534316471
J005629.52+154021.2,J005629.52+154021.2,14.12300833,15.67256167,UGC00891,6.846357028299803
J005658.71-090844.4,J005658.71-090844.4,14.2446625,-9.14568306,NGC0247,11.854210196556362
J005709.66+143906.5,J005709.66+143906.5,14.290275,14.65181056,UGC00891,6.283867989723527
J005719.99+152154.9,J005719.99+152154.9,14.33329167,15.36525694,UGC00891,6.526571642778371
J005724.10-095047.6,J005724.10-095047.6,14.35045,-9.84656028,NGC0247,11.189689097679612
J005726.34-093653.5,J005726.34-093653.5,14.35977917,-9.61487556,NGC0247,11.41797950453589
J005800.06-100535.6,J005800.06-100535.6,14.50028333,-10.09324139,NGC0247,10.98233524576037
J005805.38-093243.2,J005805.38-093243.2,14.52245,-9.54535667,NGC0247,11.520773854982343
J005810.58-090719.3,J005810.58-090719.3,14.54411667,-9.12203833,NGC0247,11.93838576573818
J005814.27+151200.9,J005814.27+151200.9,14.5594625,15.20025722,UGC00891,6.258189461346562
J005831.11-100922.9,J005831.11-100922.9,14.629625,-10.15636833,NGC0247,10.951374949916575
J005911.86-010611.5,J005911.86-010611.5,14.79942083,-1.10319944,UGC00634,8.746753726487002
J005913.75-093825.1,J005913.75-093825.1,14.80732083,-9.64032667,NGC0247,11.49461220398963
J005948.72+144324.7,J005948.72+144324.7,14.95302083,14.72353,UGC00891,5.714465165847787
J005949.51+141940.4,J005949.51+141940.4,14.95629167,14.32788917,UGC00891,5.56737750720234
J010026.13-083910.8,J010026.13-083910.8,15.10887917,-8.65302694,NGC0247,12.524933598486626
J010102.71-084840.1,J010102.71-084840.1,15.26130833,-8.81115611,NGC0247,12.41080665061489
J010111.48-091814.1,J010111.48-091814.1,15.2978375,-9.30394222,NGC0247,11.946096717493441
J010130.08-094516.3,J010130.08-094516.3,15.37537083,-9.75454778,NGC0247,11.535905544103269
J010131.15-100142.9,J010131.15-100142.9,15.37981667,-10.02860194,NGC0247,11.275452004388177
J010213.58-002613.6,J010213.58-002613.6,15.55662083,-0.43713444,UGC00634,8.06563487336957
J010228.41+154457.0,J010228.41+154457.0,15.61839167,15.74918056,UGC00891,5.657931698782294
J010241.38+160034.7,J010241.38+160034.7,15.6724375,16.00965694,UGC00891,5.772177735709063
J010253.83+141140.3,J010253.83+141140.3,15.72430417,14.19453778,UGC00891,4.822992848321012
J010258.91-000627.1,J010258.91-000627.1,15.74547083,-0.10753778,UGC00634,7.743328878535163
J010329.09+152829.7,J010329.09+152829.7,15.87120833,15.47493361,UGC00891,5.300949849377109
J010332.85+155216.1,J010332.85+155216.1,15.88688333,15.87114861,UGC00891,5.524441335363995
J010411.82+141949.8,J010411.82+141949.8,16.04925833,14.33050194,UGC00891,4.5848027919357826
J010434.16+140400.8,J010434.16+140400.8,16.14235,14.06690556,UGC00891,4.398965089511773
J010434.32+003618.1,J010434.32+003618.1,16.14302083,0.60503722,UGC00634,7.0647701607782984
J010436.00+000852.5,J010436.00+000852.5,16.1500375,0.14793917,UGC00634,7.519955288293386
J010441.55-005721.3,J010441.55-005721.3,16.17315833,-0.95593917,UGC00634,8.620648630783208
J010452.17+005122.6,J010452.17+005122.6,16.2173875,0.85630083,UGC00634,6.8240519423190795
J010456.22+000127.9,J010456.22+000127.9,16.23425833,0.02444361,UGC00634,7.651944020028755
J010521.48-005017.2,J010521.48-005017.2,16.33952083,-0.83812389,UGC00634,8.520891366227428
J010521.62-010724.4,J010521.62-010724.4,16.34008333,-1.12345694,UGC00634,8.804456204538177
J010529.27+152812.2,J010529.27+152812.2,16.3719875,15.47005917,UGC00891,4.9093877724772295
J010633.60-000758.8,J010633.60-000758.8,16.64000417,-0.13301556,UGC00634,7.864104230160238
J010636.01-104430.3,J010636.01-104430.3,16.65004167,-10.7417675,NGC0247,11.055382743938821
J010645.28-104637.0,J010645.28-104637.0,16.6886875,-10.77696972,NGC0247,11.039134990339702
J010651.49+001051.4,J010651.49+001051.4,16.71456667,0.18095361,UGC00634,7.567439590340857
J010711.50-104220.1,J010711.50-104220.1,16.797925,-10.70559833,NGC0247,11.148978726769096
J010723.42+005333.7,J010723.42+005333.7,16.84759167,0.89270472,UGC00634,6.895683727780858
J010749.33+145527.9,J010749.33+145527.9,16.95557917,14.92444417,UGC00891,4.1303237547665015
J010753.62-083842.7,J010753.62-083842.7,16.97344167,-8.64522028,NGC0247,13.108878859037215
J010829.53+142627.9,J010829.53+142627.9,17.12304583,14.44109194,UGC00891,3.7207922949357637
J010836.19+140427.4,J010836.19+140427.4,17.15081667,14.07427889,UGC00891,3.512437736638442
J010842.89-092946.5,J010842.89-092946.5,17.17874583,-9.49627556,NGC0247,12.404719401765613
J010947.26-005946.1,J010947.26-005946.1,17.4469375,-0.99614444,UGC00634,8.871019105809852
J011009.50-084017.6,J011009.50-084017.6,17.53962083,-8.67158306,NGC0247,13.303034601157051
J011019.16+142004.9,J011019.16+142004.9,17.57986667,14.33469611,UGC00891,3.294421171418054
J011021.38+150123.5,J011021.38+150123.5,17.58908333,15.02321056,UGC00891,3.7290946990644755
J011026.67-084500.4,J011026.67-084500.4,17.6111625,-8.75012528,NGC0247,13.260454016547309
J011038.25-001641.0,J011038.25-001641.0,17.65939167,-0.27806861,UGC00634,8.231320589550155
J011048.05+155052.3,J011048.05+155052.3,17.70023333,15.84787028,UGC00891,4.2785509262423025
J011054.06+141653.2,J011054.06+141653.2,17.72527917,14.28146806,UGC00891,3.148968338262291
J011125.34+145906.3,J011125.34+145906.3,17.8556125,14.98508667,UGC00891,3.5210951327669986
J011135.51+002745.9,J011135.51+002745.9,17.8979875,0.46277694,UGC00634,7.598575888545847
J011143.29+151610.9,J011143.29+151610.9,17.930375,15.26969472,UGC00891,3.686899614313625
J011207.49+010310.1,J011207.49+010310.1,18.03122083,1.05283,UGC00634,7.093679834984158
J011217.67+145832.8,J011217.67+145832.8,18.07365417,14.97578472,UGC00891,3.373020264936144
J011238.14+152804.3,J011238.14+152804.3,18.15893333,15.46788861,UGC00891,3.711736357341695
J011257.42-002041.9,J011257.42-002041.9,18.23927083,-0.34499444,UGC00634,8.474033868527771
J011311.92+150558.4,J011311.92+150558.4,18.299675,15.09958139,UGC00891,3.3333340691042763
J011316.13-102853.9,J011316.13-102853.9,18.31722083,-10.48166,NGC0247,12.045183065056653
J011325.09-094434.2,J011325.09-094434.2,18.35456667,-9.74285833,NGC0247,12.704186532309055
J011333.05+002948.0,J011333.05+002948.0,18.3877125,0.49667361,UGC00634,7.743843536472799
J011337.57+002525.4,J011337.57+002525.4,18.40657083,0.42373944,UGC00634,7.818374436880535
J011342.00+141615.9,J011342.00+141615.9,18.42500833,14.27109028,UGC00891,2.625069166399877
J011344.46+003323.0,J011344.46+003323.0,18.435275,0.55640778,UGC00634,7.707618217758403
J011407.47+005049.9,J011407.47+005049.9,18.53115,0.84721611,UGC00634,7.4815452626895045
J011414.56+134656.0,J011414.56+134656.0,18.56069167,13.7822325,UGC00891,2.2014301247398094
J011415.71+153812.8,J011415.71+153812.8,18.56548333,15.6369125,UGC00891,3.6510374088086586
J011421.22-005109.5,J011421.22-005109.5,18.5884375,-0.85265917,UGC00634,9.071256623467326
J011429.85+001254.7,J011429.85+001254.7,18.6244,0.21520417,UGC00634,8.095955824371384
J011432.82+010015.1,J011432.82+010015.1,18.63677083,1.0042,UGC00634,7.385513933318224
J011446.94+003128.8,J011446.94+003128.8,18.69559583,0.52468,UGC00634,7.843353569360723
J011459.19-090332.6,J011459.19-090332.6,18.74664167,-9.05907667,NGC0247,13.489772278731506
J011503.45+133117.3,J011503.45+133117.3,18.7644,13.52147583,UGC00891,1.8862117663159337
J011508.93+151732.1,J011508.93+151732.1,18.7872125,15.29226306,UGC00891,3.2464409156219314
J011516.10-010600.9,J011516.10-010600.9,18.8171125,-1.1002575,UGC00634,9.38468462360139
J011547.47-104609.9,J011547.47-104609.9,18.94779167,-10.76942944,NGC0247,12.131589568990005
J011551.34+000849.0,J011551.34+000849.0,18.963925,0.14695167,UGC00634,8.29956143254392
J011551.60+151148.1,J011551.60+151148.1,18.96502083,15.19670361,UGC00891,3.084091824171983
J011559.52+005302.8,J011559.52+005302.8,18.998025,0.88412833,UGC00634,7.657457417325192
J011605.60-000053.6,J011605.60-000053.6,19.02337083,-0.01490833,UGC00634,8.471230847406787
J011614.30-085621.7,J011614.30-085621.7,19.05960833,-8.93936194,NGC0247,13.746096126761616
J011615.56-101821.5,J011615.56-101821.5,19.06483333,-10.30597694,NGC0247,12.582074229552042
J011709.28+135351.6,J011709.28+135351.6,19.28866667,13.89768194,UGC00891,1.798698116471674
J011724.60-010356.0,J011724.60-010356.0,19.35250833,-1.0655775,UGC00634,9.562489580612006
J011730.51-091748.3,J011730.51-091748.3,19.37713333,-9.29676833,NGC0247,13.599520160220518
J011801.50+140803.3,J011801.50+140803.3,19.50625833,14.13425694,UGC00891,1.8997727404738887
J011802.88-010958.4,J011802.88-010958.4,19.51200417,-1.16624111,UGC00634,9.720906139822167
J011809.65-100841.7,J011809.65-100841.7,19.54025,-10.14493472,NGC0247,12.974986674615664
J011814.68+150555.5,J011814.68+150555.5,19.56119583,15.09877111,UGC00891,2.7887433471389413
J011827.25+001707.6,J011827.25+001707.6,19.61357917,0.28545778,UGC00634,8.479891477324887
J011843.37+151112.7,J011843.37+151112.7,19.68073333,15.18686917,UGC00891,2.8457603664858295
J011904.36-001733.0,J011904.36-001733.0,19.768175,-0.29252139,UGC00634,9.059197541251068
J011904.42-000818.7,J011904.42-000818.7,19.76845833,-0.13854389,UGC00634,8.924938493962507
J011906.27+005755.7,J011906.27+005755.7,19.77615833,0.96548694,UGC00634,7.986115215437614
J011907.27+004053.3,J011907.27+004053.3,19.78032083,0.68147528,UGC00634,8.22701682493137
J011914.70+004416.0,J011914.70+004416.0,19.8112625,0.737795,UGC00634,8.19614327143964
J011949.92+010536.0,J011949.92+010536.0,19.95802917,1.09333472,UGC00634,7.982409627939805
J011949.99+004221.5,J011949.99+004221.5,19.9583125,0.70599083,UGC00634,8.303015854595577
J012032.59-095943.8,J012032.59-095943.8,20.13582917,-9.99551889,NGC0247,13.433636166453326
J012037.33-094619.1,J012037.33-094619.1,20.15557083,-9.77197944,NGC0247,13.626859115663649
J012049.66+151818.3,J012049.66+151818.3,20.20694167,15.30510361,UGC00891,2.8958281808002346
J012056.07-000717.2,J012056.07-000717.2,20.23365417,-0.121455,UGC00634,9.148047988862055
J012104.99+000610.4,J012104.99+000610.4,20.27079583,0.10290639,UGC00634,8.978761852231594
J012205.52+000506.7,J012205.52+000506.7,20.523,0.08519917,UGC00634,9.133085916328888
J012228.33+005354.0,J012228.33+005354.0,20.61805833,0.89834972,UGC00634,8.530938948114041
J012240.20+004316.2,J012240.20+004316.2,20.6675125,0.72118306,UGC00634,8.701512685895318
J012302.78-091745.7,J012302.78-091745.7,20.7616125,-9.29603,NGC0247,14.362002900456
J012307.65-092505.0,J012307.65-092505.0,20.78189583,-9.41806722,NGC0247,14.27533911286716
J012314.60-004202.3,J012314.60-004202.3,20.81086667,-0.70065556,UGC00634,9.94682771661277
J012320.66+141558.5,J012320.66+141558.5,20.8360875,14.266265,UGC00891,1.9189150751894823
J012329.36+011304.7,J012329.36+011304.7,20.872375,1.21799917,UGC00634,8.443453021028935
J012331.24+011048.1,J012331.24+011048.1,20.8802,1.18003944,UGC00634,8.477429367032972
J012332.12-001248.2,J012332.12-001248.2,20.8838625,-0.21338889,UGC00634,9.583819596720529
J012337.07+143326.3,J012337.07+143326.3,20.904475,14.55730778,UGC00891,2.2172211300705285
J012340.12+004056.4,J012340.12+004056.4,20.9171875,0.68235667,UGC00634,8.885526428010301
J012346.91-083320.7,J012346.91-083320.7,20.9454625,-8.55575667,NGC0247,15.070293422792481
J012409.87+001912.5,J012409.87+001912.5,21.04112917,0.32014694,UGC00634,9.247118887431348
J012438.08-000346.4,J012438.08-000346.4,21.15869583,-0.06291167,UGC00634,9.623194276208745
J012441.00+000452.4,J012441.00+000452.4,21.17087083,0.08124278,UGC00634,9.515605004695242
J012448.57+010212.9,J012448.57+010212.9,21.2023875,1.03693528,UGC00634,8.796344556422358
J012504.59+142358.9,J012504.59+142358.9,21.26915417,14.39969694,UGC00891,2.188003637387987
J012507.21+143707.5,J012507.21+143707.5,21.280075,14.61875472,UGC00891,2.392704204211763
J012539.32-084810.9,J012539.32-084810.9,21.41384167,-8.80304306,NGC0247,15.141066533502073
J012539.37+000749.2,J012539.37+000749.2,21.41407083,0.13035333,UGC00634,9.626911783067007
J012623.78+153615.6,J012623.78+153615.6,21.5991125,15.60434167,UGC00891,3.421946854349445
J012627.03+005852.3,J012627.03+005852.3,21.6126625,0.98120167,UGC00634,9.113064890666925
J012731.32-102347.1,J012731.32-102347.1,21.88052083,-10.39642944,NGC0247,14.19973703367846
J012732.20-104412.7,J012732.20-104412.7,21.88420417,-10.736875,NGC0247,13.950712711093509
J012735.90-010618.4,J012735.90-010618.4,21.8996,-1.10512083,UGC00634,10.901537455745643
