galaxy,n_points,n_segments,mean_Dw_i,mean_sigma_i,mean_beta_i,mean_info_source_i,mean_v_struct_kms,rmse_vis_only_kms,rmse_topo_kms,mae_vis_only_kms,mae_topo_kms,reduced_chi2_vis_only,reduced_chi2_topo,rmse_improvement_kms,mae_improvement_kms
NGC4013,32,5,2.007592545569904,0.0027560495833138356,0.9952525637310936,0.010287200192293018,0.00020470605175546135,39.77498515690112,39.77498515680859,33.98487619687046,33.984876196783986,63.22861127015683,63.22861126992877,9.252687505068025e-11,8.647305094200419e-11
NGC3769,10,3,2.011191633752832,0.007143687318633092,0.9786014324927018,0.017899869286877788,0.00030397577846474357,41.03929160632841,41.03929160615117,37.68828076383251,37.6882807636955,26.748521752640777,26.748521752242585,1.77244885435357e-10,1.3700685030926252e-10
NGC4157,14,4,2.0094958417150472,0.005329119830844942,0.9851836305202313,0.01452755127019097,0.00028523866094780836,41.47400894099612,41.474008941126186,36.94523856803081,36.94523856811539,22.518587028159978,22.518587028301734,-1.3006484778088634e-10,-8.458300726488233e-11
NGC5907,16,4,2.004999310219954,0.0024245695336931883,0.9944513939378957,0.007372093334298645,0.00019010262283053312,44.87186077341752,44.871860773330695,38.15277312787822,38.1527731277696,278.20567368565906,278.2056736845612,8.682121688252664e-11,1.0862066801564652e-10
UGC06667,8,2,2.029596809230444,0.016495796457404177,0.9649984151731847,0.044479291439975956,0.0004623783123758747,45.17688884804951,45.17688884140619,43.819180397494996,43.819180387578044,214.57156548510218,214.57156542803432,6.643318783972063e-09,9.91695259244807e-09
NGC4088,10,3,2.0117506746973826,0.0066586098581457405,0.983565750571478,0.018061128801054194,0.00030510676004267585,47.03169137242292,47.031691372717766,40.29237110232917,40.292371102575125,46.15742119320178,46.157421193656575,-2.9484681363101117e-10,-2.459543679833587e-10
NGC4389,6,1,2.0299963451851553,0.0,1.0,0.02999634518515526,0.00043068924559816555,57.39781645079807,57.39781645206883,56.31212209049402,56.31212209172219,95.84293762891839,95.84293763352453,-1.2707630503427936e-09,-1.2281660133339756e-09
ESO563-G021,26,5,2.008788424053411,0.005749287926006286,0.9749421862207205,0.013913114581428892,0.0003210360697178064,64.78208319473143,64.78208319499942,57.10482145811693,57.10482145848438,67.4922502885804,67.49225028889718,-2.679882982192794e-10,-3.674500703709782e-10
UGC12506,27,5,2.005308510329653,0.0031117287185067786,0.9874688759128565,0.008245266405948031,0.00024759886637065997,78.6664731901264,78.66647318953191,77.98599478458165,77.98599478395153,36.1241909455634,36.12419094528948,5.944826853010454e-10,6.30123508926772e-10
NGC5985,29,5,2.008646014756976,0.0036649277357728494,0.9917109594657451,0.012178262769171635,0.0002394610718216079,80.13422110229563,80.13422110214417,79.36502297396683,79.36502297381303,253.88130843550564,253.88130843465345,1.5145928955462296e-10,1.5380408058263129e-10
NGC2841,46,5,2.009442405082594,0.0048364383287650805,0.9860781336480215,0.014028681366889614,0.00024790182376129835,88.77406175651149,88.77406175639159,74.28523701151788,74.2852370113771,412.3645809600969,412.36458095907585,1.198969812321593e-10,1.4077272680879105e-10
